business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Halerman, Alor Barat Daya, Alor Regency, East Nusa Tenggara 85861, Indonesia","{'location': {'lat': -8.3995971, 'lng': 124.3416712}, 'viewport': {'northeast': {'lat': -8.39848662010728, 'lng': 124.34620045}, 'southwest': {'lat': -8.401186279892723, 'lng': 124.34016145}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SAVU South Alor,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101217087220899994340"">Vanessa</a>'], 'photo_reference': 'AUGGfZlLtiTvcH0gYQbo6jYPcSfPPeNB5miXyeIKtX0s7LKw0SSLG3Ixi7XjUNn7W85FdukSE2Qi4WiOcIzT03iVg0VKw9wYX4_6cHJMbBoF-_8AamxnS3KkncnxmyOhF8gRqzol3Pbr-9CcU4kbr4xknhNeTh5NVSpTFiCM_OPPy_M3tZd3', 'width': 2992}]",ChIJo95-29ybqi0R_vDqYfhnkbY,"{'compound_code': 'J82R+5M Halerman, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36J82R+5M'}",4.9,ChIJo95-29ybqi0R_vDqYfhnkbY,"['lodging', 'point_of_interest', 'health', 'establishment']",35,,https://www.google.com/maps/place/?q=place_id:ChIJo95-29ybqi0R_vDqYfhnkbY
OPERATIONAL,"Desa Wolwal, Wolwal, Kec. Alor Barat Daya, Kabupaten Alor, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.272423999999999, 'lng': 124.444837}, 'viewport': {'northeast': {'lat': -8.270884020107278, 'lng': 124.4468329298927}, 'southwest': {'lat': -8.273583679892722, 'lng': 124.4441332701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Alami Alor Dive Resort,"[{'height': 547, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103602295577760931458"">Alami Alor Dive Resort</a>'], 'photo_reference': 'AUGGfZnc08MskksxzoBXevSCD8m9zTJXDZnFcVKG3At0Oi8D90roPFsDvKVsM1Yulrg-TyioRjQB4nlobLp5YufcyKgC20drPBijY5Uuw_JMjs2OMd8VNNYTZFS9K24P89nq_o_PsjXRpZO9shslsQE6wGWa-UJyj1BQpMuD9H2SBPcoGJft', 'width': 800}]",ChIJOdjbTNyDqi0ROEobJfYWOgo,"{'compound_code': 'PCHV+2W Wolwal, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36PCHV+2W'}",4.8,ChIJOdjbTNyDqi0ROEobJfYWOgo,"['lodging', 'point_of_interest', 'establishment']",34,,https://www.google.com/maps/place/?q=place_id:ChIJOdjbTNyDqi0ROEobJfYWOgo
OPERATIONAL,"Jawa Toda, Batu, Pantar Timur, Alor Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.2118501, 'lng': 124.3287794}, 'viewport': {'northeast': {'lat': -8.210504870107279, 'lng': 124.32951945}, 'southwest': {'lat': -8.213204529892723, 'lng': 124.32677485}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alor Divers - Beach Resort - Alor Archipelago - Indonesia,"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103302376892168101943"">Gilles Brignardello</a>'], 'photo_reference': 'AUGGfZmywks8BTGHwPJgLkVCm35XumxWAuQB-lTA2h_wCbA4IxO3o3uMXLDOFDuXpAnkLGmTQsK7mU06VbJ5oIfopkKe-fW3tAvDZ_q-kG7SbPJEM-J1n6uHzBX1k9ZqsWXdA7U3MVOZgCOqQ0nHrIzxX6A5BAgXC_W9pMp--mHXnpj3xw-s', 'width': 4288}]",ChIJdz4PFoV_AC0RTucU9kcN7lw,"{'compound_code': 'Q8QH+7G Batu, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36Q8QH+7G'}",4.9,ChIJdz4PFoV_AC0RTucU9kcN7lw,"['lodging', 'point_of_interest', 'establishment']",59,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJdz4PFoV_AC0RTucU9kcN7lw
OPERATIONAL,"Sebanjar, Alor Besar, Alor Barat Laut, Alor Regency, East Nusa Tenggara 85813, Indonesia","{'location': {'lat': -8.230402999999999, 'lng': 124.3983587}, 'viewport': {'northeast': {'lat': -8.228868120107277, 'lng': 124.4003066298927}, 'southwest': {'lat': -8.231567779892721, 'lng': 124.3976069701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Alor Tanapi Dive Resort,"[{'height': 1980, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104694962274162986053"">A Google User</a>'], 'photo_reference': 'AUGGfZlxlQ6pyouRTSmohzTMMkB_Vt9Io3hrqonb-IlUX9gxLpzweqys3s6ot0q_17kR0ts57fG_P_lOO9O13qnqRyF-s1pmovBi66F0k33YzzqGBsBhrJgIoWsYTH2HssUWdp53gFcsa-_rey9suOHThUhk7Dl-rXrfyc3-gEfkdRazpQOL', 'width': 3520}]",ChIJs89aYYaHqi0Ran8YBWrmcuM,"{'compound_code': 'Q99X+R8 Alor Besar, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36Q99X+R8'}",5.0,ChIJs89aYYaHqi0Ran8YBWrmcuM,"['lodging', 'point_of_interest', 'establishment']",22,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJs89aYYaHqi0Ran8YBWrmcuM
OPERATIONAL,"Jl. Diponegoro, Wetabua, Kec. Tlk. Mutiara, Kabupaten Alor, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.2167411, 'lng': 124.5254424}, 'viewport': {'northeast': {'lat': -8.215282020107278, 'lng': 124.5267889798927}, 'southwest': {'lat': -8.217981679892722, 'lng': 124.5240893201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Simfony Hotel Alor,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111472497772687661025"">A Google User</a>'], 'photo_reference': 'AUGGfZlR1Iyjl57k9AGNe2_F_OdL7JxPw39xkj9EmB5KqW_uQKbV2eveBSOZxNQNSKWbNTg88Q6dUX8jsf02qwj3wlK1lxN1rRS42BE0J1UW_638cKapwlqbRo0-YTootyHlMqGyLF_FqCYvbOyEL1L2hn8vgo6EDenQ0_MErBXyLMwMwfnz', 'width': 4032}]",ChIJGSCO_5t_AC0RXRK6JHwUFu8,"{'compound_code': 'QGMG+85 Wetabua, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36QGMG+85'}",4.4,ChIJGSCO_5t_AC0RXRK6JHwUFu8,"['cafe', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",333,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJGSCO_5t_AC0RXRK6JHwUFu8
OPERATIONAL,"QC82+J2M, Sebanjar, Alor Besar, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim. 85813, Indonesia","{'location': {'lat': -8.2334264, 'lng': 124.4000456}, 'viewport': {'northeast': {'lat': -8.232122620107278, 'lng': 124.4013711298927}, 'southwest': {'lat': -8.234822279892722, 'lng': 124.3986714701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Alor Beach Front Bungalows,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105456238325727364692"">A Google User</a>'], 'photo_reference': 'AUGGfZmV2MLANORy1zG0UpUjApCIFDU7Fm2SdmqVmQEkx19va19VoLerILFqDOlDySui2JNkETVv97x1oUjGprBIyWIbFHyEyinSFokNlJAp-FMB5fU8Ws5RnYGBUg0bIphNZxyJQHlLLIKr7USnyM7FMGvtnHsBSmI-MIYbHcxiMCCnkaaH', 'width': 3264}]",ChIJrZTfQyCHqi0RMo2-JM3dUtY,,4.1,ChIJrZTfQyCHqi0RMo2-JM3dUtY,"['lodging', 'point_of_interest', 'establishment']",38,,https://www.google.com/maps/place/?q=place_id:ChIJrZTfQyCHqi0RMo2-JM3dUtY
OPERATIONAL,"Alor Kecil, Alor Barat Laut, Alor Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.2714693, 'lng': 124.403769}, 'viewport': {'northeast': {'lat': -8.270676220107278, 'lng': 124.408314}, 'southwest': {'lat': -8.273375879892722, 'lng': 124.402254}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Marangki_kepa,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118075199820687852796"">Marangki_kepa</a>'], 'photo_reference': 'AUGGfZnihfCi0DdVuPWgttwv5ULorywrsoGEW3NQOqi1u0thezD10d9vZ1QGYVyd8NyQYk26TQsOCvIgmIpQVsUFF-qKgeB1l3x94xTN8vpbi7ApCTah3t5Pi4l_sLxLdnCJ4iy7vdhKnZFrzXZxiPKx7To_PeXvhC2MKvfyTMeyZqkb_eLL', 'width': 1440}]",ChIJ0x253R2Eqi0RHZoQRPFBvSQ,"{'compound_code': 'PCH3+CG Alor Kecil, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36PCH3+CG'}",4.8,ChIJ0x253R2Eqi0RHZoQRPFBvSQ,"['lodging', 'point_of_interest', 'establishment']",60,,https://www.google.com/maps/place/?q=place_id:ChIJ0x253R2Eqi0RHZoQRPFBvSQ
OPERATIONAL,"Pulau Kepa, Desa Alor Kecil, Abal, Alor Kecil, Kec. Alor Bar. Laut, Kabupaten Alor, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.268882699999999, 'lng': 124.4013309}, 'viewport': {'northeast': {'lat': -8.267532870107276, 'lng': 124.4026807298927}, 'southwest': {'lat': -8.270232529892722, 'lng': 124.3999810701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ALOR DIVING - La P'tite Kepa,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105548690359037710630"">Bori Bora</a>'], 'photo_reference': 'AUGGfZmlptQlXMLXrRxjsaVcBd8KKaI2COk418InTLddD9cx1X7hPKGHbF5zehO69yTUckbHtDcoYPtLTIt0Gu1XxOYHdq_WjqqJ29VHucXvk98rGHjgP67iJPFskLk7aUUmqCRmAeScuTimcEdH1qj4clJobDe8KZWf9gcbXDPxjVbaux4Y', 'width': 1600}]",ChIJnyrs7qCGqi0RTFk83aVMP8I,"{'compound_code': 'PCJ2+CG Alor Kecil, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36PCJ2+CG'}",4.6,ChIJnyrs7qCGqi0RTFk83aVMP8I,"['lodging', 'point_of_interest', 'establishment']",85,,https://www.google.com/maps/place/?q=place_id:ChIJnyrs7qCGqi0RTFk83aVMP8I
OPERATIONAL,"Alor Kecil, Alor Barat Laut, Alor Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.272577, 'lng': 124.407383}, 'viewport': {'northeast': {'lat': -8.271080820107278, 'lng': 124.4085159798927}, 'southwest': {'lat': -8.273780479892721, 'lng': 124.4058163201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Dive Alor,"[{'height': 855, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116686905972537827721"">Air Dive Alor</a>'], 'photo_reference': 'AUGGfZlPiBaJzz0GLbz3eayeJP532j3vvTP-KYDHBNuQcwTvPzoiaUy4eF9g387I-yVCTWOx3eZaUcEt0kNt60DuZ2hG52BhQm_TihxNmH1EkJvHaVuMuoKI3o7UFbqu-j-qTYzCvK_nmngejdkXwHjdhvv-pfuYkqp2G6OazGEIVk7J46aN', 'width': 1280}]",ChIJhRhlGB2Eqi0RViOtE-2uvW0,"{'compound_code': 'PCG4+XX Alor Kecil, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36PCG4+XX'}",4.9,ChIJhRhlGB2Eqi0RViOtE-2uvW0,"['lodging', 'point_of_interest', 'store', 'establishment']",83,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJhRhlGB2Eqi0RViOtE-2uvW0
OPERATIONAL,"Lipa pantai, Teluk Mutiara, Alor Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.217484899999999, 'lng': 124.5293021}, 'viewport': {'northeast': {'lat': -8.215972970107279, 'lng': 124.5303222298927}, 'southwest': {'lat': -8.218672629892723, 'lng': 124.5276225701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mokkolipa Guesthouse,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117920145515516740782"">A Google User</a>'], 'photo_reference': 'AUGGfZkokXE45VK7FdTCevk1wLmGcVtShHDl9eaglGMqq03P30ugikaCYjzCbcj7TopiudtOxkp1cGMhI4bNL_YPGU2xpecBCJDKe6Jvn9N7i8s1a9Ym0oMxO5BKM4fQb4spb3nxXE_8WKzFP_79-0_3IcFDb9BRIA9y1LmNhp7MuZrT4I4E', 'width': 4624}]",ChIJiRtH-o9_AC0RhLtip_ORlFs,"{'compound_code': 'QGMH+2P Kalabahi Tengah, Alor Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q36QGMH+2P'}",4.6,ChIJiRtH-o9_AC0RhLtip_ORlFs,"['lodging', 'point_of_interest', 'establishment']",104,,https://www.google.com/maps/place/?q=place_id:ChIJiRtH-o9_AC0RhLtip_ORlFs
