business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Jenderal Sudirman No.33, Lompio, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia","{'location': {'lat': -1.590554, 'lng': 123.4997765}, 'viewport': {'northeast': {'lat': -1.589221220107278, 'lng': 123.5012166298927}, 'southwest': {'lat': -1.591920879892722, 'lng': 123.4985169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL BANGGAI,{'open_now': True},"[{'height': 3999, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115970551493624814516"">A Google User</a>'], 'photo_reference': 'AUGGfZkB9SnnMmfVr2uf-AT0Ddvi4CBIA6YG2qCnfMaFCgvmHDvf4_uekkbmcLBZtbEueyyZL_DEYuoswPH_1Erg7w63OQWp6HphCXnJ47dWD-p6X5WI9GE8xOm1lBoEGX-ZfT6TMLPXzyqsuh8zkHGiS5j4Jec00QRlLFPQxHcEKB-Bb-I_', 'width': 2992}]",ChIJbdTBsZcNgy0RXgTxC2MMbZI,"{'compound_code': 'CF5X+QW Lompio, Banggai Laut, Central Sulawesi, Indonesia', 'global_code': '6QC5CF5X+QW'}",4.5,ChIJbdTBsZcNgy0RXgTxC2MMbZI,"['lodging', 'point_of_interest', 'establishment']",101,https://www.google.com/maps/place/?q=place_id:ChIJbdTBsZcNgy0RXgTxC2MMbZI
OPERATIONAL,"9H52+M5F, Adean, Banggai Tengah, Banggai Laut, Central Sulawesi 94891, Indonesia","{'location': {'lat': -1.6408137, 'lng': 123.5504076}, 'viewport': {'northeast': {'lat': -1.640122570107278, 'lng': 123.5523058798927}, 'southwest': {'lat': -1.642822229892722, 'lng': 123.5496062201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Banggai,{'open_now': True},,ChIJwW7LxrgPgy0RVA88wAUhQOA,,0.0,ChIJwW7LxrgPgy0RVA88wAUhQOA,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJwW7LxrgPgy0RVA88wAUhQOA
OPERATIONAL,"CF8X+45R Jl. Cumi-cumi Kelurahan, Dodung, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia","{'location': {'lat': -1.5846409, 'lng': 123.4978778}, 'viewport': {'northeast': {'lat': -1.583355270107278, 'lng': 123.4991355298927}, 'southwest': {'lat': -1.586054929892722, 'lng': 123.4964358701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nadela Hotel,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105979582066236445405"">A Google User</a>'], 'photo_reference': 'AUGGfZmyror6kTEOZxi_YUP5ISIEVqy_Wj55jmeYrLTCkbcVsqa2NBAxYMepFReMBmt11MBccFj501tRrflfBBs1Mugv6lZkQxXgruGKO5XsrQoqWHDJf14PhjhNhmUEPOzr_RM-_1nOmzG-X9IVnB-iMGo6wV-dDHlor_OOePIQ2HVR7qYc', 'width': 3000}]",ChIJpTIxvTcLgy0Rb44FaMzlA30,"{'compound_code': 'CF8X+45 Dodung, Banggai Laut, Central Sulawesi, Indonesia', 'global_code': '6QC5CF8X+45'}",4.5,ChIJpTIxvTcLgy0Rb44FaMzlA30,"['lodging', 'point_of_interest', 'establishment']",11,https://www.google.com/maps/place/?q=place_id:ChIJpTIxvTcLgy0Rb44FaMzlA30
OPERATIONAL,"Bobolon, Lampa, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia","{'location': {'lat': -1.6049829, 'lng': 123.497805}, 'viewport': {'northeast': {'lat': -1.603706970107278, 'lng': 123.4989969798927}, 'southwest': {'lat': -1.606406629892722, 'lng': 123.4962973201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bobolon CARABELLA Hotel,,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112235101696508145732"">Rahmad Sandi</a>'], 'photo_reference': 'AUGGfZnJ33qcNkgnAKAhvqyN20K0zWqFgIkHOpQj5cm0G7W7_I3i7XXp1PqJyWVSfmFfD3NelUR7q2oNR17OyfEinpcUet4unvx0k7SFazDgoReBpQMK9f3a_-cZvPaAZnDSYZVN0Q60yCE-aCvvkkdPkVas5b0BP7StuH3fHHDcRIBh7IHM', 'width': 4144}]",ChIJIZq4anANgy0RbJMUeglNAPs,"{'compound_code': '9FWX+24 Lampa, Banggai Laut, Central Sulawesi, Indonesia', 'global_code': '6QC59FWX+24'}",4.3,ChIJIZq4anANgy0RbJMUeglNAPs,"['lodging', 'point_of_interest', 'establishment']",83,https://www.google.com/maps/place/?q=place_id:ChIJIZq4anANgy0RbJMUeglNAPs
OPERATIONAL,"CG42+R36, Lompio, Banggai, Banggai Laut, Central Sulawesi 94891, Indonesia","{'location': {'lat': -1.5929524, 'lng': 123.5000975}, 'viewport': {'northeast': {'lat': -1.591642120107278, 'lng': 123.5016642798927}, 'southwest': {'lat': -1.594341779892722, 'lng': 123.4989646201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Aufar,,,ChIJgfwJQwANgy0R2efIx7Y5TqM,,0.0,ChIJgfwJQwANgy0R2efIx7Y5TqM,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJgfwJQwANgy0R2efIx7Y5TqM
OPERATIONAL,"Lampa, Banggai, Banggai Laut, Central Sulawesi, Indonesia","{'location': {'lat': -1.6071146, 'lng': 123.5017386}, 'viewport': {'northeast': {'lat': -1.605752720107278, 'lng': 123.5029629798927}, 'southwest': {'lat': -1.608452379892722, 'lng': 123.5002633201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kost 78 part II,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110399156683333181825"">A Google User</a>'], 'photo_reference': 'AUGGfZmpk6MMtfttAC91Xw01jOoT13vak86NOgeArLZPpiSD2bQ-i3bLX7XJT5c2-3asXTt4obH9NUVVXAN5LDC9LhkHR7NhsZph8EcHIbFxAKMS7WhbzhYrMQmO5HawKCcPuO__43GeJfyjSrd2KaEDk2iiwbxbcYdPRQrA4fKNuFuMNGAP', 'width': 3000}]",ChIJVanD5kwNgy0R29gW18c9eyM,"{'compound_code': '9GV2+5M Lampa, Banggai Laut, Central Sulawesi, Indonesia', 'global_code': '6QC59GV2+5M'}",0.0,ChIJVanD5kwNgy0R29gW18c9eyM,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJVanD5kwNgy0R29gW18c9eyM
OPERATIONAL,"9GC7+C3Q, Jl. Jogugu Sopia, Lampa, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia","{'location': {'lat': -1.6289028, 'lng': 123.5127754}, 'viewport': {'northeast': {'lat': -1.627518820107278, 'lng': 123.5141848298928}, 'southwest': {'lat': -1.630218479892722, 'lng': 123.5114851701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,home stay citra,,"[{'height': 1175, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103645745674323509981"">yasawi ahmad</a>'], 'photo_reference': 'AUGGfZlPFKa7Gtfw3NawtxuldYXbdye-WYEYODA2ktbUPlmiStTnQq-N0KRqHHj2wED_YKAa19DM6_sgVF2mSxYduBbwZrvbjzZ-7c5cP_XQonWMVBmVvrY3J-qidbv7roYMBuZom8Fpcjvq-kcQqrRwr3YZRajTvVcnKGGZKT22GHiyMRYj', 'width': 1080}]",ChIJf4CFrJ4Ngy0RTaqvdz2VKDs,,4.8,ChIJf4CFrJ4Ngy0RTaqvdz2VKDs,"['lodging', 'point_of_interest', 'establishment']",4,https://www.google.com/maps/place/?q=place_id:ChIJf4CFrJ4Ngy0RTaqvdz2VKDs
OPERATIONAL,"9GX2+XHQ, Jl. Jogugu Sopia, Lampa, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia","{'location': {'lat': -1.6000391, 'lng': 123.5014886}, 'viewport': {'northeast': {'lat': -1.598725120107278, 'lng': 123.5028940298927}, 'southwest': {'lat': -1.601424779892722, 'lng': 123.5001943701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kos Anita,,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109395390086907832640"">anita lamaamu</a>'], 'photo_reference': 'AUGGfZkOV-r8wvlSf98CdBSd2zw8PYALOYpJRBAdoIwHGFGyNariVSRK6gIsXj9WMeJjIfdud4OCcrQhotVfkSF3XA-Ntv348EU_6AAz_V2bDLrBZVYcYAR6k7cjjsmXZCEIVJIMoJE13Th5VrumSm5Bs0UOUSuAOZDaUsfy47ovINrfNI9q', 'width': 720}]",ChIJYzYdrgENgy0RtOQKALu23NU,,3.4,ChIJYzYdrgENgy0RtOQKALu23NU,"['lodging', 'point_of_interest', 'establishment']",5,https://www.google.com/maps/place/?q=place_id:ChIJYzYdrgENgy0RtOQKALu23NU
OPERATIONAL,"CF8X+HGQ, Jl. Nyiur, Dodung, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia","{'location': {'lat': -1.5835422, 'lng': 123.49885}, 'viewport': {'northeast': {'lat': -1.582144770107277, 'lng': 123.5002663798927}, 'southwest': {'lat': -1.584844429892722, 'lng': 123.4975667201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kos Abang,,,ChIJs2MklJELgy0RX4e0GNbl0Vk,,0.0,ChIJs2MklJELgy0RX4e0GNbl0Vk,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJs2MklJELgy0RX4e0GNbl0Vk
OPERATIONAL,"Jl. Jogugu Zakaria No.17, Lampa, Banggai, Banggai Laut, Central Sulawesi 94891, Indonesia","{'location': {'lat': -1.6116888, 'lng': 123.5000873}, 'viewport': {'northeast': {'lat': -1.610340570107278, 'lng': 123.5014023798927}, 'southwest': {'lat': -1.613040229892722, 'lng': 123.4987027201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kost Triple_A,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115906999987821387210"">Rian Pramana</a>'], 'photo_reference': 'AUGGfZl4VgvV8K7FZRJufJrSYnSwcxNT3iAQ8-JeBL1xnTHYLsmbcDDNg9zwISp9PHD_2gb9F3M8VJhMYryN7OVpmooVq11TfzGyAO9S4lphXx6Pr4w7WDz5AQLX0_xn9uHkpI-tPGnRnUWc657I1YPb5Z2gzAN3jAN-vai9x4LhaYGAa22r', 'width': 4000}]",ChIJd_J-p4wNgy0Ru7ihQ5t9jQ8,"{'compound_code': '9GQ2+82 Lampa, Banggai Laut, Central Sulawesi, Indonesia', 'global_code': '6QC59GQ2+82'}",5.0,ChIJd_J-p4wNgy0Ru7ihQ5t9jQ8,"['lodging', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJd_J-p4wNgy0Ru7ihQ5t9jQ8
