business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Raya Lanto No.69, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92451, Indonesia","{'location': {'lat': -5.5481508, 'lng': 119.9498838}, 'viewport': {'northeast': {'lat': -5.546852020107278, 'lng': 119.9512043798927}, 'southwest': {'lat': -5.549551679892722, 'lng': 119.9485047201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Kirei Bantaeng,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116691113802553520264"">A Google User</a>'], 'photo_reference': 'AUGGfZmZaXG2cZHTBOh9MpZYRu6FWsQ5H0ws8fjgoRZz_76kRxo-FTHM_busV8TjnSbWuWEUWWqu7kKXleYQ7GkIg1XFbfgihyewjMia0JPzAmVGRbrdvMI3HK3Hq6P7q0djiUCZ4HMO0wggTHO40fC-l6Y2pUjP2RIdl0FKa9wPTIA1pcxe', 'width': 4608}]",ChIJzW15uGmzvi0RhqgFqeYnjGQ,"{'compound_code': 'FW2X+PX Pallantikang, Bantaeng Regency, South Sulawesi, Indonesia', 'global_code': '6P6XFW2X+PX'}",4.3,ChIJzW15uGmzvi0RhqgFqeYnjGQ,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",808,https://www.google.com/maps/place/?q=place_id:ChIJzW15uGmzvi0RhqgFqeYnjGQ
OPERATIONAL,"Jl. Teratai No.56, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia","{'location': {'lat': -5.5490182, 'lng': 119.9488144}, 'viewport': {'northeast': {'lat': -5.547705170107278, 'lng': 119.9501296298927}, 'southwest': {'lat': -5.550404829892722, 'lng': 119.9474299701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Seruni Bantaeng,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105787235787412227778"">A Google User</a>'], 'photo_reference': 'AUGGfZnfMnBgNSj_35YwucAUwBQ0c8mX_biamRYrFDCD0uh9oKXrE6Z1iLdIdo9G7rNr_vNCu0aji-mOcX4c128-GcwV0Ce0hTvd70DreoLm9Eqbdest9P-rmZkRev-4PLiMWlSMLe1YlssQ-RVvsjvhwDb7QUBP4CqXJcgz7ZiQrxs7MT83', 'width': 4032}]",ChIJidPkll2zvi0RWuQdZHuu52E,"{'compound_code': 'FW2X+CG Pallantikang, Bantaeng Regency, South Sulawesi, Indonesia', 'global_code': '6P6XFW2X+CG'}",4.4,ChIJidPkll2zvi0RWuQdZHuu52E,"['lodging', 'point_of_interest', 'establishment']",258,https://www.google.com/maps/place/?q=place_id:ChIJidPkll2zvi0RWuQdZHuu52E
OPERATIONAL,"Jl. Raya Lanto No.39-41, Tappanjeng, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92451, Indonesia","{'location': {'lat': -5.5452389, 'lng': 119.9443812}, 'viewport': {'northeast': {'lat': -5.543975670107278, 'lng': 119.9456884298927}, 'southwest': {'lat': -5.546675329892722, 'lng': 119.9429887701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ahriani Hotel,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118097301980484252860"">abdul naris Agam</a>'], 'photo_reference': 'AUGGfZk0Wja5wIVidEwNxvsZVGbEmRwiXTZXG4KnexVyDIX0m2DhBGP0QhlVHg6AdbOA42g3i7XPSDwqTmdVGwxeZmhuJ0WgmAN5TR6c7FUf3zGv8joDAzxvyxhQ_TUZfW3IfFjFNhnyX5r-xldovvnI9-e5LpQLhkrItSJSegmts_P4qmpS', 'width': 2448}]",ChIJZ13YBMSyvi0RKUnF5KtKuX0,"{'compound_code': 'FW3V+WQ Tappanjeng, Bantaeng Regency, South Sulawesi, Indonesia', 'global_code': '6P6XFW3V+WQ'}",4.0,ChIJZ13YBMSyvi0RKUnF5KtKuX0,"['lodging', 'point_of_interest', 'establishment']",421,https://www.google.com/maps/place/?q=place_id:ChIJZ13YBMSyvi0RKUnF5KtKuX0
OPERATIONAL,"Jl. Bolu No.1, Letta, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia","{'location': {'lat': -5.5507401, 'lng': 119.9536767}, 'viewport': {'northeast': {'lat': -5.549346370107278, 'lng': 119.9549549298928}, 'southwest': {'lat': -5.552046029892722, 'lng': 119.9522552701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BM Hotel & Cafe,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113333724000481604767"">Imam Budiman</a>'], 'photo_reference': 'AUGGfZn9H7ZAcLe-kdLk_wvS_Ayp959dB5bze6clYaWImiPIebO8aYMVQSDdyiP_avcArskYIhL0-hdlcwXVv77w5RM8ZW6DC4A-3-KeZckf_b5y8PS8rkca5Y1mRN36KVnliXpZajK90v1Dor8oi_iaMCpbALKJhpitc8uO6SdJMYKcyJyR', 'width': 4032}]",ChIJtS1n1rizvi0RmsFtRQX8P5c,"{'compound_code': 'CXX3+PF Letta, Bantaeng Regency, South Sulawesi, Indonesia', 'global_code': '6P6XCXX3+PF'}",4.0,ChIJtS1n1rizvi0RmsFtRQX8P5c,"['lodging', 'point_of_interest', 'establishment']",394,https://www.google.com/maps/place/?q=place_id:ChIJtS1n1rizvi0RmsFtRQX8P5c
OPERATIONAL,"C38X+9XM, Baruga, Pajukukang, Bantaeng Regency, South Sulawesi 92561, Indonesia","{'location': {'lat': -5.584029999999999, 'lng': 120.0999323}, 'viewport': {'northeast': {'lat': -5.582664720107278, 'lng': 120.1011557798927}, 'southwest': {'lat': -5.585364379892722, 'lng': 120.0984561201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Marina Beach Hotel,{'open_now': True},"[{'height': 3257, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100765093586376614876"">srijembarrahayu suwanto</a>'], 'photo_reference': 'AUGGfZlJbwSXI1_2hmvyqM-vaUATWIJoqlEwNH_poRR29W8yKoxCntj1iVUHNspH7ocjiQpTLWr_AATC1sDT8wjQcmmMZHUyV68vahTUQ3r23inOQlIU8GHjEZADXmMlGNmurAJNBpFxZ1T8c1fPhz2cXGjJUSRhNfC30MbmaZR9B4y3FZGA', 'width': 4752}]",ChIJb4modfdUuS0RdszccGf73z4,,4.3,ChIJb4modfdUuS0RdszccGf73z4,"['lodging', 'point_of_interest', 'establishment']",164,https://www.google.com/maps/place/?q=place_id:ChIJb4modfdUuS0RdszccGf73z4
OPERATIONAL,"Jl. Kestadion Jln ke Stadion No.Raya, Lembang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia","{'location': {'lat': -5.5497248, 'lng': 119.9605994}, 'viewport': {'northeast': {'lat': -5.548367420107278, 'lng': 119.9619508298927}, 'southwest': {'lat': -5.551067079892722, 'lng': 119.9592511701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Syariah Callista Bantaeng Mitra RedDoorz,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101959884999910923416"">ARFAN SENIARFAN</a>'], 'photo_reference': 'AUGGfZlrfFJx8c7QaXvot2mw9zuENIFvifwsccrWkkP0SDfm_Tn4omxBC3Aqmrv6wMBFg3qLcy8h9Eol2idkRSLXbPX8ewLHruW3r1wyIVUJOajYfQU9LzNrMS894bczVgJvXkhk9uEVq5l9qm8I6iFOF1_tgtlHQUWMWDmOqSQvU0B8TtCT', 'width': 4032}]",ChIJUf-EvNyzvi0R0qXfFTMLFsA,"{'compound_code': 'FX26+46 Lembang, Bantaeng Regency, South Sulawesi, Indonesia', 'global_code': '6P6XFX26+46'}",4.5,ChIJUf-EvNyzvi0R0qXfFTMLFsA,"['lodging', 'point_of_interest', 'establishment']",70,https://www.google.com/maps/place/?q=place_id:ChIJUf-EvNyzvi0R0qXfFTMLFsA
OPERATIONAL,"92412 Jalan Kestadion, Lembang, Bantaeng, Letta, Sulawesi Selatan, 92411, Makassar, South Sulawesi 92412, Indonesia","{'location': {'lat': -5.5497363, 'lng': 119.9605857}, 'viewport': {'northeast': {'lat': -5.548365120107278, 'lng': 119.9619400298927}, 'southwest': {'lat': -5.551064779892722, 'lng': 119.9592403701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91857 Callista Homestay,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116076339831107753273"">A Google User</a>'], 'photo_reference': 'AUGGfZl75rPlpQJcQ7avry4y3TneiuY01ferc79HLi46yICI8xBqq0b6OiTy3hQnMJ1-S9ulHPac46pT-FOJNxiX-O7tF3YBjaP7xvkTrsfQiJftb5teSnaOJL58dhNBskZjFBt1iKNJaeHTeg3iCujrOpXCAKihuruLnKJlCq0bBOBI39W1', 'width': 640}]",ChIJ93whomKzvi0RyrGNvTgRZXs,"{'compound_code': 'FX26+46 Lembang, Bantaeng Regency, South Sulawesi, Indonesia', 'global_code': '6P6XFX26+46'}",2.8,ChIJ93whomKzvi0RyrGNvTgRZXs,"['lodging', 'point_of_interest', 'establishment']",8,https://www.google.com/maps/place/?q=place_id:ChIJ93whomKzvi0RyrGNvTgRZXs
OPERATIONAL,"Bulutana, Tinggimoncong, Gowa Regency, South Sulawesi 92174, Indonesia","{'location': {'lat': -5.2722707, 'lng': 119.8535039}, 'viewport': {'northeast': {'lat': -5.270812620107278, 'lng': 119.8551072798927}, 'southwest': {'lat': -5.273512279892722, 'lng': 119.8524076201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Kurcaci D'Sawah,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106748683252316404301"">A Google User</a>'], 'photo_reference': 'AUGGfZkF2vRIYyGl1-23-2DNXuOlXImkh8RjpxOEzTSEKg1TavpB6ov-XjD-OQNShvZVPFup7nPt6rynB4iE9a0zCLPjl9ARmzKULAnV0UY93yGDii986roxjUrt_-HTRJ1wAXl7REAm8bPnTZxXyOKsg8_qdmT3HRipUx618OaKRKL24STx', 'width': 4000}]",ChIJ26eFMgm_vi0Ro9RXErbIS5I,"{'compound_code': 'PVH3+3C Bulutana, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPVH3+3C'}",4.5,ChIJ26eFMgm_vi0Ro9RXErbIS5I,"['lodging', 'point_of_interest', 'establishment']",878,https://www.google.com/maps/place/?q=place_id:ChIJ26eFMgm_vi0Ro9RXErbIS5I
OPERATIONAL,"Jl. Sulaiman Dg. Jarung, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92178, Indonesia","{'location': {'lat': -5.2515459, 'lng': 119.8559436}, 'viewport': {'northeast': {'lat': -5.250281420107278, 'lng': 119.8573472798927}, 'southwest': {'lat': -5.252981079892722, 'lng': 119.8546476201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Double Nine Hotel,,"[{'height': 1504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117755866703412943599"">A Google User</a>'], 'photo_reference': 'AUGGfZnCsjMM38k8hkIUrorXf1V9ZAQFhppU7GOCwOekPm5JNGKghP_kPbR34R_RjcF3jJWjth8wFEFaIPwmBesCHQO3xAOjV43GTzJrC2a-4ZanSvgSnCi7OSv5GDq-xq6XE1TAcvvyN2Kiwv5qceYfdzsDyoq_gtKy7Ftyse3zjO7vWDMh', 'width': 3264}]",ChIJTWhtt22Vvi0RKIRZGFtVKso,"{'compound_code': 'PVX4+99 Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPVX4+99'}",4.7,ChIJTWhtt22Vvi0RKIRZGFtVKso,"['lodging', 'point_of_interest', 'establishment']",18,https://www.google.com/maps/place/?q=place_id:ChIJTWhtt22Vvi0RKIRZGFtVKso
OPERATIONAL,"Topidi, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia","{'location': {'lat': -5.2848125, 'lng': 119.8853125}, 'viewport': {'northeast': {'lat': -5.283637670107278, 'lng': 119.8868468798927}, 'southwest': {'lat': -5.286337329892722, 'lng': 119.8841472201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Langit Topidi Resort,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111350896359323473565"">Aji Bungsu</a>'], 'photo_reference': 'AUGGfZk5saBIn5nvGbYmpVYWTmlpRff5xiEcKYsu8RuYbmMcJqBJd_vQ0u1s-oyg7RfQrVjnmam0erwLWXPQ7MKUQd134GaNhnX1xz-84DRnr8CvZ428pfsGiezS6Iy3Bc8DyFZq5ux1dmWNuTwWK5WjnCccxg3nkSl9o0ZEGH5PJhOObfhz', 'width': 4160}]",ChIJ7fbPfSG9vi0RexY0vxejBk4,"{'compound_code': 'PV8P+34 Bonto Lerung, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPV8P+34'}",4.5,ChIJ7fbPfSG9vi0RexY0vxejBk4,"['lodging', 'point_of_interest', 'establishment']",131,https://www.google.com/maps/place/?q=place_id:ChIJ7fbPfSG9vi0RexY0vxejBk4
