business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"RRW8+R6Q, JL. Galungkalunge Lejja, Bila, Watansoppeng, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia","{'location': {'lat': -4.1529015, 'lng': 119.8156171}, 'viewport': {'northeast': {'lat': -4.151527370107278, 'lng': 119.8169432798927}, 'southwest': {'lat': -4.154227029892722, 'lng': 119.8142436201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hakata Lejja Villa,"[{'height': 2088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108556889402391984898"">mohamad nur Ilham</a>'], 'photo_reference': 'AUGGfZlHNdzxqEGtx_o4qFdoA5U9jAZ7nYoydTUR8Skc-df64GoYeqAeCvX-Y4Azv0ltk_AvjM5203RmM6ow05oGYKf2hQ2ioF-645y77vwiZlskd5B6tU4DBvgVEeUoeEcMCJ6oq6565jhP7hoFg8CxhDKIlZdC4Sg8Fhz4wF4tNVAYOoy-', 'width': 4640}]",ChIJiQnqtyn0lS0RkaA99-bJM_c,4.8,ChIJiQnqtyn0lS0RkaA99-bJM_c,"['lodging', 'point_of_interest', 'establishment']",48,,,https://www.google.com/maps/place/?q=place_id:ChIJiQnqtyn0lS0RkaA99-bJM_c
OPERATIONAL,"MJMP+JXR, Jl. Poros Makassar, Takkalasi, Kec. Balusu, Kabupaten Barru, Sulawesi Selatan 90762, Indonesia","{'location': {'lat': -4.316009, 'lng': 119.6375074}, 'viewport': {'northeast': {'lat': -4.314672170107277, 'lng': 119.6387669798927}, 'southwest': {'lat': -4.317371829892721, 'lng': 119.6360673201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel D'Shining,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115841826567415644589"">A Google User</a>'], 'photo_reference': 'AUGGfZm4HptpieJT9ZSDIVPYpkoux6Psi38eSxBadNM37nCCeutTZvsWD7_2fp-o-hJluLMspQ5ffOLymO9z0hscqw21ceycvDmFs4CAJv0P_zyb84aPs14YcUs5rNhyZhR_Hf_U_CeTz86OC1Kp338XMSqt7Xau7-znWg669ftQBt2JERhO', 'width': 4096}]",ChIJJ4Ik4wSPlS0RSJ9tUHlDJaw,4.4,ChIJJ4Ik4wSPlS0RSJ9tUHlDJaw,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",54,,,https://www.google.com/maps/place/?q=place_id:ChIJJ4Ik4wSPlS0RSJ9tUHlDJaw
OPERATIONAL,"Jalan Lompo No.888 Watansoppeng, Lemba, Lalabata, Soppeng Regency, South Sulawesi 90814, Indonesia","{'location': {'lat': -4.3499189, 'lng': 119.8910987}, 'viewport': {'northeast': {'lat': -4.348437320107277, 'lng': 119.8924395798928}, 'southwest': {'lat': -4.351136979892721, 'lng': 119.8897399201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Triple 8 The Riverside Resort,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109382355814747298502"">A Google User</a>'], 'photo_reference': 'AUGGfZmfUIlii2UOl24jf5-Vc6Z7pv8a3liXgaNp_DkJ4pjC_-zG8oBK6xn0aAbM_2PAksyI4TL2B7wA8LCCgs0k33LhiLDeVJ9Evj-5f0vybWg8kkqxubMwMfaOZ16MqajI79kPUCh2jfNYRqqcqfbUIcrkbkm8UJWKFAviGAsKrf3nT03G', 'width': 8000}]",ChIJ5YPCaIb2lS0RlqEI9-RtIGA,4.4,ChIJ5YPCaIb2lS0RlqEI9-RtIGA,"['cafe', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1301,{'open_now': True},"{'compound_code': 'MV2R+2C Lemba, Soppeng Regency, South Sulawesi, Indonesia', 'global_code': '6P7XMV2R+2C'}",https://www.google.com/maps/place/?q=place_id:ChIJ5YPCaIb2lS0RlqEI9-RtIGA
OPERATIONAL,"JVQP+2W4, Lalabata Rilau, Lalabata, Soppeng Regency, South Sulawesi 90812, Indonesia","{'location': {'lat': -4.3625223, 'lng': 119.8866219}, 'viewport': {'northeast': {'lat': -4.361215620107278, 'lng': 119.8879949798927}, 'southwest': {'lat': -4.363915279892722, 'lng': 119.8852953201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,D'Kayangan Resort,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115261458155367189416"">Rike Irawandi</a>'], 'photo_reference': 'AUGGfZmInX_yXjY5BI5AbGKPGLVhxfvIRx5fA6KUOStb6kIRudF5WX17dyvuYcnQg7oPQ9Ef1WuZ-OxstBfj5rXWlKXQzSzui8aOK5m2ie5PpxWgsTmS5G2FfqFrXBwek6-fkZQfrpWI7k01YaRtRN6fICykqAeVzsg_F3oJxDcr2pHV8TK1', 'width': 4000}]",ChIJLbrDTrT3lS0RlrnhGeRt3BM,4.5,ChIJLbrDTrT3lS0RlrnhGeRt3BM,"['lodging', 'point_of_interest', 'establishment']",36,,,https://www.google.com/maps/place/?q=place_id:ChIJLbrDTrT3lS0RlrnhGeRt3BM
OPERATIONAL,"Lalabata Rilau, Lalabata, Soppeng Regency, South Sulawesi 90812, Indonesia","{'location': {'lat': -4.367930299999999, 'lng': 119.8977341}, 'viewport': {'northeast': {'lat': -4.366613720107277, 'lng': 119.8990802798928}, 'southwest': {'lat': -4.369313379892721, 'lng': 119.8963806201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,COLLECTION O 91331 Hotel Grand Saota Soppeng,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104943779771174160044"">A Google User</a>'], 'photo_reference': 'AUGGfZkS4XBEafdqXAaweLiK7eCIBdwjspJvty_HgHusjUnzti0GkZ_vdteWON6GpX1-tmHmVtWQ_1aRAH-AjN2hxAVG2msSSNF34GMuVzEjJqXeVo7aHhko0q2rbKkeJMyAt-JHdcEAGxHT6wg_jgHMGwp6ap9JTvhl7fcG2RiI7vCY0Mp0', 'width': 640}]",ChIJ4VBba2z2lS0RFsBGUjYo_j4,3.8,ChIJ4VBba2z2lS0RFsBGUjYo_j4,"['lodging', 'point_of_interest', 'establishment']",257,,"{'compound_code': 'JVJX+R3 Lalabata Rilau, Soppeng Regency, South Sulawesi, Indonesia', 'global_code': '6P7XJVJX+R3'}",https://www.google.com/maps/place/?q=place_id:ChIJ4VBba2z2lS0RFsBGUjYo_j4
OPERATIONAL,"Jl. Kemakmuran, Lemba, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90814, Indonesia","{'location': {'lat': -4.3574594, 'lng': 119.8890493}, 'viewport': {'northeast': {'lat': -4.356108220107279, 'lng': 119.8904166298927}, 'southwest': {'lat': -4.358807879892723, 'lng': 119.8877169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Aisha Soppeng,"[{'height': 306, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110867327349451515174"">A Google User</a>'], 'photo_reference': 'AUGGfZl9okiS4ojlvf2Q5uPAqxTPRE5LMirovv2-BILDLEwIhTLhfKwwzTcRkMu4o3vGPikKQ4l-OG770a5CcOIXd8ptDAM_RFxtEOsji3sWmTHCuoqMlkUoWjPcSHZ5XbTRFOFJPC6upuCU3NusWwtmXKtrYsii_Fkuhx9aNaPeQNDIjlqx', 'width': 408}]",ChIJW0VnI-j3lS0RFC0CbF-m-mI,4.3,ChIJW0VnI-j3lS0RFC0CbF-m-mI,"['lodging', 'point_of_interest', 'establishment']",358,{'open_now': True},"{'compound_code': 'JVVQ+2J Lemba, Soppeng Regency, South Sulawesi, Indonesia', 'global_code': '6P7XJVVQ+2J'}",https://www.google.com/maps/place/?q=place_id:ChIJW0VnI-j3lS0RFC0CbF-m-mI
OPERATIONAL,"Jl. Kesatria No.59, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia","{'location': {'lat': -4.3542438, 'lng': 119.8829382}, 'viewport': {'northeast': {'lat': -4.352890870107278, 'lng': 119.8842908798927}, 'southwest': {'lat': -4.355590529892722, 'lng': 119.8815912201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL ADA,"[{'height': 422, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106313578837206217103"">A Google User</a>'], 'photo_reference': 'AUGGfZmgV83_qLUK-JJrUMGbb-X5Op7VKer03o9MeiAhsiSkR9RbGropeCpZPTLN74hcBl-CUBx6ngxNuWuVPSnTjr_YtDimaetGqV3l6EwCKCtbjDAxpYqTjbFGLkiJkjmG9DfD539RiKfKLWltI0PTHGYk7QzOyagroHuuvEwyZHyOLJe9', 'width': 750}]",ChIJx9kz5n_2lS0REq9U9pM3e2s,4.1,ChIJx9kz5n_2lS0REq9U9pM3e2s,"['lodging', 'point_of_interest', 'establishment']",260,,"{'compound_code': 'JVWM+84 Botto, Soppeng Regency, South Sulawesi, Indonesia', 'global_code': '6P7XJVWM+84'}",https://www.google.com/maps/place/?q=place_id:ChIJx9kz5n_2lS0REq9U9pM3e2s
OPERATIONAL,"HJH8+GW6, Coppo, Barru, Barru Regency, South Sulawesi 90711, Indonesia","{'location': {'lat': -4.4212226, 'lng': 119.6172501}, 'viewport': {'northeast': {'lat': -4.419872770107278, 'lng': 119.6185999298927}, 'southwest': {'lat': -4.422572429892722, 'lng': 119.6159002701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Youtefa Barru,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107026751895672393519"">Ariadi Said</a>'], 'photo_reference': 'AUGGfZmkah6ce4023cjvb6MYq2vbZgMB12WziJQqzKyJKGBcE3j9PqQTFEwpDN9CHiIyke3GPN8P2DYkqzFwB8SPDZkZUKNzqqGZmJ4T6U0kUlgcGqb4qxMtwMAbhrq9OxB-vxDPrha5XO-N0dONniWcOIuf5OFp7NtB93xfhZQb8a_WpmKn', 'width': 4032}]",ChIJVXHYQVUnvi0RC8wR55Y4jtI,4.0,ChIJVXHYQVUnvi0RC8wR55Y4jtI,"['lodging', 'point_of_interest', 'establishment']",356,,,https://www.google.com/maps/place/?q=place_id:ChIJVXHYQVUnvi0RC8wR55Y4jtI
OPERATIONAL,"Jl. Masjid Raya No.3A, Sumpang Binangae, Kec. Barru, Kabupaten Barru, Sulawesi Selatan 90711, Indonesia","{'location': {'lat': -4.4071448, 'lng': 119.6180838}, 'viewport': {'northeast': {'lat': -4.405753820107278, 'lng': 119.6194417298927}, 'southwest': {'lat': -4.408453479892722, 'lng': 119.6167420701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Mini Lagaligo,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110350208240789720443"">lagaligo net</a>'], 'photo_reference': 'AUGGfZnza-C2ve1EJ38STgOJTQTZTS8YbwAn7ne3CmwhW4J0MPHVLrjLpEl9G3SJ_Rc9aN9XS9J38CM-UO2aLwela5FyQgVc5eCUv1UXU5lriI9hbaN3BRxMcPNNov1hC0OQU23kxgHrIb_1xBpl8DQXK0dLbmIXF-cuQVPYAC1jnYkKPxd9', 'width': 1280}]",ChIJ2cRGgNInvi0Rw13xCPT2BYU,4.8,ChIJ2cRGgNInvi0Rw13xCPT2BYU,"['lodging', 'point_of_interest', 'establishment']",36,{'open_now': True},"{'compound_code': 'HJV9+46 Sumpang Binangae, Barru Regency, South Sulawesi, Indonesia', 'global_code': '6P7XHJV9+46'}",https://www.google.com/maps/place/?q=place_id:ChIJ2cRGgNInvi0Rw13xCPT2BYU
OPERATIONAL,"Perumahan Rachita 2, Jl. H. Lanakka, Kec. Barru, Kabupaten Barru, Sulawesi Selatan 90712, Indonesia","{'location': {'lat': -4.4107988, 'lng': 119.6138979}, 'viewport': {'northeast': {'lat': -4.409405420107278, 'lng': 119.6151352798927}, 'southwest': {'lat': -4.412105079892722, 'lng': 119.6124356201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Ogi Homestay,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108971302145751408924"">A Google User</a>'], 'photo_reference': 'AUGGfZkSZQL0AW3wd4MNPIEJg_ZBhVI1YdmmH65DcOjlJkpOoWng8Eomin1SrY-xbsxa3y8L9vOdamcoec83hPTzWKl4t_cfRfOVuEZTS188-gy833DIiB-bj7e_xK33_u2zeAyZ81lzTgXp006hQNvJO3JiQuHzKHS1uV1wFrJaRM8YE2L5', 'width': 3024}]",ChIJF-H0CgInvi0R6vbu4OrV-mo,5.0,ChIJF-H0CgInvi0R6vbu4OrV-mo,"['lodging', 'point_of_interest', 'establishment']",133,,"{'compound_code': 'HJQ7+MH Sumpang Binangae, Barru Regency, South Sulawesi, Indonesia', 'global_code': '6P7XHJQ7+MH'}",https://www.google.com/maps/place/?q=place_id:ChIJF-H0CgInvi0R6vbu4OrV-mo
