business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"CQF8+R4J, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5744, 'lng': 107.7645}, 'viewport': {'northeast': {'lat': -2.573017920107277, 'lng': 107.7658644298927}, 'southwest': {'lat': -2.575717579892722, 'lng': 107.7631647701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ashamaya Belitung Eco Lodge,"[{'height': 2633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110834263693626385233"">A Google User</a>'], 'photo_reference': 'AUGGfZlxr4qspPabVRxg1ivwxqf7YmRuafCVrjsYlUwpy4IPtCYu8U7a0I05q0XgbtMpnCz3swYMKMQu4Z8eEwXduJszMr3suPZyxhHF8bq4lDrtp5JIqZTrrV0n3rwtUAxxSja77NCRBY-wxxZDYgokYE7pBluPBrh6PbSepovxW3ImgET-', 'width': 3510}]",ChIJVVLJFLZHFy4RL4d_C1xGIHY,4.8,ChIJVVLJFLZHFy4RL4d_C1xGIHY,"['lodging', 'point_of_interest', 'establishment']",11,,,https://www.google.com/maps/place/?q=place_id:ChIJVVLJFLZHFy4RL4d_C1xGIHY
OPERATIONAL,"Jl. Tj. Pandan - Tj. Kelayang, RT..05/RW..01, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.5606626, 'lng': 107.7612048}, 'viewport': {'northeast': {'lat': -2.559294470107278, 'lng': 107.7627423798927}, 'southwest': {'lat': -2.561994129892722, 'lng': 107.7600427201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Belitung Holiday Resort,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110200640921847204649"">A Google User</a>'], 'photo_reference': 'AUGGfZmrpsDXQzF7Gb9aPfZWSVSruGlHvzwHZ-tGmsJvFplzFIHHVn99LQU4yOrwKxJ6J43p93UFj-WvCqRp1b68X7x2s_u3UfYmXLVEnO8JVMBlCAxGEFlW3xr-jLtps0HfPFbjuzBAwVFgXnEyzoIoWGRlDMwR0iG0e6yupX7GO-9UQ9S3', 'width': 5472}]",ChIJKcRipKVDFy4RJ5RSGVZXxUE,4.4,ChIJKcRipKVDFy4RJ5RSGVZXxUE,"['lodging', 'point_of_interest', 'establishment']",218,{'open_now': True},"{'compound_code': 'CQQ6+PF Sijuk, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CQQ6+PF'}",https://www.google.com/maps/place/?q=place_id:ChIJKcRipKVDFy4RJ5RSGVZXxUE
OPERATIONAL,"Jl. Tj. Kelayang, Keciput, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.561076, 'lng': 107.6703241}, 'viewport': {'northeast': {'lat': -2.559780170107278, 'lng': 107.6715981298927}, 'southwest': {'lat': -2.562479829892723, 'lng': 107.6688984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dafam Resort Belitung,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101348719269014907409"">101348719269014907409</a>'], 'photo_reference': 'AUGGfZl7-8qyn6ArUNjxuz_eRqVRKDlV8BbnjtbkG3Swk0uGmxA8zoOjeuZZPlXjs_JjBoSbP_hc9Pj7x6T0wmfp0P_82N9VS2iSF9cZoH3fSonO9zNPvDy4OZCLWo0qmonB_wdZLbfMahGARyCJZFk9Juha2U3NlgWhPrp66W6pfEEFwlL2', 'width': 4608}]",ChIJx9DGChZDFy4RRBa1h2AaRmk,4.8,ChIJx9DGChZDFy4RRBa1h2AaRmk,"['lodging', 'point_of_interest', 'establishment']",181,,"{'compound_code': 'CMQC+H4 Keciput, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CMQC+H4'}",https://www.google.com/maps/place/?q=place_id:ChIJx9DGChZDFy4RRBa1h2AaRmk
OPERATIONAL,"Jl. Madura No.5, Parit, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33411, Indonesia","{'location': {'lat': -2.7365135, 'lng': 107.6377587}, 'viewport': {'northeast': {'lat': -2.735197220107277, 'lng': 107.6391183798927}, 'southwest': {'lat': -2.737896879892722, 'lng': 107.6364187201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Joyful Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115918137701699168302"">flrose2k2</a>'], 'photo_reference': 'AUGGfZn-yKuPmp4EpQxUCbZcrLWFVhQSLg_1FXXS1Tp8WVfRzKcysNpN44Yj5ZvsZjZ4uNDwVSH1ku80LcmlrR7MZME73dWLkarRH5tqJA0UpF6uoajvZ4GCwyb4NkURbDqNUnP9hwnymQlLliMsh3xL40n5Xx-uBzCArAtP9cL28o3gXJ7y', 'width': 4000}]",ChIJaw6TJrYXFy4RtQwCrmTwRVY,4.6,ChIJaw6TJrYXFy4RtQwCrmTwRVY,"['lodging', 'point_of_interest', 'establishment']",69,{'open_now': True},"{'compound_code': '7J7Q+94 Parit, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P997J7Q+94'}",https://www.google.com/maps/place/?q=place_id:ChIJaw6TJrYXFy4RtQwCrmTwRVY
OPERATIONAL,"Air Selumar, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.6410582, 'lng': 107.718066}, 'viewport': {'northeast': {'lat': -2.639707170107277, 'lng': 107.7194238298927}, 'southwest': {'lat': -2.642406829892722, 'lng': 107.7167241701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Urbanview Hotel Belitung Lodge Resto & Club House,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114031496987221925559"">A Google User</a>'], 'photo_reference': 'AUGGfZkgt3Ad99PdevuWfVrFeRSu_ZgPIoU6dDr0VnSuj_Gh60UBYhMAV-ByDJFX_MRAjJYM9G6DpB436aIhG9OFeV0PjLyIia0RleOQ419S3onaqCv7i3BqIT2ZrYhsigdwxayWB2OH8lFqN1X6YveaORn-A0LfXyMaTUZofA43umkvi7k6', 'width': 6000}]",ChIJ0wmuH_hBFy4Rn6JsHCTs2yY,4.7,ChIJ0wmuH_hBFy4Rn6JsHCTs2yY,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",40,{'open_now': False},"{'compound_code': '9P59+H6 Air Selumar, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P999P59+H6'}",https://www.google.com/maps/place/?q=place_id:ChIJ0wmuH_hBFy4Rn6JsHCTs2yY
OPERATIONAL,"CMPH+9V, Keciput, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5651, 'lng': 107.679908}, 'viewport': {'northeast': {'lat': -2.563841970107277, 'lng': 107.6810433798927}, 'southwest': {'lat': -2.566541629892722, 'lng': 107.6783437201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Capital O 399 Kelayang Beach Hotel,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110491444143952273138"">A Google User</a>'], 'photo_reference': 'AUGGfZnpltdXxx_NDwqkjMVLGJT6JNP082LS65vpNACuV9wGk4KcZ_eNGlRM82fmuSlhFn0-fd5D42NQCoQNJxeH0wa2J0gi7L7CL8r0xhPpAbc58cenHVJh-FYLiOAIPYsCFa8jmt6ovlz1BSdqlb1DxibJ42tPlzu_1WocACN05whUbUum', 'width': 640}]",ChIJMSzBxwRCFy4R6zlloVcsVBA,4.3,ChIJMSzBxwRCFy4R6zlloVcsVBA,"['lodging', 'point_of_interest', 'establishment']",369,,,https://www.google.com/maps/place/?q=place_id:ChIJMSzBxwRCFy4R6zlloVcsVBA
OPERATIONAL,"47WQ+Q5Q, Jalan Eks Bioskop Mega,, Lipat Kajang II, Manggar, Baru, Kec. Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33472, Indonesia","{'location': {'lat': -2.8530306, 'lng': 108.2879974}, 'viewport': {'northeast': {'lat': -2.851616370107278, 'lng': 108.2893819798927}, 'southwest': {'lat': -2.854316029892722, 'lng': 108.2866823201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Guest Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101461589865229452990"">Ahmad Tohir</a>'], 'photo_reference': 'AUGGfZneeU98IxgOscV5QzwvpliT-y4CXTwEsNIzjnmE9p67KSTQrUJJ2Mf3IjhX9JvK-xp0c8-kbF_kFGUgvW3zJt6V7JSyHFfiVjqZK1JDqC5U7ojRTKzpYMCGBDRKF8Kovy0gP-OVpxepbyJLEb0QHyS5vANz-dNus-4c7Wvyb4vGR-RL', 'width': 4000}]",ChIJ_____4PZEC4RA7-RRN_-IoY,4.2,ChIJ_____4PZEC4RA7-RRN_-IoY,"['lodging', 'point_of_interest', 'establishment']",401,,,https://www.google.com/maps/place/?q=place_id:ChIJ_____4PZEC4RA7-RRN_-IoY
OPERATIONAL,"7J6P+JWV, Jl. Sriwijaya, Kampong Damai, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33411, Indonesia","{'location': {'lat': -2.7384391, 'lng': 107.6373068}, 'viewport': {'northeast': {'lat': -2.737141970107278, 'lng': 107.6386772298927}, 'southwest': {'lat': -2.739841629892723, 'lng': 107.6359775701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Premium,"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105807932691242360857"">edi purnomo</a>'], 'photo_reference': 'AUGGfZm9bgWr7aB6s4jYjwCncp3VEZ4um2IgiI0Lxs9PUWsWFcI-AiS1elgtu1PbSIBSRkZJi8gbp0a4AcYBPopLL-71BGNfC6_Tgsl_722_Cpa802KePamhGF85-3u7u13dt-x3_bGpUq6OcnbgssE4L-V2LIdbAyC2_0wWqxTb-uqR6ZHz', 'width': 2988}]",ChIJj718OmkWFy4RTRUusRoJIf0,3.8,ChIJj718OmkWFy4RTRUusRoJIf0,"['lodging', 'point_of_interest', 'establishment']",165,,,https://www.google.com/maps/place/?q=place_id:ChIJj718OmkWFy4RTRUusRoJIf0
OPERATIONAL,"Jl. Jend. Sudirman No. 30 Perawas, Pangkal Lalang, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33416, Indonesia","{'location': {'lat': -2.748193, 'lng': 107.651628}, 'viewport': {'northeast': {'lat': -2.746818070107278, 'lng': 107.6529842298927}, 'southwest': {'lat': -2.749517729892722, 'lng': 107.6502845701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 480 Hotel Demuon,"[{'height': 4016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105803059453826634222"">Holidaydestination tour</a>'], 'photo_reference': 'AUGGfZneggMj-D8JWekKGMouE-X5V7jpuBv3YVa3R3_89RSTC3QhEqc3HU4ivkUv6MRss4lP55CrzB3pntyaPbSbrHG2fEb3oTG8lGOboIfZ-_bG3r5aHl502h9YCBLwesq4ab8hulejD2GoZdmscw6GlASPie_N7QDiBwZOmsJ1jp5_ErM1', 'width': 6016}]",ChIJDf3bYYw9Fy4R83Dp9BiHPTw,3.8,ChIJDf3bYYw9Fy4R83Dp9BiHPTw,"['lodging', 'point_of_interest', 'establishment']",173,,"{'compound_code': '7M22+MJ Pangkal Lalang, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P997M22+MJ'}",https://www.google.com/maps/place/?q=place_id:ChIJDf3bYYw9Fy4R83Dp9BiHPTw
OPERATIONAL,"25J8+9JQ, Jl. K.A. Bujang, Batu Penyu, Kec. Gantung, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33562, Indonesia","{'location': {'lat': -2.9690472, 'lng': 108.1666131}, 'viewport': {'northeast': {'lat': -2.967662370107278, 'lng': 108.1679708298927}, 'southwest': {'lat': -2.970362029892722, 'lng': 108.1652711701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Purnama Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105749910595605756717"">Suyandi Liyis</a>'], 'photo_reference': 'AUGGfZnwkYo92uUrnAK8BmqL1-7_Ec0wImf4bnp_2icC8oynzpPxsvMv-QI4oo3zkjsNq03DKwo_1rT688CCnr9uGrMGLtWl4vKl07kurj28USWIEtQihnf-W0Njq7NB1ESIp9q6narN4bwfrT5Ti-U_9wpUQttlyo0mnklsX91KspvbQicl', 'width': 4000}]",ChIJ7__CO4AuES4R4skrE8EYZeA,3.9,ChIJ7__CO4AuES4R4skrE8EYZeA,"['lodging', 'point_of_interest', 'establishment']",22,,,https://www.google.com/maps/place/?q=place_id:ChIJ7__CO4AuES4R4skrE8EYZeA
