business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,price_level,url
OPERATIONAL,"Jl. Pantai, Dusun Ulu, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.557421, 'lng': 107.7451669}, 'viewport': {'northeast': {'lat': -2.556023420107277, 'lng': 107.7463872298927}, 'southwest': {'lat': -2.558723079892722, 'lng': 107.7436875701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Santika Premiere Beach Resort Belitung,{'open_now': True},"[{'height': 2105, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113960197164194465805"">A Google User</a>'], 'photo_reference': 'AUGGfZkegJJbvxxTDR_9Js3dB-nEFzRQyYwUZGPPeb4DNjuYHMYqXyPXpOzGrSEVABiQ0TZSP1eQFBqXnD7tc_QArpc3wnWc01TF4Yoi7o7QRFYpIBrH0106cfbztc4-f12VmWBuqI63eKPGQ5zDewRtfP9RYZFAvm5PHf7z4zImdArQQqU0', 'width': 2915}]",ChIJY-NxNulDFy4Rvlgy9rN_PdY,"{'compound_code': 'CPVW+23 Sijuk, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CPVW+23'}",4.6,ChIJY-NxNulDFy4Rvlgy9rN_PdY,"['lodging', 'point_of_interest', 'establishment']",2712,,https://www.google.com/maps/place/?q=place_id:ChIJY-NxNulDFy4Rvlgy9rN_PdY
OPERATIONAL,"CMJ4+R7, Jalan Pantai Penarikan Dusun Timur Jaya, Tj. Binga, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.5684979, 'lng': 107.6574551}, 'viewport': {'northeast': {'lat': -2.567298770107278, 'lng': 107.6590088798927}, 'southwest': {'lat': -2.569998429892722, 'lng': 107.6563092201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sheraton Belitung Resort,,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117517140103442288765"">A Google User</a>'], 'photo_reference': 'AUGGfZklJbspA7fqM-m6xXRFo_DugDzYzpmGEdaveevvLrMmtqP3mDxtR21EnKCKiaFI3CDCkAOdUwH5jSuavYGMBotHBhW8c0UxcL4SvICfJSvhmkpVPCVn6Oo80pFBe3tY36WBXe-tVimuLjRzx9WWkg3wNZ2igkvHlX0A0i73xgPXZwvR', 'width': 480}]",ChIJu0fYEARpFy4RQ_cuKt3CkX8,,4.6,ChIJu0fYEARpFy4RQ_cuKt3CkX8,"['lodging', 'point_of_interest', 'establishment']",530,,https://www.google.com/maps/place/?q=place_id:ChIJu0fYEARpFy4RQ_cuKt3CkX8
OPERATIONAL,"Jl. Tj. Pandan - Tj. Kelayang No.168, Terong, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.590769, 'lng': 107.6441345}, 'viewport': {'northeast': {'lat': -2.589703949999999, 'lng': 107.6452747798927}, 'southwest': {'lat': -2.593964150000001, 'lng': 107.6425751201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Swiss-Belresort Belitung,{'open_now': True},"[{'height': 933, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103622319171242291564"">A Google User</a>'], 'photo_reference': 'AUGGfZmRlj9_oTW4QIHgLT8OypVQuwf5ZSTIISGEvwmj7UEQDLSn691bwCRBT5WLAMNjWvzf5CRSsZRCWZbXOt_jXiIwhuKW-tXSR8xDoqNSh2hqSPR86YXR900mNgAVAnLAKojtPIXT4sy_XrYVbUPKNtKotDdtvgpY2Aqm_MYDF4Zn3u3g', 'width': 1400}]",ChIJH5HAOZRqFy4RBZNEVQP2Z8k,"{'compound_code': 'CJ5V+MM Terong, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CJ5V+MM'}",4.7,ChIJH5HAOZRqFy4RBZNEVQP2Z8k,"['lodging', 'point_of_interest', 'establishment']",1530,,https://www.google.com/maps/place/?q=place_id:ChIJH5HAOZRqFy4RBZNEVQP2Z8k
OPERATIONAL,"CMPH+9V, Keciput, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5651, 'lng': 107.679908}, 'viewport': {'northeast': {'lat': -2.563841970107277, 'lng': 107.6810433798927}, 'southwest': {'lat': -2.566541629892722, 'lng': 107.6783437201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Capital O 399 Kelayang Beach Hotel,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110491444143952273138"">A Google User</a>'], 'photo_reference': 'AUGGfZk3QyrXDpa9FQr3fvuliBW5KXSdzbVhkPrGtR67VQxGjea95swyvuTrQBsIrRljp8NQz4JxJ9-3-SQ4nIMThE83NhFf_4xjKTHutyGrnXy66keKjPQX0dc9R_DV59uMs-3v8rq9diN85PQaIjpSgG_qY3lbj0AhDxuu5AdpUAAu8jtL', 'width': 640}]",ChIJMSzBxwRCFy4R6zlloVcsVBA,,4.3,ChIJMSzBxwRCFy4R6zlloVcsVBA,"['lodging', 'point_of_interest', 'establishment']",369,,https://www.google.com/maps/place/?q=place_id:ChIJMSzBxwRCFy4R6zlloVcsVBA
OPERATIONAL,"Jl. Tj. Pandan - Tj. Kelayang, RT..05/RW..01, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.5606626, 'lng': 107.7612048}, 'viewport': {'northeast': {'lat': -2.559294470107278, 'lng': 107.7627423798927}, 'southwest': {'lat': -2.561994129892722, 'lng': 107.7600427201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Belitung Holiday Resort,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110200640921847204649"">A Google User</a>'], 'photo_reference': 'AUGGfZlv_cS9wn2FjICG3ywHOAH6-cXJMXWnYnkISwOsaNX0AJSyB8z4Vo32WdjLXldfTBB00FiCn_D95Yyhg_HbWDjW8YDHmwPz5VWqHQP49hEFK3jW_UaB-7TFdhFpD76qajP3bIgIgxss4ltwhXuUHgC6WN703HeKPa9bWWHlKqKN-_xO', 'width': 5472}]",ChIJKcRipKVDFy4RJ5RSGVZXxUE,"{'compound_code': 'CQQ6+PF Sijuk, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CQQ6+PF'}",4.4,ChIJKcRipKVDFy4RJ5RSGVZXxUE,"['lodging', 'point_of_interest', 'establishment']",218,,https://www.google.com/maps/place/?q=place_id:ChIJKcRipKVDFy4RJ5RSGVZXxUE
OPERATIONAL,"Jl. Raya Sijuk, Dusun Ulu, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.5571572, 'lng': 107.7388469}, 'viewport': {'northeast': {'lat': -2.556066670107277, 'lng': 107.7401908298927}, 'southwest': {'lat': -2.558766329892722, 'lng': 107.7374911701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Watuduya Resort by The Lavana,{'open_now': True},"[{'height': 2531, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115170614288823581539"">A Google User</a>'], 'photo_reference': 'AUGGfZm3z7H85z77SJxsWovFErcLAtJhPzM6vjs5aM0GsYadicid2sZ3nFhpkoxsEZOZjS-BeBeilwJzJE7R-2vMucRq_AKDyjgj7XIpcQxTlMYUk5184F400yZOm_ckZkg3ehNS84312rZN4CpkVOjAG7OdHiGxvu-YUOcvmV-bwHYUrESZ', 'width': 2531}]",ChIJh4YcfjJDFy4R5mjbAdofpqs,"{'compound_code': 'CPVQ+4G Sijuk, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CPVQ+4G'}",4.7,ChIJh4YcfjJDFy4R5mjbAdofpqs,"['lodging', 'point_of_interest', 'establishment']",43,,https://www.google.com/maps/place/?q=place_id:ChIJh4YcfjJDFy4R5mjbAdofpqs
OPERATIONAL,"Jl. Tanjung Tinggi Sijuk Belitung Utara, Keciput, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33562, Indonesia","{'location': {'lat': -2.5617257, 'lng': 107.701589}, 'viewport': {'northeast': {'lat': -2.560319420107277, 'lng': 107.7029899298927}, 'southwest': {'lat': -2.563019079892722, 'lng': 107.7002902701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lorin Beach Resort Belitung,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106144175887718520294"">A Google User</a>'], 'photo_reference': 'AUGGfZmqJMhHPRsqRZhX15m6H7qhx91Q1aap5fcxT-noO3whcUsowJlSxOBcZKOxtdoTHch9cb9DP25V0m9ZtUM1R2EPYgfIxPVC2DZmt6She04RwHemT1l9wHEdn9UV-8UdmzfVD4NPyM8-YAEXtaw2H_JvipZ_IAncR3jb4NTUY9i4-HJL', 'width': 4032}]",ChIJ7xLEZwQsFy4RbRiBkLsK6uI,"{'compound_code': 'CPQ2+7J Keciput, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CPQ2+7J'}",4.3,ChIJ7xLEZwQsFy4RbRiBkLsK6uI,"['lodging', 'point_of_interest', 'establishment']",453,,https://www.google.com/maps/place/?q=place_id:ChIJ7xLEZwQsFy4RbRiBkLsK6uI
OPERATIONAL,"Jl. Tj. Kelayang, Keciput, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia","{'location': {'lat': -2.561076, 'lng': 107.6703241}, 'viewport': {'northeast': {'lat': -2.559780170107278, 'lng': 107.6715981298927}, 'southwest': {'lat': -2.562479829892723, 'lng': 107.6688984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dafam Resort Belitung,,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101348719269014907409"">101348719269014907409</a>'], 'photo_reference': 'AUGGfZl2aAbJZ9QP4gPtJcLsGimRY7mZ23A_YZo-JfhM8AOikgvRZAaC9N9G3FMkMMVgETkTP0F5x0MoO2MIdbXJlbs_qZSwOI238I_mlN0cxH6kgpe_sVmIM8FWKqS-JEjNoQlNMpDvnL5QvRiUe4FoKn42p8S7TgvBW5LcYqt7J-Gq5dal', 'width': 4608}]",ChIJx9DGChZDFy4RRBa1h2AaRmk,"{'compound_code': 'CMQC+H4 Keciput, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CMQC+H4'}",4.8,ChIJx9DGChZDFy4RRBa1h2AaRmk,"['lodging', 'point_of_interest', 'establishment']",181,,https://www.google.com/maps/place/?q=place_id:ChIJx9DGChZDFy4RRBa1h2AaRmk
OPERATIONAL,"CQF8+R4J, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5744, 'lng': 107.7645}, 'viewport': {'northeast': {'lat': -2.573017920107277, 'lng': 107.7658644298927}, 'southwest': {'lat': -2.575717579892722, 'lng': 107.7631647701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ashamaya Belitung Eco Lodge,,"[{'height': 2633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110834263693626385233"">A Google User</a>'], 'photo_reference': 'AUGGfZkYj7NbQG5781TQonfs-NTBbYiOQPvRCmHdF3YJ9A0JSPj2eNU6CkoBErnFAXLrWjY37Num8PiO1Ed_XjmwOb_E9PdtzlCYg77AtkrziTPtvvNGdSlDKi6EqiKHqnydTNHZuUaF7uosFQMF14aROTxrHSqChwz-nCxacIZV3do0vrBo', 'width': 3510}]",ChIJVVLJFLZHFy4RL4d_C1xGIHY,,4.8,ChIJVVLJFLZHFy4RL4d_C1xGIHY,"['lodging', 'point_of_interest', 'establishment']",11,,https://www.google.com/maps/place/?q=place_id:ChIJVVLJFLZHFy4RL4d_C1xGIHY
OPERATIONAL,"Jl. Pattimura No.1, Tj. Pendam, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33415, Indonesia","{'location': {'lat': -2.7254853, 'lng': 107.6297635}, 'viewport': {'northeast': {'lat': -2.724138920107277, 'lng': 107.6312049298927}, 'southwest': {'lat': -2.726838579892722, 'lng': 107.6285052701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Fairfield by Marriott Belitung,,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100842404224174268645"">A Google User</a>'], 'photo_reference': 'AUGGfZmx26vZ_sgiP9W1cOPQERZizbzqpTN7IdJSiIR4ncg3n8PLBGxD3iSCtV8OuZ_vwtS1avhhgJujR_Zu9YleqsAFQpzVYlpJpOUTdGousfdqxwgdWTJDuULbiRhapzZmFyY6zbcTUfkTqiu_lMRR9jOtNw-Xw-APXJ7A-pkq0c4rKAiG', 'width': 480}]",ChIJd6fh-ngWFy4R46CZl1bpRjg,"{'compound_code': '7JFH+RW Tanjung Pendam, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P997JFH+RW'}",4.6,ChIJd6fh-ngWFy4R46CZl1bpRjg,"['lodging', 'point_of_interest', 'establishment']",1778,,https://www.google.com/maps/place/?q=place_id:ChIJd6fh-ngWFy4R46CZl1bpRjg
