business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Hangtuah No.26, Babussalam, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.2736907, 'lng': 101.183855}, 'viewport': {'northeast': {'lat': 1.275145579892722, 'lng': 101.1852628298927}, 'southwest': {'lat': 1.272445920107278, 'lng': 101.1825631701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Zuri Duri,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107444652749299190118"">Grand Zuri Duri Hotel</a>'], 'photo_reference': 'AUGGfZltUA7_auUlVp5S03QUU9XH4VKcsevSpRm58Rv57zdjWLdi0Gr-pqSKUJ7GfMyCI5FZcCsExlbJWtdTagHkvqJ7gZG4itxV4SnupHPcPFKtmVxOh3Ufcs4Cc6uKvlnt0wy-tLNUgafexmO6wf2m8_A3F9SeSsfqilXHsjlIfjj6HuPj', 'width': 3264}]",ChIJiQCKlnN80zERA0CcDXeQl2A,"{'compound_code': '75FM+FG Babussalam, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375FM+FG'}",4.8,ChIJiQCKlnN80zERA0CcDXeQl2A,"['lodging', 'point_of_interest', 'establishment']",8844,https://www.google.com/maps/place/?q=place_id:ChIJiQCKlnN80zERA0CcDXeQl2A
OPERATIONAL,"Jalan Hangtuah No. B23, Talang Mandi, Mandau, Air Jamban, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.2858627, 'lng': 101.1785389}, 'viewport': {'northeast': {'lat': 1.287159579892722, 'lng': 101.1797508298927}, 'southwest': {'lat': 1.284459920107278, 'lng': 101.1770511701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Amadeo Duri,,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116526872704344735982"">Fikri Ahmad</a>'], 'photo_reference': 'AUGGfZkG4mdUmuCHOA8zknbpViMNA9TkFBg7KXTm9BmnSlfruejOHeDDdykUjUehEGdet3lgRV-ALLjLAcigHHvWSGM0NsXoJi8_f3CD-F-V1Jvr3_RIP_eRYuTa_8OEw1KiDrR4sYp8I-I1r2GK02qaYpRjZS-Msd_jtofR9tpbQ2zO-XM', 'width': 8000}]",ChIJHciL1zh70zERoYpdN1sEQTk,"{'compound_code': '75PH+8C Air Jamban, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375PH+8C'}",4.2,ChIJHciL1zh70zERoYpdN1sEQTk,"['lodging', 'point_of_interest', 'establishment']",1014,https://www.google.com/maps/place/?q=place_id:ChIJHciL1zh70zERoYpdN1sEQTk
OPERATIONAL,"Jl. Jenderal Sudirman No.Km. 125, Balai Makam, Bathin Solatan, Kabupaten Bengkalis, Riau 28884, Indonesia","{'location': {'lat': 1.3062058, 'lng': 101.178664}, 'viewport': {'northeast': {'lat': 1.307494479892722, 'lng': 101.1800889798927}, 'southwest': {'lat': 1.304794820107278, 'lng': 101.1773893201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Surya Hotel,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107782282112095479222"">A Google User</a>'], 'photo_reference': 'AUGGfZlvd2t5YlMRJKjaOL8l6fMmQv2wYjJBAdGJLHuaqPQJ0-IiuY50GBcRHxyGaGtcCCqQIDYGXGijP87PaI-ASD-jmb0yihEtrZuCORRzEZypks_52TWy4qQfp9r-g7C0p8a7ySEKUui7M9hl2KjsD_x7IXY1rzjmCy0wlWD79XO4S8u1', 'width': 4000}]",ChIJhXme8BJ70zER-0oZ01Gz_dM,"{'compound_code': '854H+FF Balai Makam, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH3854H+FF'}",4.1,ChIJhXme8BJ70zER-0oZ01Gz_dM,"['lodging', 'point_of_interest', 'establishment']",1289,https://www.google.com/maps/place/?q=place_id:ChIJhXme8BJ70zER-0oZ01Gz_dM
OPERATIONAL,"Jl. Jenderal Sudirman No.388, Babussalam, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.2816429, 'lng': 101.1946109}, 'viewport': {'northeast': {'lat': 1.283059629892722, 'lng': 101.1957914298927}, 'southwest': {'lat': 1.280359970107278, 'lng': 101.1930917701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Susuka,{'open_now': True},"[{'height': 1468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116336159100184276111"">A Google User</a>'], 'photo_reference': 'AUGGfZk1I5BH2WMiVS6h3h3NBRBcEE2L6WSPJTkuoQJao-LiI7HvTXju58sSOJa_qJk5MjabseX1jtsTOQkvRJffSCLTINNA0WbtLrO4uQFsB3sFes4k8_C-467D4db3sjWds7gXG4r0LeVbIbhr05sbxHlq8T-ZUbxXaSLlGN476TcbJFJd', 'width': 3264}]",ChIJv3_-HhF70zERg9W-FVdvp-Q,"{'compound_code': '75JV+MR Babussalam, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375JV+MR'}",4.2,ChIJv3_-HhF70zERg9W-FVdvp-Q,"['lodging', 'point_of_interest', 'establishment']",584,https://www.google.com/maps/place/?q=place_id:ChIJv3_-HhF70zERg9W-FVdvp-Q
OPERATIONAL,"Jl. Karet No.8, Air Jamban, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.2857868, 'lng': 101.1915991}, 'viewport': {'northeast': {'lat': 1.287068829892722, 'lng': 101.1929563298927}, 'southwest': {'lat': 1.284369170107278, 'lng': 101.1902566701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Duri Executive Hotel,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109616069438578242553"">Ahmadi Alfauzy H</a>'], 'photo_reference': 'AUGGfZmnW9hSHqWm1PhkeJGDRTThnW-xEmfCAZoQ5HmniJvGL6g2J1oM4Erc2TxDbRPfwS2uU7zcUzbl6VPXyBovYia7t8kNPYqUmMo0t7DugqD8b_YLOCmQSdTIHYRAiNLGLTjxax-pjgQr9glt_W25qKaF0ac7CXwqQeb8RHUe2M5WAMVe', 'width': 4608}]",ChIJ4a1EfBN70zERK7WSmID-NMA,"{'compound_code': '75PR+8J Air Jamban, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375PR+8J'}",3.6,ChIJ4a1EfBN70zERK7WSmID-NMA,"['lodging', 'point_of_interest', 'establishment']",143,https://www.google.com/maps/place/?q=place_id:ChIJ4a1EfBN70zERK7WSmID-NMA
OPERATIONAL,"Jl. Jenderal Sudirman, Balai Makam, Kec. Mandau, Kabupaten Bengkalis, Riau 28884, Indonesia","{'location': {'lat': 1.2942908, 'lng': 101.1802441}, 'viewport': {'northeast': {'lat': 1.295674229892722, 'lng': 101.1816671298927}, 'southwest': {'lat': 1.292974570107278, 'lng': 101.1789674701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 2109 Hotel Chitra,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111131782398196901741"">Egis Adri</a>'], 'photo_reference': 'AUGGfZljeMzB23vSKun9YSZuaGkyGtdXw8A_Z2fBkVin9MIA1fS0LSj0rdvyvosRohDk--7YjFt-WHMdLq-TKUZSAcUHssVJTYd3DJGm9B9wdhFl-KX-yNF74Jnm__C1GlL5pAbiCHSBGu8Obl41JHVo_v-tOJljNPwlre2axiUPXKkcE3zl', 'width': 4608}]",ChIJI9jYRBJ70zERBCdDGEzxa38,"{'compound_code': '75VJ+P3 Balai Makam, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375VJ+P3'}",4.0,ChIJI9jYRBJ70zERBCdDGEzxa38,"['lodging', 'point_of_interest', 'establishment']",342,https://www.google.com/maps/place/?q=place_id:ChIJI9jYRBJ70zERBCdDGEzxa38
OPERATIONAL,"Jl. Anggur Hijau No.11, Air Jamban, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.279186, 'lng': 101.1835687}, 'viewport': {'northeast': {'lat': 1.280474929892722, 'lng': 101.1849322798927}, 'southwest': {'lat': 1.277775270107278, 'lng': 101.1822326201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,AMERA HOTEL DURI,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113859615922179150851"">A Google User</a>'], 'photo_reference': 'AUGGfZk5OVyDkpCQAveRlc6E88rkbxBQgWtIC7krfFWzUHQqHwmXcydUu1MtFEenQN6KnXWr8IR6BU3wszZDj_oZ5HarMB0aKZzmzyrWh_kNXcQG4o7DudtjW525mrac-wukbfjvvdMp-aBZRkRjH1BmU5KdYwlTnFLAPR_BV15By7AmSza5', 'width': 3264}]",ChIJD3ErZgB70zER9IMUKVGe3aI,"{'compound_code': '75HM+MC Air Jamban, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375HM+MC'}",3.8,ChIJD3ErZgB70zER9IMUKVGe3aI,"['lodging', 'point_of_interest', 'establishment']",15,https://www.google.com/maps/place/?q=place_id:ChIJD3ErZgB70zER9IMUKVGe3aI
OPERATIONAL,"Jl. Aman No.28, Talang Mandi, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.259619, 'lng': 101.213097}, 'viewport': {'northeast': {'lat': 1.260928279892722, 'lng': 101.2144955798927}, 'southwest': {'lat': 1.258228620107278, 'lng': 101.2117959201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 93126 Nrc White House,,,ChIJ9zcs_Ht80zERiW3LkFfsGe8,"{'compound_code': '7657+R6 Talang Mandi, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH37657+R6'}",5.0,ChIJ9zcs_Ht80zERiW3LkFfsGe8,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJ9zcs_Ht80zERiW3LkFfsGe8
OPERATIONAL,"JL. Aman Field, Kopelapip, Riau 28784, Indonesia","{'location': {'lat': 1.2460623, 'lng': 101.1982901}, 'viewport': {'northeast': {'lat': 1.247440579892722, 'lng': 101.1996628798927}, 'southwest': {'lat': 1.244740920107278, 'lng': 101.1969632201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,NRC - White Kost,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106049194073947938221"">A Google User</a>'], 'photo_reference': 'AUGGfZnL-d3j9U1N9-OqGEY7aled5jkiClDeKkkMdyhg8ikzQgAInHHzy25FrjMohaT07-vZOCcbjjzhoMXYs84HZLUnYUBj1_x2MyOUoUYjIBwXPpfwrJSOJCBl7Pdj8djZuhNhIUUSOG1i1xmWVx8kPEAaW4tiD4aVdM0iDYUIPXIGk8RG', 'width': 5184}]",ChIJx8EA42990zERbmaomzd_y3A,"{'compound_code': '65WX+C8 Pematang Pudu, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH365WX+C8'}",4.8,ChIJx8EA42990zERbmaomzd_y3A,"['lodging', 'point_of_interest', 'establishment']",23,https://www.google.com/maps/place/?q=place_id:ChIJx8EA42990zERbmaomzd_y3A
OPERATIONAL,"Jl. Jenderal Sudirman No.172, Duri Timur, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia","{'location': {'lat': 1.2896347, 'lng': 101.1917754}, 'viewport': {'northeast': {'lat': 1.291024379892722, 'lng': 101.1931672798927}, 'southwest': {'lat': 1.288324720107278, 'lng': 101.1904676201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Malahayati,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115603065736654652167"">Niningpohan Suhardi</a>'], 'photo_reference': 'AUGGfZlEJusl4xuqCpt3bQrvgx6pvUITDgqBjdwp2U0mmPe50RVVKKDoE_qHRY8iB8F0u5wS7bKBrTP-46Vcg3tDXMXTDIEUA2l2QC1ioGj17HaSId_9UMZpYb1gUgWALyyVPz4HtpAUDf2eiNfDYZq7bGHS4KULDTyXTmm-NkRdMbfuWBMN', 'width': 3120}]",ChIJiwEPW3B70zERxruFhpvynXA,"{'compound_code': '75QR+VP Air Jamban, Bengkalis Regency, Riau, Indonesia', 'global_code': '6PH375QR+VP'}",3.7,ChIJiwEPW3B70zERxruFhpvynXA,"['lodging', 'point_of_interest', 'establishment']",178,https://www.google.com/maps/place/?q=place_id:ChIJiwEPW3B70zERxruFhpvynXA
