business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Raya Pantai Lawata, Amahami, Kec. Rasanae Bar., Kab. Bima, Nusa Tenggara Bar. 84111, Indonesia","{'location': {'lat': -8.4698795, 'lng': 118.7219812}, 'viewport': {'northeast': {'lat': -8.468298920107278, 'lng': 118.7233039798927}, 'southwest': {'lat': -8.470998579892722, 'lng': 118.7206043201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Marina Inn,{'open_now': True},"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100968866420049702568"">A Google User</a>'], 'photo_reference': 'AUGGfZn570lLCNVIx2wdVqByCa3WaEYyXfb3OSXhlJXM-gDX-KgOatWsYNgO_6PruTpLTMpVB1jb8p1G6YJW6tVoDgE5MwYKXDPslIJ7tzQtw2Wme3M33MMSetDUQfixLeW6c-9wedn6Aq69ax3tNEtBZEFbdJpg6C1_b8-bvf-WspHmKjgg', 'width': 1280}]",ChIJ0a8-QkeJtS0RE5ZqmREf-ls,"{'compound_code': 'GPJC+2Q Dara, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGPJC+2Q'}",4.4,ChIJ0a8-QkeJtS0RE5ZqmREf-ls,"['lodging', 'point_of_interest', 'establishment']",909,https://www.google.com/maps/place/?q=place_id:ChIJ0a8-QkeJtS0RE5ZqmREf-ls
OPERATIONAL,"Jl. Sultan Muhamad Salahuddin No.4, Tanjung, Kec. Rasanae Bar., Kab. Bima, Nusa Tenggara Bar. 84118, Indonesia","{'location': {'lat': -8.4522493, 'lng': 118.7243278}, 'viewport': {'northeast': {'lat': -8.450906270107279, 'lng': 118.7257295298927}, 'southwest': {'lat': -8.453605929892722, 'lng': 118.7230298701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Marina,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107647940834933865511"">UQ Thayukii</a>'], 'photo_reference': 'AUGGfZlaxrgICxhqHO4xUgERq7pkLyfH-Bb2J3j8MsabCG2H-U-T62IRDgdHaG2pgBgp1V7Shtr2b06rdnWkWtKAbqZnmuThlHf-I8faoSuNle6_3MhMXjO-HFAyGYGx5NRoPtJSVfSNEBrG1XUyWoyIaZutV3HycU9Llq1F0rAuAjCERXEX', 'width': 3000}]",ChIJnW55ZCqKtS0RfFpUban4v5M,"{'compound_code': 'GPXF+4P Tanjung, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGPXF+4P'}",4.0,ChIJnW55ZCqKtS0RfFpUban4v5M,"['lodging', 'point_of_interest', 'establishment']",1227,https://www.google.com/maps/place/?q=place_id:ChIJnW55ZCqKtS0RfFpUban4v5M
OPERATIONAL,"Jl. Sumbawa No.4, Paruga, Kec. Rasanae Bar., Kab. Bima, Nusa Tenggara Bar. 84118, Indonesia","{'location': {'lat': -8.4534553, 'lng': 118.7255353}, 'viewport': {'northeast': {'lat': -8.451970570107278, 'lng': 118.7269037298927}, 'southwest': {'lat': -8.454670229892722, 'lng': 118.7242040701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lambitu Hotel,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101484014188456774444"">togap johan</a>'], 'photo_reference': 'AUGGfZnUxjwAf7ZHyuD82cr0lwBPP8J-vVZZi2XyNKW2A9n16toWPWKGTdsNY6LhQGQ7Mn6FaKtj36fKzm43QpyrIZ36pTLUOimeitlwcfdfQFCOXrWrofcmhAQHj46sN8V9Z151vukzo-chWkiYy19SbipL_GS4uO4OqTBVPzdUM-I9vcSj', 'width': 4000}]",ChIJeZuHENGLtS0RHYVeRBCjHKc,"{'compound_code': 'GPWG+J6 Paruga, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGPWG+J6'}",3.7,ChIJeZuHENGLtS0RHYVeRBCjHKc,"['lodging', 'point_of_interest', 'establishment']",593,https://www.google.com/maps/place/?q=place_id:ChIJeZuHENGLtS0RHYVeRBCjHKc
OPERATIONAL,"Jl. Terusan Mawar, Jl. Gindi Jatiwangi, Jatiwangi, Kec. Asakota, Kab. Bima, Nusa Tenggara Bar. 14049, Indonesia","{'location': {'lat': -8.445314699999999, 'lng': 118.7327298}, 'viewport': {'northeast': {'lat': -8.443976920107279, 'lng': 118.7341214798927}, 'southwest': {'lat': -8.446676579892722, 'lng': 118.7314218201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,King's Village,,"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106314253270537394679"">A Google User</a>'], 'photo_reference': 'AUGGfZl2MTsdd3XkHu1r0r1phCz3iXPpr71lvw8shVietx3b_YCKzu7bA-WnMOkCmIxqzFBHMdX91d3qk7c15xhCQOPscns6869z5U8CKW6zSNZmjEhvWZvmm9pv5N5jsN3i4ES1DPmacvB_zujfd4l4jh4Rf0hFVulwonUVlyUj12qBP7Um', 'width': 1200}]",ChIJaTAMbYqLtS0RCQ8p6HUnMDA,"{'compound_code': 'HP3M+V3 Jatiwangi, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WHP3M+V3'}",4.3,ChIJaTAMbYqLtS0RCQ8p6HUnMDA,"['lodging', 'point_of_interest', 'establishment']",60,https://www.google.com/maps/place/?q=place_id:ChIJaTAMbYqLtS0RCQ8p6HUnMDA
OPERATIONAL,"FMHH+CGX, Jl. Raya Lintas Sumatera, Belo, Kec. Palibelo, Kabupaten Bima, Nusa Tenggara Bar. 84173, Indonesia","{'location': {'lat': -8.5213821, 'lng': 118.6788457}, 'viewport': {'northeast': {'lat': -8.520069270107278, 'lng': 118.6800829298927}, 'southwest': {'lat': -8.522768929892722, 'lng': 118.6773832701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kalaki Beach HOTEL,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105975947630832324026"">Tisna Pratama</a>'], 'photo_reference': 'AUGGfZntdi9Fd6YwxVYArOs4b0FPnLsPTGJ4BuMTddSRhGxYT9__QJzhEeKUiThe62FjKOmTNjDy-FnMEIu85G_wZTPpvAhVZ_XrZdZVe40Pt4ie2nK2hc_Muu42ySXynXqywF4bwW5oBKsu5bWXmIlBEUn2XYzb3Y6GpRjP-ZT0Hux9CFCT', 'width': 4000}]",ChIJedxUdiaItS0RqJ0wT05c8Fs,,3.7,ChIJedxUdiaItS0RqJ0wT05c8Fs,"['lodging', 'point_of_interest', 'establishment']",162,https://www.google.com/maps/place/?q=place_id:ChIJedxUdiaItS0RqJ0wT05c8Fs
OPERATIONAL,"Jl. Lombok No.20, Paruga, Kec. Rasanae Bar., Kab. Bima, Nusa Tenggara Bar. 84118, Indonesia","{'location': {'lat': -8.4535992, 'lng': 118.7250935}, 'viewport': {'northeast': {'lat': -8.452272420107278, 'lng': 118.7264400798927}, 'southwest': {'lat': -8.454972079892721, 'lng': 118.7237404201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Lila Graha,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101460922655629380666"">A Google User</a>'], 'photo_reference': 'AUGGfZkk-Dn1ywDMEDS-R5Mn8HhwrHP8lcI5KzOFyuqrfae4fvOoXGCAiZLFECKGLbW2JY1PE3h23xmPI01-B2inz4ytaGWl1P2BJT04x5SEtzQOKHfHp4EJ6XWnNi88xS-6jbTDBO2_7-WuYOGPJno7BH7U9hyozOdad-d9DjJIRC4JgaiR', 'width': 3000}]",ChIJnW55ZCqKtS0RmXAAWn2-ses,"{'compound_code': 'GPWG+H2 Paruga, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGPWG+H2'}",3.6,ChIJnW55ZCqKtS0RmXAAWn2-ses,"['lodging', 'point_of_interest', 'establishment']",299,https://www.google.com/maps/place/?q=place_id:ChIJnW55ZCqKtS0RmXAAWn2-ses
OPERATIONAL,"Rabadompu Barat, Raba, Bima Regency, West Nusa Tenggara 84115, Indonesia","{'location': {'lat': -8.4749534, 'lng': 118.7649124}, 'viewport': {'northeast': {'lat': -8.473603570107278, 'lng': 118.7662622298927}, 'southwest': {'lat': -8.476303229892721, 'lng': 118.7635625701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel La Ode,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101580978656933806918"">A Google User</a>'], 'photo_reference': 'AUGGfZnNH0Oyq3bIncQrOXhH0iqUDdTaiEwlMptQrPn8qJWxBxusj4xBXBHXwjYjp0JBXdpgw7xPu1LGzR2mnXcKsI-lFTuUZXvZp5EmPJpguC8bGyC0nAoyiKLfQWCHOiiIKvD8eXPqYsCoSMSK5sW91BfowP8nZqbTN-nWN0MnV9KsNoIN', 'width': 4000}]",ChIJkWKVFU2JtS0ReOu9pa7acNs,"{'compound_code': 'GQG7+2X Rabadompu Barat, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGQG7+2X'}",4.0,ChIJkWKVFU2JtS0ReOu9pa7acNs,"['lodging', 'point_of_interest', 'establishment']",87,https://www.google.com/maps/place/?q=place_id:ChIJkWKVFU2JtS0ReOu9pa7acNs
OPERATIONAL,"Jl. Gajah Mada No.10, Monggonao, Kec. Mpunda, Kab. Bima, Nusa Tenggara Bar. 84116, Indonesia","{'location': {'lat': -8.4571955, 'lng': 118.7441085}, 'viewport': {'northeast': {'lat': -8.455942820107277, 'lng': 118.7454200798927}, 'southwest': {'lat': -8.45864247989272, 'lng': 118.7427204201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Camelia Hotel,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111311159213188863444"">ainul huda</a>'], 'photo_reference': 'AUGGfZm6jDw7boA88x2v_SlRnn2z554KoamkCcP407hMwnnqy0hJVs5hv_WjDr5GdN2CmeexmbwqvAhLA3uM0u7NmS2tg5dZFA2So8-Ay0-B0lNBUCKjmP0n5MpcuxcjddYkdvKFtG7nJ8DznPScsuWi1jDlL5bIsO7lXm_LL-DMf0KZHi9v', 'width': 4160}]",ChIJWQ0UmueLtS0RFV985XExNoA,"{'compound_code': 'GPVV+4J Monggonao, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGPVV+4J'}",3.5,ChIJWQ0UmueLtS0RFV985XExNoA,"['lodging', 'point_of_interest', 'establishment']",231,https://www.google.com/maps/place/?q=place_id:ChIJWQ0UmueLtS0RFV985XExNoA
OPERATIONAL,"Jl. Kartini, Paruga, Kec. Rasanae Bar., Kab. Bima, Nusa Tenggara Bar. 84118, Indonesia","{'location': {'lat': -8.4542994, 'lng': 118.7281916}, 'viewport': {'northeast': {'lat': -8.452930320107276, 'lng': 118.7294807298927}, 'southwest': {'lat': -8.45562997989272, 'lng': 118.7267810701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ISTANA HOMESTAY,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110189053279677392632"">rangga araarabae</a>'], 'photo_reference': 'AUGGfZmTeL8f_xeXJrLW8Qn8ZXwCbkFnfMQAy2smRT_mKyN4NUr6k0OqDnfAChfW9KB98FQRlsxMu1V7DUYe2K4VDEMd1V9ZxwH9o_QkAVyA6F_SR1y5Ncu0x7EJs1TJI2ExPK3qlZ5uldMvx5XcEXMoEn0jPxAFcb4SHCtzMn-9nH1V2TN8', 'width': 1920}]",ChIJHcZsPpKLtS0RtUFwiuwVJ_Y,"{'compound_code': 'GPWH+77 Paruga, Bima Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3WGPWH+77'}",4.5,ChIJHcZsPpKLtS0RtUFwiuwVJ_Y,"['lodging', 'point_of_interest', 'establishment']",70,https://www.google.com/maps/place/?q=place_id:ChIJHcZsPpKLtS0RtUFwiuwVJ_Y
OPERATIONAL,"GQQ6+748, Penaraga, Raba, Bima Regency, West Nusa Tenggara 84115, Indonesia","{'location': {'lat': -8.461833, 'lng': 118.760345}, 'viewport': {'northeast': {'lat': -8.460501070107277, 'lng': 118.7617260798927}, 'southwest': {'lat': -8.463200729892721, 'lng': 118.7590264201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tambora Homestay Bima,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104080296488717340392"">Rhytia Galih</a>'], 'photo_reference': 'AUGGfZl_ClIMRO6WOTLT3ounNRn5Y4vNTGqvob0OgxXGJhnheNzaAnROVAe7b59Ww1llJEltV-li6a8ijUtU0LtD2vhKpjTKStSIf7ArYzGErJw9XKJMs_ViyKjGV4HHpMjpNUSyjXR0WNGatrvrdwAdmbGWIi1FYUFlmXJimUgzScdQwtd6', 'width': 1920}]",ChIJXxCpLPyLtS0REoWlVEeHhI4,,3.8,ChIJXxCpLPyLtS0REoWlVEeHhI4,"['lodging', 'point_of_interest', 'establishment']",175,https://www.google.com/maps/place/?q=place_id:ChIJXxCpLPyLtS0REoWlVEeHhI4
