business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"777 W Cherokee St, Catoosa, OK 74015, United States","{'location': {'lat': 36.1652244, 'lng': -95.7645441}, 'viewport': {'northeast': {'lat': 36.16660862989272, 'lng': -95.76324472010728}, 'southwest': {'lat': 36.16390897010728, 'lng': -95.76594437989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hard Rock Hotel And Casino Tulsa,{'open_now': True},"[{'height': 2883, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101843842284732796181"">A Google User</a>'], 'photo_reference': 'AUGGfZntt2XbdAwVX0Re5at-qAojdyeFDM1ZhDkebyzApuYFe4aQcMYEmRg9j8Pz4mGBEOnINEa9kzV66Zsu5RPQ7gOGxyf9h1N2PyZPMr3zoyJbcCTevvSLLHGJLJQunswfL-m7o92Wsg3Tk3EaCb3yf8wx1n5r6Cy98C-VFeCRrfPt_58u', 'width': 4327}]",ChIJ67kYEQf1tocR2kDt3C0y4Oc,"{'compound_code': '568P+35 Catoosa, Oklahoma', 'global_code': '8686568P+35'}",4.3,ChIJ67kYEQf1tocR2kDt3C0y4Oc,"['tourist_attraction', 'casino', 'gym', 'bar', 'lodging', 'health', 'restaurant', 'food', 'point_of_interest', 'establishment']",23607,https://www.google.com/maps/place/?q=place_id:ChIJ67kYEQf1tocR2kDt3C0y4Oc
OPERATIONAL,"451 W Albany St, Broken Arrow, OK 74012, United States","{'location': {'lat': 36.0744606, 'lng': -95.7962481}, 'viewport': {'northeast': {'lat': 36.07604112989272, 'lng': -95.79459942010728}, 'southwest': {'lat': 36.07334147010727, 'lng': -95.79729907989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,La Quinta Inn & Suites by Wyndham Tulsa Broken Arrow,{'open_now': True},"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111283674523490245597"">La Quinta Inn &amp; Suites Broken Arrow</a>'], 'photo_reference': 'AUGGfZk7hjQ7RDRjjgK1rqNrPrQjR_jXTwDW2QGmGIQ3YEJSQM5Mja10QKZEzSk2cN11dnR3OWQWgrlqdQBVH_x-mFCFVgTVbUYI6EHI9SPi3Dys0C76KMfX1FTo_Om4q42bX36y1PouKzOh2vU4lCev0-PIe4xCAGzJen67bv1C-AjBW4Rw', 'width': 711}]",ChIJ-bL4KZ-LtocRv5pJOl3_psM,"{'compound_code': '36F3+QG Broken Arrow, Oklahoma', 'global_code': '868636F3+QG'}",4.2,ChIJ-bL4KZ-LtocRv5pJOl3_psM,"['lodging', 'point_of_interest', 'establishment']",625,https://www.google.com/maps/place/?q=place_id:ChIJ-bL4KZ-LtocRv5pJOl3_psM
OPERATIONAL,"2009 S Cherokee St, Catoosa, OK 74015, United States","{'location': {'lat': 36.1679716, 'lng': -95.7608291}, 'viewport': {'northeast': {'lat': 36.16922857989272, 'lng': -95.75966042010728}, 'southwest': {'lat': 36.16652892010728, 'lng': -95.76236007989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,La Quinta Inn & Suites by Wyndham - Tulsa - Catoosa Route 66,{'open_now': True},"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118397716151164771659"">La Quinta Inn &amp; Suites Tulsa - Catoosa</a>'], 'photo_reference': 'AUGGfZkBVcYZZXwWDdcExSuF5VpcG3VTOWu92dps6AwshUYn4EzkREmuhrRVv954FN6qMXZ1Ya2sx1tpVP2mRMfTdcxXNCnOAy3El7-oZyhAyCHHGBd-UDopFwm9dQ8s7tNuehtvzotqrjcS7Z3XGxMyPsIHhPbV-LFFyzemHKCWsm4P1dIT', 'width': 1000}]",ChIJ9eKCF6f1tocR_8XqieB78PU,"{'compound_code': '569Q+5P Catoosa, Oklahoma', 'global_code': '8686569Q+5P'}",4.0,ChIJ9eKCF6f1tocR_8XqieB78PU,"['lodging', 'point_of_interest', 'establishment']",744,https://www.google.com/maps/place/?q=place_id:ChIJ9eKCF6f1tocR_8XqieB78PU
OPERATIONAL,"951 West 36th St N, Tulsa, OK 74127, United States","{'location': {'lat': 36.208858, 'lng': -96.0037078}, 'viewport': {'northeast': {'lat': 36.21008277989272, 'lng': -96.00226857010729}, 'southwest': {'lat': 36.20738312010727, 'lng': -96.00496822989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Osage Casino Downtown Tulsa,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114731781643603397421"">A Google User</a>'], 'photo_reference': 'AUGGfZmnc1RC0GrXJgvuOvJhX0ZMNfgmPtYoNdYATyUt-9bPO9jeuG1_p10WdPvjx1bizU3whDQsiVxyVN6xJYvYhrcHibW-VaHy_QTdjdBiiw2yZ76fVmG72cRr2R1rYJ3D6UhHUHp9h8tgSbcKi0QcGHUYu1HSv5zTHtBvmZsXmGaf1X9z', 'width': 1000}]",ChIJtzhREl3ptocRwGMxnJh3SpU,"{'compound_code': '6X5W+GG Tulsa, Oklahoma', 'global_code': '86856X5W+GG'}",3.9,ChIJtzhREl3ptocRwGMxnJh3SpU,"['lodging', 'point_of_interest', 'establishment']",430,https://www.google.com/maps/place/?q=place_id:ChIJtzhREl3ptocRwGMxnJh3SpU
OPERATIONAL,"222 N Garnett Rd, Tulsa, OK 74116, United States","{'location': {'lat': 36.1650538, 'lng': -95.85204809999999}, 'viewport': {'northeast': {'lat': 36.16643447989271, 'lng': -95.85040082010727}, 'southwest': {'lat': 36.16373482010727, 'lng': -95.85310047989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Best Western - Airport,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108864813612963101654"">Best Western Airport</a>'], 'photo_reference': 'AUGGfZn4SEWCnUt6N6ZsxBGVsaYlfs4EHaM49Dy6kLErg386ftr1oKD-c7mSzYRuFPaqi7YycsvhkDdSB99hTuyUYHLqqivSwbnf3QmchiTHTZSpvkwi_46AiKzdx7jLzwGlY38gjmyY0UMyUeXiXrLhQPJokhlcXpgnx5eRyjisd01BztAb', 'width': 3840}]",ChIJib6cParztocR2vj67Bm8QOo,"{'compound_code': '548X+25 Tulsa, Oklahoma', 'global_code': '8686548X+25'}",3.2,ChIJib6cParztocR2vj67Bm8QOo,"['lodging', 'point_of_interest', 'establishment']",1298,https://www.google.com/maps/place/?q=place_id:ChIJib6cParztocR2vj67Bm8QOo
OPERATIONAL,"121 S Elgin Ave, Tulsa, OK 74120, United States","{'location': {'lat': 36.1566094, 'lng': -95.98686649999999}, 'viewport': {'northeast': {'lat': 36.15791572989272, 'lng': -95.98564387010728}, 'southwest': {'lat': 36.15521607010728, 'lng': -95.98834352989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Hotel Indigo Tulsa Dwtn-Entertainment Area, an IHG Hotel",,"[{'height': 1367, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105104826190287470189"">A Google User</a>'], 'photo_reference': 'AUGGfZmPtDRsRI_EbLtRFYLFOz9FZnMXA0JjwlvV8hvnw0IlH679SOmyTIIPrJoNagUaTszImHab1Lb-f9aJkw8GrwaNHHLNLXAmzJZjYMkpg-87INYQqCWUGu2jjDYMA1AHZ9EhMY7BMVg-QNJrYV-Ma1nb_lNReV2xMn-eJSRL0lQ469zc', 'width': 2048}]",ChIJt-OKY3_rtocR7HnadpbdN9I,"{'compound_code': '5247+J7 Tulsa, Oklahoma', 'global_code': '86865247+J7'}",4.4,ChIJt-OKY3_rtocR7HnadpbdN9I,"['lodging', 'point_of_interest', 'establishment']",636,https://www.google.com/maps/place/?q=place_id:ChIJt-OKY3_rtocR7HnadpbdN9I
OPERATIONAL,"23 N 67th E Ave, Tulsa, OK 74115, United States","{'location': {'lat': 36.1616529, 'lng': -95.9018191}, 'viewport': {'northeast': {'lat': 36.16296787989272, 'lng': -95.90072047010727}, 'southwest': {'lat': 36.16026822010728, 'lng': -95.90342012989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,La Quinta Inn & Suites by Wyndham Tulsa Airpt / Expo Square,{'open_now': True},"[{'height': 402, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107567202819571118125"">La Quinta Inn &amp; Suites Tulsa Airport / Expo Square</a>'], 'photo_reference': 'AUGGfZlKi53ud4x9n6-hyBl6NF_7OMqALHXjkHH86Oe62jdglwJPh9umBM8z4TRtwIFcoviE6S3JfK9ow4YH90SilbEmJheJxk6bn_4tZOVSKpmXrSS6vR5fOk4oPKLFTo-KArauEPwW4RoWwb7Xrvj-GgjY5Xrn6w1xFS24f2SCdKmsP2V3', 'width': 715}]",ChIJg1pC04HttocRX2wsmayqBmM,"{'compound_code': '536X+M7 Tulsa, Oklahoma', 'global_code': '8686536X+M7'}",3.5,ChIJg1pC04HttocRX2wsmayqBmM,"['lodging', 'point_of_interest', 'establishment']",869,https://www.google.com/maps/place/?q=place_id:ChIJg1pC04HttocRX2wsmayqBmM
OPERATIONAL,"616 W 7th St, Tulsa, OK 74127, United States","{'location': {'lat': 36.1474007, 'lng': -95.9960354}, 'viewport': {'northeast': {'lat': 36.14897502989272, 'lng': -95.99502617010727}, 'southwest': {'lat': 36.14627537010728, 'lng': -95.99772582989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,DoubleTree by Hilton Hotel Tulsa Downtown,,"[{'height': 3642, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118031419410210623713"">DoubleTree by Hilton Hotel Tulsa-Downtown</a>'], 'photo_reference': 'AUGGfZnkoO4ZMgUbSO0mmnp8FaZEcn9PxohKt1hln470QhnwAX1Q-EhQQGm8qu98FY7q_KdyqRY1RyWgdGiZXr8vq76Hph0qfkQIIj2NUaxOcaG6fw-sp3AoJOmeKqXgr3ONcaVjWUqSj0VYKBV4j2__4CBIqosEgZ2kp6EQxI3yPAKKvCI', 'width': 5438}]",ChIJRQoPtXHrtocRI9344YoAEEY,"{'compound_code': '42W3+XH Tulsa, Oklahoma', 'global_code': '868642W3+XH'}",4.0,ChIJRQoPtXHrtocRI9344YoAEEY,"['lodging', 'point_of_interest', 'establishment']",2265,https://www.google.com/maps/place/?q=place_id:ChIJRQoPtXHrtocRI9344YoAEEY
OPERATIONAL,"100 E 2nd St S, Tulsa, OK 74103, United States","{'location': {'lat': 36.1539805, 'lng': -95.9910244}, 'viewport': {'northeast': {'lat': 36.15554657989271, 'lng': -95.98983987010728}, 'southwest': {'lat': 36.15284692010727, 'lng': -95.99253952989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hyatt Regency Tulsa Downtown,{'open_now': True},"[{'height': 682, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103022389639682173178"">Hyatt Regency Tulsa</a>'], 'photo_reference': 'AUGGfZmirssv_exg6sKTyzRHx7gDRhGQPpaW8-J9BhUMeEYqiPrMBUnMQZl2tNyBsdBarXpliCLrfORRUiosN_IZwKixHq6pXoiqRdcngAkWbzcRad-48nNzI2MkJH8xxVDAMC7-_n30Lvd9irCLJyMJcF5WwgaBcNc6d8fwBZg6r12Rknoj', 'width': 1023}]",ChIJFcc_SHjrtocRgXPR9QHuN0k,"{'compound_code': '5235+HH Tulsa, Oklahoma', 'global_code': '86865235+HH'}",4.3,ChIJFcc_SHjrtocRgXPR9QHuN0k,"['lodging', 'point_of_interest', 'establishment']",3003,https://www.google.com/maps/place/?q=place_id:ChIJFcc_SHjrtocRgXPR9QHuN0k
OPERATIONAL,"415 S Boston Ave, Tulsa, OK 74103, United States","{'location': {'lat': 36.1523929, 'lng': -95.9889896}, 'viewport': {'northeast': {'lat': 36.15374047989273, 'lng': -95.98770522010727}, 'southwest': {'lat': 36.15104082010728, 'lng': -95.99040487989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Courtyard Tulsa Downtown,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107262879615630604904"">Randy Wilson</a>'], 'photo_reference': 'AUGGfZkboJuC2g7bXefVg2EAXVHIZnEZpJ-QUFO9tyIQgv62e7nAYnr3NVaxLVlQ1bnzItTCZ_q1glAn0cfKO1Myk9Omb7q7a-rgQLgSZbBx1GF3V0An0YB8MIxt_XyWbpKaCp3AKQYqv2Xsi8pQCJMnhMlRG2Dzh1QeiW1iv3ZyoAkP_ieH', 'width': 3072}]",ChIJG_97THnrtocRh3yz9_i3Iy0,"{'compound_code': '5226+XC Tulsa, Oklahoma', 'global_code': '86865226+XC'}",4.4,ChIJG_97THnrtocRh3yz9_i3Iy0,"['lodging', 'point_of_interest', 'establishment']",640,https://www.google.com/maps/place/?q=place_id:ChIJG_97THnrtocRh3yz9_i3Iy0
