business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,price_level,url
OPERATIONAL,"Jl. Malonda No.12, Silae, Kec. Ulujadi, Kota Palu, Sulawesi Tengah 94227, Indonesia","{'location': {'lat': -0.8767149, 'lng': 119.8361206}, 'viewport': {'northeast': {'lat': -0.8752847701072778, 'lng': 119.8374600798928}, 'southwest': {'lat': -0.8779844298927223, 'lng': 119.8347604201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Swiss-Belhotel Silae Palu,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104707569823123478180"">A Google User</a>'], 'photo_reference': 'AUGGfZm88WMWvCZhW6SMg2m9br727TAu7NgSbak1SsCr0GwrBaYI5rLUVf7ZwNoLTzxa49KYB4OG1QHpdLrz5HDsqFzKf1MWN_8zzg5tU8s85UdHKoq3Utp1me2gYGB-biGcoTu0eOurqKRGH1wCTwxkuPrZoJSr0gnV8a95IpveRKE1j63H', 'width': 1280}]",ChIJ7V48d7jtiy0Rit6HRupAuVQ,"{'compound_code': '4RFP+8C Silae, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX4RFP+8C'}",4.5,ChIJ7V48d7jtiy0Rit6HRupAuVQ,"['lodging', 'point_of_interest', 'establishment']",4418,,https://www.google.com/maps/place/?q=place_id:ChIJ7V48d7jtiy0Rit6HRupAuVQ
OPERATIONAL,"Jl. Beringin, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia","{'location': {'lat': -0.6482445, 'lng': 119.7388063}, 'viewport': {'northeast': {'lat': -0.6469194701072779, 'lng': 119.7402379798927}, 'southwest': {'lat': -0.6496191298927223, 'lng': 119.7375383201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Princejohn,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115510564581079646326"">A Google User</a>'], 'photo_reference': 'AUGGfZnBawtNJRNHQ-T34E-EBCilsFm8uSNiY3necOwAcHpxDal5F8ZfVvRolIE3x-fki_437JYrvjmSYpg7oz8ZA_9kx_qeQ28utiiTUjdIVE1vxNvP5vOEUT9LMgSsm39C6OgdoDKNopawLI_dMy2o5rt6mUS1rvTS4HLYHlDsT8XTzMV5', 'width': 4032}]",ChIJlfEVVg63iy0ROB-uuKxaJsc,"{'compound_code': '9P2Q+PG Labuan Bajo, Donggala Regency, Central Sulawesi, Indonesia', 'global_code': '6PFX9P2Q+PG'}",4.7,ChIJlfEVVg63iy0ROB-uuKxaJsc,"['lodging', 'point_of_interest', 'establishment']",47,,https://www.google.com/maps/place/?q=place_id:ChIJlfEVVg63iy0ROB-uuKxaJsc
OPERATIONAL,"Jl. Wolter Monginsidi No.60, Lolu Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia","{'location': {'lat': -0.9048202, 'lng': 119.8746287}, 'viewport': {'northeast': {'lat': -0.9034509701072782, 'lng': 119.8760484298927}, 'southwest': {'lat': -0.9061506298927223, 'lng': 119.8733487701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ASTON Palu Hotel & Conference Center,,"[{'height': 1154, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103080529675843854503"">A Google User</a>'], 'photo_reference': 'AUGGfZkoW4I0XUwcAZkywm7qkxBj8RMcNQClqUsB_AaSzlgJbaObuZEpMBcPahiFewft62JaGbGDi1K4wCGgfl62dJ5Jau9PFFOyfpEaoI5JXS09615cS0U7OJ-Edt4Yz2HROVQJYdZzJFK2k6xnPcv8_z3vS1tazgzJov3T81hte1j8IWh_', 'width': 1500}]",ChIJu4knGVrtiy0RpSEJzaeXE3g,"{'compound_code': '3VWF+3V South Lolu, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VWF+3V'}",4.9,ChIJu4knGVrtiy0RpSEJzaeXE3g,"['lodging', 'point_of_interest', 'establishment']",508,,https://www.google.com/maps/place/?q=place_id:ChIJu4knGVrtiy0RpSEJzaeXE3g
OPERATIONAL,"3RPH+2VH, Duyu, Kinovaro, Sigi Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9149303, 'lng': 119.8297193}, 'viewport': {'northeast': {'lat': -0.9136568201072778, 'lng': 119.8310203798927}, 'southwest': {'lat': -0.9163564798927221, 'lng': 119.8283207201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bukit Indah Doda Hotel & Resorts,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118275206301792548915"">yan adhitya wesda wardhana</a>'], 'photo_reference': 'AUGGfZneQ05ofrmr0-3K3DfiaHxy0B5pbu83B5xPm4dnrKE-DRkQpdS2NZmRVO48fbZp6MpUOHZOAmV3seLOqOpSdL8WbovX8_djf3dQJjg3i_VS-yZS-rEEp88T6HEpjivIbVAilYkyEeAUt1bYkY8oH3-HtJC6hwxvGi_g3dvv6In8jYmj', 'width': 4032}]",ChIJzaCz8Tjtiy0RrxMFRlSmx6U,,4.6,ChIJzaCz8Tjtiy0RrxMFRlSmx6U,"['lodging', 'point_of_interest', 'establishment']",129,,https://www.google.com/maps/place/?q=place_id:ChIJzaCz8Tjtiy0RrxMFRlSmx6U
OPERATIONAL,"Jl. Basuki Rahmat, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia","{'location': {'lat': -0.9190893, 'lng': 119.887329}, 'viewport': {'northeast': {'lat': -0.9177377701072779, 'lng': 119.8886787798927}, 'southwest': {'lat': -0.9204374298927221, 'lng': 119.8859791201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Best Western Plus Coco Palu,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116354814558587767458"">Remon Ambutua</a>'], 'photo_reference': 'AUGGfZk8IpwIAjhONwsZXHWCL3Zfb67HffspyqnSDxDgbosUcMx6cMlGqdxKfEYhzZNCUbN_Qw-TFUiAbz4o68lHReKJfsRXezEdLjvVgg2n3uiCKLv23fYtIbGviNdzk9YopSQ1XNVl1QHPzAMjYtfvdBezHj0hO2bgn_mfD1EznK8kzG3K', 'width': 3264}]",ChIJW2cYOwLuiy0RzU2l2QpuW2k,"{'compound_code': '3VJP+9W Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VJP+9W'}",4.4,ChIJW2cYOwLuiy0RzU2l2QpuW2k,"['lodging', 'point_of_interest', 'establishment']",2428,,https://www.google.com/maps/place/?q=place_id:ChIJW2cYOwLuiy0RzU2l2QpuW2k
OPERATIONAL,"Jl. Moh. Hatta No.18, Lolu Utara, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94114, Indonesia","{'location': {'lat': -0.8968063999999999, 'lng': 119.8728961}, 'viewport': {'northeast': {'lat': -0.8953856201072776, 'lng': 119.8742551298927}, 'southwest': {'lat': -0.8980852798927219, 'lng': 119.8715554701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Santika Palu,{'open_now': True},"[{'height': 500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102604642501584767072"">Hotel Santika Palu</a>'], 'photo_reference': 'AUGGfZlwQvszB7H-mpinCsfwI0Qf45rGoyqzdDMVDr5uY1QLpZGFPEZ3jy5gCPZOaVqB2RNKBlnnDooKhnOVYMe8MM2atVswembjC8ck7WBykBaHnijdIXmUZKooSgT4ZswqICpOgGb_uPsRbN6-HHP0fBa8jxR74yKuUtAmoh9NHwHLEyKW', 'width': 800}]",ChIJJaIoeNvtiy0R5O-6HYhXQWc,"{'compound_code': '4V3F+75 North Lolu, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX4V3F+75'}",4.4,ChIJJaIoeNvtiy0R5O-6HYhXQWc,"['lodging', 'point_of_interest', 'establishment']",3301,,https://www.google.com/maps/place/?q=place_id:ChIJJaIoeNvtiy0R5O-6HYhXQWc
OPERATIONAL,"4V89+695, Jl. Raden Saleh No.1, Besusu Bar., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118, Indonesia","{'location': {'lat': -0.8848699999999999, 'lng': 119.8687019}, 'viewport': {'northeast': {'lat': -0.8835393201072776, 'lng': 119.8700750798928}, 'southwest': {'lat': -0.8862389798927222, 'lng': 119.8673754201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Palu Golden Hotel,,"[{'height': 386, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115088814199471268615"">A Google User</a>'], 'photo_reference': 'AUGGfZnPE_AK1O_QKzB2nDIcPGidr4K-R6CQSsEFTIwxlNdiNEOoMXnJsrW8_z2FMWqVuqr58_mp4z1ybZ-95w2t8Cm0jf_GX_gnyx3LNDBX8tXTXzt-wS8w9luGgvPkMwdIk57myLmFI69ZNCLk_my-iABUt5xJ_ZzM_QJX97O-jzJYH9kb', 'width': 684}]",ChIJk9_VNc3tiy0R4mMfG9eSHxs,,4.2,ChIJk9_VNc3tiy0R4mMfG9eSHxs,"['lodging', 'point_of_interest', 'establishment']",668,,https://www.google.com/maps/place/?q=place_id:ChIJk9_VNc3tiy0R4mMfG9eSHxs
OPERATIONAL,"Silae, Ulujadi, Palu City, Central Sulawesi 94227, Indonesia","{'location': {'lat': -0.870397, 'lng': 119.8186648}, 'viewport': {'northeast': {'lat': -0.8692319701072778, 'lng': 119.8200384298927}, 'southwest': {'lat': -0.8719316298927223, 'lng': 119.8173387701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,D'Kalora Hotel & Resort,{'open_now': True},"[{'height': 923, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103194023930329991720"">A Google User</a>'], 'photo_reference': 'AUGGfZlVIqNJCyBn6TFMTMVESaaQr8BCMMTsEdw4HAkbUXLPRF0SdVAJK-Ct0hOsiA2IVyMSKXSQSXINQ9Vu_5vInX1oTPzbPgM4XiUMbYoxcwbQCXgn3ugVGolc5_mVJ--NbiCCc2CdHnLPlSe1eLN8_SIx0xRgDtRaBQIC8YFMIzJNSO3a', 'width': 1300}]",ChIJLxuKJrXtiy0RedEoZqPiS98,"{'compound_code': '4RH9+RF Silae, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX4RH9+RF'}",4.1,ChIJLxuKJrXtiy0RedEoZqPiS98,"['lodging', 'point_of_interest', 'establishment']",294,,https://www.google.com/maps/place/?q=place_id:ChIJLxuKJrXtiy0RedEoZqPiS98
OPERATIONAL,"Jl. Zebra II No.11, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94231, Indonesia","{'location': {'lat': -0.9236391, 'lng': 119.886069}, 'viewport': {'northeast': {'lat': -0.9222877701072778, 'lng': 119.8874096298927}, 'southwest': {'lat': -0.924987429892722, 'lng': 119.8847099701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jazz Hotel,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106707121660932291686"">A Google User</a>'], 'photo_reference': 'AUGGfZmj-lOUU08wZthfbBHIboWM-Uvw8DoG_qon_3Bq0dYEAEwj_yaiMwr8db4_ROMCqWmJNWKa2R4aDgTWo72vXmKsT0f64Dz6l7l2Kb-KljoEFWOojYe7GAQ4wzmfiZBSqTZAhX4bF60iOzRXS_HiOSM0jTDNXo752HZLUJI7T2x6gjM3', 'width': 4000}]",ChIJk1p2bfnxiy0R1jqdt3ut3rg,"{'compound_code': '3VGP+G9 Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VGP+G9'}",4.1,ChIJk1p2bfnxiy0R1jqdt3ut3rg,"['lodging', 'point_of_interest', 'establishment']",2017,,https://www.google.com/maps/place/?q=place_id:ChIJk1p2bfnxiy0R1jqdt3ut3rg
OPERATIONAL,"Jl. Munif Rahman 1, Silae, Kec. Ulujadi, Kota Palu, Sulawesi Tengah 94226, Indonesia","{'location': {'lat': -0.8827598999999999, 'lng': 119.8369199}, 'viewport': {'northeast': {'lat': -0.8814013701072778, 'lng': 119.8382184298928}, 'southwest': {'lat': -0.8841010298927223, 'lng': 119.8355187701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Cendana,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112679064026317204281"">A Google User</a>'], 'photo_reference': 'AUGGfZm4NFzj0ftLoODc2LSBikK1j-3fGsaUUOiQ_M_xnSS109MwyiRlkrd9MnmfH1QWILCY2J_E08Kq3yynsayybhH5yzwMSwwnePEvNXVLB-4CcS5vGtLE_GvmbEv4bqL7nUC4rY7qJAQ8thLoVvvpJ3aQaCsUaEdu0vO4HzxOLG9FBphQ', 'width': 4160}]",ChIJ23r6WFrtiy0RZaJrfNNboUY,"{'compound_code': '4R8P+VQ Silae, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX4R8P+VQ'}",4.4,ChIJ23r6WFrtiy0RZaJrfNNboUY,"['lodging', 'point_of_interest', 'establishment']",39,,https://www.google.com/maps/place/?q=place_id:ChIJ23r6WFrtiy0RZaJrfNNboUY
