business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jl. Melati, Kel. Paupire, Kec. Ende Tengah, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8395793, 'lng': 121.6639759}, 'viewport': {'northeast': {'lat': -8.838187170107279, 'lng': 121.6653217798927}, 'southwest': {'lat': -8.840886829892723, 'lng': 121.6626221201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,LCR HOTEL,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116526774359987407736"">A Google User</a>'], 'photo_reference': 'AUGGfZmd_JCvv9XgqQz0PHrQxmhFmgGfh3IUlvHvSIS4hRqXi8iA-GCHqlQKfOSzKIh9UC5rWPWHrQ83UOb2HvlaZTWeGNi33VBs6DMOumVjyibhfau0JSID3Qze8obD03hRMYi8_ccbzx36TuNeZyPoGpbYiz5wUkoSi9WnHg8ySqHMG7SX', 'width': 1600}]",ChIJSSnaz3RZrS0Rn0ACUNmcCjA,"{'compound_code': '5M67+5H Kel. Paupire, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335M67+5H'}",4.6,ChIJSSnaz3RZrS0Rn0ACUNmcCjA,"['lodging', 'point_of_interest', 'establishment']",366,,https://www.google.com/maps/place/?q=place_id:ChIJSSnaz3RZrS0Rn0ACUNmcCjA
OPERATIONAL,"Unnamed Road, Nanganesa, Kec. Ndona, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.838957400000002, 'lng': 121.6829871}, 'viewport': {'northeast': {'lat': -8.837673720107277, 'lng': 121.6843138798927}, 'southwest': {'lat': -8.840373379892721, 'lng': 121.6816142201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dobel V Resort,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104563166534142471187"">A Google User</a>'], 'photo_reference': 'AUGGfZl0clWkhNccn4pijkEptELWs_0-5mJjo5s4j97pIcJSz0Q0ABNDXSE0XHQCXwd3Y8iAHyW6ztJnD03GWv-k7TsPmaE1swFncy3nB6lhkO-7QphOXXtu8s1jHXKvexEPPicAaP2vuG9EmYaHGrbNFUmXXE9Cb2dTrgSkLevjlhR9NqaB', 'width': 1030}]",ChIJZ5C3eTNZrS0RhETnROB1CIM,"{'compound_code': '5M6M+C5 Nanganesa, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335M6M+C5'}",4.2,ChIJZ5C3eTNZrS0RhETnROB1CIM,"['lodging', 'point_of_interest', 'establishment']",14,,https://www.google.com/maps/place/?q=place_id:ChIJZ5C3eTNZrS0RhETnROB1CIM
OPERATIONAL,"Jl. Gatot Soebroto No.km 3, Kel. Mautapaga, Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8448128, 'lng': 121.6730337}, 'viewport': {'northeast': {'lat': -8.843462970107277, 'lng': 121.6743835298927}, 'southwest': {'lat': -8.84616262989272, 'lng': 121.6716838701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Global View Hotel,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102955174052851539995"">Vindex Tengker</a>'], 'photo_reference': 'AUGGfZmgtgcbG_dG-1KqPWELid3Yt3HVsKdqIANYtYXcYgybr7s97wpMNWM1g9Z5rfrqscF7e34bSYUAMXBZ_S8E3WL7gwdWWt1cFnxnDs3It1ZxjquQ6c0MYzodH9u1N0SybhUOf1N4jBkuKgfsc42k24a5cyAy0FJm9OqbvzqF7qWRdTRx', 'width': 4032}]",ChIJu-Y4uFVZrS0R1_7aJg_0Pwc,"{'compound_code': '5M4F+36 Kel. Mautapaga, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335M4F+36'}",4.0,ChIJu-Y4uFVZrS0R1_7aJg_0Pwc,"['lodging', 'point_of_interest', 'establishment']",27,,https://www.google.com/maps/place/?q=place_id:ChIJu-Y4uFVZrS0R1_7aJg_0Pwc
OPERATIONAL,"Jl. Woloare, Kel. Kotaratu, Kec. Ende Utara, Kabupaten Ende, Nusa Tenggara Tim. 86319, Indonesia","{'location': {'lat': -8.8341359, 'lng': 121.6400463}, 'viewport': {'northeast': {'lat': -8.832670970107277, 'lng': 121.6412555798927}, 'southwest': {'lat': -8.83537062989272, 'lng': 121.6385559201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Flores Passport House,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106335124636440587227"">A Google User</a>'], 'photo_reference': 'AUGGfZl3JCc3kOiCEma83VHYlbW8mqkXsOxf0D_kNxQxV8gZ2BwpsN9kRoSbmkHotu2dHIdK2w_gVw2RyBNMnXHfK3YvyZSEzn-8Ft_V2YrZQ5PYh-RBfi1bG6L1n2Ms5wSV1y02Bj0SOHFeKQtDvcvVymN_FlNeQxQjpxPb382D3gf0IXHc', 'width': 2918}]",ChIJt8zwegZfrS0RIqjT4FfLaHo,"{'compound_code': '5J8R+82 Kel. Kotaratu, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335J8R+82'}",4.4,ChIJt8zwegZfrS0RIqjT4FfLaHo,"['lodging', 'point_of_interest', 'establishment']",63,,https://www.google.com/maps/place/?q=place_id:ChIJt8zwegZfrS0RIqjT4FfLaHo
OPERATIONAL,"5M56+GG4, Jalan Eltari, Ende Tengah, Kel. Mautapaga, Kec. Ende, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8412495, 'lng': 121.6612928}, 'viewport': {'northeast': {'lat': -8.839918420107276, 'lng': 121.6626037798927}, 'southwest': {'lat': -8.84261807989272, 'lng': 121.6599041201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Hotel Satar Mese,Aula dan Kolam Renang",,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113143587244162629835"">Tira Maulana</a>'], 'photo_reference': 'AUGGfZnZezj-m9f1T8-NdxTdfOfPDewWmD0bZmQA9d-FPVTg2y6_TCGXp1rFAMRV_FSl0kVg8Vj8zMIP2CtGcOaJvJFPiRodeMiwhi9J3YwFCwAR9Xk6Gh9LG8YHHCq2APAvSkIx9xvFlPqa_gWqnyKaN6P7GBmdrOfGZ-w36_sNubWhvaBP', 'width': 4000}]",ChIJub-EX9BYrS0RjxoWhcDxuLo,,4.2,ChIJub-EX9BYrS0RjxoWhcDxuLo,"['lodging', 'point_of_interest', 'establishment']",145,,https://www.google.com/maps/place/?q=place_id:ChIJub-EX9BYrS0RjxoWhcDxuLo
OPERATIONAL,"Jl. Kelimutu No.32, Kel. Kelimutu, Kec. Ende Tengah, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.845075999999999, 'lng': 121.6574844}, 'viewport': {'northeast': {'lat': -8.843692420107278, 'lng': 121.6588494798928}, 'southwest': {'lat': -8.846392079892722, 'lng': 121.6561498201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Wisata,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114130090799256713017"">A Google User</a>'], 'photo_reference': 'AUGGfZl4Jz-TYnzjMaLH6E2kADPKHeyRRhMNIpjHKh01oohXogLOOTElDE0D_2fvrW3BYvr-jnOaCt7hN8_BHfUXC2Z4Plxng47kIHnwqaZybWox5zhn98E_6N-PSaq63h-T6a_eAKz3FjUa2Vqsj8lzGwFNBuqJIRfGMpKA5wlAkjH6-o27', 'width': 1600}]",ChIJV77uT89YrS0RolcUU0TagqQ,"{'compound_code': '5M34+XX Kel. Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335M34+XX'}",3.8,ChIJV77uT89YrS0RolcUU0TagqQ,"['lodging', 'point_of_interest', 'establishment']",636,,https://www.google.com/maps/place/?q=place_id:ChIJV77uT89YrS0RolcUU0TagqQ
OPERATIONAL,"Jl. Gatot Soebroto No.KM. 3, Kel. Mautapaga, Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8446702, 'lng': 121.6707952}, 'viewport': {'northeast': {'lat': -8.843280420107277, 'lng': 121.6721492798927}, 'southwest': {'lat': -8.84598007989272, 'lng': 121.6694496201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,J Hotel,,"[{'height': 3168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100874154858512413545"">A Google User</a>'], 'photo_reference': 'AUGGfZlGwGecnbeWfyyoRmMsPLCs2dtDiIEWgT8UkVlndkmpUym3sHfd2esNHXC8T6smVlRgDi6Uv-dy4-w4r2K6emFTJtMzKIh4Bm4z13juxzrPi5EFjjlu0UkerwkwxEgcHz3Y5tOK07gYeJsipiXWyxKzXg_KTuNbVlpuzm6c7orTyUT6', 'width': 5032}]",ChIJCWppzdlYrS0RVLsTd-uHhng,"{'compound_code': '5M4C+48 Kel. Mautapaga, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335M4C+48'}",3.9,ChIJCWppzdlYrS0RVLsTd-uHhng,"['lodging', 'point_of_interest', 'establishment']",138,,https://www.google.com/maps/place/?q=place_id:ChIJCWppzdlYrS0RVLsTd-uHhng
OPERATIONAL,"Beach Bungalows, Nggela, Kec. Wolojita, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8458376, 'lng': 121.85274}, 'viewport': {'northeast': {'lat': -8.844487770107278, 'lng': 121.8540898298927}, 'southwest': {'lat': -8.847187429892722, 'lng': 121.8513901701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nggela Beach Bungalows,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109737145126069490260"">A Google User</a>'], 'photo_reference': 'AUGGfZlBevBDizuUAdnQbo3P6YPAO0IvmHFUrxVUIIkxqevRgZ86iimGW8nFKqCV05oOeXByQydFrTVG43xcy6HgtV6dCwcPZD8_RQguIN8kZzGCdPE1TOoRzmh8Hqijt6k17XYCLu_ZM1KzesY_WpU2kGtrbqlS-R9a07y-OPORs_DWlkNd', 'width': 3456}]",ChIJ4ayarCVFrS0RBQev51prQgE,"{'compound_code': '5V33+M3 Nggela, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335V33+M3'}",4.5,ChIJ4ayarCVFrS0RBQev51prQgE,"['lodging', 'point_of_interest', 'establishment']",16,,https://www.google.com/maps/place/?q=place_id:ChIJ4ayarCVFrS0RBQev51prQgE
CLOSED_TEMPORARILY,"5M8H+44M, Jl. To Maumere, Kel. Rewarangga Sel., Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8346364, 'lng': 121.6777358}, 'viewport': {'northeast': {'lat': -8.833242770107278, 'lng': 121.6790251298927}, 'southwest': {'lat': -8.835942429892722, 'lng': 121.6763254701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,FHOSTEL - ende,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100529466307003653300"">Deddy Kurniawan</a>'], 'photo_reference': 'AUGGfZkOFM147c07vGNSUb_BlOXO997mJWZLMbxwaSXscg06llifEjP6rFtrWhmvHquzCgy4mGepIlxMC0QrjlngDxzVitgDjA9lbWo2-gpoicgUZ0WTp3qi30NNfw50_Butezm_3Ob6k2VhttN48vUTeQEI6Rl-s3js2mwiXEpsV3Glj_ij', 'width': 1280}]",ChIJBQ8uOitZrS0R9qeooyS505Y,,4.1,ChIJBQ8uOitZrS0R9qeooyS505Y,"['lodging', 'point_of_interest', 'establishment']",53,True,https://www.google.com/maps/place/?q=place_id:ChIJBQ8uOitZrS0R9qeooyS505Y
OPERATIONAL,"Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7516118, 'lng': 121.8584923}, 'viewport': {'northeast': {'lat': -8.750466320107279, 'lng': 121.8598183798927}, 'southwest': {'lat': -8.753165979892723, 'lng': 121.8571187201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kelimutu Crater Lakes Ecolodge,,"[{'height': 612, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109709266889893811978"">A Google User</a>'], 'photo_reference': 'AUGGfZlkbKgIaZ0q1eZ8gdRRwvZXPhaVCpCBPJli3eMxyD0AW_sO_gQJXDUgrlSjRfsVu3JwgXf037AEoju3PMZwF2c37LViXbzF-KZ7bjH-iET-dN8LebQdFaWVM8FZCzstFTqbntPOXShhjCbR1650IKTX83E7td7LaM0foh_NZWFTnQ31', 'width': 1024}]",ChIJgyoO5eBfrS0RR4OPYlKVmN0,"{'compound_code': '6VX5+99 Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q336VX5+99'}",4.3,ChIJgyoO5eBfrS0RR4OPYlKVmN0,"['lodging', 'point_of_interest', 'establishment']",226,,https://www.google.com/maps/place/?q=place_id:ChIJgyoO5eBfrS0RR4OPYlKVmN0
