business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7516118, 'lng': 121.8584923}, 'viewport': {'northeast': {'lat': -8.750466320107279, 'lng': 121.8598183798927}, 'southwest': {'lat': -8.753165979892723, 'lng': 121.8571187201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kelimutu Crater Lakes Ecolodge,"[{'height': 612, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109709266889893811978"">A Google User</a>'], 'photo_reference': 'AUGGfZmLNBpJkG7C-y44sOxhpXiOBXOVd2M6A28RZjNNmDEuWY9N6kHffyggGZuS3ITHQE7H1BFPL5OwOk9K9Us_Bh2HeF5bvQ_cSHn_OVV99uDey-mTn-5sj1UJvsoT47b5QG5Kk2Y1HNf4iBdeYyQAfSuB9x8wvzCA_AgOLfyP_PxVkPHv', 'width': 1024}]",ChIJgyoO5eBfrS0RR4OPYlKVmN0,"{'compound_code': '6VX5+99 Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q336VX5+99'}",4.3,ChIJgyoO5eBfrS0RR4OPYlKVmN0,"['lodging', 'point_of_interest', 'establishment']",226,,,https://www.google.com/maps/place/?q=place_id:ChIJgyoO5eBfrS0RR4OPYlKVmN0
OPERATIONAL,"Jl. Moni - Kelimutu No.km 6, Woloara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim. 86318, Indonesia","{'location': {'lat': -8.7609535, 'lng': 121.8388728}, 'viewport': {'northeast': {'lat': -8.759595770107278, 'lng': 121.8402047298927}, 'southwest': {'lat': -8.762295429892722, 'lng': 121.8375050701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kelimutu Paradiso Resort,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114299690540882459046"">A Google User</a>'], 'photo_reference': 'AUGGfZlCWm3_piiY9G7zhmOajPWND0BbUlNOeRZTrFeEb3jLzORKmmbAjyn8f1Qkh7Uj4yknRaTOJk3wK9a0Xg1EQ4fkFmhFhAOgiJl1tNQa89NxeIDOjujWgP8YvYds7SBgqkNHeawbVKXS4x_hHPJMkc6dnPA_k7yLEf2e3YXdVUFzL4Z9', 'width': 1600}]",ChIJpfN_LTVDrS0RRPJNK8FlQpY,"{'compound_code': '6RQQ+JG Woloara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q336RQQ+JG'}",4.4,ChIJpfN_LTVDrS0RRPJNK8FlQpY,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",23,,,https://www.google.com/maps/place/?q=place_id:ChIJpfN_LTVDrS0RRPJNK8FlQpY
OPERATIONAL,"flores, Jl. Moni - Kelimutu, Koanara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7491302, 'lng': 121.8485703}, 'viewport': {'northeast': {'lat': -8.74782032010728, 'lng': 121.8499450298927}, 'southwest': {'lat': -8.750519979892724, 'lng': 121.8472453701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jaya Hill Garden,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103272163042818866995"">Eko Listrianto</a>'], 'photo_reference': 'AUGGfZnbSRkm6lXf37m9jDulFNrrfKYmdWykDi_26X36313GClgYh30_o559UhRfbgEyL2pxvzmRR9aSyLQLLdoxuLZ6JRyOwfowyTiSr-KWm23DZFZhcxsyN7n5mfAVP9XnSeZnYb_P3qmrpGpKQWBkOXmH4zcc1pHjAOWDcWaZ44uR3C3x', 'width': 2048}]",ChIJH67W00FDrS0R_qNehL6hVhs,"{'compound_code': '7R2X+8C Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q337R2X+8C'}",4.5,ChIJH67W00FDrS0R_qNehL6hVhs,"['lodging', 'point_of_interest', 'establishment']",15,,,https://www.google.com/maps/place/?q=place_id:ChIJH67W00FDrS0R_qNehL6hVhs
OPERATIONAL,"Jalan Trans Flores Km. 52, Kelimutu, Koanara, Ende, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7493793, 'lng': 121.8503057}, 'viewport': {'northeast': {'lat': -8.748081370107277, 'lng': 121.8516611798927}, 'southwest': {'lat': -8.750781029892721, 'lng': 121.8489615201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bintang Cafe&Restaurant,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108602999502154155670"">Juha</a>'], 'photo_reference': 'AUGGfZmhHI-pCKSvJdenEvvaqeFkr_IjdWw4_TtorBRc7box32KuwjzoqgqHczu3xDYXWryBlTx-aGKvelcLKRrV2-B47vDoTk3q1Iwv6OYJVrANhVc5JHp1c2Z4M-8D5LMYS87cOVLAzk1TMDVo3le3IQzdskdWcZ6J2Yakm-cS6DvmsexL', 'width': 4032}]",ChIJd8uJyJVCrS0R1klC75H2kjs,"{'compound_code': '7V22+64 Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q337V22+64'}",4.1,ChIJd8uJyJVCrS0R1klC75H2kjs,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",166,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJd8uJyJVCrS0R1klC75H2kjs
OPERATIONAL,"Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.749030699999999, 'lng': 121.8503262}, 'viewport': {'northeast': {'lat': -8.747899470107278, 'lng': 121.8517193798927}, 'southwest': {'lat': -8.750599129892722, 'lng': 121.8490197201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bintang Bungalow Tour & Travel,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101950469450437329715"">A Google User</a>'], 'photo_reference': 'AUGGfZmsqXfFL1PgsB1yMp1OEb5JVgnSSTV60eG-LtrobyyGy70qR7n3Ehfj7lv8rUbbMA64VkA1IFVwDvapU5RnAfH1YprQOZXRYBEFcD_bD5AmUfr-KR3fo9pk0DVARrecSLyaygt0L6mrv-byiMz52gQNkpOhYynPq6FWsuBDAsC8Nm-U', 'width': 4608}]",ChIJfwmw5QJDrS0RSfjsGhDDUwk,"{'compound_code': '7V22+94 Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q337V22+94'}",4.8,ChIJfwmw5QJDrS0RSfjsGhDDUwk,"['lodging', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJfwmw5QJDrS0RSfjsGhDDUwk
OPERATIONAL,"6VP5+R6G, Woloara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.762929699999999, 'lng': 121.8580485}, 'viewport': {'northeast': {'lat': -8.761584770107277, 'lng': 121.8593387798927}, 'southwest': {'lat': -8.76428442989272, 'lng': 121.8566391201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Geckos Homestay,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108670573260495186284"">Antony Kozmos Jurjevich</a>'], 'photo_reference': 'AUGGfZk074B1mU7aePqPo3zIg60ewit9unF88UN-6F3zWa3ee_RpubvMh6S_CcUYECHGZfRlzVmgKph94khwRaXelb2x7pT1HhT9y3UuoPwkGWEXuWMnldkvYPhUO5u0RMTXqirgPqnHE1aLs3Vl88uE1hLa6ixmo0izK-tqn4d9Rymh52Il', 'width': 4000}]",ChIJc36jFl9CrS0Riu2rxw6CA8U,,4.7,ChIJc36jFl9CrS0Riu2rxw6CA8U,"['lodging', 'point_of_interest', 'establishment']",119,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJc36jFl9CrS0Riu2rxw6CA8U
OPERATIONAL,"Jl. Moni - Kelimutu, Koanara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim. 86318, Indonesia","{'location': {'lat': -8.749945, 'lng': 121.8477376}, 'viewport': {'northeast': {'lat': -8.748565070107277, 'lng': 121.8490447798927}, 'southwest': {'lat': -8.751264729892721, 'lng': 121.8463451201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Farila Kelimutu Lodge,"[{'height': 717, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107911232271220007219"">A Google User</a>'], 'photo_reference': 'AUGGfZlZWcCLausFJ5pEaFYYyEMhi0hfhRm4oEGY6_sU-7oF6KrAJTGoWtmkGMp_Tr569UFfa6DhRJX7mpDFWrtQtnABL9a-X3Zz9LYyjPWrn8s8pnq1lh6GrBId4gwL6AITKC7W1hjplOt3r-4UziqAXOb_D4PSd9uk1i0fuCtDtkSTC1Qo', 'width': 1024}]",ChIJ54zwC8JDrS0RERctVqp_DB0,"{'compound_code': '7R2X+23 Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q337R2X+23'}",4.7,ChIJ54zwC8JDrS0RERctVqp_DB0,"['lodging', 'point_of_interest', 'establishment']",19,,,https://www.google.com/maps/place/?q=place_id:ChIJ54zwC8JDrS0RERctVqp_DB0
OPERATIONAL,"Jalan Moni, Woloara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.753331, 'lng': 121.8577029}, 'viewport': {'northeast': {'lat': -8.75196012010728, 'lng': 121.8590435798927}, 'southwest': {'lat': -8.754659779892723, 'lng': 121.8563439201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,JOSEPH GUEST HOUSE,"[{'height': 1616, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116485866257113919943"">Melanie Rupert</a>'], 'photo_reference': 'AUGGfZmYhewF7aCqoPt0GCLRaIpT5_uvqHhlukEV8NY_Hrs4zNnxweLCvoa5vHJYTdIHONM5Jh65WUvWEr_dxGyySn2jZlRrqV-g6m9yNnhlXj7mw1ZiCayIQzDgBS6kVb4I5tBvsQJx74wyxW24ewzZtbAHp6gBUHxbVYHtnnwy2KzQPlp1', 'width': 1080}]",ChIJCwHDhydDrS0R1Ja0bvXgYy8,"{'compound_code': '6VW5+M3 Woloara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q336VW5+M3'}",4.5,ChIJCwHDhydDrS0R1Ja0bvXgYy8,"['lodging', 'point_of_interest', 'establishment']",34,,,https://www.google.com/maps/place/?q=place_id:ChIJCwHDhydDrS0R1Ja0bvXgYy8
OPERATIONAL,"6RXX+QFC, Jl. Moni - Kelimutu, Koanara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7505668, 'lng': 121.8486398}, 'viewport': {'northeast': {'lat': -8.749189320107277, 'lng': 121.8499271798928}, 'southwest': {'lat': -8.75188897989272, 'lng': 121.8472275201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Family Guest House,"[{'height': 1597, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110862211718242838993"">A Google User</a>'], 'photo_reference': 'AUGGfZnHBORRffYhD0N0zkR4N7LvGEwFIdyZ3MqV6s8LnrpUeFtfGHw2Bx0FsUxbiy_PnBaRnlQa407IWyyUBlQynm0vTq30WFbHGfLvuBMlEDf_BitKec6PYvwIHoT3rm3GABjjEMTyNJItGtdAV-XabDgwynAOE8JYMlp2sGJKY_6Pzu0Q', 'width': 2444}]",ChIJ1WfbzyRDrS0RFnJYHq-m1Hs,,4.6,ChIJ1WfbzyRDrS0RFnJYHq-m1Hs,"['lodging', 'point_of_interest', 'establishment']",15,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ1WfbzyRDrS0RFnJYHq-m1Hs
OPERATIONAL,"6VW4+RQ3, Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.752981, 'lng': 121.856918}, 'viewport': {'northeast': {'lat': -8.751762220107278, 'lng': 121.8581692798927}, 'southwest': {'lat': -8.754461879892721, 'lng': 121.8554696201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Flores Sare Hotel,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114922582798899891731"">Guntara Rudi</a>'], 'photo_reference': 'AUGGfZmykbrQWF_DMyKj6vNol6frxtWnzTm5jeiyTLtF8dAM5bigb4279TycUW15V1JKNfeVs_6-a3LaqmOQUojy5sA-mAdPprcfP35sM2fuSA7muCw2PzXARDDB-oXO28hXRUmB3RKddoNBOfvMwzEzO5Fxfu6MrNyJc4MFZPkOpPXWyEff', 'width': 4608}]",ChIJAwkacGJCrS0RQDAmiUFjNXQ,,3.4,ChIJAwkacGJCrS0RQDAmiUFjNXQ,"['lodging', 'point_of_interest', 'establishment']",65,,,https://www.google.com/maps/place/?q=place_id:ChIJAwkacGJCrS0RQDAmiUFjNXQ
