business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Bulutana, Tinggimoncong, Gowa Regency, South Sulawesi 92174, Indonesia","{'location': {'lat': -5.2722707, 'lng': 119.8535039}, 'viewport': {'northeast': {'lat': -5.270812620107278, 'lng': 119.8551072798927}, 'southwest': {'lat': -5.273512279892722, 'lng': 119.8524076201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Kurcaci D'Sawah,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106748683252316404301"">A Google User</a>'], 'photo_reference': 'AUGGfZm2tYK-LbeFiUNK04KC7ymCfVfNc0WyOkndUX0HHiU8ab36clIjKj5G23FNKcGIVogP1McqZklYHHC9kYcW6UpcQbEckQ69NzsbyjfGnkrgqFGiIUBOSXit3s_NX4HTGXTHNWn52TnM8tQQwMTHS7qHb00K7f-PW449kob8fOT6PemY', 'width': 4000}]",ChIJ26eFMgm_vi0Ro9RXErbIS5I,"{'compound_code': 'PVH3+3C Bulutana, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPVH3+3C'}",4.5,ChIJ26eFMgm_vi0Ro9RXErbIS5I,"['lodging', 'point_of_interest', 'establishment']",878,https://www.google.com/maps/place/?q=place_id:ChIJ26eFMgm_vi0Ro9RXErbIS5I
OPERATIONAL,"Jl. Sulaiman Dg. Jarung, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92178, Indonesia","{'location': {'lat': -5.2515459, 'lng': 119.8559436}, 'viewport': {'northeast': {'lat': -5.250281420107278, 'lng': 119.8573472798927}, 'southwest': {'lat': -5.252981079892722, 'lng': 119.8546476201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Double Nine Hotel,,"[{'height': 1504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117755866703412943599"">A Google User</a>'], 'photo_reference': 'AUGGfZklbqcElY3Tx8Nw4HXYpNCYW9FTcP8uvC41p_xAqxoGOUSED0MjXjeLe-1_HoXqGgwlXds3q8f40hpOeiAGp4L7QzcarE49W62D93zOp91siDEdnlVtKSTJStGQ8OWlrUKox_x50a-pVGq_CC4NYW9xBCDjWPlWvraZLXKFi48oA3Z4', 'width': 3264}]",ChIJTWhtt22Vvi0RKIRZGFtVKso,"{'compound_code': 'PVX4+99 Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPVX4+99'}",4.7,ChIJTWhtt22Vvi0RKIRZGFtVKso,"['lodging', 'point_of_interest', 'establishment']",18,https://www.google.com/maps/place/?q=place_id:ChIJTWhtt22Vvi0RKIRZGFtVKso
OPERATIONAL,"Pattapang, Tinggimoncong, Gowa Regency, South Sulawesi 92171, Indonesia","{'location': {'lat': -5.2439481, 'lng': 119.9034238}, 'viewport': {'northeast': {'lat': -5.242573620107278, 'lng': 119.9047368298927}, 'southwest': {'lat': -5.245273279892722, 'lng': 119.9020371701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Malino Highlands,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103690053453983125222"">A Google User</a>'], 'photo_reference': 'AUGGfZk1js46DRR70TMRNvkcPjg1lWdrVWgM7Nide9jbbTvREoHmu_svzRY4xR3rfojsGUXtkQyU69e3DTt0Xa3rMPONNeGKGvUKSgeffaJ18XCORhHvzPc4ggv0UhsRn9PIO1rLU-F4KDHrqy4jvL9VHiumX-ZtPBIVDWortMJ47KeVPPJW', 'width': 3024}]",ChIJq6qqqj6Wvi0RN94047LvmYg,"{'compound_code': 'QW43+C9 Pattapang, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQW43+C9'}",4.5,ChIJq6qqqj6Wvi0RN94047LvmYg,"['zoo', 'cafe', 'park', 'food', 'lodging', 'point_of_interest', 'establishment']",2639,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqj6Wvi0RN94047LvmYg
OPERATIONAL,"Topidi, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia","{'location': {'lat': -5.2848125, 'lng': 119.8853125}, 'viewport': {'northeast': {'lat': -5.283637670107278, 'lng': 119.8868468798927}, 'southwest': {'lat': -5.286337329892722, 'lng': 119.8841472201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Langit Topidi Resort,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111350896359323473565"">Aji Bungsu</a>'], 'photo_reference': 'AUGGfZmBbZxXkUxUjcTsV82Z11S_qukFBKdCXNxeCLuvRxQaSvB1SZxbUAGX7IdTD0F1fxO_2kLzvu0Xz58UI5XI5Yu6TVwlPuS-hHPaq74ZrrSBJDEV2THmKTZ4uRGToweQoAWhTM0E-FyZ1uqbwzREVweTv3Uy19dgbX1iHSl4pSs1ruG6', 'width': 4160}]",ChIJ7fbPfSG9vi0RexY0vxejBk4,"{'compound_code': 'PV8P+34 Bonto Lerung, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPV8P+34'}",4.5,ChIJ7fbPfSG9vi0RexY0vxejBk4,"['lodging', 'point_of_interest', 'establishment']",131,https://www.google.com/maps/place/?q=place_id:ChIJ7fbPfSG9vi0RexY0vxejBk4
OPERATIONAL,"Jl. Malino, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia","{'location': {'lat': -5.2574453, 'lng': 119.8443878}, 'viewport': {'northeast': {'lat': -5.256104070107277, 'lng': 119.8457538298927}, 'southwest': {'lat': -5.258803729892721, 'lng': 119.8430541701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,IEFA Resort Malino,,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104548998687446827544"">A Google User</a>'], 'photo_reference': 'AUGGfZl1ZLKXvXRSbqtxwHhRoryflKhzXKnTgBGvsjUV88fE0_tu4CzDaneEbQ44laTSq62JDPVyYqEhydlEPr7I02CFNHy1Ot4yn72jCW2vec9W5S5eHZCnRjG8vKRGyf4XQvdD4ty6GEzhOIncEUAiC5Au0u1LKSP-AmD7HKVx6yMfiGAt', 'width': 1040}]",ChIJsfmUH5uVvi0RlqIYZpMZOHA,"{'compound_code': 'PRVV+2Q Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPRVV+2Q'}",4.6,ChIJsfmUH5uVvi0RlqIYZpMZOHA,"['lodging', 'point_of_interest', 'establishment']",63,https://www.google.com/maps/place/?q=place_id:ChIJsfmUH5uVvi0RlqIYZpMZOHA
OPERATIONAL,"Bulutana, Tinggimoncong, Gowa Regency, South Sulawesi 92174, Indonesia","{'location': {'lat': -5.2721285, 'lng': 119.8558412}, 'viewport': {'northeast': {'lat': -5.270972770107277, 'lng': 119.8573263298927}, 'southwest': {'lat': -5.273672429892721, 'lng': 119.8546266701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pucuk Merah Malino,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111317768191769524058"">tuty sembilan</a>'], 'photo_reference': 'AUGGfZlfflOGyLSW3Am6A3B3f6h7WEk-4K75MDqWrV53PisO61VFb21cZU8KbmCzA8R3o7cQeKiU_GMeh-_MXdWkvCGUH7SqXOhkoU8ydIWMNau0aO0oIP4a3iQdhY19gXL9jEhS5eNi6nqPGGaQw5DwzUL-i4ielOs8NAukHq8cO65FtHXo', 'width': 4000}]",ChIJrU-Loly_vi0RnbJxw-pvRGo,"{'compound_code': 'PVH4+48 Bulutana, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPVH4+48'}",4.4,ChIJrU-Loly_vi0RnbJxw-pvRGo,"['lodging', 'point_of_interest', 'establishment']",37,https://www.google.com/maps/place/?q=place_id:ChIJrU-Loly_vi0RnbJxw-pvRGo
OPERATIONAL,"Jl. Sultan Hasanuddin No.1, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia","{'location': {'lat': -5.2523954, 'lng': 119.8513016}, 'viewport': {'northeast': {'lat': -5.251027220107277, 'lng': 119.8525872298928}, 'southwest': {'lat': -5.253726879892721, 'lng': 119.8498875701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Celebes Villa And Resort Malino,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108899016841554453701"">Achmad Suhaiba</a>'], 'photo_reference': 'AUGGfZnrEhNOifwMuNJ8ElgafpCov4E1_0NXeoCzAB52pvbYPyFVFtDjVUxSi3uE90rhxt2NL6k8z1OFlUV_bprKR7r478qkPWMUD7Ie03HVCURH6KnJgZmEUOrUAcV-As39Dzf8VINf8yu0uXAwbfwA8j5ykkEB6ZHbIqJhe9U49cmAA0FL', 'width': 4096}]",ChIJ7a_F7JaVvi0Rxo1_8HXOOAE,"{'compound_code': 'PVX2+2G Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XPVX2+2G'}",4.2,ChIJ7a_F7JaVvi0Rxo1_8HXOOAE,"['lodging', 'point_of_interest', 'establishment']",610,https://www.google.com/maps/place/?q=place_id:ChIJ7a_F7JaVvi0Rxo1_8HXOOAE
OPERATIONAL,"Batulapisi Dalam, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia","{'location': {'lat': -5.2378903, 'lng': 119.8763619}, 'viewport': {'northeast': {'lat': -5.236495970107279, 'lng': 119.8778074298927}, 'southwest': {'lat': -5.239195629892722, 'lng': 119.8751077701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Risty Cottage,,"[{'height': 1072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103035677370884720769"">A Google User</a>'], 'photo_reference': 'AUGGfZntmd3btSUqYS4sYlngNUNoCCyEQ1omD57L_c-v04sujGF5YxRWRUTRJgvFGEzkq0I0ZoN10DgqIEZiHYTo_8x0rmY_XWriT-jUbI2-FPLZBGMNCUWFrrIKGgyQ6fpGYPIyszm_qXJYgupirrkf1ia_fu1JMxq-AZXmd00jRw-HgI_o', 'width': 1072}]",ChIJq2hxjoWVvi0RzEg1wCZhMx0,"{'compound_code': 'QV6G+RG Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQV6G+RG'}",4.6,ChIJq2hxjoWVvi0RzEg1wCZhMx0,"['lodging', 'point_of_interest', 'establishment']",40,https://www.google.com/maps/place/?q=place_id:ChIJq2hxjoWVvi0RzEg1wCZhMx0
OPERATIONAL,"Malino, Tinggimoncong, Gowa Regency, South Sulawesi 92174, Indonesia","{'location': {'lat': -5.2440875, 'lng': 119.8737688}, 'viewport': {'northeast': {'lat': -5.242769720107277, 'lng': 119.8751742798927}, 'southwest': {'lat': -5.245469379892721, 'lng': 119.8724746201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,VILLA BOROBUDUR,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116639581416849708331"">Nurfalah Didi</a>'], 'photo_reference': 'AUGGfZlc52LE5-f-6YaUAJyOjq7QC4e7vEkub-r4xlg8cntG1p1J9Mw14GhdoSlHjNOvrZFWK2tN-uQdMKyW5X8aH_plzu1q4cPsKDaYdTgbP8ZsRqW3d0Qw6emQp7OXvcDa2hutHYjx9J1U5hgOcVxz_6QkEqLQZ7mu90_zKzqPgY3w7FDS', 'width': 3840}]",ChIJqaQ_btyVvi0RkFl4jU6EkAk,"{'compound_code': 'QV4F+9G Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQV4F+9G'}",4.3,ChIJqaQ_btyVvi0RkFl4jU6EkAk,"['point_of_interest', 'establishment']",60,https://www.google.com/maps/place/?q=place_id:ChIJqaQ_btyVvi0RkFl4jU6EkAk
OPERATIONAL,"Jl. Poros Malino, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia","{'location': {'lat': -5.2402295, 'lng': 119.8825733}, 'viewport': {'northeast': {'lat': -5.238845020107279, 'lng': 119.8841246298927}, 'southwest': {'lat': -5.241544679892723, 'lng': 119.8814249701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,D'PINUS,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111599141591163025800"">A Google User</a>'], 'photo_reference': 'AUGGfZk2_CkktC4sAGumxzzbElvmoxATQhK40ZGkkiR6ILMkxncj0jcqog3m2vvWTNM7KoLBJUEAqjtM5g3z7VV-X2qYdLhl1A9CziUm4urPKRvjfheHax4tfy2i6OcjxYGiBooceFY3os9Vyb_MX1pV9P-o8Niyv4zG5xC5UaKS7ZOZ-Zna', 'width': 4000}]",ChIJ_flLkbaXvi0R1K1rZGx_WEk,"{'compound_code': 'QV5M+W2 Malino, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQV5M+W2'}",4.7,ChIJ_flLkbaXvi0R1K1rZGx_WEk,"['point_of_interest', 'establishment']",44,https://www.google.com/maps/place/?q=place_id:ChIJ_flLkbaXvi0R1K1rZGx_WEk
