business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Andi Djemma No.130, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90222, Indonesia","{'location': {'lat': -5.168347199999999, 'lng': 119.4286336}, 'viewport': {'northeast': {'lat': -5.166554870107278, 'lng': 119.4299594298927}, 'southwest': {'lat': -5.169254529892722, 'lng': 119.4272597701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Four Points by Sheraton Makassar,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116983267891175758477"">A Google User</a>'], 'photo_reference': 'AUGGfZkezyadkvsaVxLjqM_6N6RQE38F5pAznpcR-ulb92CXugx5VETOdsVmAEGn2K8iQjpX7l7tO0VXP-NT9CCoSBYoWd1Im6hSJwoOnbZ0OeHY2h1Gi9W34zD_Q4Et3TdV8gCN68FL8EWcSZRCHFXoJ-a0PIho8k2TqDiz1r95MCrM2v-9', 'width': 480}]",ChIJA4ALYprivi0RiojKVqJqwJc,"{'compound_code': ""RCJH+MF Pa'baeng-Baeng, Makassar City, South Sulawesi, Indonesia"", 'global_code': '6P6XRCJH+MF'}",4.5,ChIJA4ALYprivi0RiojKVqJqwJc,"['lodging', 'point_of_interest', 'establishment']",12085,,https://www.google.com/maps/place/?q=place_id:ChIJA4ALYprivi0RiojKVqJqwJc
OPERATIONAL,"Jl. A. P. Pettarani No.03, Mannuruki, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221, Indonesia","{'location': {'lat': -5.1689999, 'lng': 119.4328}, 'viewport': {'northeast': {'lat': -5.167589670107278, 'lng': 119.4345128}, 'southwest': {'lat': -5.170289329892721, 'lng': 119.4308228}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,CLARO HOTEL MAKASSAR,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105342981378487133661"">A Google User</a>'], 'photo_reference': 'AUGGfZk3Xy9W02fLvJ895KiMbEirXxMrELTj8zYB3Cx6gMGjizSOcEVMd76DBUrO37QGHEXLe-DYOkYW2tP2TnV_38q2M7mdAASVq0_V842K6MZrGZ82aif4rFla1h6ZX2sOptX8yLOzjmp8KQceeAuPjid8wdaxtjBfvkC7uxM0BQqYNdOz', 'width': 4000}]",ChIJu03wa7bivi0RzpbXIY2M7R8,"{'compound_code': 'RCJM+C4 Mannuruki, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCJM+C4'}",4.6,ChIJu03wa7bivi0RzpbXIY2M7R8,"['lodging', 'point_of_interest', 'establishment']",18658,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJu03wa7bivi0RzpbXIY2M7R8
OPERATIONAL,"Jl. Monumen Emmy Saelan No.10 A, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia","{'location': {'lat': -5.1774024, 'lng': 119.4395167}, 'viewport': {'northeast': {'lat': -5.176023020107278, 'lng': 119.4408265798927}, 'southwest': {'lat': -5.178722679892722, 'lng': 119.4381269201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Makassar Hotel,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105664597612992504468"">Erwin Ali</a>'], 'photo_reference': 'AUGGfZkAfZr_4YxJAOryhOnvHBhWWc73MBjmZKccQApHCBn-XlbU7ad8E5At7mYKVEfRW8yBSwgCk7bdU9zRUbksUD48wgvs_182cH5hfO_PqLr1kyCzdd1AwpOwAPT2Vf7KpRASQ6xVpoN1epS3QGP8V2pN0sgicxzxTz2KGho_5QYLVAby', 'width': 4032}]",ChIJCenOyP3jvi0RdFHF09r22gc,"{'compound_code': 'RCFQ+2R Gunung Sari, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCFQ+2R'}",4.7,ChIJCenOyP3jvi0RdFHF09r22gc,"['lodging', 'point_of_interest', 'establishment']",152,,https://www.google.com/maps/place/?q=place_id:ChIJCenOyP3jvi0RdFHF09r22gc
OPERATIONAL,"Jl. A. P. Pettarani No.4, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia","{'location': {'lat': -5.1709746, 'lng': 119.4324183}, 'viewport': {'northeast': {'lat': -5.169650220107278, 'lng': 119.4338167298927}, 'southwest': {'lat': -5.172349879892722, 'lng': 119.4311170701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mercure Makassar Nexa Pettarani,"[{'height': 4480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112044379051295032716"">A Google User</a>'], 'photo_reference': 'AUGGfZljgSE6GbnvaKOF2CqokbkHUJj8SyR-kimoN7qwkcr_1nVxiGsHs4c7l-zUC0Im34HxhRZV-XyDoTLpWLRaxM3Z_t0KZUwaOcjM4Tmjp2Nykq1yDal57X0aYVXzmZI9EPAu-JLMpLnXoNBnbjAnPkJ7MsDerjvygoBKkoMaP9pJqMVi', 'width': 6720}]",ChIJ0a7zvRnjvi0RMpaD9ssQ9sQ,"{'compound_code': 'RCHJ+JX Gunung Sari, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCHJ+JX'}",4.7,ChIJ0a7zvRnjvi0RMpaD9ssQ9sQ,"['lodging', 'point_of_interest', 'establishment']",3109,,https://www.google.com/maps/place/?q=place_id:ChIJ0a7zvRnjvi0RMpaD9ssQ9sQ
OPERATIONAL,"Mall Panakkukang, Jl. Boulevard, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia","{'location': {'lat': -5.1571056, 'lng': 119.4473103}, 'viewport': {'northeast': {'lat': -5.155706120107277, 'lng': 119.4485258298927}, 'southwest': {'lat': -5.158405779892721, 'lng': 119.4458261701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MYKO Hotel & Convention Center,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111898203671690075110"">MYKO Hotel &amp; Convention Center</a>'], 'photo_reference': 'AUGGfZmWxrSKAw_exenIrtcQ-dO_kjQh6YUTw54qKZWW9vFeORajjxzeIAQg_fhBq9WSR8MwZ63GFpvAuZ2PHU1n-0ofwHCoB7L4BjHFnY6FGVMlca-rAcPABZDdrCNOwmra90nEbV5eXi2kwSYgbtREzIcaeafdp21KBsrQNHNF-24Sgp3a', 'width': 4000}]",ChIJ2QK-1MPivi0RYNArcQR0QD8,"{'compound_code': 'RCVW+5W Masale, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCVW+5W'}",4.6,ChIJ2QK-1MPivi0RYNArcQR0QD8,"['lodging', 'point_of_interest', 'establishment']",3608,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ2QK-1MPivi0RYNArcQR0QD8
OPERATIONAL,"Jalan Lapangan Syekh Yusuf Blok B No. 4, Sungguminasa Gowa, Sombah Opu, Kalegowa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia","{'location': {'lat': -5.2004516, 'lng': 119.4495017}, 'viewport': {'northeast': {'lat': -5.199101670107278, 'lng': 119.4508832298928}, 'southwest': {'lat': -5.201801329892722, 'lng': 119.4481835701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,discovery homestay,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113557880746209773882"">laurent barille</a>'], 'photo_reference': 'AUGGfZl-F0l4Dg4oB_pcKk_xpU-Zv6tt7O9P-zdSJ3lZmcSgD4-9k5f9SrZHaUToiMGtNt6Nbar-7lngyUwfu3l1i7rglCuwzxkC06ii-hJUc31Oi2OE0r96L0Wku-yiSQ8wbnDF1cSSB8dh9z-rFVhSdXnKyKwwkLeJzrH_OGhVOnCaYmco', 'width': 3096}]",ChIJV2jpgTnivi0RGFa2viUQJiI,"{'compound_code': 'QCXX+RR Kalegowa, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQCXX+RR'}",4.3,ChIJV2jpgTnivi0RGFa2viUQJiI,"['lodging', 'point_of_interest', 'establishment']",117,,https://www.google.com/maps/place/?q=place_id:ChIJV2jpgTnivi0RGFa2viUQJiI
OPERATIONAL,"Jalan Pengayoman Blok E No.9B, Komp Pasar Segar, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222, Indonesia","{'location': {'lat': -5.162136299999999, 'lng': 119.4515626}, 'viewport': {'northeast': {'lat': -5.160766820107278, 'lng': 119.4528613298927}, 'southwest': {'lat': -5.163466479892722, 'lng': 119.4501616701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Town,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109291960212729763403"">linda kireina</a>'], 'photo_reference': 'AUGGfZkdVE6InLAIzGCQwCeA5x8o_aP9MTISOQqxNuqKi2TNgDohZMGpYJXai74TprONQhQVKv2VHyUjjPnyf-IPHOF0xQLuPpsTuLI3rFL-2pkEPSgnYds-Sa3P9ez5QfvVBw9vci0Pe80vVCgVws6EfYu_w0rbtaSsgGCMXpE3Jod3ZEzD', 'width': 4000}]",ChIJC9c93MHivi0RjKO9P-Td5tM,"{'compound_code': 'RFQ2+4J Pandang, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRFQ2+4J'}",4.4,ChIJC9c93MHivi0RjKO9P-Td5tM,"['lodging', 'point_of_interest', 'establishment']",1067,,https://www.google.com/maps/place/?q=place_id:ChIJC9c93MHivi0RjKO9P-Td5tM
OPERATIONAL,"Jl. Boulevard No.55, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222, Indonesia","{'location': {'lat': -5.1567063, 'lng': 119.4486001}, 'viewport': {'northeast': {'lat': -5.155455370107278, 'lng': 119.4496879298927}, 'southwest': {'lat': -5.158155029892722, 'lng': 119.4469882701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Swiss-Belinn Panakkukang Makassar,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104203223834410936367"">Swiss-Belinn Panakkukang</a>'], 'photo_reference': 'AUGGfZmnNblNMJH1t2phlu9492T1mi4K7LvkG56hu-6UbxI38bAjTQfbgfK1MJhr9zrnSJidLnCltZBo2Eo9-tk9yG-D03LtGkFJm2kEMjFrlLzGs5eOU_UPSOqJmS4s9Ohx7lfLDHIveS0Fsx88FzwlUQNcVJ_S5aPgDEe1bHJu4YSNDOkw', 'width': 1080}]",ChIJjSrWfMHivi0R-VFk6IgrKNk,"{'compound_code': 'RCVX+8C Pandang, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCVX+8C'}",4.6,ChIJjSrWfMHivi0R-VFk6IgrKNk,"['lodging', 'point_of_interest', 'establishment']",6997,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJjSrWfMHivi0R-VFk6IgrKNk
OPERATIONAL,"Jl. Bau Mangga No.19 A, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90174, Indonesia","{'location': {'lat': -5.1602492, 'lng': 119.4440673}, 'viewport': {'northeast': {'lat': -5.158902420107278, 'lng': 119.4454397798927}, 'southwest': {'lat': -5.161602079892722, 'lng': 119.4427401201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HARVEST INN,"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103435647964769832205"">riza ansh</a>'], 'photo_reference': 'AUGGfZnpl42132XG3W5ubU-FbYAiVozy0zbMXb4XIS2PLLobammINxpCF3vVLn_ABsFk63hU-8_UeUVd4R3nOLiLcw163o8v0_hprXqA8xbqvLCFIG3cx3DzN8t6ZXSkrLx9XkB-JJ_tN1nJnfDw6sem_tztjAFsY8ZOrmlSeAGbe_bO7fcb', 'width': 1000}]",ChIJmXo4UsTjvi0RjVoGXHJFXUU,"{'compound_code': 'RCQV+WH Masale, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCQV+WH'}",4.5,ChIJmXo4UsTjvi0RjVoGXHJFXUU,"['lodging', 'point_of_interest', 'establishment']",160,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJmXo4UsTjvi0RjVoGXHJFXUU
OPERATIONAL,"Jl. A. P. Pettarani No.88, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia","{'location': {'lat': -5.160801, 'lng': 119.4357721}, 'viewport': {'northeast': {'lat': -5.159464420107279, 'lng': 119.4371542798927}, 'southwest': {'lat': -5.162164079892722, 'lng': 119.4344546201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Vasaka Hotel Makassar managed by DAFAM,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103869458352257856779"">A Google User</a>'], 'photo_reference': 'AUGGfZlhv76nvNiNrIGT5K5QHadBhuyTTbD4XF-qXq0VhAgsfnuIveTIVeJmLUObqMKC25aoVXpxdGJ9LfedQiSQInDzOeUJk7FraEdvRJo0hBlKV7TcepYoeJw1CqQJ-TcN1b7ocLwpNXCB7sePhMuD4dlA6s3bXUSJkcTgGtMh9d7SdT97', 'width': 1920}]",ChIJFbkDU7_jvi0R3qv7EFy0-Bc,"{'compound_code': 'RCQP+M8 Banta-Bantaeng, Makassar City, South Sulawesi, Indonesia', 'global_code': '6P6XRCQP+M8'}",4.5,ChIJFbkDU7_jvi0R3qv7EFy0-Bc,"['tourist_attraction', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",1422,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJFbkDU7_jvi0R3qv7EFy0-Bc
