business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. H. Arsyad Ahmad No.2, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.323834, 'lng': 103.155514}, 'viewport': {'northeast': {'lat': -0.3225336701072777, 'lng': 103.1567933298927}, 'southwest': {'lat': -0.3252333298927222, 'lng': 103.1540936701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Elite Hotel Tembilahan,{'open_now': True},"[{'height': 6016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109113325670775498770"">A Google User</a>'], 'photo_reference': 'AUGGfZkX6ldTgsM4sL_Dx-F6MwevZVVFKPjG3GuX6jMc9eu9gBR12WXLH4dzTu9qKZXdkUK-ozRSMgDfekhEZUKTWGu9y5y1XNX3vbc6WhaNLdeefj8Re0YgBblekgYDzStVcqLuPJSiDUV8U4uaHcY2YEfKZkokTLAeQr9wbt5GvdAGpT1k', 'width': 4000}]",ChIJCZkJHzRAKC4Rqwtb87U3FD4,"{'compound_code': 'M5G4+F6 Tembilahan Kota, Indragiri Hilir Regency, Riau, Indonesia', 'global_code': '6PF5M5G4+F6'}",4.3,ChIJCZkJHzRAKC4Rqwtb87U3FD4,"['cafe', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",693,https://www.google.com/maps/place/?q=place_id:ChIJCZkJHzRAKC4Rqwtb87U3FD4
OPERATIONAL,"Jl. Abdul Manaf, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.3266702, 'lng': 103.1546887}, 'viewport': {'northeast': {'lat': -0.3252901201072778, 'lng': 103.1560846298927}, 'southwest': {'lat': -0.3279897798927222, 'lng': 103.1533849701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Harmoni Indragiri,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109629210413462665041"">A Google User</a>'], 'photo_reference': 'AUGGfZkYVwlemZdFHZzTp9AzwjIdlJ_AShe-Tvk1vybHRZG0KJ49CCv3c2zK0k18rfk1878aQsa6YPFe6ZsC6smYTR4KyBfI7VmaUx0IUwOj_mof3ZfUSaes7Tfy6M2gxZ-Gsc16MlgSJwAVQzeg7SuqSYjvVqwCL93xQTV6SdBxyYL8w-mc', 'width': 4160}]",ChIJgWSI6y9AKC4RiNoKwhBc3zI,"{'compound_code': 'M5F3+8V Tembilahan Kota, Indragiri Hilir Regency, Riau, Indonesia', 'global_code': '6PF5M5F3+8V'}",4.4,ChIJgWSI6y9AKC4RiNoKwhBc3zI,"['lodging', 'point_of_interest', 'establishment']",1114,https://www.google.com/maps/place/?q=place_id:ChIJgWSI6y9AKC4RiNoKwhBc3zI
OPERATIONAL,"M5H2+5WM, Jl. Baharuddin Yusuf, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.3219507, 'lng': 103.1522283}, 'viewport': {'northeast': {'lat': -0.3206059701072777, 'lng': 103.1535823298927}, 'southwest': {'lat': -0.3233056298927222, 'lng': 103.1508826701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Dubest Tembilahan,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103665552170566000683"">Syarif Suraja</a>'], 'photo_reference': 'AUGGfZltpEe_IJhTI62Zt4ORuFJnj6ReQtuqR81t3AdIvyqxDJtVlYc0Le9xZTCjPaRbWCdQJEpMa37SrgfdCz6VO7iR8YeDa29xGd03a5wyYZCfQQ9zBgESecpaoNeiZfvD0k9t-atewapRcc4wjRSz6r4qfSbhGgcxo-pey4Ca4uDnfPoO', 'width': 3264}]",ChIJ65QgSDZAKC4Rg7IMJcpzT3o,,4.2,ChIJ65QgSDZAKC4Rg7IMJcpzT3o,"['lodging', 'point_of_interest', 'establishment']",566,https://www.google.com/maps/place/?q=place_id:ChIJ65QgSDZAKC4Rg7IMJcpzT3o
OPERATIONAL,"M5J3+2QH, Tembilahan Kota, Tembilahan, Indragiri Hilir Regency, Riau 29214, Indonesia","{'location': {'lat': -0.3199342, 'lng': 103.1544834}, 'viewport': {'northeast': {'lat': -0.3185784701072778, 'lng': 103.1558278798927}, 'southwest': {'lat': -0.3212781298927223, 'lng': 103.1531282201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel TOP 5 Tembilahan,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114331097877393912607"">muhammad akbar Muttaqin</a>'], 'photo_reference': 'AUGGfZmjfMFaB-G5ML9l6BelEuX-aJ4n8Pf91xG5Pk61ZI39xJcrKl6ZTXT6LMF5JoMe22l1OhhzTtOY89Q0EhlS7-a5eXrOVM4nEy3AF0Z-e3akqYInSnIoDYPzED4hGPkwsBfiZ08QnPWtZUiE3-KQHAj1bCs3j3xKr0kcH_d1vfXVcC9Z', 'width': 4608}]",ChIJj_zHcTdAKC4R-VLTiwbpZOU,,4.2,ChIJj_zHcTdAKC4R-VLTiwbpZOU,"['lodging', 'point_of_interest', 'establishment']",374,https://www.google.com/maps/place/?q=place_id:ChIJj_zHcTdAKC4R-VLTiwbpZOU
OPERATIONAL,"M5G2+VX3, Jl. Batang Tuaka No.32, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.322532, 'lng': 103.1522537}, 'viewport': {'northeast': {'lat': -0.3212107201072777, 'lng': 103.1535638298927}, 'southwest': {'lat': -0.3239103798927222, 'lng': 103.1508641701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Tembilahan,,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117732438616543099309"">nasrul hanapi</a>'], 'photo_reference': 'AUGGfZkqBeQDurarvs43bBup0e_7ZihGInOPq-TaGUaOP4nJijwAtyrSIdXVM_eZ5IALzwNb70BTgr87mp7dFO-33qrlwYuCXIc0Ii_FcVW4HAa-SeE2Kh4Rg00Zc-nAWghuthGFP8Tn2S4zhzJkRRYuvhLvPHpfRRAGTBfAkPi4_cGiF-9V', 'width': 4000}]",ChIJ48YaPjZAKC4R_dH96VGrMZM,,3.9,ChIJ48YaPjZAKC4R_dH96VGrMZM,"['lodging', 'point_of_interest', 'establishment']",178,https://www.google.com/maps/place/?q=place_id:ChIJ48YaPjZAKC4R_dH96VGrMZM
OPERATIONAL,"M5G3+VQ5, Jl. H. Arsyad Ahmad, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.322884, 'lng': 103.1545117}, 'viewport': {'northeast': {'lat': -0.3215070201072777, 'lng': 103.1558992298927}, 'southwest': {'lat': -0.3242066798927222, 'lng': 103.1531995701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Pinang Inn Tembilahan,,"[{'height': 1599, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104871840852884260230"">A Google User</a>'], 'photo_reference': 'AUGGfZkzP7hCvzTwz2iHs7THJe8rpiNtGL6VLP_uZ8eq9I29TpMgE7VDW7tE55arBaQ9CFr403W7DlQwLmYt-yMr_HCq-2qzdb0kkUsggksNBaMEnH0VeB1wNCSZuMCcXZy3s63_71o24o9Ws8zwb6fxBOX_iO3bFfE4ruJHfd61rH0QMThs', 'width': 899}]",ChIJxyZo1VxBKC4RMXZhc06ztJw,,4.5,ChIJxyZo1VxBKC4RMXZhc06ztJw,"['lodging', 'point_of_interest', 'establishment']",37,https://www.google.com/maps/place/?q=place_id:ChIJxyZo1VxBKC4RMXZhc06ztJw
OPERATIONAL,"M5C4+X7X, Jl. Abdul Manaf, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.3275404, 'lng': 103.1556682}, 'viewport': {'northeast': {'lat': -0.3262517201072778, 'lng': 103.1569316798927}, 'southwest': {'lat': -0.3289513798927223, 'lng': 103.1542320201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Green ACC,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109014435975584179674"">A Google User</a>'], 'photo_reference': 'AUGGfZlXqsWUIRGikcjUH_yNpk2GDeRawvisFhePXECPVF8nTlKPmuRlMeDBdeAz4e-xZvet6cK-rW8evpqTCSyye5rJOro1u9Jb6Jpo3FERBi2yrqz7JQ_FHZYqKn5m2RfZB1ObVVjIymneXZFfk_LZkl2JEXdlvN_HS6ShfjtcBWaArhbU', 'width': 4160}]",ChIJS8SrtDVAKC4RwUkb51CZjHQ,,4.3,ChIJS8SrtDVAKC4RwUkb51CZjHQ,"['lodging', 'point_of_interest', 'establishment']",397,https://www.google.com/maps/place/?q=place_id:ChIJS8SrtDVAKC4RwUkb51CZjHQ
OPERATIONAL,"Jl. Guru Hasan Lrg. Garam, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.3264983, 'lng': 103.1563028}, 'viewport': {'northeast': {'lat': -0.3251038701072778, 'lng': 103.1577278298927}, 'southwest': {'lat': -0.3278035298927222, 'lng': 103.1550281701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Inhil Pratama Hotel,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100854825918456356876"">A Google User</a>'], 'photo_reference': 'AUGGfZnTZNOeQA5RVNSkRhk4rmiAhgxVp_c7Te_mWLwgibhuQpBGtQ2yeNbbrybQ6_Stwpaqywq4_rxuHbquC315OV3MWeA3QWeHLbps9016BvrJEA2hFBk_0qLU0KYCjLmYYOc_Vj9H7q5hHWKoJWHDYQoRc6ocH8Vo0j_y0vKg5DC8Pm4O', 'width': 1600}]",ChIJ95ZJhDRAKC4RFQZljnW8bSg,"{'compound_code': 'M5F4+CG Tembilahan Kota, Indragiri Hilir Regency, Riau, Indonesia', 'global_code': '6PF5M5F4+CG'}",4.2,ChIJ95ZJhDRAKC4RFQZljnW8bSg,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",444,https://www.google.com/maps/place/?q=place_id:ChIJ95ZJhDRAKC4RFQZljnW8bSg
OPERATIONAL,"Jl. Lingkar II No. 11 Pekan Arba, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.3125661, 'lng': 103.1507824}, 'viewport': {'northeast': {'lat': -0.3111901201072778, 'lng': 103.1521161298927}, 'southwest': {'lat': -0.3138897798927222, 'lng': 103.1494164701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Telaga Puri Hotel,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110383156444648827339"">Radja Azwardinata</a>'], 'photo_reference': 'AUGGfZnShEXX6-x7BoShL4IrUlaSMJ8Q0wCahCgDsABw3wFGZs6mZ_RMgNugXkJT4iFAxx0vMncV3H2-GMrYHhiXtaLAlNARwDcUQUFAU0FeRI2DyuNbErE8Ik4MLySj-tPgJhtyHByyk_Ar1T9GkuGmUTh-78ZfFpHv11OV7DJmKF8Lfiig', 'width': 3264}]",ChIJB1FTIYc_KC4RSESq0nOMLTA,"{'compound_code': 'M5P2+W8 Tembilahan Kota, Indragiri Hilir Regency, Riau, Indonesia', 'global_code': '6PF5M5P2+W8'}",3.9,ChIJB1FTIYc_KC4RSESq0nOMLTA,"['lodging', 'point_of_interest', 'establishment']",150,https://www.google.com/maps/place/?q=place_id:ChIJB1FTIYc_KC4RSESq0nOMLTA
OPERATIONAL,"Jl. H. Khalidi, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214, Indonesia","{'location': {'lat': -0.3256089, 'lng': 103.1564392}, 'viewport': {'northeast': {'lat': -0.3242305701072778, 'lng': 103.1578254298927}, 'southwest': {'lat': -0.3269302298927222, 'lng': 103.1551257701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tembilahan Pratama,{'open_now': True},"[{'height': 420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110833133895004788495"">A Google User</a>'], 'photo_reference': 'AUGGfZmbegk8v1Y1zW0LXvMJEPpeRO7TmpsL3jpRX7xpPq6fV5Z3DOvwpAmDV0rW0m5fH6DRogAWJty8EaBAVDcXkt3NY9EonoCywbzHy-WN3H3bE5VzoMVWqxqo2jrbYrDo9APtDrIFj_16oNdasaey4UsLGvPRmOsoYzL_n0T5ygZ34F5-', 'width': 749}]",ChIJJ85keTRAKC4RiDLINBP_Mhc,"{'compound_code': 'M5F4+QH Tembilahan Kota, Indragiri Hilir Regency, Riau, Indonesia', 'global_code': '6PF5M5F4+QH'}",4.0,ChIJJ85keTRAKC4RiDLINBP_Mhc,"['lodging', 'point_of_interest', 'establishment']",202,https://www.google.com/maps/place/?q=place_id:ChIJJ85keTRAKC4RiDLINBP_Mhc
