business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Entrop, Jayapura Selatan, Jayapura City, Papua, Indonesia","{'location': {'lat': -2.5692353, 'lng': 140.7031421}, 'viewport': {'northeast': {'lat': -2.567928670107277, 'lng': 140.7045919298927}, 'southwest': {'lat': -2.570628329892722, 'lng': 140.7018922701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Horison Ultima,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114212467477235538169"">A Google User</a>'], 'photo_reference': 'AUGGfZmzEqKy3xY7rzFM_n67sfcFVbtc4d_Ju4ySdsXl9bEbzRfYpXsca1eczqxe2DCKet-eawT-vINQkFuOHiWrhVcl6lNx_lgRBrRBUruR5QvMG4_z_J_6mlumPgGSUBqLU5e5HcSJLNQhZLMiVewPK5nad5vEOYG-dRklgUoC9jCQbaaV', 'width': 1006}]",ChIJNapUXgVZbGgRn8y_W7nebmA,"{'compound_code': 'CPJ3+87 Entrop, Jayapura City, Papua, Indonesia', 'global_code': '6R92CPJ3+87'}",4.5,ChIJNapUXgVZbGgRn8y_W7nebmA,"['lodging', 'point_of_interest', 'establishment']",405,,https://www.google.com/maps/place/?q=place_id:ChIJNapUXgVZbGgRn8y_W7nebmA
OPERATIONAL,"Jalan Kelapa Dua Entrop No. 12, RT.002/RW.009, Ardipura, Distrik Jayapura Selatan, Kota Jayapura, Papua 99221, Indonesia","{'location': {'lat': -2.567625, 'lng': 140.7023773}, 'viewport': {'northeast': {'lat': -2.566335470107278, 'lng': 140.7037094798927}, 'southwest': {'lat': -2.569035129892723, 'lng': 140.7010098201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BATIQA Hotel Jayapura,"[{'height': 1653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106933348499997430332"">A Google User</a>'], 'photo_reference': 'AUGGfZlgKNfd8EP4OysUzJ8UKHm8UqlUaehyO-V1csiVmVBLRcKsckeaa_6v4lpkXZlSrP8Y-Ar9Mz2y-NwMnk-y0PEJliLmA_zB9SGwO73rDgbQ3je7wr_qPZdwlSyJy65pxYFr6YI83zsNT_IdMKRolkaibfE3PVGW0v4quFw71KOHD36i', 'width': 2339}]",ChIJa8sFZEJZbGgRMO-D4ofr9mM,"{'compound_code': 'CPJ2+WX Ardipura, Jayapura City, Papua, Indonesia', 'global_code': '6R92CPJ2+WX'}",4.6,ChIJa8sFZEJZbGgRMO-D4ofr9mM,"['lodging', 'point_of_interest', 'establishment']",353,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJa8sFZEJZbGgRMO-D4ofr9mM
OPERATIONAL,"Jl. Klp. 2 No.18, Entrop, Distrik Jayapura Selatan, Kota Jayapura, Papua 99221, Indonesia","{'location': {'lat': -2.5661461, 'lng': 140.6996539}, 'viewport': {'northeast': {'lat': -2.564726470107277, 'lng': 140.7009605298927}, 'southwest': {'lat': -2.567426129892722, 'lng': 140.6982608701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Tabi Hotel Papua,"[{'height': 448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111627557848111565466"">A Google User</a>'], 'photo_reference': 'AUGGfZlHOkF-a95mT7u9aQFDBc4imuv3XsfSfhsoN3TV5BCb8XfJsPGPuq806uBfOCNSnpPEIxg4AgO85WkI3CNFcz6azp9yvzZQov9VmCgIGeelpZSIgo8rId9LFtm8eIBQH8zAQayiYcEV3NWDbo4gZpZ249t2gFCd0O23M-nsPczzT8dN', 'width': 684}]",ChIJbyPpt5RYbGgRM6qzQdEvipw,"{'compound_code': 'CMMX+GV Entrop, Jayapura City, Papua, Indonesia', 'global_code': '6R92CMMX+GV'}",4.1,ChIJbyPpt5RYbGgRM6qzQdEvipw,"['lodging', 'point_of_interest', 'establishment']",935,,https://www.google.com/maps/place/?q=place_id:ChIJbyPpt5RYbGgRM6qzQdEvipw
OPERATIONAL,"Pusat Bisnis Jayapura, Jl. Pacific Permai, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua 99112, Indonesia","{'location': {'lat': -2.5390337, 'lng': 140.7115637}, 'viewport': {'northeast': {'lat': -2.537642570107278, 'lng': 140.7128981298927}, 'southwest': {'lat': -2.540342229892723, 'lng': 140.7101984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Swiss-Belhotel Jayapura, Papua","[{'height': 653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113849272310933411998"">Swiss-Belhotel Papua</a>'], 'photo_reference': 'AUGGfZmfL-Y_VGs5jPI-GmmgcvdJN7PO3URgPymprNS5x13jKfLX8_lf-TAS8Ra9gTMwyqvTCCFhL8mSwTrBpCjXJ22h4WLzBuaROTAZASiBk08GTlYMkXdcfxXuG_dIc_e8p_twoTKMQHO9PC9sHAs3hSmdXUb3hPo31WdLlMdoGguLKT2w', 'width': 1159}]",ChIJTSUnu05YbGgRi-TG8Fr3FL0,"{'compound_code': 'FP66+9J Bayangkara, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP66+9J'}",4.6,ChIJTSUnu05YbGgRi-TG8Fr3FL0,"['lodging', 'point_of_interest', 'establishment']",2906,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJTSUnu05YbGgRi-TG8Fr3FL0
OPERATIONAL,"Jl. Ahmad Yani No.12, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99117, Indonesia","{'location': {'lat': -2.5425425, 'lng': 140.7031381}, 'viewport': {'northeast': {'lat': -2.541358720107278, 'lng': 140.7045438798927}, 'southwest': {'lat': -2.544058379892722, 'lng': 140.7018442201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mercure Hotel Jayapura,"[{'height': 2528, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106408071236079303719"">A Google User</a>'], 'photo_reference': 'AUGGfZkmExJ7KMxJi4uoekln5tU5cvs_kCIDI0-Vcl4vFX6V9nFvn_UlxWJwGJS6DPrU0zFjWMsicxgJTNjZ5XHG0am6D1z00gw98N2XiIVsCGsV-0BezIpNOzVenVfhIHkPk1Qqhlw1c3c-8Px4dmR2StZSHsOcNAhWtC2ouO1ksWsbOrtv', 'width': 1686}]",ChIJ80vE0UNYbGgRjIPXuSsLjSI,"{'compound_code': 'FP43+X7 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP43+X7'}",4.3,ChIJ80vE0UNYbGgRjIPXuSsLjSI,"['lodging', 'point_of_interest', 'establishment']",1454,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ80vE0UNYbGgRjIPXuSsLjSI
OPERATIONAL,"Jl. Percetakan Negara No.50 - 58, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.541273, 'lng': 140.7031631}, 'viewport': {'northeast': {'lat': -2.539981020107277, 'lng': 140.7046250298927}, 'southwest': {'lat': -2.542680679892722, 'lng': 140.7019253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ASTON Jayapura Hotel & Convention Center,"[{'height': 3899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112794171403465458245"">Aston Jayapura Hotel &amp; Convention Center</a>'], 'photo_reference': 'AUGGfZlPIuZPlImxI5M34cjngI7bBQPNq8lgaX2vn__R4s9bBUavr-4DIY1sq1df5jMpBg0jisqYcpYCLMiFCwQaTMTNQgpDN9PAVExakk6ns4HVn8iX_XxJf35X2UDJVxQcb1tlwtpwBwfvqhpVg1RjGJhBwe2W14J1vHAFslXdkFeAIX7O', 'width': 2430}]",ChIJoQrHTh5YbGgRZYo1_bR4HRo,"{'compound_code': 'FP53+F7 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP53+F7'}",4.5,ChIJoQrHTh5YbGgRZYo1_bR4HRo,"['lodging', 'point_of_interest', 'establishment']",2513,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJoQrHTh5YbGgRZYo1_bR4HRo
OPERATIONAL,"Jl. Percetakan II No.2, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99351, Indonesia","{'location': {'lat': -2.5424867, 'lng': 140.7020984}, 'viewport': {'northeast': {'lat': -2.541188420107278, 'lng': 140.7035919298927}, 'southwest': {'lat': -2.543888079892723, 'lng': 140.7008922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Horison Jayapura,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112389773911668235694"">A Google User</a>'], 'photo_reference': 'AUGGfZkCVOL0mQW-BZyWKtPc3lwLSRJpUc0p6QMfeJiWKBwbAfFeiJCTV6HFavDvIzPQlUz-nLPDmd2GpEOXXI-wYZJ1DnrAcZJkp6cMK958vLShtJHIXL5qc9shcZx2gSIovwHCtA8ovOI-PGg_lTKBxkjGxRpo53Dk_SHYWBNqLsTw2Aek', 'width': 5184}]",ChIJj0H4JEFYbGgRD7TxXMl9dYA,"{'compound_code': 'FP52+2R Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP52+2R'}",4.4,ChIJj0H4JEFYbGgRD7TxXMl9dYA,"['lodging', 'point_of_interest', 'establishment']",1244,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJj0H4JEFYbGgRD7TxXMl9dYA
OPERATIONAL,"Jl. Raya Kelapa Dua Entop. 18, Ardipura, Entrop, Jayapura Selatan, Jayapura City, Papua 99223, Indonesia","{'location': {'lat': -2.5681421, 'lng': 140.7023647}, 'viewport': {'northeast': {'lat': -2.566866170107278, 'lng': 140.7036873798928}, 'southwest': {'lat': -2.569565829892722, 'lng': 140.7009877201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Le Premiere Hotel,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117125084642110695172"">A Google User</a>'], 'photo_reference': 'AUGGfZlyvfOCtXIgRRCGmVSeIjeqGHEBRhcZuwLNw6UBVcspGBTjNKRN6zBAx0FAL_7R6Ewt9Svmxmcpggolx811mfkOQxgY9qtvovwYqgaMiboSE13uxr0s2LR_hQC-495BI15_i0G96LvXyKUFkU3P_08FPqkLg93INwJKrlQW4p7TXn6i', 'width': 1280}]",ChIJcbdL9-pYbGgReHJ3C2-A_2o,"{'compound_code': 'CPJ2+PW Entrop, Jayapura City, Papua, Indonesia', 'global_code': '6R92CPJ2+PW'}",4.0,ChIJcbdL9-pYbGgReHJ3C2-A_2o,"['lodging', 'point_of_interest', 'establishment']",333,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJcbdL9-pYbGgReHJ3C2-A_2o
OPERATIONAL,"Jl. Raya Abepura No.7, Entrop, Distrik Jayapura Selatan, Kota Jayapura, Papua 99223, Indonesia","{'location': {'lat': -2.5763141, 'lng': 140.68644}, 'viewport': {'northeast': {'lat': -2.574983570107277, 'lng': 140.6877366298927}, 'southwest': {'lat': -2.577683229892722, 'lng': 140.6850369701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel New Season and Cafe,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114887664722059590952"">Andrew Tanardi</a>'], 'photo_reference': 'AUGGfZkOXr02oCMzg5W6_df3XHkBSpF8SbBZhiIqAaoXn3pdvgqoXx3vv5efY9a9fJ1utWC1l6--E__nUv0hjFRL8jwWNa-4J9IfB2TDiMi9aVC13sm9eLzTRPB-MUV2wk2CU1N_yhJ_fKgZYBTCYRF_xTygrpRAX495A17zadinCwE_I6o3', 'width': 4624}]",ChIJfzlZukFYbGgRkRAF5TshKEU,"{'compound_code': 'CMFP+FH Entrop, Jayapura City, Papua, Indonesia', 'global_code': '6R92CMFP+FH'}",4.1,ChIJfzlZukFYbGgRkRAF5TshKEU,"['lodging', 'point_of_interest', 'establishment']",125,,https://www.google.com/maps/place/?q=place_id:ChIJfzlZukFYbGgRkRAF5TshKEU
OPERATIONAL,"Jl. Raya Abepura No.80, Wai Mhorock, Kec. Abepura, Kota Jayapura, Papua 99221, Indonesia","{'location': {'lat': -2.6003867, 'lng': 140.6763952}, 'viewport': {'northeast': {'lat': -2.599021170107278, 'lng': 140.6777522298927}, 'southwest': {'lat': -2.601720829892723, 'lng': 140.6750525701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Horison Kotaraja Hotel,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112631534142761040630"">ud Dika</a>'], 'photo_reference': 'AUGGfZmNF7TGqvjITb1tB7mXjeq7_pSwhJvHGJREP6xc6hPkYrJhDRab-DvklKa1qwfBi1b15k0_8Pbh5OejADd6W3iN-PQJpkF4Lc5xqw8HQY6GK5jlovDY9DumSdkshx5Dqkeqy6BLkJ5BykCaU8qo_FjPSpZq-YXO3scYZV5s06xWQF_0', 'width': 4080}]",ChIJ73840fP1bGgR3pEf5kZoi5I,"{'compound_code': '9MXG+RH Wai Mhorock, Jayapura City, Papua, Indonesia', 'global_code': '6R929MXG+RH'}",4.4,ChIJ73840fP1bGgR3pEf5kZoi5I,"['lodging', 'point_of_interest', 'establishment']",1193,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ73840fP1bGgR3pEf5kZoi5I
