business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"2188, Jalan Timah, Bandar Baru, 31900 Kampar, Perak, Malaysia","{'location': {'lat': 4.3275117, 'lng': 101.1452128}, 'viewport': {'northeast': {'lat': 4.328839529892721, 'lng': 101.1465243298927}, 'southwest': {'lat': 4.326139870107277, 'lng': 101.1438246701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Kampar Hotel,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111233164739460043794"">Grand Kampar Hotel</a>'], 'photo_reference': 'AUGGfZnqLmfsDyUt_WHl6CARa3GzflieR0Rdx-I09sqLDwpBOoTyMssQLSkQsw-QbKk9gyTMeXo86lsQiv2AO5ovc-imf79i1BmZQrBcYsEaQFPFtK9ZhhLI-yxigbj9BQlotEi0hKmQiGscNo9G3RFoogklLv8wePeeNx32L5rEijwhnPAX', 'width': 960}]",ChIJl8bUgbviyjERvIvbEIraHww,"{'compound_code': '84HW+23 Kampar, Perak, Malaysia', 'global_code': '6PP384HW+23'}",4.0,ChIJl8bUgbviyjERvIvbEIraHww,"['lodging', 'point_of_interest', 'establishment']",1837,https://www.google.com/maps/place/?q=place_id:ChIJl8bUgbviyjERvIvbEIraHww
OPERATIONAL,"Jl. Kubang Raya No.80, Tuah Karya, Kec. Tambang, Kabupaten Kampar, Riau 28293, Indonesia","{'location': {'lat': 0.4448305, 'lng': 101.3700021}, 'viewport': {'northeast': {'lat': 0.4461724298927222, 'lng': 101.3712088298927}, 'southwest': {'lat': 0.4434727701072778, 'lng': 101.3685091701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Madina Hotel,,"[{'height': 1728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103421541403646402660"">A Google User</a>'], 'photo_reference': 'AUGGfZl-sXSOaTyBvjTn1zcPf5MeQk68oWG8DlFw7aqjbSjS6XdZbUsiaIJM-9n1mV-ysDCSDsxYkLEtce6lrdZHmWRFrBqvUQQNXm_1aRfviMzpcdRLThFgn-3fwY32e8Hnb-LQM7QRqJMGVbwCGe-A78qPPd2kH2qFNQ0ExnG_3IYkljRm', 'width': 3936}]",ChIJR4OTlnOo1TERYnumn46EK_k,"{'compound_code': 'C9VC+W2 Tuah Karya, Pekanbaru City, Riau, Indonesia', 'global_code': '6PG3C9VC+W2'}",4.2,ChIJR4OTlnOo1TERYnumn46EK_k,"['lodging', 'point_of_interest', 'establishment']",614,https://www.google.com/maps/place/?q=place_id:ChIJR4OTlnOo1TERYnumn46EK_k
OPERATIONAL,"Jl. Cendana No.3, Tj. Sawit, Kec. Tapung, Kabupaten Kampar, Riau 28464, Indonesia","{'location': {'lat': 0.6293542, 'lng': 101.0832456}, 'viewport': {'northeast': {'lat': 0.6306736298927221, 'lng': 101.0846036298927}, 'southwest': {'lat': 0.6279739701072777, 'lng': 101.0819039701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Cendana,,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116985132925782803245"">A Google User</a>'], 'photo_reference': 'AUGGfZmubcBC5kVWHwJYyO-TtYKyxG9xq8rXXUoE-4rQKwX9CxZd_HyT3g74KBmUtKiTYoveqVFLOhM_JTmDXlsxPMaquVIMu5CiSj4im_EPpH9OHgPw7CtUK9x7J7jg3eSvy15ffB9xYHU8SeTu7VzHcZvxs0ecJY05fTfztV1ufq3G72kN', 'width': 1280}]",ChIJ4y-xSnXj1DERlTVk51LsxPw,"{'compound_code': 'J3HM+P7 Tanjung Sawit, Kampar Regency, Riau, Indonesia', 'global_code': '6PG3J3HM+P7'}",4.8,ChIJ4y-xSnXj1DERlTVk51LsxPw,"['lodging', 'point_of_interest', 'establishment']",19,https://www.google.com/maps/place/?q=place_id:ChIJ4y-xSnXj1DERlTVk51LsxPw
OPERATIONAL,"Bangkinang, Kampar Regency, Riau 28463, Indonesia","{'location': {'lat': 0.3436312, 'lng': 101.0282541}, 'viewport': {'northeast': {'lat': 0.3450193798927222, 'lng': 101.0295170798927}, 'southwest': {'lat': 0.3423197201072778, 'lng': 101.0268174201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91949 Ameera Homestay Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110160589373496796166"">A Google User</a>'], 'photo_reference': 'AUGGfZli68d5BzpdnEmsBRWp_J2GC6oj3JiPMa3rxeTLmdPCXAmPGCtyjfyx1anKn2EbyGdfoC5QRCuIq44wB6bvCUte7pmdum0JuSA3mApBUvrjEIPkoFrzMdk7mTNfBoVIn_iuGZkrkid4EAk-NXrbbsZReXTnzPjd5_rx3QirbFX6fOLu', 'width': 640}]",ChIJc9rwoCYV1TERQdal1whxeBs,"{'compound_code': '82VH+F8 Bangkinang, Kampar Regency, Riau, Indonesia', 'global_code': '6PG382VH+F8'}",4.6,ChIJc9rwoCYV1TERQdal1whxeBs,"['lodging', 'point_of_interest', 'establishment']",145,https://www.google.com/maps/place/?q=place_id:ChIJc9rwoCYV1TERQdal1whxeBs
OPERATIONAL,"25, Laluan Batu Sinar 2, Kampar Sentral, 31900 Kampar, Perak, Malaysia","{'location': {'lat': 4.3248909, 'lng': 101.1518827}, 'viewport': {'northeast': {'lat': 4.326180429892721, 'lng': 101.1532228298927}, 'southwest': {'lat': 4.323480770107277, 'lng': 101.1505231701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kampar Boutique Hotel(Kampar Sentral),{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108367642638866883436"">A Google User</a>'], 'photo_reference': 'AUGGfZkzurxq9Ce1q0KvAjPXe56oQyawMZFAW7i-K7EuM6huwsrpseTiYK9G2nCut7ZPhHc5Tks0uPPw1iz1Bz-eRgKzHQB5g2k2DNTUeAtQqLu6ZVZYHyzbao0wlWx65mG-n0vl14m7NLFwZ7cTJ4eF5bAu8wssZNVE5qk-euN7dKY44IsD', 'width': 4000}]",ChIJdRsr3K_iyjERglPsAM9saPE,"{'compound_code': '85F2+XQ Kampar, Perak, Malaysia', 'global_code': '6PP385F2+XQ'}",4.1,ChIJdRsr3K_iyjERglPsAM9saPE,"['lodging', 'point_of_interest', 'establishment']",568,https://www.google.com/maps/place/?q=place_id:ChIJdRsr3K_iyjERglPsAM9saPE
OPERATIONAL,"10, lapangan, Jalan Datuk Tabano, Pasar Atas (Pasar Inpres Bangkinang, Bangkinang, Kabupaten Kampar, Riau, 28412, Kabupaten Kampar, Riau 28411, Indonesia","{'location': {'lat': 0.3329286, 'lng': 101.0279832}, 'viewport': {'northeast': {'lat': 0.3341450798927224, 'lng': 101.0293698298927}, 'southwest': {'lat': 0.3314454201072778, 'lng': 101.0266701701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92055 Nirvana Homestay Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110361404039805560520"">A Google User</a>'], 'photo_reference': 'AUGGfZn7Rw-ZDgwDNxLvwaAwgkU_g1tLhhPt8DKuhwCMC7xgjVZYJp2TcLqEhmhKvFHNzQ6mT_xuOrVMGMQP2CWeJe9meVhW1ceiX7jAI_rfNAwjKDRnQ9kUky6UVlF3010-w1uMzx0hfHPNKI1sLNJr2H4nUuxhdy8JcR8Ix6ku6ylscS3T', 'width': 640}]",ChIJEYwP1U4U1TER33_xyHCkGmI,"{'compound_code': '82MH+55 Bangkinang, Kampar Regency, Riau, Indonesia', 'global_code': '6PG382MH+55'}",3.6,ChIJEYwP1U4U1TER33_xyHCkGmI,"['lodging', 'point_of_interest', 'establishment']",70,https://www.google.com/maps/place/?q=place_id:ChIJEYwP1U4U1TER33_xyHCkGmI
OPERATIONAL,"Jl. HR. Soebrantas Gg. Al - Mukhsinin No.02, Tuah Karya, Kec. Tampan, Kota Pekanbaru, Riau 28290, Indonesia","{'location': {'lat': 0.4634063, 'lng': 101.3835745}, 'viewport': {'northeast': {'lat': 0.4647545298927222, 'lng': 101.3849521798927}, 'southwest': {'lat': 0.4620548701072777, 'lng': 101.3822525201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Heya Costel Syariah,,"[{'height': 6240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106862793981389711465"">A Google User</a>'], 'photo_reference': 'AUGGfZn0jfheWU7ZkeGlbSNpXLZlY9K1R4A96qzTH__5-4cLAKnf5WzinAddmUZDYdbAxiBoSNIqfaNGP30Ixi8UoZuEudm--7xCCn7L-mRbH-ITXCjOGxmCxzmV1KPR_NoTDH02LyuA_J1UnTjlBi7ZmI17Uc1eyVC34p6b3HWeOHQpJAVj', 'width': 4160}]",ChIJ7dGKcgOp1TERicwBE7Pknds,"{'compound_code': 'F97M+9C Tuah Karya, Pekanbaru City, Riau, Indonesia', 'global_code': '6PG3F97M+9C'}",4.7,ChIJ7dGKcgOp1TERicwBE7Pknds,"['lodging', 'point_of_interest', 'establishment']",38,https://www.google.com/maps/place/?q=place_id:ChIJ7dGKcgOp1TERicwBE7Pknds
OPERATIONAL,"Jl. HR. Soebrantas Gg. Iman No.55, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28293, Indonesia","{'location': {'lat': 0.4653796000000001, 'lng': 101.3708448}, 'viewport': {'northeast': {'lat': 0.4667292798927222, 'lng': 101.3722477298927}, 'southwest': {'lat': 0.4640296201072778, 'lng': 101.3695480701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Raysa Homestay Syariah,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106859821741926028129"">A Google User</a>'], 'photo_reference': 'AUGGfZmC27a9Ek7N7ze5r1H0SFGNeyE8o13iR-V3_YPyHkQs5ImM36P4ottu2Ip6Hu7bt3vetQPqVAzj7URxk5PEccK5lnwCIfGjvm0qqMvf9B6xPSMDpdhueuroe5cHcCfi_HmdKQP8PnW1NZi-i90m0617DOFtqXxJuExL1-CRJu1AGlnS', 'width': 4032}]",ChIJl8ngphyp1TERBH0UYUICZrM,"{'compound_code': 'F98C+58 Simpang Baru, Pekanbaru City, Riau, Indonesia', 'global_code': '6PG3F98C+58'}",4.8,ChIJl8ngphyp1TERBH0UYUICZrM,"['lodging', 'point_of_interest', 'establishment']",49,https://www.google.com/maps/place/?q=place_id:ChIJl8ngphyp1TERBH0UYUICZrM
OPERATIONAL,"Jl. Raya Pekanbaru - Bangkinang No.10, Air Tiris, Kec. Kampar, Kabupaten Kampar, Riau 28463, Indonesia","{'location': {'lat': 0.3537331, 'lng': 101.100608}, 'viewport': {'northeast': {'lat': 0.3550324798927222, 'lng': 101.1019700798927}, 'southwest': {'lat': 0.3523328201072777, 'lng': 101.0992704201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92302 Salsa Homestay Syariah,,,ChIJhU-6o8YT1TERWeY4vxj_syc,"{'compound_code': '9432+F6 Air Tiris, Kampar Regency, Riau, Indonesia', 'global_code': '6PG39432+F6'}",1.0,ChIJhU-6o8YT1TERWeY4vxj_syc,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJhU-6o8YT1TERWeY4vxj_syc
OPERATIONAL,"Pondok Pesantren Umar bin Khata, Jl Rajawali No.9, Karya Indah, Tapung, Kampar Regency, Riau 28465, Indonesia","{'location': {'lat': 0.5425416, 'lng': 101.3178329}, 'viewport': {'northeast': {'lat': 0.5439111798927223, 'lng': 101.3191767798927}, 'southwest': {'lat': 0.5412115201072778, 'lng': 101.3164771201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92247 Penginapan Thoybah Syariah,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115796163624642364784"">Ahmad Jamil</a>'], 'photo_reference': 'AUGGfZnVIh7yA4V1MhbGpBoXbam8kUxLn0qEnpw7yBbXvzel1yLzF9xqIcBQKMw0QdMrFEmstVbzifaNssrUsru9Xu9a_162H7FuqsEXkDJsCBLYt4v02CBu3k2s5Ot_or9EGzhOwwiDuQ2MXippRwsymp8Pa8U_ABK6Fp4S3Alg2W-CiFHa', 'width': 2252}]",ChIJXeDkV-0B1TERObdyhdR6Y7s,"{'compound_code': 'G8V9+24 Karya Indah, Kampar Regency, Riau, Indonesia', 'global_code': '6PG3G8V9+24'}",5.0,ChIJXeDkV-0B1TERObdyhdR6Y7s,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJXeDkV-0B1TERObdyhdR6Y7s
