business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Desa Semangat Gunung Kec Merdeka, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22153, Indonesia","{'location': {'lat': 3.2254528, 'lng': 98.5050466}, 'viewport': {'northeast': {'lat': 3.226830679892723, 'lng': 98.50639782989272}, 'southwest': {'lat': 3.224131020107278, 'lng': 98.50369817010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Puncak Dua Mitra RedDoorz,"[{'height': 368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104121274935104379280"">A Google User</a>'], 'photo_reference': 'AUGGfZlCvkmuUHgFvgZuTnWH1oTfekQ3wQ1iQuh0Zh5IIGG4iKz1ijwgLNvZMdVlCHjW8wlokwlOrOnAf_pZyhe3f2cSnRyjqpehq4Oy4SEw2VUhccSIypLkR2SXvsQmfm0r_iYwU251tClaGwFddq67auMjCZIG6Y3Ecklc2Uf5ClL1RGXS', 'width': 552}]",ChIJafyCr74dMTARuNiz9mf9O6w,"{'compound_code': '6GG4+52 Jaranguda, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW6GG4+52'}",4.6,ChIJafyCr74dMTARuNiz9mf9O6w,"['lodging', 'point_of_interest', 'establishment']",105,,https://www.google.com/maps/place/?q=place_id:ChIJafyCr74dMTARuNiz9mf9O6w
OPERATIONAL,"Jl. Kolam Renang, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22156, Indonesia","{'location': {'lat': 3.202316, 'lng': 98.507699}, 'viewport': {'northeast': {'lat': 3.203582529892723, 'lng': 98.50885192989271}, 'southwest': {'lat': 3.200882870107278, 'lng': 98.50615227010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sinabung Hills Berastagi,"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111123776341201517379"">Sinabung Hills Berastagi</a>'], 'photo_reference': 'AUGGfZmRelQCir6ZtX13JGSYFCgAaA4xARJ0HdOz-xnTNcjgzxBVWoP7ybwpdpAAAjqg9eR__JpErz9GS7wB783W5ky5niUKIs3IfdB5U8k_UApR1x2nXuVKHwg5RLZkZ76xUe3hKYYb1C41d5oIlxjH0D59k2s3Z1s3yD_ObACW9QbkREVs', 'width': 5616}]",ChIJU8C9Ys0xMTARrAZDDBP3gFI,"{'compound_code': '6G25+W3 Gundaling I, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW6G25+W3'}",4.4,ChIJU8C9Ys0xMTARrAZDDBP3gFI,"['lodging', 'point_of_interest', 'establishment']",2783,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJU8C9Ys0xMTARrAZDDBP3gFI
OPERATIONAL,"6GC6+X72, Jaranguda, Merdeka, Karo Regency, North Sumatra 20354, Indonesia","{'location': {'lat': 3.2225988, 'lng': 98.51186799999999}, 'viewport': {'northeast': {'lat': 3.223958029892722, 'lng': 98.51314907989273}, 'southwest': {'lat': 3.221258370107277, 'lng': 98.51044942010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pariban Hotel,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112280826091497882897"">112280826091497882897</a>'], 'photo_reference': 'AUGGfZlobDKmq_1M6n7NIojPcdcflfgWdBhtoXsQjnf-CviOwcb64k8w0Hi76q27qyAaduu-EGJGkGeRs193hmolbp_u_0TjcOgYt4KePiCCGAD6PB4eiXRxZjW8_jZmxvvwA0P5egGfMyhvol1ba69v12LvqVNHOG474Oqrkq8ypCQNrmy3', 'width': 4608}]",ChIJ-w0FIEcdMTARnjRcmQbrOfM,,4.3,ChIJ-w0FIEcdMTARnjRcmQbrOfM,"['lodging', 'point_of_interest', 'establishment']",35,,https://www.google.com/maps/place/?q=place_id:ChIJ-w0FIEcdMTARnjRcmQbrOfM
OPERATIONAL,"Jl. Pendidikan, Jaranguda, Kec. Merdeka, Kabupaten Karo, Sumatera Utara 22153, Indonesia","{'location': {'lat': 3.2135728, 'lng': 98.501381}, 'viewport': {'northeast': {'lat': 3.214929479892723, 'lng': 98.50270237989272}, 'southwest': {'lat': 3.212229820107278, 'lng': 98.50000272010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ULU LAU,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114711673330819119592"">A Google User</a>'], 'photo_reference': 'AUGGfZn41qCWXddiwZGaH6HwK6Ehq1M8_jarmuoc_dhraKGte1DwswQIRXKPRcTKTJqBcnnXN3gblth3t-4DpZOZ1ZbbO5hFcZlFl_GnNX-VnUwnJRceBFe1gFnpG0v1-tHMXA_Q43mXDLLNfwOSbA9S5mf98IUO44nTGA9JT0Y-7lu_cmso', 'width': 1440}]",ChIJqbgyndcDMTAR96s4coHy9r4,"{'compound_code': '6G72+CH Jaranguda, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW6G72+CH'}",5.0,ChIJqbgyndcDMTAR96s4coHy9r4,"['lodging', 'point_of_interest', 'establishment']",291,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJqbgyndcDMTAR96s4coHy9r4
OPERATIONAL,"Jl. Kenangan, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22153, Indonesia","{'location': {'lat': 3.1908815, 'lng': 98.5043449}, 'viewport': {'northeast': {'lat': 3.192290079892722, 'lng': 98.50554182989272}, 'southwest': {'lat': 3.189590420107277, 'lng': 98.50284217010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Sapo Rumbia,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109273281113562428841"">A Google User</a>'], 'photo_reference': 'AUGGfZljLdoOeTtMyfZnnB8OgkK3Ln7udhZ2RtRAlGoUmOGnzVifIeynC3Vl4F3F0E_7NBPyoaVQ4orrXxqI6AKHcS6IudbYvlheGfMM2ZfRM2E905s_i8J5VC1ujT3DjDff1II6LnQ1oaKYG2nHOwd8PsAMB2rDxkItaAewOeVJxLsdinnl', 'width': 1600}]",ChIJRzJiTmMDMTARSZX4AKsvWKY,"{'compound_code': '5GR3+9P Gundaling I, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW5GR3+9P'}",4.3,ChIJRzJiTmMDMTARSZX4AKsvWKY,"['lodging', 'point_of_interest', 'establishment']",216,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJRzJiTmMDMTARSZX4AKsvWKY
OPERATIONAL,"Jl. Jamin Ginting No.134, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia","{'location': {'lat': 3.1971686, 'lng': 98.50910050000002}, 'viewport': {'northeast': {'lat': 3.198512729892723, 'lng': 98.51050482989272}, 'southwest': {'lat': 3.195813070107278, 'lng': 98.50780517010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel 3 Berastagi,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106262645198659616039"">A Google User</a>'], 'photo_reference': 'AUGGfZkQ-4Tdhkyt7KPralcslcyOyS58gr-mXxa-NGswlt-dd25-bwpxQt4OKFQ_yGGnInJaY9KMABIeZD-Are3ITA4fHerhDGsrAMkEQhWlR4y5xvFeSr8-nHrDKNZLE9jwvnVWOZDvU1LpizYq2Le4g-vVbg0F8zTsmqhXv75fv40N7Z7U', 'width': 1600}]",ChIJPQkv4UMDMTARUtG2Xn8r0LI,"{'compound_code': '5GW5+VJ Sempajaya, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW5GW5+VJ'}",4.0,ChIJPQkv4UMDMTARUtG2Xn8r0LI,"['lodging', 'spa', 'point_of_interest', 'establishment']",155,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJPQkv4UMDMTARUtG2Xn8r0LI
OPERATIONAL,"Ruko Kompleks BBC, Jl. Letjen Jamin Ginting No. 2, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia","{'location': {'lat': 3.1780463, 'lng': 98.5101595}, 'viewport': {'northeast': {'lat': 3.179410479892722, 'lng': 98.51188332989273}, 'southwest': {'lat': 3.176710820107277, 'lng': 98.50918367010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nachelle Homestay,"[{'height': 431, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101832428989533150320"">A Google User</a>'], 'photo_reference': 'AUGGfZkCGoWTn6PiQ1SugwSmmpGwar5nRbp2rYwnMsUux9dcSmXx3TrvO-inT7Ldd-wjhvAVrdyusBT-gv-zxFhcngCIq6H2vwpejawkDTLX2spM4QP3ZaVTJSfnkVr_0DfwkvyjIVk0-C9uZmxwhq3arf8QKhKW1oqwHudCIaPhrRBCjQr8', 'width': 720}]",ChIJPygRR7sDMTARG03K5tTw-84,"{'compound_code': '5GH6+63 Rumah Berastagi, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW5GH6+63'}",4.6,ChIJPygRR7sDMTARG03K5tTw-84,"['lodging', 'travel_agency', 'point_of_interest', 'establishment']",224,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJPygRR7sDMTARG03K5tTw-84
OPERATIONAL,"Jl. Merdeka, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22156, Indonesia","{'location': {'lat': 3.200599, 'lng': 98.50513900000001}, 'viewport': {'northeast': {'lat': 3.201964279892723, 'lng': 98.50657432989273}, 'southwest': {'lat': 3.199264620107278, 'lng': 98.50387467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sibayak Internasional Berastagi,"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102110970708494797228"">Hotel Sibayak Internasional Berastagi</a>'], 'photo_reference': 'AUGGfZn2WqOxaGp5azJHAFJUEtKwAE7UoexMOqNZWGvJ_SF1N4B6dhwQnZL6IO0ciXPPALmAJyurWnWTP08Cbx0oG06Dl36LLTawvqhnwMQTQCck38eHety4YFpy8xZjecJDRT-6N-rmkVab2OioZ5nUCFWpMAPqoYKykPm3T36xMGUH19aX', 'width': 1500}]",ChIJz1TjJpUCMTAR0NQrS8yrLIc,"{'compound_code': '6G24+63 Gundaling I, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW6G24+63'}",4.3,ChIJz1TjJpUCMTAR0NQrS8yrLIc,"['lodging', 'point_of_interest', 'establishment']",2458,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJz1TjJpUCMTAR0NQrS8yrLIc
OPERATIONAL,"Jl. Pendidikan No.:12 Dusun IV, Jaranguda, Kec. Merdeka, Kabupaten Karo, Sumatera Utara 22153, Indonesia","{'location': {'lat': 3.2109291, 'lng': 98.5027863}, 'viewport': {'northeast': {'lat': 3.212264029892722, 'lng': 98.50410572989273}, 'southwest': {'lat': 3.209564370107278, 'lng': 98.50140607010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bungalow Karo Hill,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116201425407837932546"">A Google User</a>'], 'photo_reference': 'AUGGfZn_oM3J7RyUbvAcFzDwIlG93zuE5nQLlwgSKgCsUp0EFIvX-aakuZvnI4MgbMVg5r5gXAHXBez90zAaDZPT85pYG8btcp0hVMTPZFoTqj_Idm5ywRI6deGI-PeoEjvDPPd3YuWVkP2CxBSvnJ4DmXil4tWcOMb3CEH1iOTszCHGmBsp', 'width': 2268}]",ChIJ79oWjRgDMTARAybh0DTSrNA,"{'compound_code': '6G63+94 Jaranguda, Karo Regency, North Sumatra, Indonesia', 'global_code': '6MMW6G63+94'}",5.0,ChIJ79oWjRgDMTARAybh0DTSrNA,"['lodging', 'point_of_interest', 'establishment']",23,,https://www.google.com/maps/place/?q=place_id:ChIJ79oWjRgDMTARAybh0DTSrNA
OPERATIONAL,"6G36+6PF, Jalan Orri (from, Jl. Jamin Ginting Jl. Lau Gumba, Sempajaya, Berastagi, Karo Regency, North Sumatra 22156, Indonesia","{'location': {'lat': 3.2030615, 'lng': 98.51178209999999}, 'viewport': {'northeast': {'lat': 3.204435179892722, 'lng': 98.51307452989272}, 'southwest': {'lat': 3.201735520107277, 'lng': 98.51037487010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Orri Hotel & Convention,"[{'height': 1696, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116999572597747869275"">A Google User</a>'], 'photo_reference': 'AUGGfZm5v3l6nHWl0XTGO21YvI9Yj8YJVL4qtWl0Tv5PHwlIAGsK8HXBvMdtXbLJDK3oIe3UiOUPAznGhHnYedB3LQHyf585yXJb9LM-OIdyT_5nQYQnLapbTxub2AlmF4U-vx77T2m_rk2irschTBn_0qr9zVbbR29VDzE5luREfH7y7lU6', 'width': 3015}]",ChIJ-TPz34oCMTARKu56CJuYQ_k,,4.0,ChIJ-TPz34oCMTARKu56CJuYQ_k,"['lodging', 'point_of_interest', 'establishment']",826,,https://www.google.com/maps/place/?q=place_id:ChIJ-TPz34oCMTARKu56CJuYQ_k
