business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,url
OPERATIONAL,"C37V+4WJ, Unnamed Road, Kalar Kalar, Aru Sel., Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -6.5871615, 'lng': 134.0947685}, 'viewport': {'northeast': {'lat': -6.585820820107277, 'lng': 134.0961492298927}, 'southwest': {'lat': -6.588520479892721, 'lng': 134.0934495701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ucup Guest House,ChIJwzh-nzILLC0R1qbrWdX6XhU,5.0,ChIJwzh-nzILLC0R1qbrWdX6XhU,"['lodging', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJwzh-nzILLC0R1qbrWdX6XhU
OPERATIONAL,"66RF+834, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.759234999999999, 'lng': 134.2227152}, 'viewport': {'northeast': {'lat': -5.758192420107278, 'lng': 134.2240498798927}, 'southwest': {'lat': -5.760892079892722, 'lng': 134.2213502201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Suasana Baru,ChIJiaoaCvGQLS0RgK0sZb1U_40,3.7,ChIJiaoaCvGQLS0RgK0sZb1U_40,"['lodging', 'point_of_interest', 'establishment']",163,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109439222053105265933"">Rahmat Kurniawan</a>'], 'photo_reference': 'AUGGfZkCYBW3pmkRwmh-kAVUhAwQSTgJ-BkmFsMIPe32C-t-SHoqGpxuX2LCw7U_6nbeG87CmIjed6GECLZrblXtkvnx7YS-LNDgRielZZumc48xAkti-C4O7dnL50rylv2SvEGFwTN6gWIFs9kSQf5JBt9NBuBe1Wl1pubod3mfvqvEDMDK', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJiaoaCvGQLS0RgK0sZb1U_40
OPERATIONAL,"G58G+XVJ, Jerol, South Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -6.482535899999999, 'lng': 134.1771519}, 'viewport': {'northeast': {'lat': -6.481244520107278, 'lng': 134.1785470298927}, 'southwest': {'lat': -6.483944179892722, 'lng': 134.1758473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Toko & Penginapan MAREN'S Jerol,ChIJbTNg0ddvLC0RLK0quew3nEE,4.3,ChIJbTNg0ddvLC0RLK0quew3nEE,"['lodging', 'point_of_interest', 'establishment']",3,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108991962944576841900"">Intiz Self</a>'], 'photo_reference': 'AUGGfZkxyzPcM046M2UoMOT8c3sdMObqPEWZYwCYkYcZ-ZSon3t5Vw57GqLmOlYbF4QiHYffxv6Fi2rQmyOfy47YTZinE936qKf_p709i2TiuqHZ81AYkzbIP2te4T9oBseI9q-4REpBCCxjeyApzKJHMmIl-yHJ9cnaRP9YCTtBeZ-1DHBX', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJbTNg0ddvLC0RLK0quew3nEE
OPERATIONAL,"jalan jalabil, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.759843, 'lng': 134.2183899}, 'viewport': {'northeast': {'lat': -5.758537870107277, 'lng': 134.2197401798927}, 'southwest': {'lat': -5.761237529892721, 'lng': 134.2170405201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,hotel Grand Aru,ChIJEfOzYvqQLS0Ral5prCbbw4w,3.8,ChIJEfOzYvqQLS0Ral5prCbbw4w,"['lodging', 'point_of_interest', 'establishment']",126,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112296546148265149985"">A Google User</a>'], 'photo_reference': 'AUGGfZmZA1LKlb8M4ZUUs7Ts8uleXU7xjXZtOuDdB0FbhFG12spDhkALkI7W3bIhxnIfzTp8eJWErVNSNTa_6Z73PKazrFebz8d-fwb7s6-Ggh-uk2HrqFhCyClxPVcOEHvI7_7Uq4grT-XcV9OPmnLEqQ8g-1GOJ6EEE1HISZYmGGFcAHhD', 'width': 4160}]","{'compound_code': '66R9+39 Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66R9+39'}",,https://www.google.com/maps/place/?q=place_id:ChIJEfOzYvqQLS0Ral5prCbbw4w
OPERATIONAL,"Jalan Pendopo II, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.7751262, 'lng': 134.2201713}, 'viewport': {'northeast': {'lat': -5.773771770107277, 'lng': 134.2214433298927}, 'southwest': {'lat': -5.776471429892721, 'lng': 134.2187436701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Neo Grand Aru,ChIJyXx_-UiRLS0RMASToP8Qk8U,4.3,ChIJyXx_-UiRLS0RMASToP8Qk8U,"['lodging', 'point_of_interest', 'establishment']",19,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118197100003852508774"">A Google User</a>'], 'photo_reference': 'AUGGfZk4aYry9DVEj5uBnO2NLnCw6PNdc4aILtZggMyC6lQrq6nFQYPA3TXa1u0xXMzPRb8cEvCyetggoNVQ5S7r-ZyJ96RNXuKitf6S9l4rv6NzwLhkjaT4w7eiGfKWNlMzgvlqXygwYyToHjkUDfvoWWYBFS2jhNPR5xbSuuglkOsX8CLb', 'width': 4160}]","{'compound_code': '66FC+X2 Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66FC+X2'}",,https://www.google.com/maps/place/?q=place_id:ChIJyXx_-UiRLS0RMASToP8Qk8U
OPERATIONAL,"66R7+C7M, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.7589178, 'lng': 134.2131838}, 'viewport': {'northeast': {'lat': -5.757587570107278, 'lng': 134.2145322298927}, 'southwest': {'lat': -5.760287229892722, 'lng': 134.2118325701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL SINAR HARAPAN DOBO,ChIJqQvfO_yQLS0RwSQaXN0ypEY,3.8,ChIJqQvfO_yQLS0RwSQaXN0ypEY,"['lodging', 'point_of_interest', 'establishment']",183,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103775523481334457280"">Chrisrianto Pattinaja</a>'], 'photo_reference': 'AUGGfZkEYuj_9O6iAvzwTENjChgzeO2CU8fXswWaug2SVI74XhJYj5GqQyirpBr7q4lbTBXwXA85CQU73ZL9BiFEOD6AohAcKlbxnMxA6iXny4Fh1dxcrh3hMk5QEzqNH1yt1Nmu8786na8KH6hvZe3mVfbR_WqDAfUS4Sv3EUdUXZ-ViTW_', 'width': 6000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJqQvfO_yQLS0RwSQaXN0ypEY
OPERATIONAL,"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.778798399999999, 'lng': 134.2095928}, 'viewport': {'northeast': {'lat': -5.777474270107279, 'lng': 134.2108405798927}, 'southwest': {'lat': -5.780173929892722, 'lng': 134.2081409201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,EORA Hotel Dobo,ChIJU9c8xhWRLS0RYk35R0P9vRg,4.6,ChIJU9c8xhWRLS0RYk35R0P9vRg,"['lodging', 'point_of_interest', 'establishment']",78,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114468447836277707508"">A Google User</a>'], 'photo_reference': 'AUGGfZkvcxGPc9IPS6j5pG55T_hUdM8kcn1ZfKg6nMPhFXeBbfnYsp9NcELFr4iJaBCvtsY8l9-BiVLfP1VRkWq1AcNuemOygfeqebd0X4LqS3InDfUHHBo51STbdV3nQ4sOG3q0WrnOQtux298PubAdw3KtZSG88fl0PShzzsKVuZ4e3tpq', 'width': 4032}]","{'compound_code': '66C5+FR Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66C5+FR'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJU9c8xhWRLS0RYk35R0P9vRg
OPERATIONAL,"Jl Terusan, Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku 90662, Indonesia","{'location': {'lat': -5.7687398, 'lng': 134.2102453}, 'viewport': {'northeast': {'lat': -5.767445470107278, 'lng': 134.2116091798927}, 'southwest': {'lat': -5.770145129892722, 'lng': 134.2089095201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Apex Dobo,ChIJJSxEtbmRLS0RFTbL3tNAms8,4.5,ChIJJSxEtbmRLS0RFTbL3tNAms8,"['lodging', 'point_of_interest', 'establishment']",27,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110832219605145646087"">A Google User</a>'], 'photo_reference': 'AUGGfZn-tR8bZsto5ExiMIvW7NOIJavxNTcgEZ5hjGqeEoMzF4n9BRtOBuIeMV8Ei--ietvSP9eq1l3P4kPgXBG4jdmyu0zquYV8yGHfpWAGfAblBO5Fl-ON0HVCB8TMSFcvm2Hkz5rQz_mrmEw1cbLltlklPh8lVo7KcfoBn-_S-LJrFow7', 'width': 6000}]","{'compound_code': '66J6+G3 Wangel, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66J6+G3'}",,https://www.google.com/maps/place/?q=place_id:ChIJJSxEtbmRLS0RFTbL3tNAms8
OPERATIONAL,"Dobo, Jl. Cendrawasih, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku 97662, Indonesia","{'location': {'lat': -5.7679187, 'lng': 134.2156641}, 'viewport': {'northeast': {'lat': -5.766571670107279, 'lng': 134.2170815798927}, 'southwest': {'lat': -5.769271329892723, 'lng': 134.2143819201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan APEX,ChIJXZqK0VyRLS0Rr0u889glsCQ,4.5,ChIJXZqK0VyRLS0Rr0u889glsCQ,"['lodging', 'point_of_interest', 'establishment']",66,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106842461078910312231"">A Google User</a>'], 'photo_reference': 'AUGGfZnLuaotspsIwtQHtVAEkcX7FWv-Q1vSHEal_8_O3Pv0oWlePQdBZ_6UPXYe718Ry6fp29qncvmAipwm0vY9XSlo_PruW0gsuQKwJ9zNxeZiXjKc7XV3zcA0zbKS7BtDH_v0fTaJx7uE7u-BUfHqrw6Dg8UdKoCjAwVk-JDkaHwT2QtJ', 'width': 1440}]","{'compound_code': '66J8+R7 Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66J8+R7'}",,https://www.google.com/maps/place/?q=place_id:ChIJXZqK0VyRLS0Rr0u889glsCQ
OPERATIONAL,"66R8+94X, Jln. Rabia Djala, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.759000899999999, 'lng': 134.2153727}, 'viewport': {'northeast': {'lat': -5.757707220107278, 'lng': 134.2167100798927}, 'southwest': {'lat': -5.760406879892722, 'lng': 134.2140104201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PENGINAPAN SUASANA PERMAI,ChIJ82DrkvuQLS0RoI4vZhJxeEw,4.1,ChIJ82DrkvuQLS0RoI4vZhJxeEw,"['lodging', 'point_of_interest', 'establishment']",20,,,,https://www.google.com/maps/place/?q=place_id:ChIJ82DrkvuQLS0RoI4vZhJxeEw
