business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"jalan jalabil, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.759843, 'lng': 134.2183899}, 'viewport': {'northeast': {'lat': -5.758537870107277, 'lng': 134.2197401798927}, 'southwest': {'lat': -5.761237529892721, 'lng': 134.2170405201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,hotel Grand Aru,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112296546148265149985"">A Google User</a>'], 'photo_reference': 'AUGGfZkV3uFrKqMuT7ZNsmk-0P23FH5unSu3a3wuMirk77dUcFPz9j5w7fqTFRSkB9yVLQCiYgxNQEaiNPyKxohOrIDnEXIPUVPRh_MmQonUPwBmHiBA7ijdC0F5F8oXajlDslSwb2EsrigoL5L3qdEXGcpKEvobI8mj-zC6gfyZ-7UVlWLY', 'width': 4160}]",ChIJEfOzYvqQLS0Ral5prCbbw4w,"{'compound_code': '66R9+39 Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66R9+39'}",3.8,ChIJEfOzYvqQLS0Ral5prCbbw4w,"['lodging', 'point_of_interest', 'establishment']",126,,https://www.google.com/maps/place/?q=place_id:ChIJEfOzYvqQLS0Ral5prCbbw4w
OPERATIONAL,"Jalan Pendopo II, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.7751262, 'lng': 134.2201713}, 'viewport': {'northeast': {'lat': -5.773771770107277, 'lng': 134.2214433298927}, 'southwest': {'lat': -5.776471429892721, 'lng': 134.2187436701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Neo Grand Aru,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118197100003852508774"">A Google User</a>'], 'photo_reference': 'AUGGfZkDpaseu7suJ13cDf29N07j3W5SEjXPSKa8V0FEH0dO2vO1ddC2fxT-v1fcLYJpJdqEQZD8Eo53JggfQWb1633xGAKh4ooBmyx_UPGev0tlkZP0sLinsKfl8v15g-wHH-aC11V-IAv3E-h5nlFL36XWGc9rAsw-XjPKX0V2asw2B1oB', 'width': 4160}]",ChIJyXx_-UiRLS0RMASToP8Qk8U,"{'compound_code': '66FC+X2 Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66FC+X2'}",4.3,ChIJyXx_-UiRLS0RMASToP8Qk8U,"['lodging', 'point_of_interest', 'establishment']",19,,https://www.google.com/maps/place/?q=place_id:ChIJyXx_-UiRLS0RMASToP8Qk8U
OPERATIONAL,"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.778798399999999, 'lng': 134.2095928}, 'viewport': {'northeast': {'lat': -5.777474270107279, 'lng': 134.2108405798927}, 'southwest': {'lat': -5.780173929892722, 'lng': 134.2081409201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,EORA Hotel Dobo,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114468447836277707508"">A Google User</a>'], 'photo_reference': 'AUGGfZlwYYyjVkydBvqFLYdkL7MCks25enxf9U_hKpDtQ8sNmEiyIGBfKgS5AJV6AARHBg-4GrQwHNNPPYatmfoV5N_rXmVoaj3tC_IrrZVkcFfUdOmHOvPcdUwQynFfTcbDgsouB8IelRCoxRJ-sjoqjc9sB0u7E7xpvgwnjETs6Z75ge6s', 'width': 4032}]",ChIJU9c8xhWRLS0RYk35R0P9vRg,"{'compound_code': '66C5+FR Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66C5+FR'}",4.6,ChIJU9c8xhWRLS0RYk35R0P9vRg,"['lodging', 'point_of_interest', 'establishment']",78,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJU9c8xhWRLS0RYk35R0P9vRg
OPERATIONAL,"G58G+XVJ, Jerol, South Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -6.482535899999999, 'lng': 134.1771519}, 'viewport': {'northeast': {'lat': -6.481244520107278, 'lng': 134.1785470298927}, 'southwest': {'lat': -6.483944179892722, 'lng': 134.1758473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Toko & Penginapan MAREN'S Jerol,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108991962944576841900"">Intiz Self</a>'], 'photo_reference': 'AUGGfZlU51V1B3W7nKmm5AYuwzsDK-gBh_HHxI6AJoXukon7oKHsPv6o3DIGTD3nx13UTTj86r89D00zy_2eWKSeyYQqKmOpFXtiSs6zFaByymxKkJLYSuRD6m4QufXlh_M8J1TffkhQdwZLkpkNXmm70J_CxEWDFEhnsmS93XagpYZ-nAMU', 'width': 1080}]",ChIJbTNg0ddvLC0RLK0quew3nEE,,4.3,ChIJbTNg0ddvLC0RLK0quew3nEE,"['lodging', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJbTNg0ddvLC0RLK0quew3nEE
OPERATIONAL,"Jl Terusan, Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku 90662, Indonesia","{'location': {'lat': -5.7687398, 'lng': 134.2102453}, 'viewport': {'northeast': {'lat': -5.767445470107278, 'lng': 134.2116091798927}, 'southwest': {'lat': -5.770145129892722, 'lng': 134.2089095201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Apex Dobo,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110832219605145646087"">A Google User</a>'], 'photo_reference': 'AUGGfZkyPHoJStu7CvOpJkPfe_5j8-N51I4QM4JFQVEvFPnYyx1rUJoWzEOxOsQhVLwLQJvwjZvQquQCT9_vWThbun-Xgsx42Ok36ZF5gVyLTE6K_mcZRu91Uec28X-roIVk4dmWezZK4GH7xghsKiUpdPt0u2LvqkRaX-BMU6tOK83XQHIz', 'width': 6000}]",ChIJJSxEtbmRLS0RFTbL3tNAms8,"{'compound_code': '66J6+G3 Wangel, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66J6+G3'}",4.5,ChIJJSxEtbmRLS0RFTbL3tNAms8,"['lodging', 'point_of_interest', 'establishment']",27,,https://www.google.com/maps/place/?q=place_id:ChIJJSxEtbmRLS0RFTbL3tNAms8
OPERATIONAL,"Dobo, Jl. Cendrawasih, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku 97662, Indonesia","{'location': {'lat': -5.7679187, 'lng': 134.2156641}, 'viewport': {'northeast': {'lat': -5.766571670107279, 'lng': 134.2170815798927}, 'southwest': {'lat': -5.769271329892723, 'lng': 134.2143819201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan APEX,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106842461078910312231"">A Google User</a>'], 'photo_reference': 'AUGGfZlLJuRvysDYvQ8AYYHSDspBD5AqFdIgEVehvg2-5PmxCd3dMjlphdBozyIOHQot9iC9G_87WyCGioopmXy4c3_pJk087ErDOPKggLariXjzLwMsHWqdXb-fDfzVmCX6UojFmFt9kvypRzc0AxxmdhXQaW00ar29t4g2X4ZuspBMhpgd', 'width': 1440}]",ChIJXZqK0VyRLS0Rr0u889glsCQ,"{'compound_code': '66J8+R7 Siwalima, Aru Islands Regency, Maluku, Indonesia', 'global_code': '6Q6P66J8+R7'}",4.5,ChIJXZqK0VyRLS0Rr0u889glsCQ,"['lodging', 'point_of_interest', 'establishment']",66,,https://www.google.com/maps/place/?q=place_id:ChIJXZqK0VyRLS0Rr0u889glsCQ
OPERATIONAL,"66R7+C7M, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.7589178, 'lng': 134.2131838}, 'viewport': {'northeast': {'lat': -5.757587570107278, 'lng': 134.2145322298927}, 'southwest': {'lat': -5.760287229892722, 'lng': 134.2118325701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL SINAR HARAPAN DOBO,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103775523481334457280"">Chrisrianto Pattinaja</a>'], 'photo_reference': 'AUGGfZkBjzzTnaWSHCFolhSslvLuD8LJi4olkecxXcqP72Mztd_3iC7aTwqfdPCy4Ngspmn4kmNR_cXy390FCOXI1veeJPUU4EEP_2hVGucWPgkRIuDIBVNnDzfbyInUd9EeD6AQsD_ZJFqyMzSJ3O96TSfGtxM6r1QXiyCqpfGs4NQc2iC6', 'width': 6000}]",ChIJqQvfO_yQLS0RwSQaXN0ypEY,,3.8,ChIJqQvfO_yQLS0RwSQaXN0ypEY,"['lodging', 'point_of_interest', 'establishment']",183,,https://www.google.com/maps/place/?q=place_id:ChIJqQvfO_yQLS0RwSQaXN0ypEY
OPERATIONAL,"C37V+4WJ, Unnamed Road, Kalar Kalar, Aru Sel., Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -6.5871615, 'lng': 134.0947685}, 'viewport': {'northeast': {'lat': -6.585820820107277, 'lng': 134.0961492298927}, 'southwest': {'lat': -6.588520479892721, 'lng': 134.0934495701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ucup Guest House,,ChIJwzh-nzILLC0R1qbrWdX6XhU,,5.0,ChIJwzh-nzILLC0R1qbrWdX6XhU,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJwzh-nzILLC0R1qbrWdX6XhU
OPERATIONAL,"66RF+834, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.759234999999999, 'lng': 134.2227152}, 'viewport': {'northeast': {'lat': -5.758192420107278, 'lng': 134.2240498798927}, 'southwest': {'lat': -5.760892079892722, 'lng': 134.2213502201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Suasana Baru,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109439222053105265933"">Rahmat Kurniawan</a>'], 'photo_reference': 'AUGGfZnCclNK9kBeivb61noqMCq9TgECySoWV-yXBckuMCyRNuZBTFVPo_5ta4OsQ-Unx291FO0gko7tPsvnWpGrxmqCYbtMrdyfTCqEJv_bzmDXFGtZYGXUhhaZa3Gf2vArYAI5eJC16Zk6HPSzoVgjGQu_EHWVWA80W2aLT7rdeFrowzZw', 'width': 4160}]",ChIJiaoaCvGQLS0RgK0sZb1U_40,,3.7,ChIJiaoaCvGQLS0RgK0sZb1U_40,"['lodging', 'point_of_interest', 'establishment']",163,,https://www.google.com/maps/place/?q=place_id:ChIJiaoaCvGQLS0RgK0sZb1U_40
OPERATIONAL,"66HC+6GV, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.7711974, 'lng': 134.2221092}, 'viewport': {'northeast': {'lat': -5.769833970107278, 'lng': 134.2234593298927}, 'southwest': {'lat': -5.772533629892722, 'lng': 134.2207596701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wara,,ChIJ8VaAYgCRLS0RATOCLTBHTSE,,0.0,ChIJ8VaAYgCRLS0RATOCLTBHTSE,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ8VaAYgCRLS0RATOCLTBHTSE
