business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"WX79+VR4, Wai Ipa, Sanana, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -2.0853552, 'lng': 125.9695753}, 'viewport': {'northeast': {'lat': -2.084034320107278, 'lng': 125.9709946298927}, 'southwest': {'lat': -2.086733979892722, 'lng': 125.9682949701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Qit Hotel,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100879324468773428483"">A Google User</a>'], 'photo_reference': 'AUGGfZkjm7Tr9m9BKIQbeaC7CULgIICtLAMAI1BUW1fzc_y8oga8Zmr7xcji7alA52iN5kJQokPzLnruW--Q-4mT3pGYD-BJO2wWAv-h09HUv8Gal2zdoIxA3bNOHk6wRVl2vR4i56-LYa90pbUPWZKmZSgH96X6UtJ_9kwx5cag8fPfFt35', 'width': 4096}]",ChIJ97-4d1KscC0R635VJRPs8Yg,3.6,ChIJ97-4d1KscC0R635VJRPs8Yg,"['lodging', 'point_of_interest', 'establishment']",22.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ97-4d1KscC0R635VJRPs8Yg
OPERATIONAL,"Fagudu, Sanana, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -2.0556792, 'lng': 125.9769147}, 'viewport': {'northeast': {'lat': -2.054301720107278, 'lng': 125.9782695298928}, 'southwest': {'lat': -2.057001379892722, 'lng': 125.9755698701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Beliga Hotel,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114154522929631736086"">Annisa Shanda</a>'], 'photo_reference': 'AUGGfZnailFjRlqEb4mCOw2P0frLHN7pJq_GeuI1LwloSTNS9CGXTp5j8KAU3mnT5kBSMLQmYjQj0dVpMDIxGv1ZexA3uWtXy3DF7pJlX4W4JnKly0p0pyfFfN8aPeIWQ-zgVwrMkTx8LlXI7rwv49F4Ms0YCoJoQDJfviCgLJgoGDmpdqS4', 'width': 4608}]",ChIJJ3_6iXWscC0ROY4gpE-RM3s,3.5,ChIJJ3_6iXWscC0ROY4gpE-RM3s,"['lodging', 'point_of_interest', 'establishment']",103.0,{'open_now': True},"{'compound_code': 'WXVG+PQ Fagudu, Kepulauan Sula Regency, North Maluku, Indonesia', 'global_code': '6Q97WXVG+PQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJJ3_6iXWscC0ROY4gpE-RM3s
OPERATIONAL,"WXVC+W33, Waibau, Sanana, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -2.0552444, 'lng': 125.9701986}, 'viewport': {'northeast': {'lat': -2.053882920107278, 'lng': 125.9715291298927}, 'southwest': {'lat': -2.056582579892722, 'lng': 125.9688294701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rizaldy,,ChIJ3w-P4pqrcC0RPz4m9fj9IZo,0.0,ChIJ3w-P4pqrcC0RPz4m9fj9IZo,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3w-P4pqrcC0RPz4m9fj9IZo
OPERATIONAL,"Jl. Jenderal Besar Soeharto No.0977, Fogi, Kec. Sanana, Kabupaten Kepulauan Sula, Maluku Utara 97795, Indonesia","{'location': {'lat': -2.0701916, 'lng': 125.9769932}, 'viewport': {'northeast': {'lat': -2.068868870107277, 'lng': 125.9782675298927}, 'southwest': {'lat': -2.071568529892722, 'lng': 125.9755678701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kos,,ChIJw2QcxqetcC0R5sbFxfHLWBw,0.0,ChIJw2QcxqetcC0R5sbFxfHLWBw,"['lodging', 'point_of_interest', 'establishment']",0.0,,"{'compound_code': 'WXHG+WQ Fogi, Kepulauan Sula Regency, North Maluku, Indonesia', 'global_code': '6Q97WXHG+WQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJw2QcxqetcC0R5sbFxfHLWBw
OPERATIONAL,"Jl. Soekarno Hatta No.172, Fatce, Kec. Sanana, Kabupaten Kepulauan Sula, Maluku Utara 97795, Indonesia","{'location': {'lat': -2.0671538, 'lng': 125.981584}, 'viewport': {'northeast': {'lat': -2.065820420107278, 'lng': 125.9829808798927}, 'southwest': {'lat': -2.068520079892722, 'lng': 125.9802812201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,CENTRO PARK RESIDENCE,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106358422994950340810"">A Google User</a>'], 'photo_reference': 'AUGGfZk68-2OhZLsLorKf8s__dU7jgr3ezwfUYKV1nKxMLyl9Oh_WCsg3HOpIWdVhaWGZEd-aJg3W638ALdt-sHWzMq19jSA_0tsKAWsM7gOUA15b_5p5uBbFkyz42FGSlX4zupBCSncESd6ZwhN4mXqwkemfIbnw6meGaLkji-Gyf2p69l1', 'width': 4624}]",ChIJwYYFbLOtcC0RXWjG_av2VAU,4.5,ChIJwYYFbLOtcC0RXWjG_av2VAU,"['lodging', 'point_of_interest', 'establishment']",15.0,,"{'compound_code': 'WXMJ+4J Fatce, Kepulauan Sula Regency, North Maluku, Indonesia', 'global_code': '6Q97WXMJ+4J'}",,https://www.google.com/maps/place/?q=place_id:ChIJwYYFbLOtcC0RXWjG_av2VAU
OPERATIONAL,"WXMJ+757, Jl. Jenderal Besar Soeharto, Fatce, Kec. Sanana, Kabupaten Kepulauan Sula, Maluku Utara, Indonesia","{'location': {'lat': -2.0668275, 'lng': 125.9803942}, 'viewport': {'northeast': {'lat': -2.065462020107277, 'lng': 125.9817072298927}, 'southwest': {'lat': -2.068161679892722, 'lng': 125.9790075701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,KED. FANDI YOIS,,ChIJQ29N8uutcC0RT4uRLtxP-zY,0.0,ChIJQ29N8uutcC0RT4uRLtxP-zY,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ29N8uutcC0RT4uRLtxP-zY
OPERATIONAL,"WXHG+3FG, Unnamed Road, Fogi, Kec. Sanana, Kabupaten Kepulauan Sula, Maluku Utara, Indonesia","{'location': {'lat': -2.0723016, 'lng': 125.9762207}, 'viewport': {'northeast': {'lat': -2.070997920107278, 'lng': 125.9775409298927}, 'southwest': {'lat': -2.073697579892722, 'lng': 125.9748412701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Namrole Wamosisi,,ChIJTQeSpZmtcC0RtOv4aKaXJxg,5.0,ChIJTQeSpZmtcC0RtOv4aKaXJxg,"['lodging', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTQeSpZmtcC0RtOv4aKaXJxg
OPERATIONAL,"WXVJ+V6J, Mangon, Sanana, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -2.0553091, 'lng': 125.9805316}, 'viewport': {'northeast': {'lat': -2.053988820107278, 'lng': 125.9819276298927}, 'southwest': {'lat': -2.056688479892722, 'lng': 125.9792279701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mangon,,ChIJ58YiwXyrcC0RWjX-Z8rvtBU,0.0,ChIJ58YiwXyrcC0RWjX-Z8rvtBU,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ58YiwXyrcC0RWjX-Z8rvtBU
OPERATIONAL,"WXRJ+C32, Fagudu, Sanana, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -2.0589914, 'lng': 125.9801681}, 'viewport': {'northeast': {'lat': -2.057603020107277, 'lng': 125.9815915298927}, 'southwest': {'lat': -2.060302679892722, 'lng': 125.9788918701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Wakatobi 2,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101918991449374977892"">harryfadly umamit</a>'], 'photo_reference': 'AUGGfZnm1FgaQsMkTfsO34RSHzSYcj4vLXz7K6PAUMUzwAzEv9pft017ve-m8Zevlw5nYhJybfOEdZDHdMVIQtmWl7n25YypATYPLLg6ZXaK8NyP21DRHcn_ydL5nHCNWVh_5DSKdewAJic1r4yoSMy8jSIlDFNi737kVcILtQjnUJJAqvRz', 'width': 3096}]",ChIJuZhssXSscC0RVYjcYK27a2Y,4.0,ChIJuZhssXSscC0RVYjcYK27a2Y,"['lodging', 'point_of_interest', 'establishment']",52.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJuZhssXSscC0RVYjcYK27a2Y
OPERATIONAL,"WXRJ+C3J, Fagudu, Sanana, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -2.0588249, 'lng': 125.9800979}, 'viewport': {'northeast': {'lat': -2.057435020107278, 'lng': 125.9815480798927}, 'southwest': {'lat': -2.060134679892722, 'lng': 125.9788484201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sarni,,ChIJwVhpf8CtcC0RAeCyNg23-QQ,0.0,ChIJwVhpf8CtcC0RAeCyNg23-QQ,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJwVhpf8CtcC0RAeCyNg23-QQ
