business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"W3GP+7X3, Latowu, Batu Putih, North Kolaka Regency, South East Sulawesi 93955, Indonesia","{'location': {'lat': -3.0743649, 'lng': 121.0873971}, 'viewport': {'northeast': {'lat': -3.073011320107278, 'lng': 121.0887485798927}, 'southwest': {'lat': -3.075710979892722, 'lng': 121.0860489201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Peronikel,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103596736801086164086"">A Google User</a>'], 'photo_reference': 'AUGGfZloSl8u4OxjkxsmrEtQAAWq8WOzs7REgaUigo0tkgsXLBVaGZZlYaDLC8NvzFESvM_y2y94IK6bqcDX44RSxheonJk6NEuQnD0S3Cddhcs5PwkwzBbbQZtx-9ec795QTNbUHpeZUCLsMZ_GdY6zmMFCQneuD7J-nT0-Zm3zmijGmoZY', 'width': 1280}]",ChIJ45SqqfvPkC0R2WVqXqvGfAs,3.6,ChIJ45SqqfvPkC0R2WVqXqvGfAs,"['lodging', 'point_of_interest', 'establishment']",31,,,https://www.google.com/maps/place/?q=place_id:ChIJ45SqqfvPkC0R2WVqXqvGfAs
OPERATIONAL,"W3GR+35J, Makkuaseng, Batu Putih, North Kolaka Regency, South East Sulawesi 93955, Indonesia","{'location': {'lat': -3.074804700000001, 'lng': 121.0904036}, 'viewport': {'northeast': {'lat': -3.073580670107278, 'lng': 121.0917367798927}, 'southwest': {'lat': -3.076280329892723, 'lng': 121.0890371201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Feronikel,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109169385061425653963"">thomas maman sudirman</a>'], 'photo_reference': 'AUGGfZkmdS0dK1tUdtr3FIY2CkMujd9nYlBULCm21A-TzHV4nbaUgLEiWsvXoP9gSUSCNK5QOjh_N1IrxRhmj1yp3noS6BOHE0VGvd2m_rmCjCGt1lM10_Md2q_beXEC-3QQny5utRqD8n4R0gHJkmRJI89yAUaLOKFSFNyn1HtjSfDc1A71', 'width': 3840}]",ChIJP1nH49PPkC0RvUErRwmv2t0,4.2,ChIJP1nH49PPkC0RvUErRwmv2t0,"['lodging', 'point_of_interest', 'establishment']",40,,,https://www.google.com/maps/place/?q=place_id:ChIJP1nH49PPkC0RvUErRwmv2t0
OPERATIONAL,"W4F4+7X7, Batu Putih, North Kolaka Regency, South East Sulawesi 93955, Indonesia","{'location': {'lat': -3.0768398, 'lng': 121.1074282}, 'viewport': {'northeast': {'lat': -3.075500170107277, 'lng': 121.1088454798927}, 'southwest': {'lat': -3.078199829892722, 'lng': 121.1061458201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Kartini,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112205198605045086250"">Yanni Krishnayanni</a>'], 'photo_reference': 'AUGGfZm5n_MvjT9U_8h6zRigYmDpZvakkNSqziPzkOBQow3LQPfrlIrWQbzyhaetjY30i2fmT5sAojWZEgkhwIwdPlaqqzmqqQp1a2baF70sSt9ijDni0YWUZzPMJu7Ib2udZHBwpMxbxlFucfFU03BUyGpA-TLIiGV9P1FDQbOpNYH2yEBn', 'width': 4608}]",ChIJR-qCU2LPkC0R9X0gt9rksb4,4.3,ChIJR-qCU2LPkC0R9X0gt9rksb4,"['lodging', 'point_of_interest', 'establishment']",16,,,https://www.google.com/maps/place/?q=place_id:ChIJR-qCU2LPkC0R9X0gt9rksb4
OPERATIONAL,"W3GJ+3R7, Latowu, Batu Putih, North Kolaka Regency, South East Sulawesi 93955, Indonesia","{'location': {'lat': -3.0748404, 'lng': 121.082053}, 'viewport': {'northeast': {'lat': -3.073494120107277, 'lng': 121.0834136798927}, 'southwest': {'lat': -3.076193779892722, 'lng': 121.0807140201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Batuh-putih,,,ChIJpW4iPB3PkC0RYTgaGHnMTUY,4.0,ChIJpW4iPB3PkC0RYTgaGHnMTUY,"['lodging', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJpW4iPB3PkC0RYTgaGHnMTUY
OPERATIONAL,"W3GP+4QF, Jl. Poros Malili - Batuputih, Latowu, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955, Indonesia","{'location': {'lat': -3.0746772, 'lng': 121.0869293}, 'viewport': {'northeast': {'lat': -3.073281070107277, 'lng': 121.0882833798928}, 'southwest': {'lat': -3.075980729892722, 'lng': 121.0855837201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL RR DUa Putra,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103441528799453629112"">syahrul arul</a>'], 'photo_reference': 'AUGGfZmsxkUkGzPQ0LaA3_d0Ycagr1jQ1ReMlzYav0FaQegei2vKO27qjABzOr9GRjOYdZauscj2XSslgP4_FmR6RzZcAwUqVx24PSdyrT_qyFjF8fhf8ZiWE50Lvd94Ek0wBbxPvYakIDka4LyFO4QqIcFeLiXKIBW1OVqYo9d_fPlbHjkE', 'width': 3000}]",ChIJj3chcrXPkC0R7F3VmxXj6kI,2.5,ChIJj3chcrXPkC0R7F3VmxXj6kI,"['lodging', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJj3chcrXPkC0R7F3VmxXj6kI
OPERATIONAL,"Q3C3+GQW, Jl. Poros Olooloho - Lasusua, Mikuasi, Kec. Pakue, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954, Indonesia","{'location': {'lat': -3.2286331, 'lng': 121.0544492}, 'viewport': {'northeast': {'lat': -3.227266570107278, 'lng': 121.0558419798928}, 'southwest': {'lat': -3.229966229892722, 'lng': 121.0531423201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Indrahati,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105434857860592811600"">A Google User</a>'], 'photo_reference': 'AUGGfZlNY56Fh0E6kFSUOmNR424hXzmv50Z6uhdaqwPf7p1bCM2c_72SaL4sAnBGMnqgq9uYjziLZ4b_Jg0d9g5Fd1zuMzDpwDxqctCeWExoN3IudcdDpwVD-WvEHo9kheOlSjkEMw7n17edGHVqVRx1MMb8YxFFAo-j1wR_kPXdE9oJAhpx', 'width': 1920}]",ChIJMVvR7RQtly0RUHFaazNCz5M,4.3,ChIJMVvR7RQtly0RUHFaazNCz5M,"['lodging', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJMVvR7RQtly0RUHFaazNCz5M
OPERATIONAL,"PX3X+WJ6, Samaturu, Watunohu, North Kolaka Regency, South East Sulawesi 93958, Indonesia","{'location': {'lat': -3.295224, 'lng': 120.9989975}, 'viewport': {'northeast': {'lat': -3.293859070107278, 'lng': 121.0003135298928}, 'southwest': {'lat': -3.296558729892722, 'lng': 120.9976138701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rizky ananta,,,ChIJk0ToMZ0vly0RqQsqSpBMXlM,0.0,ChIJk0ToMZ0vly0RqQsqSpBMXlM,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJk0ToMZ0vly0RqQsqSpBMXlM
OPERATIONAL,"P263+HGH, Jl. Poros Lapai - Malili, Samaturu, Kec. Watunohu, Kabupaten Kolaka Utara, Sulawesi Tenggara 93958, Indonesia","{'location': {'lat': -3.288568, 'lng': 121.00386}, 'viewport': {'northeast': {'lat': -3.287174320107277, 'lng': 121.0051425298927}, 'southwest': {'lat': -3.289873979892722, 'lng': 121.0024428701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah harcuy,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102598265710028285764"">A Google User</a>'], 'photo_reference': 'AUGGfZmcSuLVAXQcwCJ8T4tPVzgGrdX-XLRpyBcLaESAq5xxXcQI579yGFE4eFpHK0dJ0tkMPfMyLK9Og3rQc5qXYcsjtKs-nC3jNPBRzzZu8RQ_jpdAWhSSBxNdpDhnakfrRlm_5jIokpaltT26680GY6p20Md1GrMT5-DR85q6N8-FitcB', 'width': 1080}]",ChIJF9WR1NUvly0RRt7iL0x2fQE,5.0,ChIJF9WR1NUvly0RRt7iL0x2fQE,"['lodging', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJF9WR1NUvly0RRt7iL0x2fQE
OPERATIONAL,"V3Q3+54X, Pakue, Pakue Utara, North Kolaka Regency, South East Sulawesi 93954, Indonesia","{'location': {'lat': -3.1130801, 'lng': 121.0521302}, 'viewport': {'northeast': {'lat': -3.111511870107278, 'lng': 121.0534555798928}, 'southwest': {'lat': -3.114211529892723, 'lng': 121.0507559201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"PANTAI H5,DESA PAKUE",{'open_now': True},"[{'height': 1540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114114281427192483490"">A Google User</a>'], 'photo_reference': 'AUGGfZlQh2PuJ0wi6CJ-05sOVhhtpYmx94pyqyAC4fR_vkcLejmJye2-VC_IPWLhjNDpYotwiJD-AkAeMWL5Lh2yv8eE493SWY9UNEBYUPqL3J6Bdg6tVTbTV-aD9U9172nLhZTyb6O3S070K-SYpZmqLTXt5Nk48JKeHONzadZY-xXB1Re5', 'width': 2704}]",ChIJpZE7fQnRkC0RpPsl_FaDIh8,5.0,ChIJpZE7fQnRkC0RpPsl_FaDIh8,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJpZE7fQnRkC0RpPsl_FaDIh8
OPERATIONAL,"M2X8+HGF, Lapai, Ngapa, North Kolaka Regency, South East Sulawesi 93958, Indonesia","{'location': {'lat': -3.3010724, 'lng': 121.0163079}, 'viewport': {'northeast': {'lat': -3.300393270107278, 'lng': 121.0174322298927}, 'southwest': {'lat': -3.303092929892722, 'lng': 121.0147325701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lapai,,,ChIJdUOmCwAvly0RSCTE4uoaS9w,0.0,ChIJdUOmCwAvly0RSCTE4uoaS9w,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJdUOmCwAvly0RSCTE4uoaS9w
