business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,opening_hours,url
OPERATIONAL,"BTN PASIR PUTIH, Lauru, Kec. Rumbia Tengah, Kabupaten Bombana, Sulawesi Tenggara 93771, Indonesia","{'location': {'lat': -4.7827943, 'lng': 122.0450301}, 'viewport': {'northeast': {'lat': -4.781456970107278, 'lng': 122.0464212298927}, 'southwest': {'lat': -4.784156629892722, 'lng': 122.0437215701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL NUSA PUTRA WALET,ChIJE0Luki7noi0RxiCm64BALqU,"{'compound_code': '628W+V2 Lauru, Bombana Regency, South East Sulawesi, Indonesia', 'global_code': '6Q74628W+V2'}",0.0,ChIJE0Luki7noi0RxiCm64BALqU,"['lodging', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJE0Luki7noi0RxiCm64BALqU
OPERATIONAL,"62GX+CQQ, Kasipute, Rumbia, Bombana Regency, South East Sulawesi 93771, Indonesia","{'location': {'lat': -4.7739154, 'lng': 122.0495101}, 'viewport': {'northeast': {'lat': -4.772578770107279, 'lng': 122.0508673298927}, 'southwest': {'lat': -4.775278429892722, 'lng': 122.0481676701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Oasis Hotel,ChIJG5WsK93moi0R98ykf-LykpM,,4.1,ChIJG5WsK93moi0R98ykf-LykpM,"['lodging', 'point_of_interest', 'establishment']",104.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101332241986489767708"">101332241986489767708</a>'], 'photo_reference': 'AUGGfZnTR2qAi5F_I9sUsbeC3AX0uG1sGBW9JJUxiBZL3tBX95dwfnzNlH-JCFgc_ETti8rBdMzxn791ZCUbfMP31ov4KRgkFv2HGNIFZzRlMTos68GjvVkZG4xPRNh6Vma9_Ku0HYMbGcw_4a8KdZ1tTMdfcUz_eK34QDASNnFw11qzYnYl', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJG5WsK93moi0R98ykf-LykpM
OPERATIONAL,"Jalan Kapten Pierre Tendean No.103, A No.samping, lorong, Mata Oleo, Indonesia","{'location': {'lat': -4.845122, 'lng': 122.0155491}, 'viewport': {'northeast': {'lat': -4.843772170107277, 'lng': 122.0168989298928}, 'southwest': {'lat': -4.846471829892721, 'lng': 122.0141992701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Anugerah Pratama,ChIJs2pRUgDhoi0RK0GpXv5SQ5s,"{'compound_code': '5238+X6 Tajuncu, Bombana Regency, South East Sulawesi, Indonesia', 'global_code': '6Q745238+X6'}",0.0,ChIJs2pRUgDhoi0RK0GpXv5SQ5s,"['lodging', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJs2pRUgDhoi0RK0GpXv5SQ5s
OPERATIONAL,"62GW+J4G, Unnamed Road, Kasipute, Kec. Rumbia, Kabupaten Bombana, Sulawesi Tenggara 93771, Indonesia","{'location': {'lat': -4.773441, 'lng': 122.0453248}, 'viewport': {'northeast': {'lat': -4.772117220107277, 'lng': 122.0467077798927}, 'southwest': {'lat': -4.774816879892721, 'lng': 122.0440081201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Zam-Zam 1 Doule,ChIJPzmex93moi0R1NtO_RTcP7M,,3.8,ChIJPzmex93moi0R1NtO_RTcP7M,"['lodging', 'point_of_interest', 'establishment']",93.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113390460083780933176"">Teguh Adi</a>'], 'photo_reference': 'AUGGfZkeOGDlKxQEvUmXngPsHJwQ1f_cQ3Z1r934zksLpiuBCBqOuQyt8iM79nrS1AvdkPqIRF4ZroimMFt-2zl3cllGtxQB4W88u2kYcXg59PEVL5l9rDQXCSwZ3QoHiK6MOeNrkoY71NelRbxEXvHqHfN3KpGhia6SGzeJgAvHCI_NlcP8', 'width': 3264}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJPzmex93moi0R1NtO_RTcP7M
OPERATIONAL,"62MR+H42, Lampopala, Rumbia, Bombana Regency, South East Sulawesi 93771, Indonesia","{'location': {'lat': -4.7661069, 'lng': 122.0402577}, 'viewport': {'northeast': {'lat': -4.764692020107277, 'lng': 122.0415293298927}, 'southwest': {'lat': -4.767391679892721, 'lng': 122.0388296701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Lampusui,ChIJU24ZW-Lmoi0RiMnxW3PpUKU,,4.0,ChIJU24ZW-Lmoi0RiMnxW3PpUKU,"['lodging', 'point_of_interest', 'establishment']",192.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106315774112059222113"">ito purnomo</a>'], 'photo_reference': 'AUGGfZm7BPwPpm6MpjEnjss8xQ47X4AJpXn3o9duLZV996y0h_z62JJCTxbkWBiA_e3ImmkYH7vlpYnw_AKVFiET2kv_L-abPztXUGKOMVp2RCwmhK7UoWYHzM0QwvObLuRnquatgtiXth1nLwElBHbOKcMCxPJ6Q2Ce2Hqva8viaCSwWLly', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJU24ZW-Lmoi0RiMnxW3PpUKU
OPERATIONAL,"jl. pattimura. lingkungan No.2, Lauru, Kec. Rumbia Tengah, Kabupaten Bombana, Sulawesi Tenggara 93771, Indonesia","{'location': {'lat': -4.775327400000001, 'lng': 122.0536126}, 'viewport': {'northeast': {'lat': -4.773966420107278, 'lng': 122.0550022798927}, 'southwest': {'lat': -4.776666079892722, 'lng': 122.0523026201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Pandawa Bombana,ChIJxYiglsPmoi0R6glo8SDy2qU,"{'compound_code': '63F3+VC Lauru, Bombana Regency, South East Sulawesi, Indonesia', 'global_code': '6Q7463F3+VC'}",4.1,ChIJxYiglsPmoi0R6glo8SDy2qU,"['lodging', 'point_of_interest', 'establishment']",79.0,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103191889025048294110"">A Google User</a>'], 'photo_reference': 'AUGGfZluiY1YGQH5_rl_3ftszn-27yS_xQVPdH-egSwZ0TrK2r8zQkTcVeS0voXg1SgAoFVNitL0m4CRgw3BQZEBM3_1Jbta6FKUMw_jfybt9s13kK6AfzTTNhJBz8FdjoSJuLuUFNkVxygnaFnYKbvcCZsjfiYSRJm5whj-eAQ-3rFAbQXK', 'width': 1280}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJxYiglsPmoi0R6glo8SDy2qU
OPERATIONAL,"Jl. Gereja (Depan Gedung DPRD Bombana), Kasipute, Rumbia, Kasipute, Kec. Rumbia, Kabupaten Bombana, Sulawesi Tenggara 93771, Indonesia","{'location': {'lat': -4.7752777, 'lng': 122.0496436}, 'viewport': {'northeast': {'lat': -4.773859220107278, 'lng': 122.0510307298927}, 'southwest': {'lat': -4.776558879892722, 'lng': 122.0483310701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Persada Bombana,ChIJGZ_NSsPmoi0R0dpxof3ijBk,"{'compound_code': '62FX+VV Kasipute, Bombana Regency, South East Sulawesi, Indonesia', 'global_code': '6Q7462FX+VV'}",4.3,ChIJGZ_NSsPmoi0R0dpxof3ijBk,"['lodging', 'point_of_interest', 'establishment']",76.0,"[{'height': 1374, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107047700338094410876"">A Google User</a>'], 'photo_reference': 'AUGGfZnjSp4h1WcKky5ggGa9XjyYI4zguswoq09kSh1ifVDiqUywKPsyfFjpTpy8tznQGipM1_VxyN2gshREpvfAto4jt06CLz29RCOy-thEP5wcZm_e6SWLjIzOX-2SxtCCo2aI_CIxFQ5gDRln8qlRLen5rv0lmL6iyW9dGOxeiMWQtjhF', 'width': 2048}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJGZ_NSsPmoi0R0dpxof3ijBk
OPERATIONAL,"626P+P5G, Kasipute, Rumbia, Bombana Regency, South East Sulawesi 93771, Indonesia","{'location': {'lat': -4.7881766, 'lng': 122.0354438}, 'viewport': {'northeast': {'lat': -4.786826770107277, 'lng': 122.0367936298927}, 'southwest': {'lat': -4.789526429892721, 'lng': 122.0340939701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Misna,ChIJY0kEHADnoi0RpNyBhC7UrwA,,0.0,ChIJY0kEHADnoi0RpNyBhC7UrwA,"['lodging', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJY0kEHADnoi0RpNyBhC7UrwA
OPERATIONAL,"62FW+2V3, Jl. Ki. H. Dewantara, Kasipute, Kec. Rumbia, Kabupaten Bombana, Sulawesi Tenggara 93771, Indonesia","{'location': {'lat': -4.777473899999999, 'lng': 122.0471732}, 'viewport': {'northeast': {'lat': -4.776112270107277, 'lng': 122.0484942298928}, 'southwest': {'lat': -4.778811929892721, 'lng': 122.0457945701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Rahmat,ChIJJ1cOc9vmoi0RlTJ3wWHnJCI,,4.0,ChIJJ1cOc9vmoi0RlTJ3wWHnJCI,"['lodging', 'point_of_interest', 'establishment']",104.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115783667789557592413"">115783667789557592413</a>'], 'photo_reference': 'AUGGfZlQ2vl3HImQgLZ10K1CtfdRLko8b2tTuSWS7gaO9j9_GY9GQ9dwgMjDXggr0j90t2DjT0MrK47H1QAV32VTwmqcteG82oZly_v4vo_flUu04tPR2ILvVQn9HSVTTCM3qpPdWrtZRDP8pnKO5J0hUGwm9xy8Sw6AAckku2AwP2fKnfbI', 'width': 3120}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJJ1cOc9vmoi0RlTJ3wWHnJCI
OPERATIONAL,"7236+6VG, Lameroro, Rumbia, Bombana Regency, South East Sulawesi 93771, Indonesia","{'location': {'lat': -4.7469361, 'lng': 122.0122307}, 'viewport': {'northeast': {'lat': -4.745494170107277, 'lng': 122.0136161798928}, 'southwest': {'lat': -4.74819382989272, 'lng': 122.0109165201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PONDOK OCANK,ChIJLf1eSSznoi0RE5r84Oh3Mw0,,1.0,ChIJLf1eSSznoi0RE5r84Oh3Mw0,"['lodging', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJLf1eSSznoi0RE5r84Oh3Mw0
