business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"JL Sudirman, Beringin, Kuantan Tengah, 29562, Koto Taluk, Benai Kecil, Kabupaten Kuantan Singingi, Riau 29553, Indonesia","{'location': {'lat': -0.5256178000000001, 'lng': 101.5732576}, 'viewport': {'northeast': {'lat': -0.5241828701072777, 'lng': 101.5745636798927}, 'southwest': {'lat': -0.5268825298927221, 'lng': 101.5718640201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Perlinda,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106764336090111045042"">Agus Ciu</a>'], 'photo_reference': 'AUGGfZkIuqpyZQbXowkm2REu3iDNT5o2yOYtRqyKnzmjNZwk2IVWqFXuz9E-1XpajNvZ_JkrqwZmifkqEbvkAM-1AChC96QA5yauK-w3LHpQt7U_McR6dsfhYcLkscMPiqwEg-Kl48Fl1LHeJw3wt68UvCRrD_Jk5IlTAO3OeXLrE_1NZRAg', 'width': 1536}]",ChIJv4cF9jJJKi4RbxQFmpl5qP4,"{'compound_code': 'FHFF+P9 Koto Taluk, Kuantan Singingi Regency, Riau, Indonesia', 'global_code': '6PF3FHFF+P9'}",3.5,ChIJv4cF9jJJKi4RbxQFmpl5qP4,"['lodging', 'point_of_interest', 'establishment']",21,,,https://www.google.com/maps/place/?q=place_id:ChIJv4cF9jJJKi4RbxQFmpl5qP4
OPERATIONAL,"7P2J+2Q, Muara Petai, Pucuk Rantau, Kuantan Singingi Regency, Riau, Indonesia","{'location': {'lat': -0.749985, 'lng': 101.7319933}, 'viewport': {'northeast': {'lat': -0.7486799201072779, 'lng': 101.7333583298927}, 'southwest': {'lat': -0.7513795798927223, 'lng': 101.7306586701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rumah makan AMAK,,ChIJWwaWBADHKy4RCFUCPyp7Qeo,,0.0,ChIJWwaWBADHKy4RCFUCPyp7Qeo,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJWwaWBADHKy4RCFUCPyp7Qeo
OPERATIONAL,"Jl. Airmolek - Taluk Kuantan, Sawah, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 65317, Indonesia","{'location': {'lat': -0.51445, 'lng': 101.5793876}, 'viewport': {'northeast': {'lat': -0.5130984201072778, 'lng': 101.5806666798927}, 'southwest': {'lat': -0.5157980798927222, 'lng': 101.5779670201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Angela Hotel,"[{'height': 1212, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117178894817600433219"">A Google User</a>'], 'photo_reference': 'AUGGfZlzi2fGGwva_fKLCOgaTW2dXV8MWckxRvk5nn_gC2Agv9SXY3Fbwj9issyZH0Cqb1tLQ_yg6C7C-SLAgU9ow2EKWbqHBn9gwRPb_SXwiNllw2A49-57Fgyt-jSO9FPf7kgFkH7UwOa3C6rx8E1ezYGJ1TxJXFMPvXKfw3lE9szpOZ2o', 'width': 1616}]",ChIJE2G0i4JOKi4RV1PbVVMujy0,"{'compound_code': 'FHPH+6P Sawah, Kuantan Singingi Regency, Riau, Indonesia', 'global_code': '6PF3FHPH+6P'}",3.9,ChIJE2G0i4JOKi4RV1PbVVMujy0,"['lodging', 'point_of_interest', 'establishment']",387,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJE2G0i4JOKi4RV1PbVVMujy0
OPERATIONAL,"FHHG+966, Jalan Jendral Sudirman Desa, Beringin Taluk, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566, Indonesia","{'location': {'lat': -0.5215841999999999, 'lng': 101.5755119}, 'viewport': {'northeast': {'lat': -0.5202089201072777, 'lng': 101.5766731798927}, 'southwest': {'lat': -0.5229085798927222, 'lng': 101.5739735201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Ade,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108731221059505236417"">Yoga Hotel Ade</a>'], 'photo_reference': 'AUGGfZkmWciDBi_6Olr_cgWZt_DMdGNju0FKHUuBw2jp0LRJ44XHsShTKg_pL54i6guuKzV-3PUBy3zD10L9bWqwb8NN617kxsO31G_yuw5xALmbrUvd3FY6ssviWwLOSsfXTIP4xl3Clbo26xltM9o2qXFk8jTBuloGHnEiMTW2OCekj2q1', 'width': 3000}]",ChIJi1p1MixMKi4RrPYsqvr0g4A,,3.9,ChIJi1p1MixMKi4RrPYsqvr0g4A,"['lodging', 'point_of_interest', 'establishment']",108,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJi1p1MixMKi4RrPYsqvr0g4A
OPERATIONAL,"6P49+VJ, Pangkalan, Pucuk Rantau, Kuantan Singingi Regency, Riau, Indonesia","{'location': {'lat': -0.7944072999999999, 'lng': 101.7179707}, 'viewport': {'northeast': {'lat': -0.7930408201072777, 'lng': 101.7192799298927}, 'southwest': {'lat': -0.7957404798927222, 'lng': 101.7165802701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Angkringan RICKY,,ChIJ4Vnr3vHHKy4RImIeh2CIO60,,0.0,ChIJ4Vnr3vHHKy4RImIeh2CIO60,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ4Vnr3vHHKy4RImIeh2CIO60
OPERATIONAL,"FH75+J68, Jl. Perintis Kemerdekaan, Simpang Tiga, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29562, Indonesia","{'location': {'lat': -0.5359665, 'lng': 101.5580688}, 'viewport': {'northeast': {'lat': -0.5346471201072779, 'lng': 101.5594088798927}, 'southwest': {'lat': -0.5373467798927224, 'lng': 101.5567092201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Pujangga,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103192384635872579736"">A Google User</a>'], 'photo_reference': 'AUGGfZlRFV2pkWl2kb3Lc4tN5rsgPXmOO1MTmeAajVLj9L20ecoZhmyquKH7m534kkImmQLuTld1IT4dk5PRrP2ZlQr5f5I3FM3FpFQKyyUarSEW8JOZvM2xDzPI4gx6TGz3xO9CVJ6L1WkgL_5G9UikQjLRpZqLz2ybwwzBzzNnB0WaUYm3', 'width': 4032}]",ChIJ4Tdl6rlNKi4Rr3gsgJAQiLA,,3.8,ChIJ4Tdl6rlNKi4Rr3gsgJAQiLA,"['lodging', 'point_of_interest', 'establishment']",152,,,https://www.google.com/maps/place/?q=place_id:ChIJ4Tdl6rlNKi4Rr3gsgJAQiLA
OPERATIONAL,"5PCJ+62, Pangkalan, Pucuk Rantau, Kuantan Singingi Regency, Riau, Indonesia","{'location': {'lat': -0.829417, 'lng': 101.7301}, 'viewport': {'northeast': {'lat': -0.8281029201072778, 'lng': 101.7314192298927}, 'southwest': {'lat': -0.8308025798927223, 'lng': 101.7287195701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rumah bekam dan pecel lele noval,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113210269098665005179"">A Google User</a>'], 'photo_reference': 'AUGGfZnmM_MmKUx74Gq56vFygK9rl_pQfvjUqLbE0Lx9zlnXFXy-T-nX9B9Vbbxdjrmdb8b05EZGaBbtauw3l59REBrHE2KSPBGtLhUGDX5nQ-PsdEhHW6DwlyPZ_5Pt_2hHuEFVvAbO9SRDytdUzyJMLmuvekFp952xKfTFrv-xgaRSQ94W', 'width': 3264}]",ChIJCQC-gYzBKy4RTe_EpCB-zJo,,0.0,ChIJCQC-gYzBKy4RTe_EpCB-zJo,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJCQC-gYzBKy4RTe_EpCB-zJo
OPERATIONAL,"CXWX+FV7, Pauh Ranap, Peranap, Indragiri Hulu Regency, Riau 29352, Indonesia","{'location': {'lat': -0.5538364, 'lng': 101.9996642}, 'viewport': {'northeast': {'lat': -0.5524548701072777, 'lng': 102.0011235298927}, 'southwest': {'lat': -0.5551545298927222, 'lng': 101.9984238701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,KUANTAN Quiet HOTEL,"[{'height': 1900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117564165069114389236"">jefni hermansyah</a>'], 'photo_reference': 'AUGGfZmL3OGl3dT6td2ck56rfyeRxekuyVO2VYCjKS2tpaLtaIoFJeUw5RpICI3f9yAU3hbFyz7YUudKNNwWyouXpU0S9C4UaEwMPWMpPC-9-xtk6LTACL8HGOGTLuR-QZxjckWeupoRDosglGyBjkiCGG2M2lkLs4q3122K9P1YqLb-oYKa', 'width': 1080}]",ChIJybMAv6grKi4R367FM0NYnfk,,3.8,ChIJybMAv6grKi4R367FM0NYnfk,"['lodging', 'point_of_interest', 'establishment']",19,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJybMAv6grKi4R367FM0NYnfk
OPERATIONAL,"6P48+9CC, Jln. Lintas Pucuk Rantau, Kec. Batang Peranap, Indonesia","{'location': {'lat': -0.7940667, 'lng': 101.716012}, 'viewport': {'northeast': {'lat': -0.7926711701072777, 'lng': 101.7174811298927}, 'southwest': {'lat': -0.7953708298927221, 'lng': 101.7147814701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kantin Plasma IV,,ChIJr80iMAHHKy4R9RogrIHrDR8,,0.0,ChIJr80iMAHHKy4R9RogrIHrDR8,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJr80iMAHHKy4R9RogrIHrDR8
OPERATIONAL,"FHC3+32J, Sungai Jering, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.5298073, 'lng': 101.5526069}, 'viewport': {'northeast': {'lat': -0.5283940701072779, 'lng': 101.5539553798927}, 'southwest': {'lat': -0.5310937298927223, 'lng': 101.5512557201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel kuantan,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118438520331735634501"">Indra Vexed</a>'], 'photo_reference': 'AUGGfZkWfCdSqrSca-z-y6ubhamI2CIIN5VqsHdJPeqnz4-ZiC2O-cDo4duv5KWtfb7RgSgp96EBVnyJBW7BaJAHd5--uLhopSnKGNg1Pvlw0Jzk-ZI6jMM-q_2h1inVtNEYAFT6NRsr-LlZivGowN-P1c7JGEm9jkkc2kfqvTpXUbMftVA2', 'width': 3120}]",ChIJg9d_RcFNKi4RBvCLkqtxqiU,,3.9,ChIJg9d_RcFNKi4RBvCLkqtxqiU,"['lodging', 'point_of_interest', 'establishment']",86,,,https://www.google.com/maps/place/?q=place_id:ChIJg9d_RcFNKi4RBvCLkqtxqiU
