business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Ir. Sutami, Sri Menanti, Kec. Bandar Sribawono, Kabupaten Lampung Timur, Lampung 34389, Indonesia","{'location': {'lat': -5.3026928, 'lng': 105.7460216}, 'viewport': {'northeast': {'lat': -5.301243770107279, 'lng': 105.7470197798927}, 'southwest': {'lat': -5.303943429892723, 'lng': 105.7443201201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Tirta Kencana Berlian,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102959139185987356984"">A Google User</a>'], 'photo_reference': 'AUGGfZm1R_DuWN9Z6rI3F4ktz0GIcPYs45utVBATJz223AxbvyxK6TggIuYxaRfkPKqgraxWZpNWlnXenrgy419I-HjlUon6WaWAzd6LU-JinS_cA6lpWP5MKFHU8FpNmcoZjhJNSBqG7DfibM9yfWufOLokSggJWmFNkHuVjUjc-8WVXEN1', 'width': 4032}]",ChIJPewkzgj3QC4RVABtqwd9Um8,"{'compound_code': 'MPWW+WC Sri Menanti, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67MPWW+WC'}",4.4,ChIJPewkzgj3QC4RVABtqwd9Um8,"['lodging', 'point_of_interest', 'establishment']",101,https://www.google.com/maps/place/?q=place_id:ChIJPewkzgj3QC4RVABtqwd9Um8
OPERATIONAL,"E Shore Trans Sumatera Hwy, Nibung, Labuhan Maringgai, East Lampung Regency, Lampung 34194, Indonesia","{'location': {'lat': -5.4188999, 'lng': 105.801179}, 'viewport': {'northeast': {'lat': -5.417625520107278, 'lng': 105.8025210298927}, 'southwest': {'lat': -5.420325179892722, 'lng': 105.7998213701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Atta Guest House Lampung Timur RedPartner,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104781534981467899371"">A Google User</a>'], 'photo_reference': 'AUGGfZl1v80odAMiBHxxhsHB376yjj-a0pMV9l1mM9Sk6na5Cfq0ZVflDnAI-lJHyIQRo2-rHeGmzXNL2m_5OzqzIbR5pRrlyFiM6Me_si0s8A1IPYmZTQ6HP41pisx2_12_e_vRNpLxXLelVGOE05DNEXXUX9rzNodbUkvetQ50zZ-u57rj', 'width': 3072}]",ChIJE4CTwdxXQC4Rf8i30PrnZtQ,"{'compound_code': 'HRJ2+CF Karya Makmur, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67HRJ2+CF'}",4.8,ChIJE4CTwdxXQC4Rf8i30PrnZtQ,"['lodging', 'point_of_interest', 'establishment']",114,https://www.google.com/maps/place/?q=place_id:ChIJE4CTwdxXQC4Rf8i30PrnZtQ
OPERATIONAL,"E Shore Trans Sumatera Hwy, RT.03/RW.05, Karyatani, Labuhan Maringgai, East Lampung Regency, Lampung 34387, Indonesia","{'location': {'lat': -5.4557145, 'lng': 105.7954665}, 'viewport': {'northeast': {'lat': -5.454386720107277, 'lng': 105.7969212298927}, 'southwest': {'lat': -5.457086379892721, 'lng': 105.7942215701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sariami RedPartner,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105625291444195944855"">A Google User</a>'], 'photo_reference': 'AUGGfZkQalRs9et56tP8GsJXTWFnsDyngAGC8UyiZDPp8TNOP179iqZQGgsjz_S1V4AzgvZDrVHTIq1njHh7_BVGOOvgGPV4b4oZPF6wXint6W8_ntXr7WRLQIRoGV4bUTk5JrkJy1_EVEZBptE5N5G9zngBFfy_GsGx86Sub7lVBoSsGTcd', 'width': 1920}]",ChIJfdOyZ-9VQC4RjnJrv9MYhm4,"{'compound_code': 'GQVW+P5 Karyatani, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67GQVW+P5'}",4.3,ChIJfdOyZ-9VQC4RjnJrv9MYhm4,"['lodging', 'point_of_interest', 'establishment']",146,https://www.google.com/maps/place/?q=place_id:ChIJfdOyZ-9VQC4RjnJrv9MYhm4
OPERATIONAL,"E Shore Trans Sumatera Hwy, Nibung, Labuhan Maringgai, Lampung, 34194, Indonesia","{'location': {'lat': -5.4193552, 'lng': 105.8012997}, 'viewport': {'northeast': {'lat': -5.418052620107279, 'lng': 105.8028883798927}, 'southwest': {'lat': -5.420752279892723, 'lng': 105.8001887201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz Syariah @ Labuhan Maringgai Lampung,,,ChIJg9BXZ6BXQC4REPvJd75bWe4,"{'compound_code': 'HRJ2+7G Karya Makmur, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67HRJ2+7G'}",4.9,ChIJg9BXZ6BXQC4REPvJd75bWe4,"['lodging', 'point_of_interest', 'establishment']",7,https://www.google.com/maps/place/?q=place_id:ChIJg9BXZ6BXQC4REPvJd75bWe4
OPERATIONAL,"MPQV+J2G, Jl. Raya Sribawono, Sri Bawono, Kec. Bandar Sribawono, Kabupaten Lampung Timur, Lampung 34389, Indonesia","{'location': {'lat': -5.310949, 'lng': 105.7425727}, 'viewport': {'northeast': {'lat': -5.309694170107278, 'lng': 105.7439207798927}, 'southwest': {'lat': -5.312393829892722, 'lng': 105.7412211201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Cempaka Indah,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117206923050235660067"">Wirdy Wirdy</a>'], 'photo_reference': 'AUGGfZnq5iXX2oZEEkbdRE2TgX1IaW-dW-t1nRLItW9poHqDhLiedm7v_KsJR57krdn-RBtpqctIUGkJ_YDAOhVPZIi3hOBvtj5IKFJKxY8lDCG26kjlrSYhFGEA8MKggbFl_BkuuE0yyaN22fowZwvFEIv6b5BweBF6J7oY30VKUthoBpgO', 'width': 2322}]",ChIJQ1fhnf72QC4ReEAPTsjnj-k,,3.4,ChIJQ1fhnf72QC4ReEAPTsjnj-k,"['lodging', 'point_of_interest', 'establishment']",150,https://www.google.com/maps/place/?q=place_id:ChIJQ1fhnf72QC4ReEAPTsjnj-k
OPERATIONAL,"Jl. Ki Hajar Dewantara, Sri Menanti, Kec. Bandar Sribawono, Kabupaten Lampung Timur, Lampung 34389, Indonesia","{'location': {'lat': -5.296511499999999, 'lng': 105.7512786}, 'viewport': {'northeast': {'lat': -5.295226920107278, 'lng': 105.7524593298927}, 'southwest': {'lat': -5.297926579892722, 'lng': 105.7497596701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bintang Dieng RedPartner,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101469611336752703020"">A Google User</a>'], 'photo_reference': 'AUGGfZk-FYSrynCNW2Ws1MIjy0SRJtm_f7RWMGeCvMqWy_tWAqLv4UvsE1UuCNa0OB7pPzfKGzjihnJsWeGYStxCK31WZM_nxcWpKMmX_zS1twtF3lGSD_t4tXNTQwl53rcHeV1JG0A0ryiFBKWPIuR1o7xa3M4VtgCG0OqB3wH28oN_uFl4', 'width': 1952}]",ChIJBzu8OSz3QC4RD86r_mIbHF0,"{'compound_code': 'PQ32+9G Sri Menanti, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67PQ32+9G'}",4.7,ChIJBzu8OSz3QC4RD86r_mIbHF0,"['lodging', 'point_of_interest', 'establishment']",11,https://www.google.com/maps/place/?q=place_id:ChIJBzu8OSz3QC4RD86r_mIbHF0
OPERATIONAL,"Jl. Jenderal Sudirman, Pugung Raharjo, Kec. Sekampung Udik, Kabupaten Lampung Timur, Lampung 34384, Indonesia","{'location': {'lat': -5.2992532, 'lng': 105.5668865}, 'viewport': {'northeast': {'lat': -5.298024520107279, 'lng': 105.5682782798927}, 'southwest': {'lat': -5.300724179892723, 'lng': 105.5655786201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Capital O 92681 Randu Mas Hotel & Resort Taman Purbakala,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104085964574022400487"">A Google User</a>'], 'photo_reference': 'AUGGfZkjOjAdzxU19UF0ERJgDZ9EUa7yMujOY8r_W4-ZArWUw_pn4WEat6MOLhhRVN10cyZ9GVxaiwOa9r6gNwPuK94YTYiZ6M_2EOdW7LfKsn6J4le-AcWc5DaNjSyeg029h-I1QYRzTrBOonouhotTG6a0C7HI-FwdJyOEmJi7lVyrCzuS', 'width': 640}]",ChIJdTRfkbLvQC4Rr-XEfBdp06A,"{'compound_code': 'PH28+7Q Pugung Raharjo, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67PH28+7Q'}",4.4,ChIJdTRfkbLvQC4Rr-XEfBdp06A,"['lodging', 'point_of_interest', 'establishment']",68,https://www.google.com/maps/place/?q=place_id:ChIJdTRfkbLvQC4Rr-XEfBdp06A
OPERATIONAL,"PQ53+QX8, Mataram Baru, East Lampung Regency, Lampung 34389, Indonesia","{'location': {'lat': -5.2905944, 'lng': 105.7549416}, 'viewport': {'northeast': {'lat': -5.289262770107278, 'lng': 105.7563908798927}, 'southwest': {'lat': -5.291962429892722, 'lng': 105.7536912201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Mataram Baru,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111840132551158840416"">A Google User</a>'], 'photo_reference': 'AUGGfZmfzlfb8GZyyhmWDl4gyHcFi41WfU-K-_0o9CYp7XRRwb1Jy04-Lh-b2stOX6x2lhiFhNovtnKA0XKTZ-OzhDf8rg-w2om2mvxcqEAY0tsfggik89cyzHXMXtm507fhXP8ePHqJ3N8WQ6fJRkXUoG6zTb4FyaODucmwbHM8GMi-OPIB', 'width': 3264}]",ChIJydz9rWv2QC4RnWwfetk9MaY,,3.7,ChIJydz9rWv2QC4RnWwfetk9MaY,"['lodging', 'point_of_interest', 'establishment']",69,https://www.google.com/maps/place/?q=place_id:ChIJydz9rWv2QC4RnWwfetk9MaY
OPERATIONAL,"35217, Mengandung Sari, East Lampung Regency, Lampung 35214, Indonesia","{'location': {'lat': -5.301794399999999, 'lng': 105.5668743}, 'viewport': {'northeast': {'lat': -5.300953170107278, 'lng': 105.5676287798927}, 'southwest': {'lat': -5.303652829892722, 'lng': 105.5649291201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Capital O 92681 Randu Mas Hotel,,,ChIJ77Lvm9TEQC4RbzlZ-LoDkDQ,"{'compound_code': 'MHX8+7P Mengandung Sari, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67MHX8+7P'}",5.0,ChIJ77Lvm9TEQC4RbzlZ-LoDkDQ,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJ77Lvm9TEQC4RbzlZ-LoDkDQ
OPERATIONAL,"RQ8Q+R4F, Braja Harjosari, Braja Slebah, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.1829497, 'lng': 105.7877948}, 'viewport': {'northeast': {'lat': -5.181494670107279, 'lng': 105.7890816798927}, 'southwest': {'lat': -5.184194329892723, 'lng': 105.7863820201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,House of Elephants,,"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105317143307344397465"">Inna Bunda</a>'], 'photo_reference': 'AUGGfZkjdxkpOtAR1YM1QWmlSj1_84uFX-R6U-hfTfNqqB9ceamIIU_cHz6y6zN9d6vU-1BcfB-e3OyNH-JuJIxZw8Lem5N3AHpPHSW3isCiPTeHVq6tOjkYQuv2H24J_il5DkEGjCWfgpCh_I-TLRhHm3RXPTBvrJIftKh2TLhjXIfaO3wb', 'width': 4080}]",ChIJjZcBvSJhQC4Rb6wXeWp9sWc,,3.0,ChIJjZcBvSJhQC4Rb6wXeWp9sWc,"['lodging', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJjZcBvSJhQC4Rb6wXeWp9sWc
