business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Proklamator Raya, Bandar Jaya Tim., Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163, Indonesia","{'location': {'lat': -4.9407576, 'lng': 105.2120608}, 'viewport': {'northeast': {'lat': -4.939221720107278, 'lng': 105.2135456298927}, 'southwest': {'lat': -4.941921379892722, 'lng': 105.2108459701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BBC Hotel Lampung - Bandar Jaya,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100613386988416726654"">A Google User</a>'], 'photo_reference': 'AUGGfZkraS07TZeWHj0EDOQfbwSKVakQ9ndwwwyTal4pB8ZyB6DEFlz3sxD9DyFg-69Y9ie4SJtMzmJiKuUpLL3LBkLrYD5cDTRxzF-eJNFSrpV0hHIKoxuK8C0QlxZZzYHel90S9ec0RCSxWCEVKCUTvkECXHkuXM612U-Xk9qC9bm_P3NB', 'width': 1280}]",ChIJr2seOpmoQC4RKwmvsGBlirk,"{'compound_code': '3656+MR East Bandar Jaya, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P773656+MR'}",4.3,ChIJr2seOpmoQC4RKwmvsGBlirk,"['lodging', 'point_of_interest', 'establishment']",2032,https://www.google.com/maps/place/?q=place_id:ChIJr2seOpmoQC4RKwmvsGBlirk
OPERATIONAL,"Jl. Proklamator Raya No.1, Bandar Jaya Bar., Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163, Indonesia","{'location': {'lat': -4.9393642, 'lng': 105.2138567}, 'viewport': {'northeast': {'lat': -4.937988070107277, 'lng': 105.2148543798927}, 'southwest': {'lat': -4.940687729892721, 'lng': 105.2121547201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Wisata,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111341642439313578329"">A Google User</a>'], 'photo_reference': 'AUGGfZk-3q4ZUQ-_aZvt1ltsjTuenT75pLM2_hlX7Qll-LJxDChIE80ztZEalKNr_L-Xu-pAE9fFbQavJTiDg8t0F6oDHR-J06f1laeccx2Wh3i5GZfBq7sxxWV0XCiin7kFFz5SscpQbwu6H_wERzjBclTqAY2Au2CQG1YD-4vI-gyBhS1k', 'width': 3264}]",ChIJlQlivqGoQC4RuXuJ1JW-u_4,"{'compound_code': '3667+7G West Bandar Jaya, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P773667+7G'}",4.3,ChIJlQlivqGoQC4RuXuJ1JW-u_4,"['lodging', 'point_of_interest', 'establishment']",680,https://www.google.com/maps/place/?q=place_id:ChIJlQlivqGoQC4RuXuJ1JW-u_4
OPERATIONAL,"Jl. Raya Lintas Utama Sumatera Kali Bening No.9, Candi MAS, Kec. Abung Sel., Kabupaten Lampung Utara, Lampung 34513, Indonesia","{'location': {'lat': -4.856728200000001, 'lng': 104.9251903}, 'viewport': {'northeast': {'lat': -4.855222170107278, 'lng': 104.9266274298927}, 'southwest': {'lat': -4.857921829892722, 'lng': 104.9239277701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Graha Wisata,,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114977755214873753573"">Hotel Graha Wisata</a>'], 'photo_reference': 'AUGGfZkwsgZzyHsL0WoCvEB6GzajuEdGiPitg-eU_Bxy7dqPbe5_QqhcMI9-MmJP1FzACkm8lnhVS5pp2TMYU17gflP1hPWspRgv4G0J6IExefD75w1s9ByzZY-1eCXHVkQrTrDGpxoGSgDesv5Utz_4XdPICIrlMoxIoyFD7EreU_W3v2eD', 'width': 2048}]",ChIJAZuoEZupOC4Ru6PXAZWT_30,"{'compound_code': '4WVG+83 Candi MAS, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P764WVG+83'}",4.0,ChIJAZuoEZupOC4Ru6PXAZWT_30,"['lodging', 'point_of_interest', 'establishment']",514,https://www.google.com/maps/place/?q=place_id:ChIJAZuoEZupOC4Ru6PXAZWT_30
OPERATIONAL,"Jl. Alamsyah Ratu Prawiranegara No. 1, Kotabumi, Klp. Tujuh, Kec. Kotabumi Sel., Kabupaten Lampung Utara, Lampung 34514, Indonesia","{'location': {'lat': -4.8391215, 'lng': 104.9008754}, 'viewport': {'northeast': {'lat': -4.837716870107278, 'lng': 104.9021554798927}, 'southwest': {'lat': -4.840416529892722, 'lng': 104.8994558201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Duta,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100151332954722084746"">Rijanto Trie</a>'], 'photo_reference': 'AUGGfZkbKwpVF425u9l6TY8dQTQSRnkXfjz5XYWZhYWL6qq9NZWDKC-sUNQei9FoU134g_oTLMZEafARVl51ZQVdbdIGlISdukCv6DUySK06Y6bvaD1_z8Fdpptm-iaiGVtuxtU-Gj5Pwsi1XjQdSz23L1b3_kVt4vxULsHr7jAUOcv7q8tR', 'width': 1920}]",ChIJuyE42RqpOC4RhbnTWhp1lCE,"{'compound_code': '5W62+99 Kelapa Tujuh, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P765W62+99'}",3.9,ChIJuyE42RqpOC4RhbnTWhp1lCE,"['lodging', 'point_of_interest', 'establishment']",987,https://www.google.com/maps/place/?q=place_id:ChIJuyE42RqpOC4RhbnTWhp1lCE
OPERATIONAL,"6, Jl. Garuda, Lampung, Lampung, Sumatera Selatan 34163, Indonesia","{'location': {'lat': -4.9400714, 'lng': 105.212274}, 'viewport': {'northeast': {'lat': -4.938691620107278, 'lng': 105.2134938298927}, 'southwest': {'lat': -4.941391279892722, 'lng': 105.2107941701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 1456 Hotel Garuda,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105785377435856659074"">A Google User</a>'], 'photo_reference': 'AUGGfZmNm_uUnbqyGQLT2U615TJ65nXpuFAxtpuUMhrpbii9bYMd8laUrnnj6ySQp-0vQGoVMM7E_O0hClSjZM4zEGxizk1Cm-n_3XRz5ZlS-PzY-npDsF1p0DZ7_hAa8vTbTJZGvDMg4EG6sKeIFOix56F0QTLNha7BVIgN2EMdrUkZ-C0', 'width': 640}]",ChIJIdjrFZmoQC4RDY_RYYV7-0Q,"{'compound_code': '3656+XW East Bandar Jaya, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P773656+XW'}",3.0,ChIJIdjrFZmoQC4RDY_RYYV7-0Q,"['lodging', 'point_of_interest', 'establishment']",216,https://www.google.com/maps/place/?q=place_id:ChIJIdjrFZmoQC4RDY_RYYV7-0Q
OPERATIONAL,"Jl. Jend. Sudirman No.13, Kota Gapura, Kec. Kotabumi, Kabupaten Lampung Utara, Lampung 28811, Indonesia","{'location': {'lat': -4.8331234, 'lng': 104.8953396}, 'viewport': {'northeast': {'lat': -4.831872920107278, 'lng': 104.8966442298927}, 'southwest': {'lat': -4.834572579892722, 'lng': 104.8939445701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Srikandi,,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102569964492758840008"">A Google User</a>'], 'photo_reference': 'AUGGfZmZaqC_9C9FgZsYibhDk3eAUnZaOz_VTV4TnAS8E455hnhQN4iZlRVJy--yYOJJdZV7r5-DFfbHZmYfD_PE_-rBDN4grXB5FHQPzLuj6zX8HjtAGqN3OazwM7X2RqHilNGPshae0oR4385Hi-NNIy0AVOSmeeTq5Oa3UcaJoJAeBARH', 'width': 4624}]",ChIJC8j6ZN6oOC4RvxPWOfFGmr8,"{'compound_code': '5V8W+Q4 Gapura City, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P765V8W+Q4'}",3.9,ChIJC8j6ZN6oOC4RvxPWOfFGmr8,"['lodging', 'point_of_interest', 'establishment']",473,https://www.google.com/maps/place/?q=place_id:ChIJC8j6ZN6oOC4RvxPWOfFGmr8
OPERATIONAL,"Jalan Pondok Pesantren, Seputih Jaya, Bandar Jaya Tim., Kec. Gn. Sugih, Lampung 34161, Indonesia","{'location': {'lat': -4.960975299999999, 'lng': 105.2109504}, 'viewport': {'northeast': {'lat': -4.959617870107277, 'lng': 105.2123309298927}, 'southwest': {'lat': -4.96231752989272, 'lng': 105.2096312701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz @ Seputih Jaya Lampung,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115780961764853988087"">Al</a>'], 'photo_reference': 'AUGGfZnsm4mR9pYnQ2b4Yp98-bS5rvii9o_WP00tcd1FR2INt5mZA2UBZJYc7iMDrDNmpQHaieJP_vksTAdCQX_7n_IGF7B64_OUbqU1GrGGFkwO7x1DnpYA8C49wV-UMdGkx93pd5lFaIhVZayln_TzR-K_ctT9ZC-vYxgdsWjOFdFyDbAi', 'width': 2560}]",ChIJxeOnWiKvQC4R5tykRzVN3uw,"{'compound_code': '26Q6+J9 East Bandar Jaya, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P7726Q6+J9'}",3.7,ChIJxeOnWiKvQC4R5tykRzVN3uw,"['lodging', 'point_of_interest', 'establishment']",59,https://www.google.com/maps/place/?q=place_id:ChIJxeOnWiKvQC4R5tykRzVN3uw
OPERATIONAL,"Jl.Negara Yukum Jaya Bandar Jaya KM.65 Utara Bandar Lampung, Yukum Jaya, Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163, Indonesia","{'location': {'lat': -4.9090356, 'lng': 105.2113562}, 'viewport': {'northeast': {'lat': -4.907703570107278, 'lng': 105.2127066298927}, 'southwest': {'lat': -4.910403229892722, 'lng': 105.2100069701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Mandarin Yukum Bandar Jaya,{'open_now': True},"[{'height': 2186, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115853556786184736446"">Hotel Mandarin Lampung Tengah</a>'], 'photo_reference': 'AUGGfZlsP0bM9GZ77dzITWBj1Kbd9H0jW5ALI7xgQjEJ2YFYIXbaw2iR2ZSfMskHBMK87G3PotQRG6NMSvTIbFDLV7aN2hSYGMS-VT1zZ2vmX70xcNkjLPsjoi-rhMXnKVbmBnJGnLHyXoyvYJUw4zznQGoI17XG462t2ymnlEKMVvATLey8', 'width': 4581}]",ChIJzS4xmnGoQC4RQhKK4Fz55FU,"{'compound_code': '36R6+9G Yukum Jaya, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P7736R6+9G'}",3.7,ChIJzS4xmnGoQC4RQhKK4Fz55FU,"['lodging', 'point_of_interest', 'establishment']",329,https://www.google.com/maps/place/?q=place_id:ChIJzS4xmnGoQC4RQhKK4Fz55FU
OPERATIONAL,"Jl. Alamsyah RPN No.25, Klp. Tujuh, Kec. Kotabumi, Kabupaten Lampung Utara, Lampung 34511, Indonesia","{'location': {'lat': -4.8432743, 'lng': 104.9047456}, 'viewport': {'northeast': {'lat': -4.841881220107278, 'lng': 104.9061485798927}, 'southwest': {'lat': -4.844580879892722, 'lng': 104.9034489201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Cahaya,,"[{'height': 3360, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101220097674080679624"">ikung forumproperti</a>'], 'photo_reference': 'AUGGfZnBrcuPC1hdniyumn4VaDDbE7lnxSeCITO0m1wvcFdVc8THNcW8iKPMXngUvbE3Ib4cTQLM-eiYwWSbXsVJL6BPyNqv1FyyNFTPDfTVs6lBQzatz2C7Ifhctsei4BeYbge_zOABwZJ0DzpL0Jozlygvkc93o9C49-S-i-6skG9BJCYG', 'width': 4480}]",ChIJ99yqnNuoOC4RatWe1NHXqM8,"{'compound_code': '5W43+MV Kelapa Tujuh, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P765W43+MV'}",3.4,ChIJ99yqnNuoOC4RatWe1NHXqM8,"['lodging', 'point_of_interest', 'establishment']",240,https://www.google.com/maps/place/?q=place_id:ChIJ99yqnNuoOC4RatWe1NHXqM8
OPERATIONAL,"Jl. Raya Mulya Asri No.Raya, Mulya Asri, Lampung, Kab. Tulang Bawang Barat, Lampung 34693, Indonesia","{'location': {'lat': -4.6276198, 'lng': 105.1519933}, 'viewport': {'northeast': {'lat': -4.626206770107279, 'lng': 105.1533671298927}, 'southwest': {'lat': -4.628906429892723, 'lng': 105.1506674701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Asri Syariah Tulang Bawang Barat RedPartner,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116113669223135917644"">Fadhlul Hamid</a>'], 'photo_reference': 'AUGGfZl_zBE6gA2Y3I7it2UmGrtPoXEhHtljdLXm0h47CCKsbVQCLqxC41J1lqVXFx3IZitHvG-4fXE-m84AGzDxFiJXEYX9Be50a4Sw0iUxsf8sSW9C2IaDLts5QRM6hV0MTicXXB0GKOmmyhLzsB8nVgHfQb7YM9H6pWPhrhUYPoGxCLk', 'width': 4000}]",ChIJB063UkhJPy4Rqvex_RPJUO8,"{'compound_code': '95C2+XQ Mulya Asri, West Tulang Bawang Regency, Lampung, Indonesia', 'global_code': '6P7795C2+XQ'}",4.7,ChIJB063UkhJPy4Rqvex_RPJUO8,"['lodging', 'point_of_interest', 'establishment']",52,https://www.google.com/maps/place/?q=place_id:ChIJB063UkhJPy4Rqvex_RPJUO8
