business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Taeh Bukik, Payakumbuh, Lima Puluh Kota Regency, West Sumatra 26251, Indonesia","{'location': {'lat': -0.1496747, 'lng': 100.6049147}, 'viewport': {'northeast': {'lat': -0.1482653701072778, 'lng': 100.6061447798927}, 'southwest': {'lat': -0.1509650298927222, 'lng': 100.6034451201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tombak Resort,{'open_now': True},"[{'height': 3712, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109313851514891577959"">Ari Irawan</a>'], 'photo_reference': 'AUGGfZk-T6cznKBGdoGeCIjZo1GbDBGsIowgLEB_3-COpR36m8nBj6pK3a9culvuLSP9mdlcrn7Mznj7zpG0OkenWN6YMLNkXFqYQ4Hy7b1oMpPsVqmhSn3ohxcLKS5rPgYej5le8IK-MS9k2YbAApJClcPS9n0NVmLOiunpKt-FS9W-AXpZ', 'width': 7632}]",ChIJR21kBVlN1S8Ro2AGQr819to,"{'compound_code': 'VJ23+4X Taeh Bukik, Lima Puluh Kota Regency, West Sumatra, Indonesia', 'global_code': '6PF2VJ23+4X'}",4.5,ChIJR21kBVlN1S8Ro2AGQr819to,"['lodging', 'point_of_interest', 'establishment']",75,https://www.google.com/maps/place/?q=place_id:ChIJR21kBVlN1S8Ro2AGQr819to
OPERATIONAL,"Jl. Binuang, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat, Indonesia","{'location': {'lat': -0.3071891, 'lng': 100.3615229}, 'viewport': {'northeast': {'lat': -0.3058170701072778, 'lng': 100.3628651798927}, 'southwest': {'lat': -0.3085167298927222, 'lng': 100.3601655201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Padi Ecolodge,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108120020179869001299"">aq taphaar</a>'], 'photo_reference': 'AUGGfZnkvncGkTtmVzI2DlHRlUxxNRFOexOKbkQH0GpH35lkS7mvdZEINDCkkS0Yf6IkDKWk55BYGAsIM4xNQFFV8xLxhBmmcocJ49OfcuY5zwgpB7QgCfk1JxAFBZYbaHeEB_g7d0iwz4AmFiOQfLS3QQ2vQe4yaZDOhrGQqhhNgBnLJqGb', 'width': 3024}]",ChIJ2VimXgc51S8RoMm62RMdAuE,"{'compound_code': 'M9V6+4J Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9V6+4J'}",4.6,ChIJ2VimXgc51S8RoMm62RMdAuE,"['lodging', 'point_of_interest', 'establishment']",50,https://www.google.com/maps/place/?q=place_id:ChIJ2VimXgc51S8RoMm62RMdAuE
OPERATIONAL,"Jl.Laras Datuk Bandaro, Bukit Cangang Kayu Ramang, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26115, Indonesia","{'location': {'lat': -0.3059126, 'lng': 100.3679924}, 'viewport': {'northeast': {'lat': -0.3045281701072778, 'lng': 100.3694133298927}, 'southwest': {'lat': -0.3072278298927222, 'lng': 100.3667136701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,TripleTree Hotel & Resort Bukittinggi,,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112719533766646748446"">A Google User</a>'], 'photo_reference': 'AUGGfZnbN1_jYSF5Nw8QCmtaAXly9JqmQ_NP6ygz3zUBUrCgz1lSqesxLuxHuFMgBzk78JMbK87hZ9HXyh-r0qrU-enSbv3w3PHYIgbA7ANudNB7yoL4H3BJcPClidy95BsKfE7uoFATb4Y-YY6iHcCjc0tAOU_YaxPUKI-Oz_6023Mhwm1f', 'width': 768}]",ChIJ3wkQSEM51S8ROafOSKmcNDM,"{'compound_code': 'M9V9+J5 Bukit Cangang Kayu Ramang, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9V9+J5'}",4.8,ChIJ3wkQSEM51S8ROafOSKmcNDM,"['lodging', 'point_of_interest', 'establishment']",455,https://www.google.com/maps/place/?q=place_id:ChIJ3wkQSEM51S8ROafOSKmcNDM
OPERATIONAL,"Jl. Yos Sudarso No.29, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26115, Indonesia","{'location': {'lat': -0.3027454, 'lng': 100.3662925}, 'viewport': {'northeast': {'lat': -0.3014971201072778, 'lng': 100.3678275298927}, 'southwest': {'lat': -0.3041967798927223, 'lng': 100.3651278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Rocky Hotel Bukittinggi,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114288452579394288750"">A Google User</a>'], 'photo_reference': 'AUGGfZnal2qhTIqf36qfeX-3SK1ni5S8zyC1qdEq5nejd0tVjd8_g5crEawybBQg0VdagWJjhIdCfstSB1UZucjtDVXZiQL5U759XjA-W_OYsfz5sJwnlSJZ_PV84vkXBCdWN7Aj5PN1vFINyIJ7hpEM9hV6KK5G312b1gK4bWOM7zuQzrkh', 'width': 1920}]",ChIJxxkDWqM41S8ROW1AiF9EwjU,"{'compound_code': 'M9W8+WG Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9W8+WG'}",4.5,ChIJxxkDWqM41S8ROW1AiF9EwjU,"['lodging', 'point_of_interest', 'establishment']",3813,https://www.google.com/maps/place/?q=place_id:ChIJxxkDWqM41S8ROW1AiF9EwjU
OPERATIONAL,"Jalan Raya Bukittinggi Medan KM 7 Padang Hijau, Gadut, Tilatang Kamang, Agam Regency, West Sumatra 26152, Indonesia","{'location': {'lat': -0.2607252, 'lng': 100.353376}, 'viewport': {'northeast': {'lat': -0.2593503201072777, 'lng': 100.3547755798927}, 'southwest': {'lat': -0.2620499798927222, 'lng': 100.3520759201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Balcone Hotel & Resort Bukittinggi,{'open_now': True},"[{'height': 854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113703650424171824020"">A Google User</a>'], 'photo_reference': 'AUGGfZlJaEJCM8mgSQgPYqFAIsdlTx8YEkPvsO8oNx3PWbw-cu8sW8XWDOO3e1PhyUoqKdkomUaeI9xvG2rB5CEFUTROxDWbgKFhEpKj65cJDWtfOQQqk2mtFhZ-sUlewe6WDvyQw_NhRdLEST203w1fImJJ9rdgchucRJKNQURvBNSGzy3z', 'width': 1280}]",ChIJU2bBuitH1S8RA-2gqQxdEZc,"{'compound_code': 'P9Q3+P9 Gadut, Agam Regency, West Sumatra, Indonesia', 'global_code': '6PF2P9Q3+P9'}",4.5,ChIJU2bBuitH1S8RA-2gqQxdEZc,"['lodging', 'point_of_interest', 'establishment']",2427,https://www.google.com/maps/place/?q=place_id:ChIJU2bBuitH1S8RA-2gqQxdEZc
OPERATIONAL,"Jl. H. Agus Salim, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26115, Indonesia","{'location': {'lat': -0.3058833, 'lng': 100.367485}, 'viewport': {'northeast': {'lat': -0.3045536201072778, 'lng': 100.3689248798927}, 'southwest': {'lat': -0.3072532798927223, 'lng': 100.3662252201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Fahira Hotel,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103347599606131327688"">A Google User</a>'], 'photo_reference': 'AUGGfZltjYrttq6EOM8binyGR4D-HEW7IXdZdxpS-v9i1KjT0aUfPuwxkOnIt-8OG-YukDJKliMw9vZcgpKzILGUwI_Dw15ooSDKqVDaKgL_WpTQT_CYEPOg8zcpw-Zw-OhSFzq40xyrQpF2LScnHBbIyAUxz8mf5E8qFVQiMKW3ZVZUgXO4', 'width': 1280}]",ChIJ-5-w_dQ51S8R2qbhb-AUwIY,"{'compound_code': 'M9V9+J2 Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9V9+J2'}",4.5,ChIJ-5-w_dQ51S8R2qbhb-AUwIY,"['lodging', 'point_of_interest', 'establishment']",164,https://www.google.com/maps/place/?q=place_id:ChIJ-5-w_dQ51S8R2qbhb-AUwIY
OPERATIONAL,"Belakang SMPN 1 Jl. Tan Malaka No.km 14, Guguak VIII Koto, Kec. Guguak, Kabupaten Lima Puluh Kota, Sumatera Barat 26253, Indonesia","{'location': {'lat': -0.1301164, 'lng': 100.540821}, 'viewport': {'northeast': {'lat': -0.1287699701072778, 'lng': 100.5421662298927}, 'southwest': {'lat': -0.1314696298927222, 'lng': 100.5394665701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Tobex / Penginapan CPNS,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110355730120812861780"">A Google User</a>'], 'photo_reference': 'AUGGfZlvjBMtIg4U8bJlG7_dPzfY0or8MCLmS2ZbKXPhaMUE-o5-IozAGrg3TqJTTkrP4gqjhwxt4Kpe1RXLYs4ebOI55gN4lFiWi5BgmP6hSSWK1viWKWpOqf2AubMvdfqugy24SqPkzBF2ZB2K0Qati7GEmQzkZMQpQ3r60uVKjScJV8Y-', 'width': 1600}]",ChIJY4Y6ozJT1S8RBmmzgE6IyTY,"{'compound_code': 'VG9R+W8 Guguak VIII Koto, Lima Puluh Kota Regency, West Sumatra, Indonesia', 'global_code': '6PF2VG9R+W8'}",4.7,ChIJY4Y6ozJT1S8RBmmzgE6IyTY,"['lodging', 'point_of_interest', 'establishment']",19,https://www.google.com/maps/place/?q=place_id:ChIJY4Y6ozJT1S8RBmmzgE6IyTY
OPERATIONAL,"Ngalau Sampik, Jl. Soekarno - Hatta, Balai Panjang, Kec. Payakumbuh Sel., Kota Payakumbuh, Sumatera Barat 26226, Indonesia","{'location': {'lat': -0.2596525, 'lng': 100.6067346}, 'viewport': {'northeast': {'lat': -0.2582000701072778, 'lng': 100.6080510298927}, 'southwest': {'lat': -0.2608997298927223, 'lng': 100.6053513701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Narasaki Hotel,{'open_now': True},"[{'height': 3561, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116061232781343778130"">A Google User</a>'], 'photo_reference': 'AUGGfZmdplqvuL-nuvapZmwfu7796nuBOigMDwEU1qHkG0Y1QOmYWpPB11t009iCZfsXyaPtunKfBUQcATVVMHORji13HQL_aR0sBMhJsPCPP8_fl0dASE4QXFCXOKlYznqQyNPzfSURhiD_C9UnLvqXGWEQV-4EaIAcKskvX-OAhAs6rbyL', 'width': 3024}]",ChIJ2wiYiUhL1S8RSq2V91SNSOE,"{'compound_code': 'PJR4+4M Balai Panjang, Payakumbuh City, West Sumatra, Indonesia', 'global_code': '6PF2PJR4+4M'}",4.5,ChIJ2wiYiUhL1S8RSq2V91SNSOE,"['lodging', 'point_of_interest', 'establishment']",295,https://www.google.com/maps/place/?q=place_id:ChIJ2wiYiUhL1S8RSq2V91SNSOE
OPERATIONAL,"Jl. Mutiara 3 No.19, Aur Tajungkang Tengah Sawah, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26138, Indonesia","{'location': {'lat': -0.3085577, 'lng': 100.3753212}, 'viewport': {'northeast': {'lat': -0.3072742701072778, 'lng': 100.3766864298927}, 'southwest': {'lat': -0.3099739298927223, 'lng': 100.3739867701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ar Raudhah Hotel Syariah,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112881567508093360460"">hari ganda</a>'], 'photo_reference': 'AUGGfZldf9PC-489uJshIs7XS9APY1r7AiId2HTLtMYo5PEGjaxR2JevAtQFigzxTeMHQPslkK88BCWzplnBCQmzFLgNQ_a3FsH_0RLFeKidp5-bvNlKFNTuCOqkrUiSBp8baDyEQjxs2zEXIFZQnDjXUpIuMoGID1_KwEMqXU9IOlTAM9pw', 'width': 3024}]",ChIJ5wy3Das51S8Rmzxe32BVF8s,"{'compound_code': 'M9RG+H4 Aur Tajungkang Tengah Sawah, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9RG+H4'}",5.0,ChIJ5wy3Das51S8Rmzxe32BVF8s,"['lodging', 'point_of_interest', 'establishment']",9,https://www.google.com/maps/place/?q=place_id:ChIJ5wy3Das51S8Rmzxe32BVF8s
OPERATIONAL,"Lambah, Sianok Anam Suku, Iv Koto, Agam Regency, West Sumatra 26161, Indonesia","{'location': {'lat': -0.2961836, 'lng': 100.3425829}, 'viewport': {'northeast': {'lat': -0.2950368000000001, 'lng': 100.3445128298927}, 'southwest': {'lat': -0.2996239999999999, 'lng': 100.3418131701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SUMATRA ecoresort,,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101660685652135908699"">A Google User</a>'], 'photo_reference': 'AUGGfZm1HJoCumfWbbGGnBPmdhtlug_z_LtcnJfcuCuug-JsDveEmX_HQCu2oAk_aN3P4Vt5Ro64YwltFKrQ3LKl3Kf6ODvbeMFQiyhZvIwHmVhVK7DVfrStswONiyZsmTdU8zJnbFZjWu-l-0bSZQVdCon9OiM9XTyhMNu9nt5GAFGFri4A', 'width': 1080}]",ChIJ6woY0jI_1S8RWWZpFu-m8sM,"{'compound_code': 'P83V+G2 Sianok Anam Suku, Agam Regency, West Sumatra, Indonesia', 'global_code': '6PF2P83V+G2'}",4.6,ChIJ6woY0jI_1S8RWWZpFu-m8sM,"['lodging', 'point_of_interest', 'establishment']",25,https://www.google.com/maps/place/?q=place_id:ChIJ6woY0jI_1S8RWWZpFu-m8sM
