business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,price_level,url
OPERATIONAL,"Desa Tawun, Sekotong Bar., Kec. Sekotong, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83355, Indonesia","{'location': {'lat': -8.7514086, 'lng': 116.0132249}, 'viewport': {'northeast': {'lat': -8.750101270107276, 'lng': 116.0145893298927}, 'southwest': {'lat': -8.75280092989272, 'lng': 116.0118896701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Silver Fern Beach Retreat,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114281622115287283833"">alanna sandford</a>'], 'photo_reference': 'AUGGfZmjLf_32k9rEYMso9Dc_UlhOwRvw2wvHGTvr9YsTj60mFX2I7LzjP3kCPxRIosXe3Y9v1pFmCvvQRG2TPo00GUTGLUKK12zFBZS9_adxvzoXkFYBnHUIOyzN5ncID3qj2WbfgmsSEECI41009awj8P_2dZ_ww3wflXmtOI-gQ2Lioom', 'width': 4000}]",ChIJaSb8t4uXzS0RuWALNR-QrkU,"{'compound_code': '62X7+C7 Sekotong Barat, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R62X7+C7'}",4.5,ChIJaSb8t4uXzS0RuWALNR-QrkU,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",278,,,https://www.google.com/maps/place/?q=place_id:ChIJaSb8t4uXzS0RuWALNR-QrkU
OPERATIONAL,"Sekotong Barat, Sekotong, West Lombok Regency, West Nusa Tenggara 83365, Indonesia","{'location': {'lat': -8.7271083, 'lng': 116.0458925}, 'viewport': {'northeast': {'lat': -8.726014020107279, 'lng': 116.0466498}, 'southwest': {'lat': -8.728713679892723, 'lng': 116.0436114}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Catappa Village,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103626062738170519057"">Alvin Adiprasetyo</a>'], 'photo_reference': 'AUGGfZmL1NFI7V5DCT3wkOSLftV9L8yjU1qG-nkTCTzF0bQfkx52Uy2wZhsUKeRWRFCNDQdEoTWU5QQkGiu8PU-BI9CxG9LCZM435v5GVaqLfZh4taG3-NaLt4l8HDXucBWcYov_t0mvzPTxOpl-GzyF67POy_5K7W4iF6weJ2WcsEMAk4NX', 'width': 2400}]",ChIJ_dOFXWG9zS0R4l9jGHotxSQ,"{'compound_code': '72FW+59 Sekotong Barat, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R72FW+59'}",5.0,ChIJ_dOFXWG9zS0R4l9jGHotxSQ,"['lodging', 'point_of_interest', 'establishment']",27,,,https://www.google.com/maps/place/?q=place_id:ChIJ_dOFXWG9zS0R4l9jGHotxSQ
OPERATIONAL,"Pantai cemare, Sunsetpoint pantai cemare, lembar selatan, Lembar, selatan, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364, Indonesia","{'location': {'lat': -8.7215329, 'lng': 116.0577914}, 'viewport': {'northeast': {'lat': -8.719946720107277, 'lng': 116.0592824798927}, 'southwest': {'lat': -8.722646379892721, 'lng': 116.0565828201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Cemare Cottage,"[{'height': 1943, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103036131888717492028"">A Google User</a>'], 'photo_reference': 'AUGGfZlKdXmhMpl1p6ZlDN3M6qZlL_9efhY1ieXpZcWcInxo9-8YA1msYZoOdOcNVKxs2qYku8SvalgUoJOa3dEEwfn5_71EwGOrrJWXKldn3VYWwZBbiF288y4lk3DKC-V9XwW8f4XFzC9U6P4dIBL89UFHr14-gFj8AgD4RusY0Um1cKUw', 'width': 3249}]",ChIJg-aumnm9zS0R0V_BwxaqZoc,"{'compound_code': '73H5+94 Lembar, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R73H5+94'}",5.0,ChIJg-aumnm9zS0R0V_BwxaqZoc,"['lodging', 'point_of_interest', 'establishment']",30,,,https://www.google.com/maps/place/?q=place_id:ChIJg-aumnm9zS0R0V_BwxaqZoc
OPERATIONAL,"73V6+GRM Pantai Cemare, Phuket Beach Road, Lembar, Kec. Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364, Indonesia","{'location': {'lat': -8.7061706, 'lng': 116.0621027}, 'viewport': {'northeast': {'lat': -8.705050470107278, 'lng': 116.0648934}, 'southwest': {'lat': -8.707750129892721, 'lng': 116.0610878}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sunset Lombok Hideaway,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103382189598310125502"">daykurniawan@yahoo.com</a>'], 'photo_reference': 'AUGGfZkQqfgzMqgaZZA_zDcI98gfbHcye7dybmu7t4YPQW0kV0B97ktGMUJ5OLji0Yk43XQhD_aPVrALwEBnbB6U0rD4DPEt7kV9u7dZEKVyhWbayYfnLIlXmfZ_LkFDXrpH2NQv9Pj_IfEvNTmMIgsyacE0kcfbL7I0zXJXDgVcQoDqwkt5', 'width': 1920}]",ChIJefkrwHO9zS0RIbAdkGyAKxg,,4.2,ChIJefkrwHO9zS0RIbAdkGyAKxg,"['lodging', 'point_of_interest', 'establishment']",49,,,https://www.google.com/maps/place/?q=place_id:ChIJefkrwHO9zS0RIbAdkGyAKxg
OPERATIONAL,"Teluk Kadinan Dusun Medang, Sekotong Bar., Kabupaten Lombok Barat, Nusa Tenggara Bar. 83365, Indonesia","{'location': {'lat': -8.7285557, 'lng': 116.0461278}, 'viewport': {'northeast': {'lat': -8.727322220107277, 'lng': 116.0468044}, 'southwest': {'lat': -8.730021879892721, 'lng': 116.044098}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Beach Camp Lombok,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110470570677588186790"">A Google User</a>'], 'photo_reference': 'AUGGfZmF5U0BW-3d-KmSSQ3Gm8hBvzApHGu7W_n12RUovGbE_o5e9wSx3gL4Pa2An32YRtsbY8aYbufHichmGfP9AkbgycBEIscGZUzP-E4QlZhT4iiZARZgreGEI9UpUCgwEXI1amZp4jx8GXGKbBOQL65uJxV41Tvo69bL5prSwv6sWHjM', 'width': 4000}]",ChIJh3ax-Mi9zS0RDb6Qs-J71Oo,"{'compound_code': '72CW+HF Sekotong Barat, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R72CW+HF'}",4.8,ChIJh3ax-Mi9zS0RDb6Qs-J71Oo,"['lodging', 'point_of_interest', 'establishment']",49,,,https://www.google.com/maps/place/?q=place_id:ChIJh3ax-Mi9zS0RDb6Qs-J71Oo
OPERATIONAL,"Dusun Batu Leong, Desa, Sekotong Bar., Kec. Sekotong, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83365, Indonesia","{'location': {'lat': -8.7460253, 'lng': 116.0054294}, 'viewport': {'northeast': {'lat': -8.744700620107277, 'lng': 116.0067416298927}, 'southwest': {'lat': -8.747400279892721, 'lng': 116.0040419701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ALDEN BEACH HOUSE,"[{'height': 560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100804358829248859745"">A Google User</a>'], 'photo_reference': 'AUGGfZm5ITi5W500GHT84bAJu7PmsGSSeaDiYpSyB0aMrGr-yz5nc0CiofQKNM8--SgQnwMTcKuwBMRJeSkdfA75nKrefkhWfcP-e3u2vCusLEHSF6ISf6tNdjZSlhiwG5OUReff3Iw9cwUYmASEK57kyINzD4eR0mEK6Bot5EQbitbVyqZa', 'width': 1152}]",ChIJO4-DhwuXzS0RcWwBFBpvlpA,"{'compound_code': '7234+J5 Sekotong Barat, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R7234+J5'}",4.5,ChIJO4-DhwuXzS0RcWwBFBpvlpA,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']",52,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJO4-DhwuXzS0RcWwBFBpvlpA
OPERATIONAL,"Pantai Torok, Montong Ajan, Praya Barat Daya, Central Lombok Regency, West Nusa Tenggara 83573, Indonesia","{'location': {'lat': -8.8661341, 'lng': 116.1246055}, 'viewport': {'northeast': {'lat': -8.864303670107278, 'lng': 116.1260513298928}, 'southwest': {'lat': -8.867003329892722, 'lng': 116.1233516701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amber Lombok Beach Resort,"[{'height': 1541, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109180466152962573037"">A Google User</a>'], 'photo_reference': 'AUGGfZkFmu5S4ww9p_eop0HI9xhkc7JFSCJ9iL-NE6Agbi1JeIYaMz7z-dAlNZBvIrxQZg-3ZrCN_IxSYJ9LmdKUNiGC_dKJqeD37gB-_O1vcRBkKQR6turjTcuaTplA_HyKwBuSdX8gpr1gGtzbrJiwauBCFOzeIc7S7lKfQiKoH1_e7K8m', 'width': 2583}]",ChIJwxDvoZuhzS0R4RriyYUmlbg,"{'compound_code': '44MF+GR Selong Belanak, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R44MF+GR'}",4.6,ChIJwxDvoZuhzS0R4RriyYUmlbg,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",844,,,https://www.google.com/maps/place/?q=place_id:ChIJwxDvoZuhzS0R4RriyYUmlbg
OPERATIONAL,"Sekotong Barat, Sekotong, West Lombok Regency, West Nusa Tenggara 83365, Indonesia","{'location': {'lat': -8.7307942, 'lng': 115.9850707}, 'viewport': {'northeast': {'lat': -8.729476470107278, 'lng': 115.9864512298927}, 'southwest': {'lat': -8.732176129892721, 'lng': 115.9837515701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lombok Sunset Bay Resort,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112568529218357875030"">A Google User</a>'], 'photo_reference': 'AUGGfZlBwxKDHeiWvrFf8IEV1ogpSDaqeJWJ6bnzfC8h36wgQwGfDmTIx1P4_2yUh4SC5SkQ2e3SvZG87WXYVMTrTsqhpxdnnNBQQ6WbfzFLTYLgBo7CHpoEAx9p_1oDLoZbl2KvfQ5mEX_vg5O6pNhjLk8oHqHG9SFAtjPKDXVJzLAH7coP', 'width': 4032}]",ChIJs5eofQ6XzS0RB0wtzTpyGsU,"{'compound_code': '7X9P+P2 Sekotong Barat, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3Q7X9P+P2'}",4.6,ChIJs5eofQ6XzS0RB0wtzTpyGsU,"['lodging', 'point_of_interest', 'establishment']",82,,,https://www.google.com/maps/place/?q=place_id:ChIJs5eofQ6XzS0RB0wtzTpyGsU
OPERATIONAL,"Jalan Raya, Sekotong Bar., Kec. Sekotong, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83365, Indonesia","{'location': {'lat': -8.729123, 'lng': 116.0287902}, 'viewport': {'northeast': {'lat': -8.728178320107277, 'lng': 116.0307299298928}, 'southwest': {'lat': -8.730877979892721, 'lng': 116.0280302701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Suites Lombok,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108434986694372944118"">indah riniasri</a>'], 'photo_reference': 'AUGGfZlSFs-5aK_RQMU0hxptkUIYGLYHh_D4HmuFflwUzpRbBsVI4bUIp1_1Ug9Ao2oIee4nTGlTV26CqL0CveQfb3D0-4PPvQCjCqbqWl1rpUAagpMx2XyLM0tkVH4TQgf4BJMz8WvkXg4T83ZG-Q7P0dOn3FuPo3_4n-nHwpuyWb8HYAzE', 'width': 4000}]",ChIJ3dAoTRSXzS0RIE1Ghh-zA1g,"{'compound_code': '72CH+9G Sekotong Barat, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R72CH+9G'}",4.3,ChIJ3dAoTRSXzS0RIE1Ghh-zA1g,"['lodging', 'point_of_interest', 'establishment']",94,,,https://www.google.com/maps/place/?q=place_id:ChIJ3dAoTRSXzS0RIE1Ghh-zA1g
OPERATIONAL,"Jalan Yos Sudarso, Lembar, Kec. Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364, Indonesia","{'location': {'lat': -8.7095828, 'lng': 116.0762268}, 'viewport': {'northeast': {'lat': -8.708230720107277, 'lng': 116.0775661298927}, 'southwest': {'lat': -8.710930379892721, 'lng': 116.0748664701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bougenville Homestay,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101797496476045373831"">A Google User</a>'], 'photo_reference': 'AUGGfZndVOnUoY1lXTrPWZj9xD0XRsshaXSC28W0NZh5o7y9trNtsXhpbAhhuhsc4YESWt-6T8un8FPTogmA7O2CBNLzBWFk59b3ah_JIGIPtA2Zx6YNQuLh-iT7pZf-jdJdvVEgWtcOBSysp6FqZYlKrNdJlOjDssXoLlpMgmtWS6eEQA7K', 'width': 4000}]",ChIJcS4VOxe9zS0RzABdlixxFuI,"{'compound_code': '73RG+5G Lembar, West Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R73RG+5G'}",4.7,ChIJcS4VOxe9zS0RzABdlixxFuI,"['lodging', 'point_of_interest', 'establishment']",29,,,https://www.google.com/maps/place/?q=place_id:ChIJcS4VOxe9zS0RzABdlixxFuI
