business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,price_level,url
OPERATIONAL,"Jl. Raya Sembalun Lawang, Sembalun Bumbung, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83656, Indonesia","{'location': {'lat': -8.3781191, 'lng': 116.5328482}, 'viewport': {'northeast': {'lat': -8.376724520107278, 'lng': 116.5342363798927}, 'southwest': {'lat': -8.379424179892721, 'lng': 116.5315367201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bukit Tiga Lima Boutique Hotel,"[{'height': 2207, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112350841261853211797"">A Google User</a>'], 'photo_reference': 'AUGGfZn5GQyUo9bepAPW0ZWUNrHXId-qJ2rkrGd0extVepgTr34Stsv2v_fNhPaYABoXyMWQr-OXbKXFpWbRdwxBIDE5jcnMLQxvZEA7YtJ3zYCgHNG2LGbVZv3D2AJZC8hBGtK-Xm8OA7Hd-EaHOV0S3CCBRLHcEIPlvevlRIy8X-4MRFMt', 'width': 2759}]",ChIJa_dlOXEvzC0Rvj5Hz2Smtq8,"{'compound_code': 'JGCM+Q4 Sembalun Bumbung, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJGCM+Q4'}",4.5,ChIJa_dlOXEvzC0Rvj5Hz2Smtq8,"['lodging', 'point_of_interest', 'establishment']",127,,,https://www.google.com/maps/place/?q=place_id:ChIJa_dlOXEvzC0Rvj5Hz2Smtq8
OPERATIONAL,"Guar, Padak selatan. Padak, Sambelia, Kabupaten Lombok Timur, Nusa Tenggara Bar., Indonesia","{'location': {'lat': -8.448767799999999, 'lng': 116.6993399}, 'viewport': {'northeast': {'lat': -8.447398020107277, 'lng': 116.7006862798927}, 'southwest': {'lat': -8.450097679892721, 'lng': 116.6979866201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bayview Beach Resort East Lombok,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114421901966205910384"">A Google User</a>'], 'photo_reference': 'AUGGfZkeykfwHNRo53C7xoKc9-j7DxPqtTuoqXYI9jezK40Hq-KPHouSD8uKyOYkp3DdYIxHcD6sHOnmb8soz_hxw4XD4jgrlmDh39ESdZxbv3rUI_zO3W31tbcFv3KE2Di-4vzh4_c8iQHv1PLn3Bd5MX5_1kui-2XPOT56umtcqnKC43rR', 'width': 4032}]",ChIJU6SZlts7zC0RgUnmu4iNaLc,"{'compound_code': 'HM2X+FP Labuhan Pandan, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RHM2X+FP'}",4.7,ChIJU6SZlts7zC0RgUnmu4iNaLc,"['lodging', 'point_of_interest', 'establishment']",46,,,https://www.google.com/maps/place/?q=place_id:ChIJU6SZlts7zC0RgUnmu4iNaLc
OPERATIONAL,"HPM5+7J, Labuhan Pandan, Sambelia, East Lombok Regency, West Nusa Tenggara 83656, Indonesia","{'location': {'lat': -8.4168311, 'lng': 116.7089944}, 'viewport': {'northeast': {'lat': -8.415152470107278, 'lng': 116.7104392798927}, 'southwest': {'lat': -8.417852129892722, 'lng': 116.7077396201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kondo villa hotel & Restaurant,"[{'height': 1212, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101481736426948263617"">A Google User</a>'], 'photo_reference': 'AUGGfZmcRPjSHj6jKbG1ERxR70LtrSzdq4myXWdtEqU56VqnopBdtKMnYHRd1vG8fd9wDN4J4Lzwhpf9z5TJv7ta6jdJkOZj7lGflOxj2WLKcpSBv4lrg8hnYOwmshjbj5DX8uMbKlvYIALjVnrmnnUipnrOPa9qeJ_okGGtrBeGbwJFq0Js', 'width': 1636}]",ChIJ7aUqn7Y9zC0RBm27TGbCRqk,,4.3,ChIJ7aUqn7Y9zC0RBm27TGbCRqk,"['lodging', 'point_of_interest', 'establishment']",14,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ7aUqn7Y9zC0RBm27TGbCRqk
OPERATIONAL,"Jl. Raya Sembalun Lawang No.11, Sembalun Bumbung, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83666, Indonesia","{'location': {'lat': -8.3793454, 'lng': 116.5337282}, 'viewport': {'northeast': {'lat': -8.377976270107277, 'lng': 116.5351313298927}, 'southwest': {'lat': -8.380675929892723, 'lng': 116.5324316701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rinjani Green Park,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108926638628092985402"">Untuk Thya</a>'], 'photo_reference': 'AUGGfZkqcFyfpw3VNEbj3kq-H-sasrnlEraovUz2yXUDIh5UXlu1mXjPRtll-H9jJeZ18nXX65lybfMFfNCoMuZ5Kmbu9MGEr5ufs1SF0oMHYpliIoqoLnhT4_6xmne93Sk_3DVJY_MUuEJ5vUlcXWQq1jCVnBULp1V5ESKWrYblr_r8vxL_', 'width': 4032}]",ChIJsfSn63IvzC0RiDSq341S6PQ,"{'compound_code': 'JGCM+7F Sembalun Bumbung, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJGCM+7F'}",4.5,ChIJsfSn63IvzC0RiDSq341S6PQ,"['lodging', 'point_of_interest', 'establishment']",209,,,https://www.google.com/maps/place/?q=place_id:ChIJsfSn63IvzC0RiDSq341S6PQ
OPERATIONAL,"JGV8+4XQ, Sembalun Lawang, Sembalun, East Lombok Regency, West Nusa Tenggara 83656, Indonesia","{'location': {'lat': -8.3572162, 'lng': 116.517492}, 'viewport': {'northeast': {'lat': -8.356038320107277, 'lng': 116.5188192298927}, 'southwest': {'lat': -8.358737979892721, 'lng': 116.5161195701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rinjani Hill Hotel,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104910401715158452176"">Umi Kamilah Islamiyah</a>'], 'photo_reference': 'AUGGfZkNnG8ftT8lAVbwzWEuyTDtfL7SiT_jJ4uykGhX4N2Z0JR-iSzXhIeY6xNQpg5j44HrN_Dac0MLwmNPYNPUm4O30fCnoekx7To96XK1mLAb8GBQP-kXYrITg9gmiXyH5lUWdNEdoz1JAYuOBD8QWNrh8EXU5dAe5Bk1jwDs-uejvZPv', 'width': 4640}]",ChIJl_j0J4gvzC0RenywRgME6pM,,4.4,ChIJl_j0J4gvzC0RenywRgME6pM,"['lodging', 'point_of_interest', 'establishment']",208,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJl_j0J4gvzC0RenywRgME6pM
OPERATIONAL,"Jl. Pelawangan Rinjani No.1, Sembalun Lawang, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83656, Indonesia","{'location': {'lat': -8.360536699999999, 'lng': 116.523832}, 'viewport': {'northeast': {'lat': -8.359162120107278, 'lng': 116.5252805798927}, 'southwest': {'lat': -8.361861779892722, 'lng': 116.5225809201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Nusantara Hotel & Restaurant, Sembalun","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104927259212375925301"">Hotel &amp; Restaurant NUSANTARA</a>'], 'photo_reference': 'AUGGfZng6dSe7GHwVrM0IjGymea9uH6nIgtfuPNIOlF1B9pzM6HWDNWq5hsH3Ge3k62UO7W7KbAxGNsPnMCO72seapDCtHwRyPYI3u8nOqm_NBvIqp3PNZdCitUHJZJetHuhW1WsNS5Sqr-DK506JQKVqI8NCzo2QUJ7lPAHiCQN4Ay47RXP', 'width': 4032}]",ChIJO-gfl3wuzC0RTNQWedhvUzI,"{'compound_code': 'JGQF+QG Sembalun Lawang, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJGQF+QG'}",4.3,ChIJO-gfl3wuzC0RTNQWedhvUzI,"['lodging', 'point_of_interest', 'establishment']",619,,,https://www.google.com/maps/place/?q=place_id:ChIJO-gfl3wuzC0RTNQWedhvUzI
OPERATIONAL,"Jl. Wisata, Sembalun Lawang, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83666, Indonesia","{'location': {'lat': -8.3725758, 'lng': 116.5334657}, 'viewport': {'northeast': {'lat': -8.371132620107277, 'lng': 116.5345667798927}, 'southwest': {'lat': -8.37383227989272, 'lng': 116.5318671201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nyampon Villas,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117243845559334227241"">A Google User</a>'], 'photo_reference': 'AUGGfZmAbMAcnl-RVngiYqEl4QcIGGmZA9u2McISus3woqR5wVBQGIpS44idUcfcALoY2QaIvuKVB-O6ypuib7TW5DQfN3LHFBDiGkNk0r_7ECIpLM8BQoCNrBauWxL6s7U-3HZuKZMwxOuyzXClC_gUItn2WM2MnXFHpHNont5BubPY-4QR', 'width': 3000}]",ChIJPQFesMMvzC0R86bUBKAn9q4,"{'compound_code': 'JGGM+X9 Sembalun Lawang, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJGGM+X9'}",4.7,ChIJPQFesMMvzC0R86bUBKAn9q4,"['lodging', 'point_of_interest', 'establishment']",38,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJPQFesMMvzC0R86bUBKAn9q4
OPERATIONAL,"Jl. Raya Sembalun Lawang, Sembalun Bumbung, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83656, Indonesia","{'location': {'lat': -8.3844295, 'lng': 116.5355269}, 'viewport': {'northeast': {'lat': -8.383114670107277, 'lng': 116.5370250298928}, 'southwest': {'lat': -8.385814329892721, 'lng': 116.5343253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sembalun Kita Cottage,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113522998066223172107"">A Google User</a>'], 'photo_reference': 'AUGGfZmgPrzLFwwn8DWJjSZuVZ4TCRqRPmldhs31dBxk9UBAIie446iSxh01LeDogehv8gvbqTTyMtS8YLRhsDoXXA4uzYxNlbFrS3xH4EmnQY0I954c55qqypRWevtLRRs3wG9j2A1gTddUpeqhIK7_SBkGmdtwT4LsYLVCWhihBt33tCKS', 'width': 4032}]",ChIJAY0LjBcuzC0RSa_l7WAweeM,"{'compound_code': 'JG8P+66 Sembalun Bumbung, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJG8P+66'}",4.5,ChIJAY0LjBcuzC0RSa_l7WAweeM,"['lodging', 'point_of_interest', 'establishment']",251,,,https://www.google.com/maps/place/?q=place_id:ChIJAY0LjBcuzC0RSa_l7WAweeM
OPERATIONAL,"Labuhan Pandan, Sambelia, East Lombok Regency, West Nusa Tenggara 83656, Indonesia","{'location': {'lat': -8.4159109, 'lng': 116.7090357}, 'viewport': {'northeast': {'lat': -8.414557570107277, 'lng': 116.7103726298927}, 'southwest': {'lat': -8.417257229892721, 'lng': 116.7076729701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bidara Cottages,"[{'height': 377, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100650922508556443077"">Bidara Cottages</a>'], 'photo_reference': 'AUGGfZm8-qvUKRNXpZJK5vOeTir-O2F43DEjw_mp9SNQ2RSQ_9cJq217-REKEWDYkE1aIarT0KJYN6c6hlKp6VD9Y4Lm2kkB6eCZPOwAnbUhonNHHuudAzeP91h1qezlY7Q2f1YwDEIFtIizVlpwy0I0aF5wKRrlVN3uWzlOwqrqgjkw4lXK', 'width': 600}]",ChIJHQOXeoQ8zC0RyxbnCBhWixE,"{'compound_code': 'HPM5+JJ Labuhan Pandan, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RHPM5+JJ'}",4.3,ChIJHQOXeoQ8zC0RyxbnCBhWixE,"['lodging', 'point_of_interest', 'establishment']",167,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJHQOXeoQ8zC0RyxbnCBhWixE
OPERATIONAL,"Labuhan Pandan, Sambelia, East Lombok Regency, West Nusa Tenggara 83656, Indonesia","{'location': {'lat': -8.3956844, 'lng': 116.7222448}, 'viewport': {'northeast': {'lat': -8.394233970107278, 'lng': 116.7229455}, 'southwest': {'lat': -8.396933629892722, 'lng': 116.7201427}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pondok Siola,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102409656150159388169"">Pondok Siola</a>'], 'photo_reference': 'AUGGfZkQQsPccxZr7bCbETAI3Hx7Vqbl7Iz7p3AWO_dybEgme6wzQH-ixa3Cw1c3pRKNshuBryHhQSNyIeWWPFyd7S8P38uZYRBkls4kvvjGAl5xKpzCtUFUDuh36IO7PgrAbaPAShFZ84IZNCKqBJwpnpjr3FWn8hUluNsIP7JX9aNuk_Jl', 'width': 4000}]",ChIJZ-8fgg89zC0RQbqbx67NH-w,"{'compound_code': 'JP3C+PV Labuhan Pandan, East Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJP3C+PV'}",4.5,ChIJZ-8fgg89zC0RQbqbx67NH-w,"['lodging', 'point_of_interest', 'establishment']",75,,,https://www.google.com/maps/place/?q=place_id:ChIJZ-8fgg89zC0RQbqbx67NH-w
