business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,url
OPERATIONAL,"M43X+3RM, Tanjung, North Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.347292500000002, 'lng': 116.1495316}, 'viewport': {'northeast': {'lat': -8.345808020107278, 'lng': 116.1509319298927}, 'southwest': {'lat': -8.348507679892721, 'lng': 116.1482322701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mina Tanjung Hotel,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111940059159663897641"">Agus Budiyono</a>'], 'photo_reference': 'AUGGfZko8EEbIWz1i1hy1GYbo238ZHOU0Q-NeRFiGQD6Td420o25Yc1Pqvo4kkVTypQXrkLv0jhDVtk4Myvy4_vo4QHZFX2HnO8OD_N3rDifNYZQd12i1yy3ZYl5ftc01brQBmsmFrRHJ_ZMJJTgeJ0fbFzMvkqBBQG8--_lzNvL2JAtE-zc', 'width': 4608}]",ChIJkwehZePbzS0R4cc9HdOmYNs,4.3,ChIJkwehZePbzS0R4cc9HdOmYNs,"['lodging', 'point_of_interest', 'establishment']",667,,,https://www.google.com/maps/place/?q=place_id:ChIJkwehZePbzS0R4cc9HdOmYNs
OPERATIONAL,"Gili Air, Dusun Gili Air, Gili Indah, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83355, Indonesia","{'location': {'lat': -8.357579, 'lng': 116.0771557}, 'viewport': {'northeast': {'lat': -8.356414470107275, 'lng': 116.0783972298927}, 'southwest': {'lat': -8.359114129892719, 'lng': 116.0756975701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Villa Tokay - Luxury Private Villas,"[{'height': 3941, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110955641719661817593"">A Google User</a>'], 'photo_reference': 'AUGGfZnXGiuGnCFJA_fK73Usb_6GWI7U17-FDEGRPgUHVMRnw4zideiiYS5FRrxqgezKIMxfoX9ZbmeymWXLrThPzLDyYZuOg_XbUClYzcJJVhF5toJA2AulXmSphlKyvLQHV99vjK-Ly7_R3enkdXbAMTG8q15uCoTAIq98Yo8LwWiEEmmY', 'width': 2956}]",ChIJL_NP1nTdzS0RjFOSFdVkr8Q,5.0,ChIJL_NP1nTdzS0RjFOSFdVkr8Q,"['lodging', 'point_of_interest', 'establishment']",69,"{'compound_code': 'J3RG+XV Gili Indah, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJ3RG+XV'}",,https://www.google.com/maps/place/?q=place_id:ChIJL_NP1nTdzS0RjFOSFdVkr8Q
OPERATIONAL,"Jalan Raya Bayan Papak, Desa, Genggelang, Kec. Gangga, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353, Indonesia","{'location': {'lat': -8.3054531, 'lng': 116.2002876}, 'viewport': {'northeast': {'lat': -8.304628270107278, 'lng': 116.2018866298927}, 'southwest': {'lat': -8.307327929892722, 'lng': 116.1991869701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sunset Springs Beach Resort,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114343964359862614197"">A Google User</a>'], 'photo_reference': 'AUGGfZll5JHyM8VsG2jnXcVtYU1y0IdylbSoodLs2nwPyb2BJdFJ-OSXK5y4UGG6Q-jyhwduMql_6zmJEFv-pNCBfSYjUzPIKwRip4EnTtws2--M3ZohloZW6YfK5UZAEgcKKp3CWrfYa1zlPL6M8YWqQ9o-pnqSWgdQHYSIuvZLd1eXsBbJ', 'width': 2252}]",ChIJL7k9RrHZzS0RnTjzodCNTqw,4.2,ChIJL7k9RrHZzS0RnTjzodCNTqw,"['lodging', 'point_of_interest', 'health', 'establishment']",22,"{'compound_code': 'M6V2+R3 Genggelang, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RM6V2+R3'}",,https://www.google.com/maps/place/?q=place_id:ChIJL7k9RrHZzS0RnTjzodCNTqw
OPERATIONAL,"Atas, Jl. Raya Tj., Karang Baru, Tanjung, North Lombok Regency, West Nusa Tenggara 83352, Indonesia","{'location': {'lat': -8.3573857, 'lng': 116.138557}, 'viewport': {'northeast': {'lat': -8.356349120107279, 'lng': 116.1399419798927}, 'southwest': {'lat': -8.359048779892722, 'lng': 116.1372423201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rinjani Beach Eco Resort,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118169366322769488202"">lombok adventures-rinjani beach eco resort</a>'], 'photo_reference': 'AUGGfZlpGyxLsON_jJDkeHgyB6pbllxMEN-Aj5YJFNHlEVy-r5ddCyQvXlE8OwVqiAyTAj6-A0X05dFOcVuhJDZHMVQ1b5qn7wqyXcoAjSrAXxtdEnJLmKM-UA-6T3PYmdieY8g6MAeeVGeg9TfKGaJxAqFDnDitk0oRw6P7HolB315xbv9O', 'width': 1800}]",ChIJ78LQYPbbzS0RrqXlJ1Jut-Q,4.2,ChIJ78LQYPbbzS0RrqXlJ1Jut-Q,"['lodging', 'point_of_interest', 'establishment']",161,"{'compound_code': 'J4VQ+3C Sokong, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJ4VQ+3C'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ78LQYPbbzS0RrqXlJ1Jut-Q
OPERATIONAL,"Beach, Medana, Tanjung, North Lombok Regency, West Nusa Tenggara 83352, Indonesia","{'location': {'lat': -8.363016, 'lng': 116.122449}, 'viewport': {'northeast': {'lat': -8.361674220107279, 'lng': 116.1237914798927}, 'southwest': {'lat': -8.364373879892723, 'lng': 116.1210918201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"The Oberoi Beach Resort, Lombok","[{'height': 650, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107155872505603101749"">The Oberoi Lombok</a>'], 'photo_reference': 'AUGGfZmiMRh3RhictjKFZ6hhueOW-_Kc6Gm54nUlw4jOK1kDycxv4pPit5q7KJ4qJLwxuIb3gvy2nVDCSH86d10HVWCEcaPRuJwGkzdfx0ETdCALTSQ9MeBui5W1RHXvHb9Y4bx61tsP0truAG7_6ZK8QBtFYbZUJHYXAyoUw4wX_CEufQQa', 'width': 1280}]",ChIJI-It6enbzS0Rde8aG2jPWh4,4.7,ChIJI-It6enbzS0Rde8aG2jPWh4,"['bar', 'cafe', 'spa', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",412,"{'compound_code': 'J4PC+QX Medana, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJ4PC+QX'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJI-It6enbzS0Rde8aG2jPWh4
OPERATIONAL,"Jl. Bangsal Ketapang, Gondang, Kec. Gangga, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353, Indonesia","{'location': {'lat': -8.3344191, 'lng': 116.1826711}, 'viewport': {'northeast': {'lat': -8.333267270107278, 'lng': 116.1859461}, 'southwest': {'lat': -8.335966929892722, 'lng': 116.1814745}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LPVE | Lombok Private Villa Estate,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106412333274632833213"">A Google User</a>'], 'photo_reference': 'AUGGfZl406otZAtcFb3Fxl4xD3Ir1a25HoAfiys8HCOJLnX5xIFdqdHOdd34zPN0yg2gJkUxtmnjOM41U6-kr7gBDmW_9w8mdL53bjQSVK0j8y4w0MMyulQApqP6xMbZrUmXzJ1m2JAEvqcFVfdVrqoAQ4A88MaGXTJdfwD9zolpO2PRvXWS', 'width': 2731}]",ChIJX-YjeMfZzS0ROcQJPx6aE5w,5.0,ChIJX-YjeMfZzS0ROcQJPx6aE5w,"['point_of_interest', 'establishment']",17,"{'compound_code': 'M58M+72 Gondang, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RM58M+72'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJX-YjeMfZzS0ROcQJPx6aE5w
OPERATIONAL,"Unnamed Road, Tanjung, North Lombok Regency, West Nusa Tenggara 83352, Indonesia","{'location': {'lat': -8.345916899999999, 'lng': 116.1518316}, 'viewport': {'northeast': {'lat': -8.344565420107278, 'lng': 116.1532010298927}, 'southwest': {'lat': -8.347265079892722, 'lng': 116.1505013701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tahlia’s villa,"[{'height': 959, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104286120222623259244"">A Google User</a>'], 'photo_reference': 'AUGGfZmlybn5AcSGNMG0x4DS-mBsyJnJNguFzFm3vaNmjLPJVeaIqozMVvHtiVkIQZdEdZJOKlIenhVWoOjQMGpuxhqQtORgp95b_qCe6JUOlOa-ZOQUZ14sFgV3d8dC2Yyi86je95pkeAVOnkys2OKreZghCwys-7MTsrwvFWkXZS8aBeO9', 'width': 1440}]",ChIJTbQ8P33bzS0RZSHI74cCM5Q,4.9,ChIJTbQ8P33bzS0RZSHI74cCM5Q,"['lodging', 'point_of_interest', 'establishment']",15,"{'compound_code': 'M532+JP Tanjung, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RM532+JP'}",,https://www.google.com/maps/place/?q=place_id:ChIJTbQ8P33bzS0RZSHI74cCM5Q
OPERATIONAL,"Jl. Yoda, Gili Indah, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.3557711, 'lng': 116.0819271}, 'viewport': {'northeast': {'lat': -8.354454170107276, 'lng': 116.0832875298928}, 'southwest': {'lat': -8.35715382989272, 'lng': 116.0805878701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Musa Bintang Villas & Bungalows,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114505668658258074882"">A Google User</a>'], 'photo_reference': 'AUGGfZnLqO2nCRNvX3rvOfSHqV_8rRwsvLqjohZ77CmC-G9MsvrNLidEeEp2IesJWwuRj2n0fLtw-RO5tyL95pMC5DfIHsGhLMvRk2oIs2njYaMxra_7hBItbKc_DMoLqBw247pBvBEdW8C_GWdiDGJYVG6ttLOawhKNxH9g1IgOzEbpB9HF', 'width': 3264}]",ChIJpSKI8eDdzS0RfFbn2EUdQwk,4.9,ChIJpSKI8eDdzS0RfFbn2EUdQwk,"['lodging', 'point_of_interest', 'establishment']",53,"{'compound_code': 'J3VJ+PQ Gili Indah, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJ3VJ+PQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJpSKI8eDdzS0RfFbn2EUdQwk
OPERATIONAL,"Jl. Pantai Sire No.Desa, Sigar Penjalin, Kec. Tj., Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.3625575, 'lng': 116.1091098}, 'viewport': {'northeast': {'lat': -8.361539070107279, 'lng': 116.1104376298927}, 'southwest': {'lat': -8.364238729892723, 'lng': 116.1077379701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Tugu Lombok,"[{'height': 4082, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110143945606578682456"">A Google User</a>'], 'photo_reference': 'AUGGfZkttqjoGTsueLERkrvlccWwuC1GFoBxl-pDMovrVMG7W0fF-TSyVS8y2Iopy-CWj8NuIMmI9ydhrVrI7HawmhlgaovTmURzHAEoV_w4rgVAUo6R5IL2deBpCZFLSTQyz6G7Mlv9XakfRzCEId0Kmad_S7xBL6ybNV0UwzNFBQsaEScy', 'width': 6496}]",ChIJJWPi9j7czS0RuZplFJU9HCU,4.7,ChIJJWPi9j7czS0RuZplFJU9HCU,"['lodging', 'point_of_interest', 'establishment']",373,"{'compound_code': 'J4P5+XJ Sigar Penjalin, North Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3RJ4P5+XJ'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJJWPi9j7czS0RuZplFJU9HCU
OPERATIONAL,"Mertak, Pujut, Central Lombok Regency, West Nusa Tenggara 83573, Indonesia","{'location': {'lat': -8.9389331, 'lng': 116.3703719}, 'viewport': {'northeast': {'lat': -8.937580370107277, 'lng': 116.3717066298927}, 'southwest': {'lat': -8.94028002989272, 'lng': 116.3690069701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,TUNAK Resort Lombok | A Luxury Escape,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116480302305954925731"">anwar sadat</a>'], 'photo_reference': 'AUGGfZl4gbYDvVfTuUgmIJ61UmOe9w1jG6OIN2RzwRERpLgi3ZvvpDeadw8vj_CU3PdZS_7sdAwrTAnpksmN_pd4IcvaN46B34-SM4598A8Sze8vlBcbVce0NyGhivmdieXHIkgziEgCZajxOzIWq4Pyfcp5ITP65OK9R5UpJLFV3Tha4aLX', 'width': 4000}]",ChIJs4VYnlcBzS0RAu2-bXTuAso,5.0,ChIJs4VYnlcBzS0RAu2-bXTuAso,"['lodging', 'point_of_interest', 'establishment']",56,"{'compound_code': '396C+C4 Mertak, Central Lombok Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3R396C+C4'}",,https://www.google.com/maps/place/?q=place_id:ChIJs4VYnlcBzS0RAu2-bXTuAso
