business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"QCXX+GRR, Jl. Raya, Utara, Pinasungkulan, Kec. Modoinding, Kabupaten Minahasa Selatan, Sulawesi Utara 95358, Indonesia","{'location': {'lat': 0.7988503, 'lng': 124.4495146}, 'viewport': {'northeast': {'lat': 0.8002508298927222, 'lng': 124.4509347798927}, 'southwest': {'lat': 0.7975511701072778, 'lng': 124.4482351201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Modoinding Lodge,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117221207139042301249"">A Google User</a>'], 'photo_reference': 'AUGGfZlHJuC1oTUCaUO3uLzzO2VXcQ-kOZmal0eDj8twnmjJLTA0i3WnKqB815YMX3wIlFvboX06593K4gWn6ZO5mnquiKz59oPOU7WE9d3GxyWVnM8yqt4g1V_je4InCtemVTpq5kDQw8ewRDTSwP8rBzqbiEKjMVThzmKyiLU8YHNizYgc', 'width': 1920}]",ChIJn1zTZJEefjIRDhuuuEZ4jp8,4.6,ChIJn1zTZJEefjIRDhuuuEZ4jp8,"['lodging', 'point_of_interest', 'establishment']",128,,,https://www.google.com/maps/place/?q=place_id:ChIJn1zTZJEefjIRDhuuuEZ4jp8
OPERATIONAL,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716, Indonesia","{'location': {'lat': 0.7258411, 'lng': 124.324954}, 'viewport': {'northeast': {'lat': 0.7271575298927222, 'lng': 124.3262114798927}, 'southwest': {'lat': 0.7244578701072778, 'lng': 124.3235118201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sutanraja Kotamobagu,"[{'height': 808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113805169140275486007"">A Google User</a>'], 'photo_reference': 'AUGGfZl7G6UAnOjLe7tgl42icVtdBcHNotUzE4QZ4_2madIcjiX_ihd-FhrpcHAhM0LXpVlHEnJiPJwfWReC0dQ12QELDPXDX_JLusPJVG60xOCsH22Wp2NJRrMB_QQ-HQtbGBcvNCDUOFwt-hutuiQ-zflW8BVftEbxb5y4mmgcVyjsgPtp', 'width': 1440}]",ChIJldZ-kjE9fjIRUEEjv8OpgMg,4.3,ChIJldZ-kjE9fjIRUEEjv8OpgMg,"['lodging', 'point_of_interest', 'establishment']",1771,{'open_now': True},"{'compound_code': 'P8GF+8X Kobo Besar, Kotamobagu City, North Sulawesi, Indonesia', 'global_code': '6QG6P8GF+8X'}",https://www.google.com/maps/place/?q=place_id:ChIJldZ-kjE9fjIRUEEjv8OpgMg
OPERATIONAL,"P8R9+2FR, Kotamobagu, Kotamobagu Barat, Kotamobagu City, North Sulawesi, Indonesia","{'location': {'lat': 0.740097, 'lng': 124.3186479}, 'viewport': {'northeast': {'lat': 0.7413744798927222, 'lng': 124.3199888298928}, 'southwest': {'lat': 0.7386748201072778, 'lng': 124.3172891701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Senator,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105455857615181844505"">Hery Yanto</a>'], 'photo_reference': 'AUGGfZlZVmdh0j1nUKoc4Byc_XipskGIjiM5HKcRPId83dwvEF5quieFZP-Jb-RDtbReCIaj0nc5o8yjKm2lKJmSkFuZdb_At7zDdNePrpGbTOjLnqGvzOP26n1PMjfW6Oa6ybVZ2I9JGyQxKFCXY1pnwLv4vIj6YHawD6iigoMaXJSqP1wX', 'width': 3000}]",ChIJf7sYrAU9fjIRfUZrgy2tvTk,3.9,ChIJf7sYrAU9fjIRfUZrgy2tvTk,"['lodging', 'point_of_interest', 'establishment']",674,,,https://www.google.com/maps/place/?q=place_id:ChIJf7sYrAU9fjIRfUZrgy2tvTk
OPERATIONAL,"Kotabangon, Kotamobagu Timur, Kotamobagu City, North Sulawesi 95716, Indonesia","{'location': {'lat': 0.7394217, 'lng': 124.3220763}, 'viewport': {'northeast': {'lat': 0.7408283298927222, 'lng': 124.3234346298927}, 'southwest': {'lat': 0.7381286701072778, 'lng': 124.3207349701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sapadia,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105250379602656575225"">Donald Rorimpandey</a>'], 'photo_reference': 'AUGGfZmUh3ENgomB9lXTkYSVluze0ZRBGB0e8yD1dHHM6KwA8zwN14rmMCSouEqmZYWRjwjvORDGk2_wWtk1Ea5-TmagvHi9q3tTsSZcUYU3FIpoZ7fqJ20fA-0at8KFTYb0OcZ8hzrJp8HR5vnVFrODWumD-bF2KiePR8PWzMYfdyGfJLjD', 'width': 4160}]",ChIJ-9xOz089fjIRGmQDmd_9UHA,3.6,ChIJ-9xOz089fjIRGmQDmd_9UHA,"['lodging', 'point_of_interest', 'establishment']",384,,"{'compound_code': 'P8QC+QR Kotabangon, Kotamobagu City, North Sulawesi, Indonesia', 'global_code': '6QG6P8QC+QR'}",https://www.google.com/maps/place/?q=place_id:ChIJ-9xOz089fjIRGmQDmd_9UHA
OPERATIONAL,"P8R8+2G3, Kotamobagu, Kotamobagu Barat, Kotamobagu City, North Sulawesi 95716, Indonesia","{'location': {'lat': 0.7400087, 'lng': 124.3163122}, 'viewport': {'northeast': {'lat': 0.7414505798927222, 'lng': 124.3176703798927}, 'southwest': {'lat': 0.7387509201072777, 'lng': 124.3149707201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tamasya Garden Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103422144882460314619"">Achmad Gus Fahmi</a>'], 'photo_reference': 'AUGGfZnqFR9gAf7KP3kL_udt1piRlsGOmVFsXz6NHiy0UFFGYZ9spKjHbX3LdgH8qRnMjPfx4I93sjPAJummbOI831lnOsmSjaF6FbmGMWwty7SK1KfklOBJYIlfyAhg20LKbr_ImtGKfNXN9sJntUBBfMmXvx2uxbqJvjNN8rxwKjEX2stA', 'width': 4000}]",ChIJ412KyUQ9fjIR9qqwCJGPWVU,4.0,ChIJ412KyUQ9fjIR9qqwCJGPWVU,"['lodging', 'point_of_interest', 'establishment']",228,,,https://www.google.com/maps/place/?q=place_id:ChIJ412KyUQ9fjIR9qqwCJGPWVU
OPERATIONAL,"Depan Rumah Dinas BRI, Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95718, Indonesia","{'location': {'lat': 0.7280844999999999, 'lng': 124.3088849}, 'viewport': {'northeast': {'lat': 0.7294951798927222, 'lng': 124.3102523298927}, 'southwest': {'lat': 0.7267955201072777, 'lng': 124.3075526701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Permata Homestay,"[{'height': 1848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109095937333535823798"">A Google User</a>'], 'photo_reference': 'AUGGfZmevZPq3xblEaPjB4tIAxRzuyaYwFuVnUyiXrHJMJM8mPsi8B1im7YGRXdxPTkzgD5gAFYUfE04wTVYRrtpkaQa99Px_NKLlSmMNKsu2uIMK2RrWO-M6WuMg2N2xdHO6vKo67clDu5-CEFHKEKwMKAX4hW0yYMkgptnslzhrkAiB4zV', 'width': 4000}]",ChIJY0Uky_s9fjIRN1Ohf85Fk7Q,4.2,ChIJY0Uky_s9fjIRN1Ohf85Fk7Q,"['lodging', 'point_of_interest', 'establishment']",47,,"{'compound_code': 'P8H5+6H Sinindian, Kotamobagu City, North Sulawesi, Indonesia', 'global_code': '6QG6P8H5+6H'}",https://www.google.com/maps/place/?q=place_id:ChIJY0Uky_s9fjIRN1Ohf85Fk7Q
OPERATIONAL,"Jl. Adampe Dolot No.19B, Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow, Sulawesi Utara 95716, Indonesia","{'location': {'lat': 0.7376332, 'lng': 124.3085315}, 'viewport': {'northeast': {'lat': 0.7390618298927223, 'lng': 124.3098004298927}, 'southwest': {'lat': 0.7363621701072778, 'lng': 124.3071007701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Tentram,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103930846725579957405"">Muzakkar Awal</a>'], 'photo_reference': 'AUGGfZlyiQDLOaX-JSuRFT1niVHGRPx-VWap56qqQhLlYJBjoBKUgCiMl39E6_j4SMbl3B-P7zv8pynEeD5MhldzwlECtO01iLlzMMXTgqj522LoUNtjETdkssZLfB5jO2T9P_rhnvgcdhtaS7Zap6tHVeX9ZQTl5-wyj0msu9leHD2fVdOV', 'width': 1080}]",ChIJwYIX2mk9fjIRwIUzILrjLpM,4.0,ChIJwYIX2mk9fjIRwIUzILrjLpM,"['lodging', 'point_of_interest', 'establishment']",145,,"{'compound_code': 'P8Q5+3C Mogolaing, Kotamobagu City, North Sulawesi, Indonesia', 'global_code': '6QG6P8Q5+3C'}",https://www.google.com/maps/place/?q=place_id:ChIJwYIX2mk9fjIRwIUzILrjLpM
OPERATIONAL,"QJ47+Q38, Tutuyan, East Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.7569045999999999, 'lng': 124.6127568}, 'viewport': {'northeast': {'lat': 0.7582716298927222, 'lng': 124.6141129298927}, 'southwest': {'lat': 0.7555719701072778, 'lng': 124.6114132701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Qurratu homestay,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101529679415027825303"">A Google User</a>'], 'photo_reference': 'AUGGfZl64KywB-AkBZqafOe0GIvuYrz4qb516274tsmcOduwXsoIFoxXBiptk-6aks-QNJY87CjJZdx7wA5s_KoinHr3Y-1Zm8iRbHJUK5mFvI_dH8W_smCFo3IC6clEGi_8yNNz6WdYw6pprFLOd1vo48ERopSGkr1B40y6IdXnzhV5KTHU', 'width': 720}]",ChIJnVsm37yjgDIR7cDkdTlmZDk,4.4,ChIJnVsm37yjgDIR7cDkdTlmZDk,"['lodging', 'point_of_interest', 'establishment']",14,,,https://www.google.com/maps/place/?q=place_id:ChIJnVsm37yjgDIR7cDkdTlmZDk
OPERATIONAL,"Jl. Mayor Jend. Sutoyo, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716, Indonesia","{'location': {'lat': 0.7401698999999999, 'lng': 124.314037}, 'viewport': {'northeast': {'lat': 0.7416416298927222, 'lng': 124.3153976798927}, 'southwest': {'lat': 0.7389419701072777, 'lng': 124.3126980201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Funramah,"[{'height': 1456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109613436876432549641"">Broncos Lazio</a>'], 'photo_reference': 'AUGGfZkEcMZ2WUCe6YUaBXLkPZU4fyk2D3J4VMHV4pjdr5_Hc7_NOWwP8YCd0R8rNDj3dZo0jWL-Xg5hDJFR4ICmC_jKrOe18jWtS-vIYO4NII-QwPAQ-mvR_ZwH-RlczLyMAUEFm72MynvbmF9TEz7QkEKYjAzJihiRDYG5fna79DjcmQ6e', 'width': 2787}]",ChIJD5QJq1w9fjIRvbSg9YdYeqQ,4.2,ChIJD5QJq1w9fjIRvbSg9YdYeqQ,"['lodging', 'point_of_interest', 'establishment']",152,,"{'compound_code': 'P8R7+3J Kotamobagu, Kotamobagu City, North Sulawesi, Indonesia', 'global_code': '6QG6P8R7+3J'}",https://www.google.com/maps/place/?q=place_id:ChIJD5QJq1w9fjIRvbSg9YdYeqQ
OPERATIONAL,"Jl. Lintas Sinindian Sinindian Kotamobagu Timur, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716, Indonesia","{'location': {'lat': 0.728737, 'lng': 124.306555}, 'viewport': {'northeast': {'lat': 0.7301382298927224, 'lng': 124.3079204798927}, 'southwest': {'lat': 0.7274385701072779, 'lng': 124.3052208201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Totabuan Citawaya Kotamobagu,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107849808802126070160"">A Google User</a>'], 'photo_reference': 'AUGGfZkn7mgmk9HyPWoin7oM9Mkcou-YdWfQsLy-za5Dmp2zptA26K9G8S3Wi_hgcdyiXtXut5_LQ6yozwXS34j8BQ4BgqWXI4S0nLIPCmyQN0GSPgcGKndzlcDpIqR9Wez4Trdipmrbh67_s3tv7rw5ttBephr3klQ_CPREEVGrxhhppDFh', 'width': 1280}]",ChIJf1LA7Ec9fjIRFtargr3tass,4.1,ChIJf1LA7Ec9fjIRFtargr3tass,"['lodging', 'point_of_interest', 'establishment']",208,{'open_now': True},"{'compound_code': 'P8H4+FJ Mogolaing, Kotamobagu City, North Sulawesi, Indonesia', 'global_code': '6QG6P8H4+FJ'}",https://www.google.com/maps/place/?q=place_id:ChIJf1LA7Ec9fjIRFtargr3tass
