business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Lingkungan VII, Koya, Tondano Selatan, Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.2756939, 'lng': 124.8859724}, 'viewport': {'northeast': {'lat': 1.277090979892722, 'lng': 124.8873362298927}, 'southwest': {'lat': 1.274391320107278, 'lng': 124.8846365701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Yama Resort Tondano,{'open_now': True},"[{'height': 2819, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113883922884599676409"">A Google User</a>'], 'photo_reference': 'AUGGfZm6vlbcHEkHeGpr7XcQHW2cQgfaAcpbsjPMP5u4bBQuS4UkP3CoH1fj-Nxa5PuO0QU41kY-lZImQ5Tfb-7JwA0q1Dpf9eDX3iiF_d2hUDXd85ahuLORKOSD4tyBDpfvAMITTbh3c40PWfoopE8Jl0O0dfDXvBQKAaS14p0HinzUcEAC', 'width': 4367}]",ChIJJfGYPgcVhzIReaSrUkdz2VQ,"{'compound_code': '7VGP+79 Koya, Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH67VGP+79'}",4.5,ChIJJfGYPgcVhzIReaSrUkdz2VQ,"['lodging', 'point_of_interest', 'establishment']",649,,https://www.google.com/maps/place/?q=place_id:ChIJJfGYPgcVhzIReaSrUkdz2VQ
OPERATIONAL,"Desa/Kel. Makawidey, Lingkungan I, RT02 Kec. Air Tembaga, Kota Bitung, Sulawesi Utara 95528, Indonesia","{'location': {'lat': 1.4787371, 'lng': 125.2343198}, 'viewport': {'northeast': {'lat': 1.480151429892722, 'lng': 125.2356831298927}, 'southwest': {'lat': 1.477451770107278, 'lng': 125.2329834701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Solitude Lembeh Resort,{'open_now': True},"[{'height': 3675, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109466747257164167070"">A Google User</a>'], 'photo_reference': 'AUGGfZnPSY7lR4qPQEtrLvC8GRnOg8SP4Sd89CnbZxkL3l-MjJQOYWk0cB_R-SHQDisWncdN_TmfWr9EHFnvcfqMcOCPWSt4xfH2NbqzmSKjJYVsbghd0JMzg6F_bBaSWlzX8PO-I1UCdXAzgGmpHpOyO8B9mMmgdFxph6Q5647cBREgl_5V', 'width': 5512}]",ChIJGzKPU8D_hjIRPExMfGuTAQk,"{'compound_code': 'F6HM+FP Makawidey, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7F6HM+FP'}",4.7,ChIJGzKPU8D_hjIRPExMfGuTAQk,"['lodging', 'point_of_interest', 'establishment']",141,,https://www.google.com/maps/place/?q=place_id:ChIJGzKPU8D_hjIRPExMfGuTAQk
OPERATIONAL,"Jalan Johan Pinontoan Lingkungan No.1 95533, Danowudu, Ranowulu, Bitung City, North Sulawesi, Indonesia","{'location': {'lat': 1.4720158, 'lng': 125.1267471}, 'viewport': {'northeast': {'lat': 1.473328779892722, 'lng': 125.1281757298927}, 'southwest': {'lat': 1.470629120107278, 'lng': 125.1254760701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Botanica Nature Resort,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108730233303410283447"">Botanica Nature Resort</a>'], 'photo_reference': 'AUGGfZmn-rhuehzhfyOgvqr43c7VOKIMhH4ZLoMePT91r0tJs0cQine0q17ZP3TDQUKQIbva4nVf1rLP1VORgAi08-q_okB7T_ucjYa2abg7N85uQ6r1PxZ_x99ZfSRM8vAl-uWUIocQR52ogjYSMC395ebFO3eHPiVkVTQNJ0A5A3AA-UlY', 'width': 2048}]",ChIJGT-ZRtMAhzIR2_TVlIAeaFM,"{'compound_code': 'F4CG+RM Danowudu, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7F4CG+RM'}",4.4,ChIJGT-ZRtMAhzIR2_TVlIAeaFM,"['lodging', 'point_of_interest', 'establishment']",216,,https://www.google.com/maps/place/?q=place_id:ChIJGT-ZRtMAhzIR2_TVlIAeaFM
OPERATIONAL,"Jl. Sam Ratulangi No.5, Bitung Bar. Satu, Kec. Maesa, Kota Bitung, Sulawesi Utara, Indonesia","{'location': {'lat': 1.4446597, 'lng': 125.1810936}, 'viewport': {'northeast': {'lat': 1.446083829892722, 'lng': 125.1824479798927}, 'southwest': {'lat': 1.443384170107278, 'lng': 125.1797483201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Favehotel Bitung - North Sulawesi,{'open_now': True},"[{'height': 3886, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108357155392270906482"">A Google User</a>'], 'photo_reference': 'AUGGfZniNqlDoSDhzoNnxGIFdx9GoWzv2nxvmkjTb5RQ4H7HwF0VETY5t56J8DX23t7itaop9_PiT-R7BjSFwLmsGXkfEuZm_PJ5AiwQ00DHlDjXd-mZThzh91qrI2B0KwvYbbEx48ThAP8Tf8NsfnsxftJsiJcxTJXLjrv9UAYw1f1vjaKG', 'width': 5894}]",ChIJo_5eBjMBhzIROr56-XGuoLI,"{'compound_code': 'C5VJ+VC Bitung Barat Satu, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7C5VJ+VC'}",4.8,ChIJo_5eBjMBhzIROr56-XGuoLI,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",1609,,https://www.google.com/maps/place/?q=place_id:ChIJo_5eBjMBhzIROr56-XGuoLI
OPERATIONAL,"Jl. Ir. Soekarno, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia","{'location': {'lat': 1.4876219, 'lng': 124.91601}, 'viewport': {'northeast': {'lat': 1.488966879892722, 'lng': 124.9173665298927}, 'southwest': {'lat': 1.486267220107278, 'lng': 124.9146668701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Sentra Manado,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114649670767227896964"">A Google User</a>'], 'photo_reference': 'AUGGfZlUQ3wTLgX667Rkbp6e8cuIrSr7Tf5NSq6cUfhb2Gl0N-Z74e_I7tWNLnDzNXRiUJ47ukVRXq2lw2nD_QWUWnKQMhsFjf41GRmD4rQpX28pSNEpgIH9fjPgJLdjcfbNkzHdKIeGOEcVIDbbK0ZEdEgMpnh1Dh-5TzaN8CEjP0tu3-Zt', 'width': 5472}]",ChIJofHdl_ULhzIRsBT6uv-caas,"{'compound_code': 'FWQ8+2C Maumbi, North Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH6FWQ8+2C'}",4.9,ChIJofHdl_ULhzIRsBT6uv-caas,"['lodging', 'point_of_interest', 'establishment']",2199,,https://www.google.com/maps/place/?q=place_id:ChIJofHdl_ULhzIRsBT6uv-caas
OPERATIONAL,"Jl. Stadion 2 Saudara, Manembo-nembo Atas, Kec. Matuari, Kota Bitung, Sulawesi Utara 95545, Indonesia","{'location': {'lat': 1.4369782, 'lng': 125.1046869}, 'viewport': {'northeast': {'lat': 1.438231129892722, 'lng': 125.1060552298927}, 'southwest': {'lat': 1.435531470107278, 'lng': 125.1033555701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,C-Breez Resort Bitung,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105860875216257600268"">Kartika Saridewi</a>'], 'photo_reference': 'AUGGfZnh4XaN6fgXd_XoXcO_h1UqcU4KUdETfoxwFX-P5esX4ID2A3xEyxGNCDHeBSelhyMswzSYk7CJ7qXhwrygqq1yBBrxEmNFEnnQtC5ODe4IkN5Jzx3VlGal9WoOT1GsIrco5w7su6oIcVkvQsqbLVsGhEJ-vpeyYtPLi4rotHj190GT', 'width': 5333}]",ChIJKXqAk1IHhzIR6nokFQ523t4,"{'compound_code': 'C4P3+QV Manembo-nembo Atas, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7C4P3+QV'}",4.3,ChIJKXqAk1IHhzIR6nokFQ523t4,"['bar', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",101,,https://www.google.com/maps/place/?q=place_id:ChIJKXqAk1IHhzIR6nokFQ523t4
OPERATIONAL,"94R2+VP4, Tanjung Merah, Matuari, Bitung City, North Sulawesi, Indonesia","{'location': {'lat': 1.3921196, 'lng': 125.1018334}, 'viewport': {'northeast': {'lat': 1.393343879892722, 'lng': 125.1034826298927}, 'southwest': {'lat': 1.390644220107278, 'lng': 125.1007829701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Tangkasi - Tasikoki Guest Lodge,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105930114946640021866"">Caroline Tasirin</a>'], 'photo_reference': 'AUGGfZnfICGpIF1pTe6lZ6MNeUcBzKGl3aP5U4XtEBvKKJWQOB1_j3pS1byeMj-rzEbzKcab09aUWAnaeu_uf3UQnbBoMCCA7cF9T9-Qs5h_qnHwcUVv_FbIINoHXPDJefhy2LXdJhN4Ug_QTKpjtPpW0vNUaKpU9TRcuyMChf9pb7ys39ED', 'width': 5333}]",ChIJIVXYYOwEhzIRPBMzraMO9fw,,4.7,ChIJIVXYYOwEhzIRPBMzraMO9fw,"['lodging', 'point_of_interest', 'establishment']",12,,https://www.google.com/maps/place/?q=place_id:ChIJIVXYYOwEhzIRPBMzraMO9fw
OPERATIONAL,"Jalan Rata Desa Batuputih, Batuputih Bawah, Kec. Ranowulu, Kota Bitung, Sulawesi Utara 95535, Indonesia","{'location': {'lat': 1.5615523, 'lng': 125.1534588}, 'viewport': {'northeast': {'lat': 1.563442379892722, 'lng': 125.15603475}, 'southwest': {'lat': 1.560742720107278, 'lng': 125.15260015}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tangkoko Sanctuary Villa & Spa,{'open_now': True},"[{'height': 1837, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107225710923380605044"">A Google User</a>'], 'photo_reference': 'AUGGfZnAki9fHkIYt_epTygXxaK4Wk-Zhuhw93lf3xF1RFs2fjRum6Bqp7ZPuY6iWaTttlSR13ra7BN0NA1V81t84-ZAa9ObgP5OUajRCa2V1NS4jyWl0J490AlQUcZp9x8daQuYLtRHJSpMj-01f00SCAZhFxT6iaNCh1_NkpieTEVPq6hJ', 'width': 3264}]",ChIJaZXRz_OrhzIRblW2_kLn-FE,"{'compound_code': 'H563+J9 Batu Putih Bawah, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7H563+J9'}",4.9,ChIJaZXRz_OrhzIRblW2_kLn-FE,"['lodging', 'point_of_interest', 'establishment']",67,,https://www.google.com/maps/place/?q=place_id:ChIJaZXRz_OrhzIRblW2_kLn-FE
OPERATIONAL,"Jl. Raya Manado - Bitung, Watutumou, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia","{'location': {'lat': 1.4681564, 'lng': 124.9196479}, 'viewport': {'northeast': {'lat': 1.469564879892722, 'lng': 124.9211614798927}, 'southwest': {'lat': 1.466865220107278, 'lng': 124.9184618201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sutan Raja Hotel Manado,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107837749086968687119"">Hartarto Sormin</a>'], 'photo_reference': 'AUGGfZlBtKwHW9UYirhelfRvNR6EDtwIkdOz3Lis3n8zdTAItnXP5SxoRNmTnn4vxoE_NvB_pPF524a3Ipy9RNMLMYFTt3Nwos1ROS7bOrQqB0uspWCdaVmghuv0dZc1z2s6sq1H_perTc5hvDb7Vaul64ziJHs_cVLqQhlGNlBkaxM_IABi', 'width': 4000}]",ChIJMZWC2LILhzIRiXWcoaP7qto,"{'compound_code': 'FW99+7V Watutumou, North Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH6FW99+7V'}",4.2,ChIJMZWC2LILhzIRiXWcoaP7qto,"['bar', 'night_club', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",3798,,https://www.google.com/maps/place/?q=place_id:ChIJMZWC2LILhzIRiXWcoaP7qto
OPERATIONAL,"Jl. Langowan - Tondano, Roong, Kec. Tondano Bar., Kabupaten Minahasa, Sulawesi Utara, Indonesia","{'location': {'lat': 1.2780216, 'lng': 124.9019897}, 'viewport': {'northeast': {'lat': 1.279346729892722, 'lng': 124.9033986298927}, 'southwest': {'lat': 1.276647070107278, 'lng': 124.9006989701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Wale Walanda,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114318819587378739237"">ferry koagouw</a>'], 'photo_reference': 'AUGGfZm6GYADdjLvJTEHqCmauf09kl7leJMoFl53kcUpBWntnxYVCap3CZ1DskRAIZ34YAvhWgdJ3FELn1Zu_Mz8leO3HoUvtEt3JvJ4lkBy545kq2k4mpyapFC-TqeZAwrAXvObqq7VKyF18g0YP0hLd4q-iQaqsulCoppthcr3hK-6AGhP', 'width': 4000}]",ChIJy9wq-bYVhzIRWdMd6OTlG6k,"{'compound_code': '7WH2+6Q Roong, Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH67WH2+6Q'}",4.5,ChIJy9wq-bYVhzIRWdMd6OTlG6k,"['cafe', 'food', 'lodging', 'point_of_interest', 'establishment']",93,,https://www.google.com/maps/place/?q=place_id:ChIJy9wq-bYVhzIRWdMd6OTlG6k
