business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Merdeka LK II No.245, Balai Agung, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711, Indonesia","{'location': {'lat': -2.8737744, 'lng': 103.8317871}, 'viewport': {'northeast': {'lat': -2.872381620107278, 'lng': 103.8332160798927}, 'southwest': {'lat': -2.875081279892723, 'lng': 103.8305164201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Ranggonang,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106843007623051383016"">A Google User</a>'], 'photo_reference': 'AUGGfZnixDvkZAoHFN79_nvsAIRWKpKnRntp_hS6aOONitaMggRhtwVaIgSFCpexA-eo-34qgzdu8N8n9L9zWU_LKO6KLWtA8wA_DcN1mxmQpJIwdgOoJqH14rnEZ4K3xd4BXlAPnwlKTV3w277OQaMrxh51yNoabd6IxJwZ_hYO-KW3BltO', 'width': 5472}]",ChIJ1yetFN2NOi4RBLuHk8jfVls,"{'compound_code': '4RGJ+FP Balai Agung, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P954RGJ+FP'}",4.0,ChIJ1yetFN2NOi4RBLuHk8jfVls,"['lodging', 'point_of_interest', 'establishment']",941,,https://www.google.com/maps/place/?q=place_id:ChIJ1yetFN2NOi4RBLuHk8jfVls
OPERATIONAL,"4RJP+G7V, Serasan Jaya, Sekayu, Musi Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.8686203, 'lng': 103.8356116}, 'viewport': {'northeast': {'lat': -2.867372970107278, 'lng': 103.8369827298927}, 'southwest': {'lat': -2.870072629892722, 'lng': 103.8342830701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pavilion Hotel dan Resto,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115772719182093103847"">A Google User</a>'], 'photo_reference': 'AUGGfZlzXsgu0pkqQI6PJ11d_pMnCZwVtmJbIt657ymahLi08E9VyKmjfjDc-dz75pKdzzbMUnyjzCnyzuMEayA0-BIhOmZExaKTVt4lm30nzQWM4kSElqlAIVSxkQrL-MOOSZILeHyYI8oU2UTR9ZpLTZlAiM3DMoWZjBfP8BS5QPMJnefk', 'width': 4000}]",ChIJx3qwBs2NOi4RwkPRQEQ3Nps,,4.3,ChIJx3qwBs2NOi4RwkPRQEQ3Nps,"['lodging', 'point_of_interest', 'establishment']",64,,https://www.google.com/maps/place/?q=place_id:ChIJx3qwBs2NOi4RwkPRQEQ3Nps
OPERATIONAL,"Jl. Lintas Sumatra Jl. Raya Palembang - Jambi, Bentayan, Kec. Sungai Lilin, Kabupaten Musi Banyuasin, Sumatera Selatan 30755, Indonesia","{'location': {'lat': -2.5352231, 'lng': 104.113058}, 'viewport': {'northeast': {'lat': -2.534018520107278, 'lng': 104.1142667798927}, 'southwest': {'lat': -2.536718179892723, 'lng': 104.1115671201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Merah Putih,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103929125659095850744"">A Google User</a>'], 'photo_reference': 'AUGGfZlo4yo8Qsh1hWVo3enS9StjjmxK8z59uzQSGq50_cp6UswRSHNhSUpiDdSmpSxepxOW8WEAALgK1-tfrnYS28nrv6tqeBv5zvA1iL03LXBRiVlDZ9DkpM0gXZ37DEMGzf5CmNSpsdeSxg3pPt3zaKwzPd6f5ebf6HYxjzBjadjXWM-J', 'width': 1080}]",ChIJXUWRSg_QOi4RDfZW1qUXZjk,"{'compound_code': 'F477+W6 Bentayan, Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P96F477+W6'}",4.2,ChIJXUWRSg_QOi4RDfZW1qUXZjk,"['lodging', 'point_of_interest', 'establishment']",456,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJXUWRSg_QOi4RDfZW1qUXZjk
OPERATIONAL,"Jl. Inpres penjara, Serasan Jaya, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan, Indonesia","{'location': {'lat': -2.8817452, 'lng': 103.8446847}, 'viewport': {'northeast': {'lat': -2.880400470107278, 'lng': 103.8460579298927}, 'southwest': {'lat': -2.883100129892723, 'lng': 103.8433582701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel EDW SKY CENTER,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117267076680464216551"">A Google User</a>'], 'photo_reference': 'AUGGfZm6NiCV9HD9XgKI38DZft-Qsu_C4ZB2BCmNH2-3bbD-tYQh6QRQz6J3u1bCLzFDTegSpTvKpjp-uogJLFeunKj0JQiPFXQMS-f47bftrFQw7H9AfYu2l5IW1CafivzHGEHz-gyuqGssiJBduB0F8fDOsogB9mNqOCskLNmx9YUsWt0A', 'width': 720}]",ChIJizl2CFaNOi4RBZIBe7DfzFc,"{'compound_code': '4R9V+7V Serasan Jaya, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P954R9V+7V'}",4.7,ChIJizl2CFaNOi4RBZIBe7DfzFc,"['lodging', 'point_of_interest', 'establishment']",90,,https://www.google.com/maps/place/?q=place_id:ChIJizl2CFaNOi4RBZIBe7DfzFc
OPERATIONAL,"Jl. Kol. Wahid Udin No.999 C, Serasan Jaya, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711, Indonesia","{'location': {'lat': -2.8930722, 'lng': 103.8480301}, 'viewport': {'northeast': {'lat': -2.891872370107278, 'lng': 103.8493972798927}, 'southwest': {'lat': -2.894572029892722, 'lng': 103.8466976201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Randik Sekayu,"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114476038266529668977"">Hotel Randik Sekayu</a>'], 'photo_reference': 'AUGGfZmSEmGxWt9roSt3xJ-ece3sSMzSjZt5lE_4x0NxPqa_c5QbXDb9TGZaef6y-vE3wLbnd1oBKuIT4GYVeu2Zpq2tKI3XqtNr5fSg4wGgygLhTIYJVQPwKU5XVhY_NGjEvgbEvcUN5C_3HL8paR5d2a2yp5fM8eazTkyOWfatCTvSpDGy', 'width': 3472}]",ChIJizi6BEuMOi4Ruz-Q3BEdkSM,"{'compound_code': '4R4X+Q6 Serasan Jaya, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P954R4X+Q6'}",4.0,ChIJizi6BEuMOi4Ruz-Q3BEdkSM,"['lodging', 'point_of_interest', 'establishment']",590,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJizi6BEuMOi4Ruz-Q3BEdkSM
OPERATIONAL,"WMQJ+26X, Jl. Lintas Sumatra, Bayung Lencir, Kec. Bayung Lencir, Kabupaten Musi Banyuasin, Sumatera Selatan 30756, Indonesia","{'location': {'lat': -2.0623865, 'lng': 103.6806385}, 'viewport': {'northeast': {'lat': -2.061025070107278, 'lng': 103.6818797298927}, 'southwest': {'lat': -2.063724729892722, 'lng': 103.6791800701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Mella Putri,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108103160747400278482"">Novi Yanti</a>'], 'photo_reference': 'AUGGfZmGhkgrt3TgjYSHyZq7mkpt2uKiUQ-9_OQHDIkwu2YhITuUWE_h_lO0HeqBIwQuUhXH7e5VyBh03H8B0XnLYW2hWa96nSLCjsxFULf4Qm1MlSF3z9BEG_30HkbKsatvQ4TAgIabRqwb1bUYnF5kqivG5EwiY5SyVuc025EM6okWxCn4', 'width': 3000}]",ChIJbWtgWwpnJS4Rv7ASx4Oq_0s,,3.6,ChIJbWtgWwpnJS4Rv7ASx4Oq_0s,"['lodging', 'point_of_interest', 'establishment']",471,,https://www.google.com/maps/place/?q=place_id:ChIJbWtgWwpnJS4Rv7ASx4Oq_0s
OPERATIONAL,"C436+J94, Lilin River, Sungai Lilin, Musi Banyuasin Regency, South Sumatra 30755, Indonesia","{'location': {'lat': -2.5959762, 'lng': 104.1109474}, 'viewport': {'northeast': {'lat': -2.594646270107278, 'lng': 104.1123788798927}, 'southwest': {'lat': -2.597345929892723, 'lng': 104.1096792201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Rediseno,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109726696243968638630"">Suparmin Krw</a>'], 'photo_reference': 'AUGGfZnKQ_zse6i_9OcaFwilC69uawx_u1LibNiHnWde94-N3EQDolKtB1FiobaFObZSUQLzJwN0gL2r1BAdgyt37kjVyIQKHCdU_c-bGA5pt-Dp5-P5zyDWnbi5yhzRTxCc5vnO5zF35E-RVvMmr7wjGkGj7C6YR_ZkONEFIbPTZgKG8Jej', 'width': 4160}]",ChIJPdWN7jfbOi4RQ_O-gPw5gho,,3.4,ChIJPdWN7jfbOi4RQ_O-gPw5gho,"['lodging', 'point_of_interest', 'establishment']",333,,https://www.google.com/maps/place/?q=place_id:ChIJPdWN7jfbOi4RQ_O-gPw5gho
OPERATIONAL,"Serasan Jaya, Sekayu, Musi Banyuasin Regency, South Sumatra 30711, Indonesia","{'location': {'lat': -2.8839829, 'lng': 103.8366942}, 'viewport': {'northeast': {'lat': -2.882608920107278, 'lng': 103.8381301298927}, 'southwest': {'lat': -2.885308579892722, 'lng': 103.8354304701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Cha Cha,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109863989717331570198"">Novi Yanti</a>'], 'photo_reference': 'AUGGfZmgTGgmcA5_jj1OgvqDRbNKiPy-D_EF5PvSUtpifQ0DZ2ywUdDxpS278WFdxbVagikhYNajbjuR6lKgos1_k7KmKmEkvs-M4-pwWZIgsQxKoPAPAjlkA4uqFM2WA-hHdknRR0NIfX37TMpaAshjfRjBMo8olmcU2v4pOKmFms6go94u', 'width': 3000}]",ChIJVyrE_c6NOi4RF_g9ysNL8Jo,"{'compound_code': '4R8P+CM Serasan Jaya, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P954R8P+CM'}",4.0,ChIJVyrE_c6NOi4RF_g9ysNL8Jo,"['lodging', 'point_of_interest', 'establishment']",330,,https://www.google.com/maps/place/?q=place_id:ChIJVyrE_c6NOi4RF_g9ysNL8Jo
OPERATIONAL,"Jl. Lkr. Randik No.20, Serasan Jaya, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711, Indonesia","{'location': {'lat': -2.8770338, 'lng': 103.8571761}, 'viewport': {'northeast': {'lat': -2.875662220107277, 'lng': 103.8585357298927}, 'southwest': {'lat': -2.878361879892722, 'lng': 103.8558360701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Pelangi,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103251143277410410754"">A Google User</a>'], 'photo_reference': 'AUGGfZkbIkMf2xobkiXexOzeiQ2QPrfwHUEyhaaUALZ32vdP3c0zB-s7zzACsDPs7ICKo9wELlVNsMdOtIo-Xlk952-Sqg5wCqyHVhgLD66AwW9kGc5sABq_Hew-FsL4zVaVT1uc9YI6IJexDZ79XSsE2Oegx1uTDswL_HjvtoR52DrpLII_', 'width': 2268}]",ChIJPUkypaSNOi4REgOVtqKC_fc,"{'compound_code': '4VF4+5V Serasan Jaya, Musi Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P954VF4+5V'}",3.8,ChIJPUkypaSNOi4REgOVtqKC_fc,"['lodging', 'point_of_interest', 'establishment']",126,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJPUkypaSNOi4REgOVtqKC_fc
OPERATIONAL,"Jl. Jenderal Sudirman, Talang Ubi Tim., Kec. Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31211, Indonesia","{'location': {'lat': -3.2770403, 'lng': 103.8307132}, 'viewport': {'northeast': {'lat': -3.275672720107278, 'lng': 103.8321037798927}, 'southwest': {'lat': -3.278372379892723, 'lng': 103.8294041201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Charlee Hotel,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106156814950682610129"">Muhamad Lasmani</a>'], 'photo_reference': 'AUGGfZm5XJFQHNbvkymzNSjl8on2bZ9TqHxaGl4dV5c4pgnCP2D9wLUyoNQIvwYKFyG5G5o3tnObk4ay6oQblZpWzAo3-7PTdTmiIr4S5xX5MI0FiMBKcGNNvuoRsH7CTj8SVTrKuhVRwjiwgQqjpbzZn4YH4qf4-oJ0IklMAqx3_sT2lVqR', 'width': 4624}]",ChIJhXyzeYNrOi4R_6UDvYN_lsk,"{'compound_code': 'PRFJ+57 East Talang Ubi, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85PRFJ+57'}",4.0,ChIJhXyzeYNrOi4R_6UDvYN_lsk,"['lodging', 'point_of_interest', 'establishment']",331,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJhXyzeYNrOi4R_6UDvYN_lsk
