business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Pangeran Diponegoro No.432, Miga, Kec. Gunungsitoli, Nias, Sumatera Utara 22815, Indonesia","{'location': {'lat': 1.2629184, 'lng': 97.63839879999999}, 'viewport': {'northeast': {'lat': 1.264339329892722, 'lng': 97.63988472989273}, 'southwest': {'lat': 1.261639670107278, 'lng': 97.63718507010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Soliga,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110019408554858741108"">A Google User</a>'], 'photo_reference': 'AUGGfZmwifPBA2tErHbeMQvxWrTwMmmBcKOD3BMUElZEl4O7Et4fT1_2e46Er231NniM2pzqOusApqLEMkxiABHijo9lPJs4BPJIwGLYzPSVV4rBxMEvqEklEgBQHNy3qoEjbCy8yc2F5lzOmTcxPcwAqDvWl3FY0IX5NpmFi2lsOYgIRYjC', 'width': 4032}]",ChIJBaj1fkjjJTARSpOKZhdveOE,"{'compound_code': '7J7Q+59 Miga, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7J7Q+59'}",4.1,ChIJBaj1fkjjJTARSpOKZhdveOE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",411,https://www.google.com/maps/place/?q=place_id:ChIJBaj1fkjjJTARSpOKZhdveOE
OPERATIONAL,"Jl. Yos Sudarso Ujung No.43, Ombolata Ulu, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara 22811, Indonesia","{'location': {'lat': 1.3115065, 'lng': 97.6096907}, 'viewport': {'northeast': {'lat': 1.312799079892722, 'lng': 97.61094997989272}, 'southwest': {'lat': 1.310099420107278, 'lng': 97.60825032010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kaliki Resto & Penginapan Jokowi di Nias,{'open_now': True},"[{'height': 4053, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116837663076498868065"">A Google User</a>'], 'photo_reference': 'AUGGfZnYMeAwqZqhSUHuB6uRtajpzzff5i8QRjCBU26AGSRsxl8psaN19Y42VZiVMNrLrgn3HyJMLA6WlfTeuaujUs2PfdgunL1yv0pOJeVp6qU4uPJcUsXm7zXnMXHQI5CwH8bgXYzgs5ZWFS1lR8_3vtzEEbwylTqqzH7KpnACyMIDW3mm', 'width': 6079}]",ChIJ7ZQdnNTkJTARalWR8TVsqdg,"{'compound_code': '8J65+JV Ombolata Ulu, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV8J65+JV'}",4.5,ChIJ7ZQdnNTkJTARalWR8TVsqdg,"['lodging', 'point_of_interest', 'establishment']",826,https://www.google.com/maps/place/?q=place_id:ChIJ7ZQdnNTkJTARalWR8TVsqdg
OPERATIONAL,"7JFM+72H, Ilir, Gunungsitoli, Gunungsitoli City, North Sumatra, Indonesia","{'location': {'lat': 1.2731834, 'lng': 97.6326165}, 'viewport': {'northeast': {'lat': 1.274488379892722, 'lng': 97.63399222989273}, 'southwest': {'lat': 1.271788720107278, 'lng': 97.63129257010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sthree Hotel,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117524100005377192097"">Isnaeni Sutanto</a>'], 'photo_reference': 'AUGGfZnlOQOA0hHd2RHxw_qa2ix4vSL3DPkFBf3EeWjtgvHHx1vZ_oZDiUfLj3A7Q_fa-ohzpS39txh-PBnT1guP5qUQ8FG65es1FRQ5p19FOsz-JReyjPfVKEBMNzgFS-dKkZQE6zXui6K1RJkKGWxbgRZOBu1daCWE5fVyM7gVuGBoCda9', 'width': 4160}]",ChIJL-Nu-aH8JTARyT3geI6Cwn4,,4.1,ChIJL-Nu-aH8JTARyT3geI6Cwn4,"['lodging', 'point_of_interest', 'establishment']",361,https://www.google.com/maps/place/?q=place_id:ChIJL-Nu-aH8JTARyT3geI6Cwn4
OPERATIONAL,"Jalan Raya Pelud Binaka km.8 Desa Laraga Luaha Laraga Gunungsitoli Selatan, Luaha Laraga, Gunungsitoli, Kabupaten Nias, Sumatera Utara 22851, Indonesia","{'location': {'lat': 1.2395491, 'lng': 97.65097689999999}, 'viewport': {'northeast': {'lat': 1.240883929892722, 'lng': 97.65228062989272}, 'southwest': {'lat': 1.238184270107278, 'lng': 97.64958097010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mega Nasional Hotel & Restaurant,{'open_now': True},"[{'height': 4480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104506680200844824137"">Mega Nasional Hotel</a>'], 'photo_reference': 'AUGGfZknUsU7DMbEiBCJx8HKVMUDRAG7kv_iM60UXhshRhdrs8m1kqk9tx687RCz4aeeqR2gH9kAAbMLVGePVVGdQVl2j5qiUKppX20CGvth6gHtgqL313DZZf_sDrqDxp3xnQUbpmHhTksSw-bYGJiEkdohZvEnFSN5fu_aplsesQz8xFG_', 'width': 6720}]",ChIJuwcl2QH9JTARDbVSM65sFgc,"{'compound_code': '6MQ2+RC Luaha Laraga, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV6MQ2+RC'}",4.1,ChIJuwcl2QH9JTARDbVSM65sFgc,"['lodging', 'point_of_interest', 'establishment']",144,https://www.google.com/maps/place/?q=place_id:ChIJuwcl2QH9JTARDbVSM65sFgc
OPERATIONAL,"Jl. IR. Soekarno No.22, Saombo, Kec. Gunungsitoli, Kep. Nias, Sumatera Utara 22810, Indonesia","{'location': {'lat': 1.2887885, 'lng': 97.6170405}, 'viewport': {'northeast': {'lat': 1.290206329892722, 'lng': 97.61841817989271}, 'southwest': {'lat': 1.287506670107278, 'lng': 97.61571852010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tundreheni Hill Hotel And Restaurant,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107044133266455888968"">Nura Sombolinggi</a>'], 'photo_reference': 'AUGGfZmxxQYuYAzOOYW5AVMH79N-WywfvqDvQFLpqGRKXqywSV4rtXs1MQBUPWV_BjUBlJO3ycHufdfw658nVAoppQxGoDfhRnvgpC75BAKZRq6441ZKhqX_nghft2ix1IeynKe4GhnkQRqWRsjYqoiKAZUoS3LfuSG_2s97orMRACiQ9Rc3', 'width': 1920}]",ChIJaZ2hn_r7JTARFRjGKix9ISQ,"{'compound_code': '7JQ8+GR Saombo, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7JQ8+GR'}",4.8,ChIJaZ2hn_r7JTARFRjGKix9ISQ,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",76,https://www.google.com/maps/place/?q=place_id:ChIJaZ2hn_r7JTARFRjGKix9ISQ
OPERATIONAL,"Jl. Kelapa No.55, Ps. Gn. Sitoli, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara 22815, Indonesia","{'location': {'lat': 1.2864366, 'lng': 97.6245225}, 'viewport': {'northeast': {'lat': 1.287693729892722, 'lng': 97.62577597989271}, 'southwest': {'lat': 1.284994070107278, 'lng': 97.62307632010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Nasional,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118010267548172885847"">Nasional Hotel</a>'], 'photo_reference': 'AUGGfZm3GtW1QpYKIyjn27QnC-0uYQ13b0GBd_KUNkO5zxUioFh4sQXUFYXzd5X-Xb38eZNNGVeIEBdl-W9Ihgy1fCweR9msu_kNWDZW5dEmOUuPUyQdToJQvW5PEuEStRK0miw0QysukLICg4L6fAO_knioIbpUAGnCfamRYuLKCYfGEO9g', 'width': 4000}]",ChIJg_Zkxlr7JTAREcM_J1pchwI,"{'compound_code': '7JPF+HR Pasar Gunung Sitoli, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7JPF+HR'}",4.0,ChIJg_Zkxlr7JTAREcM_J1pchwI,"['lodging', 'point_of_interest', 'establishment']",605,https://www.google.com/maps/place/?q=place_id:ChIJg_Zkxlr7JTAREcM_J1pchwI
OPERATIONAL,"Jl. Moh. Hatta No.42, Kel. Pasar, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara, Indonesia","{'location': {'lat': 1.2880346, 'lng': 97.614948}, 'viewport': {'northeast': {'lat': 1.289394279892722, 'lng': 97.61630892989271}, 'southwest': {'lat': 1.286694620107278, 'lng': 97.61360927010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nias Palace Hotel,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110593378195056063475"">azhari</a>'], 'photo_reference': 'AUGGfZmMzE2fMNoFO6DBJjnyXgo-I-ChM9JwDGnDt830W5VZY7pexlPQh0xkf8YfuwBExE_hRQ26cEfz5Zhk3mtZ1m2zVGAAKJ3L2b6UZQPleR5DMKSEEU22yxQ_qPJJ4HIzopeP7B7t0-RzEaCdSGPzAsR3AUb9ZygFVuOcYAOww8crJ1Fl', 'width': 4000}]",ChIJFff1kE37JTARS1PenKpCV2g,"{'compound_code': '7JQ7+6X Saombo, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7JQ7+6X'}",4.0,ChIJFff1kE37JTARS1PenKpCV2g,"['lodging', 'point_of_interest', 'establishment']",185,https://www.google.com/maps/place/?q=place_id:ChIJFff1kE37JTARS1PenKpCV2g
OPERATIONAL,"Jl. Diponegoro No.507, Fodo, Kec. Gunungsitoli Sel., Kota Gunungsitoli, Sumatera Utara, Indonesia","{'location': {'lat': 1.2551969, 'lng': 97.63963310000001}, 'viewport': {'northeast': {'lat': 1.256633779892722, 'lng': 97.64071137989272}, 'southwest': {'lat': 1.253934120107278, 'lng': 97.63801172010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Miga Beach Hotel,,"[{'height': 1860, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102842886855591499299"">Agus Irawan</a>'], 'photo_reference': 'AUGGfZmHcXaTErU84MQswYoowOsNYdh9i6t7wRZW99_TgZXqZgj1FtWthNPCH7Yx4ayM2sjHJz80nZjpdotqybw1CuOdzJkPiC9NaTfuuxlqLqXfjwNZotkkzuNhNalVGK3YgOszutyjdArFymPyWpaEpsl1RZAw423n-p9dSis3n3wuoZT7', 'width': 4032}]",ChIJCdrXauz8JTARVHjAPOqMEsM,"{'compound_code': '7J4Q+3V Fodo, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7J4Q+3V'}",4.2,ChIJCdrXauz8JTARVHjAPOqMEsM,"['lodging', 'point_of_interest', 'establishment']",315,https://www.google.com/maps/place/?q=place_id:ChIJCdrXauz8JTARVHjAPOqMEsM
OPERATIONAL,"Jl. Yos Sudarso Ujung No.134-A, Iraonogeba, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara 22812, Indonesia","{'location': {'lat': 1.2986655, 'lng': 97.60804530000001}, 'viewport': {'northeast': {'lat': 1.300041579892722, 'lng': 97.60934482989272}, 'southwest': {'lat': 1.297341920107278, 'lng': 97.60664517010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Nias Lodges & Guesthouse,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100179884261485150672"">Henra Saputra</a>'], 'photo_reference': 'AUGGfZl7XQlbHOT4WOrwZwi3_Y_71ZbJuBBiodqq8BOchOWokVOoeETIfvLnmFHnI-zWq70FG_t4y1wT-Fw60ndOS01GyHquNVrUc-cRFKB1gwgJl_SdY1jqLmkT74TSrTzc-h0T6PRs64zqLcD6deu8EVUf8RVMyj6DH1JvNZTMjyWeabvD', 'width': 2048}]",ChIJi-oV9srkJTARMYhhi0IX-CY,"{'compound_code': '7JX5+F6 Iraonogeba, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7JX5+F6'}",4.5,ChIJi-oV9srkJTARMYhhi0IX-CY,"['museum', 'lodging', 'point_of_interest', 'establishment']",1551,https://www.google.com/maps/place/?q=place_id:ChIJi-oV9srkJTARMYhhi0IX-CY
OPERATIONAL,"Jl. Diponegoro No.103C, Ps. Gn. Sitoli, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara, Indonesia","{'location': {'lat': 1.2872985, 'lng': 97.62263329999999}, 'viewport': {'northeast': {'lat': 1.288574629892722, 'lng': 97.62391952989272}, 'southwest': {'lat': 1.285874970107278, 'lng': 97.62121987010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Libi Hotel,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100122280575213673049"">Lilys Nias</a>'], 'photo_reference': 'AUGGfZmUwMvZR0t7itoUuKCU730_RPQNwt31b7foQXbc2t1FUkTRXLyIgNETUILWw3CLUSmuebqVh2tK_0w5qsZptKKAVRyCRst30NiihbtLVAPaZ-02ewXG4AQC9hfN5pK54t0jjTFAFm5cZJjuA8FjFFCctX0aMA8L91QzniYzi5H4s9gr', 'width': 3024}]",ChIJl2tdq1r7JTARRnvAGDSJtSE,"{'compound_code': '7JPF+W2 Pasar Gunung Sitoli, Gunungsitoli City, North Sumatra, Indonesia', 'global_code': '6MHV7JPF+W2'}",3.8,ChIJl2tdq1r7JTARRnvAGDSJtSE,"['lodging', 'point_of_interest', 'establishment']",161,https://www.google.com/maps/place/?q=place_id:ChIJl2tdq1r7JTARRnvAGDSJtSE
