business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. DR. Sutomo No.88, Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32126, Indonesia","{'location': {'lat': -4.1052119, 'lng': 104.1723422}, 'viewport': {'northeast': {'lat': -4.103904870107278, 'lng': 104.1738334798927}, 'southwest': {'lat': -4.106604529892722, 'lng': 104.1711338201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Zuri Hotel & Convention Baturaja,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118099865926338219254"">A Google User</a>'], 'photo_reference': 'AUGGfZmi4SPksNdI9lOwkSbCsCy4x6wV1exAhZwXiAsT-1Homrt1s9POBoc0PS9EerJ7athpA9zyn4gK8lxZcSOtHhVLF_RKS1gDAmP0MUON3zqi2s9fF47fQEY7I849vzpuvRugE6Z3k39V5_H_zDKd26DUo8K_KIMsAc6GbyLUJY-k0_FA', 'width': 4032}]",ChIJk72edWOlOS4R2uPMmcG26lI,"{'compound_code': 'V5VC+WW Sukajadi, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V5VC+WW'}",4.9,ChIJk72edWOlOS4R2uPMmcG26lI,"['lodging', 'point_of_interest', 'establishment']",6658,https://www.google.com/maps/place/?q=place_id:ChIJk72edWOlOS4R2uPMmcG26lI
OPERATIONAL,"Jl. Garuda Lintas Sumatera No.2A, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32113, Indonesia","{'location': {'lat': -4.1404155, 'lng': 104.1824812}, 'viewport': {'northeast': {'lat': -4.138992370107278, 'lng': 104.1839316298927}, 'southwest': {'lat': -4.141692029892722, 'lng': 104.1812319701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Bukit Indah Lestari,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117756274705679890344"">Noprian Ardi</a>'], 'photo_reference': 'AUGGfZnxDThBxNiT4KhhpplkVYMVZbN1HCsNP519hqHBryOEF8MPPxrhQl9ygZ4M46O1szg_kkGvkuAcC2nPQLPNt_oKtCETCtiEMA1R42Ata-X33WTvHKM2YRIPSQwskT1wTZyy0-PJgGmIsHQOFM5CRqbU8LYEMnh-cGF_n8Bk9bEBb5dO', 'width': 4096}]",ChIJj_r_ySivOS4RkxsAUi-gwIw,"{'compound_code': 'V55J+RX Tanjung Baru, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V55J+RX'}",4.1,ChIJj_r_ySivOS4RkxsAUi-gwIw,"['lodging', 'point_of_interest', 'establishment']",1849,https://www.google.com/maps/place/?q=place_id:ChIJj_r_ySivOS4RkxsAUi-gwIw
OPERATIONAL,"Jl. SM. Badaruddin I, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32125, Indonesia","{'location': {'lat': -4.1162031, 'lng': 104.1786706}, 'viewport': {'northeast': {'lat': -4.114870720107278, 'lng': 104.1800354798927}, 'southwest': {'lat': -4.117570379892721, 'lng': 104.1773358201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Symfoni House,{'open_now': True},"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101406909253843567125"">A Google User</a>'], 'photo_reference': 'AUGGfZnAw-2onUG9Do5V-m6F-WTcWNJhErl-x8V1XbZRqKB167PCSzZbu3Ymnmbjc2rNS6VygM_qYfyB7tB1Mxb65IqEsNZD5-ffFLXruSRuxE9lrfLel1ByJLKXh0HakzIpKuhDJpaq9H5ahIuHMCth3LgwTN56nBvomaGe8xXmUn_FhtWZ', 'width': 1000}]",ChIJ7VtMBkSvOS4RJATTB0hdIIQ,"{'compound_code': 'V5MH+GF Baturaja Lama, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V5MH+GF'}",3.9,ChIJ7VtMBkSvOS4RJATTB0hdIIQ,"['lodging', 'point_of_interest', 'establishment']",303,https://www.google.com/maps/place/?q=place_id:ChIJ7VtMBkSvOS4RJATTB0hdIIQ
OPERATIONAL,"Jl. Jenderal Ahmad Yani, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121, Indonesia","{'location': {'lat': -4.1371196, 'lng': 104.1783737}, 'viewport': {'northeast': {'lat': -4.135772770107279, 'lng': 104.1797874798927}, 'southwest': {'lat': -4.138472429892722, 'lng': 104.1770878201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,THE WONG HOTEL,,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109240985918806136321"">A Google User</a>'], 'photo_reference': 'AUGGfZnFtZp7LNsOyslp41NZGesoQ4DZNhdyxXLZzBKWnMGXMBgCezUwKiqxKgqMr7ML3zY4JO4d4gbVqcVNQzs5R3BCNBRclyfyr1E4hvJxY9BBarHWJWYJVBPFjn_wa0JzCW0d8lTO9dtSg7D_gG0xVFDcl80VfP7DxJR7UB1LdzUZzn91', 'width': 640}]",ChIJwXTmUkyvOS4R1dgc_rwGllg,"{'compound_code': 'V57H+59 Tanjung Baru, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V57H+59'}",4.2,ChIJwXTmUkyvOS4R1dgc_rwGllg,"['lodging', 'point_of_interest', 'establishment']",125,https://www.google.com/maps/place/?q=place_id:ChIJwXTmUkyvOS4R1dgc_rwGllg
OPERATIONAL,"V588+XCJ, Jl. Nawawi Al Haj No.88, RT.03/RW.01, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121, Indonesia","{'location': {'lat': -4.133229, 'lng': 104.1640223}, 'viewport': {'northeast': {'lat': -4.131765020107277, 'lng': 104.1656182298927}, 'southwest': {'lat': -4.134464679892721, 'lng': 104.1629185701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Ogan,,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106797022171663615101"">Veronica Gabriella</a>'], 'photo_reference': 'AUGGfZncpQ7YUYhgexvt2V0TYyi4tA2zEFSojoeD1na5scneSr381bHxw5kO7kGl1KobCew0H5RA3wARs3qOyaseqKpaP-apzQqFkf5IhjKHRwuN1HUzsdIXb3RixIr-2uDWZVt4IRIQ6iDc_bsXNvCYjFCiUoyKmGEZCjZLjhDuIAKepFCM', 'width': 4608}]",ChIJLzhPtN2vOS4RRA3cMJmOWk8,,4.3,ChIJLzhPtN2vOS4RRA3cMJmOWk8,"['lodging', 'point_of_interest', 'establishment']",28,https://www.google.com/maps/place/?q=place_id:ChIJLzhPtN2vOS4RRA3cMJmOWk8
OPERATIONAL,"Jl. DR. Sutomo, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32117, Indonesia","{'location': {'lat': -4.1095825, 'lng': 104.1702291}, 'viewport': {'northeast': {'lat': -4.108211470107277, 'lng': 104.1717726798927}, 'southwest': {'lat': -4.110911129892721, 'lng': 104.1690730201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Kemuning,,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104175088337338405840"">A Google User</a>'], 'photo_reference': 'AUGGfZlY_bciO_YfaS-tm_fqqIOVlkVQ2JVPGmDgKH-JCFYZ_lINeV4kg00OsnRPi6GDYg4Aeqw9r2TL3Dr-3KFiBh-PL8RwKEAFq9adzndMLgjixEjgYhVONXLjaNKAdXhA3M_7PHCzZpgyaeO4KaTYLKwnMbRDtNyTqRUl3KIoQuSKBCeb', 'width': 1280}]",ChIJx-lcw42vOS4R4P-0bTGnQdw,"{'compound_code': 'V5RC+53 Baturaja Lama, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V5RC+53'}",4.2,ChIJx-lcw42vOS4R4P-0bTGnQdw,"['lodging', 'point_of_interest', 'establishment']",94,https://www.google.com/maps/place/?q=place_id:ChIJx-lcw42vOS4R4P-0bTGnQdw
OPERATIONAL,"32117 Baturaja, Baturaja Timur, Ogan Komering Ulu, Sumatera Selatan, Lampung 32117, Indonesia","{'location': {'lat': -4.112743300000001, 'lng': 104.1686057}, 'viewport': {'northeast': {'lat': -4.111369870107278, 'lng': 104.1698973798927}, 'southwest': {'lat': -4.114069529892721, 'lng': 104.1671977201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91711 Grand Ansara Mentari Residence,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101141311944800409660"">A Google User</a>'], 'photo_reference': 'AUGGfZmkayMDyC0BuqDIq5LgZFyYPYqdSdK45dT_PZ5OSkOKcuhLnbhuml23aWkrfTALiQyUoCyI9Z9dnc2x2sKjqmwZ7KcN2N96KnHSsMcRYWbcXTPxf-pGBX0eioxWLmfz0YQpOu6hwVhB3mdCN53q-IRc3KJfsA9gTPclH3i4Xsc_dz-J', 'width': 640}]",ChIJW0XvPJmvOS4RS9ulJp2mTyY,"{'compound_code': 'V5P9+WC Pasar Baru, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V5P9+WC'}",3.8,ChIJW0XvPJmvOS4RS9ulJp2mTyY,"['lodging', 'point_of_interest', 'establishment']",36,https://www.google.com/maps/place/?q=place_id:ChIJW0XvPJmvOS4RS9ulJp2mTyY
OPERATIONAL,"Jl. DR. Sutomo No.703, Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32126, Indonesia","{'location': {'lat': -4.1091613, 'lng': 104.1703289}, 'viewport': {'northeast': {'lat': -4.107797920107278, 'lng': 104.1717699298927}, 'southwest': {'lat': -4.110497579892722, 'lng': 104.1690702701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Redante Satu,,"[{'height': 672, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111932381603223119282"">Pandhit Pringgo H</a>'], 'photo_reference': 'AUGGfZltZXIkWbg1UT7-pJ0Ulw-GsLItpgQ_ovMs8GfbMfRncO4Z3nBA3v0yrkhGxAV7GofkvYIktZFg_9-73mZcGfu9bifc2PElMyc08n0HfjZccioKEvqeW1idc7i68_eJEysGkH9Alp-9Drg6pLtIK81kJdynohXMLBmPAEftVx_JtQTx', 'width': 4496}]",ChIJA1AF1WuvOS4REIxLDlq4pe8,"{'compound_code': 'V5RC+84 Sukajadi, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V5RC+84'}",3.4,ChIJA1AF1WuvOS4REIxLDlq4pe8,"['lodging', 'point_of_interest', 'establishment']",46,https://www.google.com/maps/place/?q=place_id:ChIJA1AF1WuvOS4REIxLDlq4pe8
OPERATIONAL,"Jl. Garuda Lintas Sumatera No.5, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121, Indonesia","{'location': {'lat': -4.1347706, 'lng': 104.1871675}, 'viewport': {'northeast': {'lat': -4.133432420107278, 'lng': 104.1885326798927}, 'southwest': {'lat': -4.136132079892722, 'lng': 104.1858330201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HOTEL SHERIN'S SYARIAH BATURAJA,{'open_now': True},"[{'height': 1520, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103637346838607242595"">A. Fauzan R.</a>'], 'photo_reference': 'AUGGfZnJ7Rfdx_TPZg1LvTaRNBfiLZM7GuO1h3-u5Nfi8ELrgxt6oe9EEPixWpWE4_BIJy2VYlHA-d6Nci9eJ3uswrlr_x0s0c2esMQ4wDseX-eXHFoQMwK0V7ycZJiflJfISHPdFmZ9KLbM7NbbUYqOLK6XAzBtCl-HYLFPD4vvgMNwkCpx', 'width': 2688}]",ChIJfQCi_y2vOS4Rf1wVtD0OR1U,"{'compound_code': 'V58P+4R Tanjung Baru, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V58P+4R'}",3.9,ChIJfQCi_y2vOS4Rf1wVtD0OR1U,"['lodging', 'point_of_interest', 'establishment']",298,https://www.google.com/maps/place/?q=place_id:ChIJfQCi_y2vOS4Rf1wVtD0OR1U
OPERATIONAL,"32117, KEMALA RAJA, Baturaja Timur, Ogan Komering Ulu, Baturaja, Sumatera Selatan 32117, Indonesia","{'location': {'lat': -4.1207122, 'lng': 104.1826347}, 'viewport': {'northeast': {'lat': -4.119352770107279, 'lng': 104.1840342798927}, 'southwest': {'lat': -4.122052429892723, 'lng': 104.1813346201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SPOT ON 92368 Hotel Erkas,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113798172401147036672"">A Google User</a>'], 'photo_reference': 'AUGGfZmFRPG3e0ZsP1PCsELG-SjpHQ0JEs6fisVdNkRXgd2atYvwlLvXep36-vmRlnzfhw34FFEonQbc9jrxvo_D1zJk43ZfPtagcZVT04DBWZtZr2hYHiHxuwyUoUKy5Pujt_X3Nvv-4xntVDoFg7FPh5XL47jKhb3a8D_7iBM0eRY9ENQ1', 'width': 640}]",ChIJUe1k-UavOS4RR6g1n8P0SVA,"{'compound_code': 'V5HM+P3 Kemala Raja, Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76V5HM+P3'}",4.1,ChIJUe1k-UavOS4RR6g1n8P0SVA,"['lodging', 'point_of_interest', 'establishment']",25,https://www.google.com/maps/place/?q=place_id:ChIJUe1k-UavOS4RR6g1n8P0SVA
