business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Tanjung Setia, South Pesisir, Kabupaten Lampung Barat, Lampung 34875, Indonesia","{'location': {'lat': -5.3078676, 'lng': 103.996743}, 'viewport': {'northeast': {'lat': -5.306323320107278, 'lng': 103.9978655798927}, 'southwest': {'lat': -5.309022979892722, 'lng': 103.9951659201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Cocochill surf house,{'open_now': True},"[{'height': 4424, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102782921543364932927"">A Google User</a>'], 'photo_reference': 'AUGGfZmqG_PRK_8f-yisYItLP5xfxzrcoaTNBSxrAIWIzF0qmUc07KoTMDOZcYeYkoNTplLynIA9EpLTB7aD-4zqHM1iwYWpD4xMM3S1cQYFMvA4wks57chHPFnD919AUEde56-GbNLbsBmUbzv-HluLLx8nlZgNWVMB-aE2kfYDbbWiP8SS', 'width': 6636}]",ChIJmaPJOUW_Ry4R0BQ_EpSXM8g,"{'compound_code': 'MXRW+VM Tanjung Setia, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65MXRW+VM'}",5.0,ChIJmaPJOUW_Ry4R0BQ_EpSXM8g,"['lodging', 'point_of_interest', 'establishment']",31,https://www.google.com/maps/place/?q=place_id:ChIJmaPJOUW_Ry4R0BQ_EpSXM8g
OPERATIONAL,"Jalan Pantai wisata, Tj. Setia, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung 34875, Indonesia","{'location': {'lat': -5.3087586, 'lng': 103.9927643}, 'viewport': {'northeast': {'lat': -5.307585820107279, 'lng': 103.9945328798927}, 'southwest': {'lat': -5.310285479892722, 'lng': 103.9918332201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ombak Indah Resort,{'open_now': True},"[{'height': 432, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110715630106057040556"">A Google User</a>'], 'photo_reference': 'AUGGfZkatygM0pNRen5VZIO1nZ2LYxs9Nw2ACZyGmr5c9GreP4M8Df6Qzl7gkG6PA77RPp-xUrhaQ_wq_zv49CjLb2LmiBHCTYbpbiRL3Dpj7h22i4ljpnmC_-d_MjBXzeRMVwJ7yu9ABORq6d4FEW6FnrM2A7E8IRAvW-PWPkWbi4f7Dge1', 'width': 768}]",ChIJnYYxrbG-Ry4RnDBSTTVA-x4,"{'compound_code': 'MXRV+F4 Tanjung Setia, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65MXRV+F4'}",4.3,ChIJnYYxrbG-Ry4RnDBSTTVA-x4,"['lodging', 'point_of_interest', 'establishment']",314,https://www.google.com/maps/place/?q=place_id:ChIJnYYxrbG-Ry4RnDBSTTVA-x4
OPERATIONAL,"MXWX+2FW, Tanjung Setia, South Pesisir, West Pesisir Regency, Lampung 34875, Indonesia","{'location': {'lat': -5.3048831, 'lng': 103.9986892}, 'viewport': {'northeast': {'lat': -5.303495420107278, 'lng': 104.0000079298927}, 'southwest': {'lat': -5.306195079892722, 'lng': 103.9973082701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lovina Krui Surf | penginapan krui | Camp Surf Krui,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117404476311827182594"">Tony Firmansyah</a>'], 'photo_reference': 'AUGGfZl5faSQOWQ7sL4I06_S4oXlGE966FiyPLsdIw0yO6HyMZQpDogkEvKmTXlljQBrdWth5QvjacHO83RMamqt7FQrhbvMFC98vVrAxfGBvrHiYQAYkweS0WzFfiMTPnNthiJgBjlpu0zmh-o99md8kwNnaUcC9Q0Nk2_o2v05LD6CiOkB', 'width': 3264}]",ChIJOU-1a6C-Ry4RoRD94Rne9Wo,,4.5,ChIJOU-1a6C-Ry4RoRD94Rne9Wo,"['tourist_attraction', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",565,https://www.google.com/maps/place/?q=place_id:ChIJOU-1a6C-Ry4RoRD94Rne9Wo
OPERATIONAL,"Jl. Tanjung Setia, Kecamatan Pesisir Selatan, Tanjung Setia, South Pesisir, West Pesisir Regency, Lampung 34875, Indonesia","{'location': {'lat': -5.3107654, 'lng': 103.9932981}, 'viewport': {'northeast': {'lat': -5.309301720107278, 'lng': 103.9946960298927}, 'southwest': {'lat': -5.312001379892722, 'lng': 103.9919963701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sumatra Surf Resort,{'open_now': True},"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116279861521437767532"">Sumatra Surf Resort</a>'], 'photo_reference': 'AUGGfZkWdRJUfDTgnRF2QZOYyq6FRRC8fvjK9xvwJ7uy7LfzOaEzUUCBfKYLov5GzNBH2OwCFrFY-AdGxuIHK91ctqQRFNJYivHIGdkm_Grph_qpLolRDgMU1ZPgaoaQOsMXnarzx6b7caZwZ2cN7opMUAhNg6t2zLI0bGTjU-HUgOAlWrTj', 'width': 2000}]",ChIJH5HierK-Ry4Rt4kGHgI4lWM,"{'compound_code': 'MXQV+M8 Tanjung Setia, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65MXQV+M8'}",4.0,ChIJH5HierK-Ry4Rt4kGHgI4lWM,"['lodging', 'point_of_interest', 'establishment']",493,https://www.google.com/maps/place/?q=place_id:ChIJH5HierK-Ry4Rt4kGHgI4lWM
OPERATIONAL,"Jln Pantai Wisata, Seray, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.1985163, 'lng': 103.9257661}, 'viewport': {'northeast': {'lat': -5.197102870107279, 'lng': 103.9270596298927}, 'southwest': {'lat': -5.199802529892723, 'lng': 103.9243599701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sartika Krui,{'open_now': True},"[{'height': 539, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104216415832069861745"">A Google User</a>'], 'photo_reference': 'AUGGfZnSiH6q2zTl5cGXojZA5n_ZGLvCf61jdTJtWch5xASJ8xcYU7mHSTU1qUBF7s7R2WzJs2D5D3o3skL63L4ne1D7LJZ3hv_JwbhDpEEFR8CMazdzyNjiTwMvlexWuAvTS8EhIfEuubg7K85ovM-0nt62TJM-Cgbj913XZagl3o4nFTvX', 'width': 960}]",ChIJAX1tMrOVRy4RIiq926t3QYU,"{'compound_code': 'RW2G+H8 Seray, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65RW2G+H8'}",4.6,ChIJAX1tMrOVRy4RIiq926t3QYU,"['lodging', 'point_of_interest', 'establishment']",403,https://www.google.com/maps/place/?q=place_id:ChIJAX1tMrOVRy4RIiq926t3QYU
OPERATIONAL,"Jalan Lintas Barat, Mandiri Sejati, Krui Selatan, Balai Kencana, Kec. Krui Sel., Kabupaten Pesisir Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.2448767, 'lng': 103.9566615}, 'viewport': {'northeast': {'lat': -5.243462970107278, 'lng': 103.9580438298927}, 'southwest': {'lat': -5.246162629892722, 'lng': 103.9553441701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Mandiri Beach Club,{'open_now': True},"[{'height': 933, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114313138134302340067"">A Google User</a>'], 'photo_reference': 'AUGGfZnEAtaeYBYNiJKtbhe-EaOI1s_oT2UWiQp-nfEHyUG3ZLI6b5bKUQQIot4bMALiAcUGaSS2LZ7O6Crk4ZHrqV6mBrV9ysd2oBnLNS6Yw12YG4YNZDRYmqSDXtfsZAjiCb0KaRtWPyIpZ6Z8-O6VxX9H0CKjC5yls0yDyo-mYfvr62Q9', 'width': 1400}]",ChIJR14XQNmURy4RG23Cqtc1i_k,"{'compound_code': 'QX44+2M Balai Kencana, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65QX44+2M'}",4.7,ChIJR14XQNmURy4RG23Cqtc1i_k,"['lodging', 'point_of_interest', 'establishment']",262,https://www.google.com/maps/place/?q=place_id:ChIJR14XQNmURy4RG23Cqtc1i_k
OPERATIONAL,"Jalan Pantai Tanjung Setia, Tj. Setia, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung 34875, Indonesia","{'location': {'lat': -5.304785, 'lng': 103.998862}, 'viewport': {'northeast': {'lat': -5.303390020107277, 'lng': 104.0001879798927}, 'southwest': {'lat': -5.306089679892721, 'lng': 103.9974883201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Cabana Surf and Stay,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116908855063603966774"">FERI DAMAYANTI</a>'], 'photo_reference': 'AUGGfZkLqmaaJdTHMOad7UaZycSi2rsWWhvargjISDANCzUvEZWjCnojDZVjyo_7ODIxcrV-TZvv9A2k-6XbxSm_9RPjsjU3I8X-lCNPLbUxxuCynPZ2w65r34ibftYAw1JC2Eizrfp81nQI_l5bXujMNWKH3j0Rlzv_HRMvtY24ib-_Vlfr', 'width': 4000}]",ChIJy06bJzG-Ry4REbPvSkwd1eU,"{'compound_code': 'MXWX+3G Tanjung Setia, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65MXWX+3G'}",4.3,ChIJy06bJzG-Ry4REbPvSkwd1eU,"['lodging', 'point_of_interest', 'establishment']",145,https://www.google.com/maps/place/?q=place_id:ChIJy06bJzG-Ry4REbPvSkwd1eU
OPERATIONAL,"RW3H+M6J, Seray, Pesisir Tengah, West Pesisir Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.1952734, 'lng': 103.9278357}, 'viewport': {'northeast': {'lat': -5.193865920107277, 'lng': 103.9291184298927}, 'southwest': {'lat': -5.196565579892722, 'lng': 103.9264187701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Tantra,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116512302026559646393"">A Google User</a>'], 'photo_reference': 'AUGGfZlrFeAtfOxiQ6ghnb52iL4PQ_4XWsMRXmDcbue_Bs0rDqzDfNs3MXm-AB7j18tICOqdgihWRX3yRIQnIRv7rBrccy4epQy7eDk4iJTsahLEGscPkChMGa_cM6t1nWf5sofwJBDw-T2LQwPNvpdQVM2yNxO_PMBYvWr1AGRfZJopTnBV', 'width': 4160}]",ChIJrR9v_eaVRy4RhSwQiiyrcxM,,4.0,ChIJrR9v_eaVRy4RhSwQiiyrcxM,"['lodging', 'point_of_interest', 'establishment']",47,https://www.google.com/maps/place/?q=place_id:ChIJrR9v_eaVRy4RhSwQiiyrcxM
OPERATIONAL,"MXRV+CGQ, Tanjung Setia, South Pesisir, West Pesisir Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.308916, 'lng': 103.993872}, 'viewport': {'northeast': {'lat': -5.307521370107278, 'lng': 103.9951844798927}, 'southwest': {'lat': -5.310221029892722, 'lng': 103.9924848201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sumatran Tiger Resort,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105749910595605756717"">Suyandi Liyis</a>'], 'photo_reference': 'AUGGfZlI3gpNXdtPoJG_vUCf2YvtqF1UtQ06Y1c8EQfbDmqPUqPvn2Q2jkUM5ndkseY71Atf4OqEBf7zBJ2tjyoP-LY_cj-uDuo_CEjAwS9vDoCzVbU2T8D_M8JqvrfcvYxIGP6eWEuKWVZDzCS445DaWQiVU5krR5CyVwnd5aufmIeZTTK-', 'width': 2016}]",ChIJQS_htrG-Ry4RJU1CQM96eDY,,4.4,ChIJQS_htrG-Ry4RJU1CQM96eDY,"['lodging', 'point_of_interest', 'establishment']",21,https://www.google.com/maps/place/?q=place_id:ChIJQS_htrG-Ry4RJU1CQM96eDY
OPERATIONAL,"Jl. Pantai Wisata, Tj. Setia, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung 34875, Indonesia","{'location': {'lat': -5.3139633, 'lng': 103.9939091}, 'viewport': {'northeast': {'lat': -5.312310820107278, 'lng': 103.9955611298927}, 'southwest': {'lat': -5.315010479892722, 'lng': 103.9928614701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Kruinaka Ujung Bocur,{},"[{'height': 5304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109250050320194362729"">A Google User</a>'], 'photo_reference': 'AUGGfZn-dPICbSsw4p_jExbGGMmJ0AQMhUw3qU9jBYWsQiHSCUJmy1UknPPO5v11qC5yec4EfkhMOtQIDmiPjdkobsiuoRF1V-BnqJ9BVcZJuqnNlvlYjBQYuEHxGM7yMvrv9XFNtyjOlRwr3iOs76UJpqUdb73cMX6yoow5oIFUZx7X6oPl', 'width': 7952}]",ChIJ7zJL9Ky_Ry4RCEpeaqkliw0,"{'compound_code': 'MXPV+CH Tanjung Setia, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65MXPV+CH'}",4.7,ChIJ7zJL9Ky_Ry4RCEpeaqkliw0,"['lodging', 'point_of_interest', 'establishment']",68,https://www.google.com/maps/place/?q=place_id:ChIJ7zJL9Ky_Ry4RCEpeaqkliw0
