business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Khalipah Alam, Kuripan, Kec. Pesisir Utara, Kabupaten Pesisir Barat, Lampung 34876, Indonesia","{'location': {'lat': -5.0373025, 'lng': 103.7654364}, 'viewport': {'northeast': {'lat': -5.035940920107278, 'lng': 103.7668383798927}, 'southwest': {'lat': -5.038640579892722, 'lng': 103.7641387201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jenny`s Bamboo Surfcamp,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103605301484128408960"">A Google User</a>'], 'photo_reference': 'AUGGfZmQKg3B85b4HUtnOi-8q3BGLjowZLiS3Gz-MbF4mRNs7A2cnTJH1OTDt5KPAWGqZHy1GFJElJ0ZXTKn71zBKaCMM-MYYvKVU_fyqdBhIQy_zd3-EyOxBztwQ6ZQcDRbRTvBHgcp-YvT_yugz_D8ofHGeC6Rytv3WUCHH6Vu_R7uWrFp', 'width': 3563}]",ChIJFV1-A4bxRy4Riw3U1ddtaXQ,"{'compound_code': 'XQ78+35 Kuripan, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65XQ78+35'}",5.0,ChIJFV1-A4bxRy4Riw3U1ddtaXQ,"['lodging', 'point_of_interest', 'establishment']",24,,https://www.google.com/maps/place/?q=place_id:ChIJFV1-A4bxRy4Riw3U1ddtaXQ
OPERATIONAL,"Jln Pantai Wisata, Seray, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.1985163, 'lng': 103.9257661}, 'viewport': {'northeast': {'lat': -5.197102870107279, 'lng': 103.9270596298927}, 'southwest': {'lat': -5.199802529892723, 'lng': 103.9243599701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sartika Krui,"[{'height': 539, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104216415832069861745"">A Google User</a>'], 'photo_reference': 'AUGGfZlEKKgwknypQbFw39dm9oQ0QTQt1ic54ps64gyR77DRbehUpG4d_B9pQeYgoQbTEgBcFXwn2NHRDDCRVVMUsc5y84J_SvU4TzEfyEdIBCiFKEKJ6CM0ZWyXfDQE2truD0_XJjzkjrqy8dBoRlsixl5auvVEhmIvy0ZSU6GDfVgT3vOj', 'width': 960}]",ChIJAX1tMrOVRy4RIiq926t3QYU,"{'compound_code': 'RW2G+H8 Seray, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65RW2G+H8'}",4.6,ChIJAX1tMrOVRy4RIiq926t3QYU,"['lodging', 'point_of_interest', 'establishment']",403,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJAX1tMrOVRy4RIiq926t3QYU
OPERATIONAL,"RW3H+M6J, Seray, Pesisir Tengah, West Pesisir Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.1952734, 'lng': 103.9278357}, 'viewport': {'northeast': {'lat': -5.193865920107277, 'lng': 103.9291184298927}, 'southwest': {'lat': -5.196565579892722, 'lng': 103.9264187701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Tantra,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116512302026559646393"">A Google User</a>'], 'photo_reference': 'AUGGfZkRYK2ycvNutDABucHUjIDxNCI4yyhz4LzQKNneOYERxsLRbTaBUCEOIUxHQ5uYQcRwGcU3JhMfsLUmijrLCSxz8f5-fEoWdofZZv11wOZHjqr9ziUqoyqo8-Q3tCjfSNXEjG5oOjJ58JkvHvCvN44limWAyO0lB1_U1UyDB2k8HrbK', 'width': 4160}]",ChIJrR9v_eaVRy4RhSwQiiyrcxM,,4.0,ChIJrR9v_eaVRy4RhSwQiiyrcxM,"['lodging', 'point_of_interest', 'establishment']",47,,https://www.google.com/maps/place/?q=place_id:ChIJrR9v_eaVRy4RhSwQiiyrcxM
OPERATIONAL,"XR5Q+VJR, Baturaja, Baturaja Timur, Ogan Komering Ulu Regency, Lampung 32117, Indonesia","{'location': {'lat': -5.040265, 'lng': 103.839016}, 'viewport': {'northeast': {'lat': -5.038915170107277, 'lng': 103.8403658298927}, 'southwest': {'lat': -5.041614829892721, 'lng': 103.8376661701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91711 Grand Ansara Mentari Residence,,ChIJR1VVVTHyRy4R6wPk_s1AKCQ,,0.0,ChIJR1VVVTHyRy4R6wPk_s1AKCQ,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJR1VVVTHyRy4R6wPk_s1AKCQ
OPERATIONAL,"W Trans Sumatera Hwy, Penengahan, Lemong, West Pesisir Regency, Lampung 34876, Indonesia","{'location': {'lat': -5.0231867, 'lng': 103.7420034}, 'viewport': {'northeast': {'lat': -5.021851670107279, 'lng': 103.7434117298927}, 'southwest': {'lat': -5.024551329892723, 'lng': 103.7407120701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Nadira,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111940882961997974466"">A Google User</a>'], 'photo_reference': 'AUGGfZkMbi6_G2VGw1rIUU0N4V6IBdQPypnFoKzqBQi3YTMIifEW-xel0PxMJRNEP93FyK2HZs081FC6cMtofp2uE2KMm1NPFUI5otQkwJ29nqfklKKz-FVcAR8VGKBfXchhUOiRxOwH3LWTYL6PJB9YJ4e5MQGLGh8IFZbVGIlmyiB9zgXf', 'width': 4160}]",ChIJi2YyVXTxRy4RG7iMKxNiQYY,"{'compound_code': 'XPGR+PR Penengahan, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65XPGR+PR'}",3.6,ChIJi2YyVXTxRy4RG7iMKxNiQYY,"['lodging', 'point_of_interest', 'establishment']",10,,https://www.google.com/maps/place/?q=place_id:ChIJi2YyVXTxRy4RG7iMKxNiQYY
OPERATIONAL,"QWV9+WHQ, Walur, South Krui, West Lampung Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.2051926, 'lng': 103.9189833}, 'viewport': {'northeast': {'lat': -5.203945320107278, 'lng': 103.9203932298927}, 'southwest': {'lat': -5.206644979892721, 'lng': 103.9176935701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mios bungalow krui,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100616244497465769824"">A Google User</a>'], 'photo_reference': 'AUGGfZkA26i7KkRqux_l8SIxlyjvI1W2v0za4u6I8GPoqpoDY4-vNKlRE2rxrjjwISEe_RT-Ql7mz_l1SreWVZ354_xF0XwbqOqCrRAA6FGDOSDamVCseVi8AnDt3zpEqwED0wdocmhpxF08U1YpWAmtVp0turQGHFTCHaufEL5eB1QSaXu_', 'width': 3468}]",ChIJnfUGba6VRy4Rla7IR7LxMLc,,5.0,ChIJnfUGba6VRy4Rla7IR7LxMLc,"['lodging', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJnfUGba6VRy4Rla7IR7LxMLc
OPERATIONAL,"Coral samudra (BeOcean, Jalan pantai wisata, Walur, South Krui, West Pesisir Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.205841299999999, 'lng': 103.9162885}, 'viewport': {'northeast': {'lat': -5.204571020107278, 'lng': 103.9176700298927}, 'southwest': {'lat': -5.207270679892722, 'lng': 103.9149703701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BeOcean Krui,"[{'height': 3837, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112926095073703789603"">BeOcean Krui</a>'], 'photo_reference': 'AUGGfZlTicHp_1-73BPAhPPuokaFNZBiVEDZ693VbuSnCCbqMkEWBJCKHcTXbElwiIye30dpb34Y-CRewDU9IMAd06-ZRQQPsHoeu2PkIPrsOxWPuBsd04W8Qhyh3Fpl3cbdvGyazxS_Pfy5R2842CBpyyUyn3skRlypdH2dzU4ILG6-bLQv', 'width': 5756}]",ChIJrVVJXy2VRy4RKppmItWdkMQ,"{'compound_code': 'QWV8+MG Walur, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65QWV8+MG'}",4.6,ChIJrVVJXy2VRy4RKppmItWdkMQ,"['lodging', 'point_of_interest', 'establishment']",227,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJrVVJXy2VRy4RKppmItWdkMQ
OPERATIONAL,"Jl. Palapa, Kp. Jawa, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34898, Indonesia","{'location': {'lat': -5.195380999999999, 'lng': 103.930301}, 'viewport': {'northeast': {'lat': -5.194113920107279, 'lng': 103.9315746298927}, 'southwest': {'lat': -5.196813579892723, 'lng': 103.9288749701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sky Wave Hotel Krui,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104651764547247002207"">asep toyota</a>'], 'photo_reference': 'AUGGfZk4y03_UuW0tqC0dKxz7qTLhdpdzbm0DRvchKRhKUP1x9FstOKAd2GPubqhPnjftYT07lo6Ta1HwghndZgZgTLNRTlDHmOg-6ub7Q7YxndE1rIDTz0yTkylf24k_KPvSVjw1FD0K266kKJ0oN5iMyjtFpcWiZhZVNqzj3eJwbhVUxFb', 'width': 8000}]",ChIJaYWt9_mVRy4RZ8e4vgFyIE8,"{'compound_code': 'RW3J+R4 Kampung Jawa, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65RW3J+R4'}",5.0,ChIJaYWt9_mVRy4RZ8e4vgFyIE8,"['lodging', 'point_of_interest', 'establishment']",16,,https://www.google.com/maps/place/?q=place_id:ChIJaYWt9_mVRy4RZ8e4vgFyIE8
OPERATIONAL,"Jl. Lintas Barat Sumatera Krui Bengkulu Teluk Way Karuwi Tembakak Way, Sindi, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.109782, 'lng': 103.881621}, 'viewport': {'northeast': {'lat': -5.108250920107278, 'lng': 103.8830913798927}, 'southwest': {'lat': -5.110950579892722, 'lng': 103.8803917201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Anjung Bang Oking Hotel & Resort,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107693490120227772876"">A Google User</a>'], 'photo_reference': 'AUGGfZmDeA8K_U0to1lllO9gqRrIUfElsQgiBODz2au9927whc5dTEZolWkAaPoaivM0LQ-E9tr2xEIXUWm5xbLGw4ft8Pr3SNTSgU6Ajtafr_EAIEJHNv6hbpqdRuKKOhq5b1AJdu3dutgg8PzVD0jvQgpjQgz7Nacv4iq0ppY45XMJVWuB', 'width': 1280}]",ChIJxbAcQRvtRy4RDoWKaHMdhwE,"{'compound_code': 'VVRJ+3J Tembakak Way Sindi, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65VVRJ+3J'}",4.1,ChIJxbAcQRvtRy4RDoWKaHMdhwE,"['lodging', 'point_of_interest', 'establishment']",351,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJxbAcQRvtRy4RDoWKaHMdhwE
OPERATIONAL,"Jl. Pantai, Walur, Kec. Krui Sel., Kabupaten Pesisir Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.2119886, 'lng': 103.9036684}, 'viewport': {'northeast': {'lat': -5.210653120107278, 'lng': 103.9050072298927}, 'southwest': {'lat': -5.213352779892722, 'lng': 103.9023075701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Krui Surfing,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106413405661950933668"">A Google User</a>'], 'photo_reference': 'AUGGfZkEoGHGnY37uW4jo0SgtLzgbDm3YaVb0HmnaPaTmzJ6yuetGCsRhht0jbI2FImofncAwJcky52OkQydv6-rkCjahsbyIsWv3QQdBhZm3prsP4QajyMFRoRVe99j6O4k8Jfrn4WNs3nzkyHkaXLuor57X2WOKTlZyCuT6Fex7o1rLbC3', 'width': 4032}]",ChIJR14XQNmURy4REEVgbmReG4k,"{'compound_code': 'QWQ3+6F Walur, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65QWQ3+6F'}",4.7,ChIJR14XQNmURy4REEVgbmReG4k,"['lodging', 'point_of_interest', 'establishment']",1114,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJR14XQNmURy4REEVgbmReG4k
OPERATIONAL,"QWXC+3XM, Jalan Pantai Wisata, Walur, South Krui, West Pesisir Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.2022873, 'lng': 103.9224051}, 'viewport': {'northeast': {'lat': -5.200908720107278, 'lng': 103.9237118298927}, 'southwest': {'lat': -5.203608379892722, 'lng': 103.9210121701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lou Lou House,"[{'height': 8160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103423312951058147967"">devi yahya</a>'], 'photo_reference': 'AUGGfZnQXQE7UUktmD4_mFubzpuJJbTjnnfXpVkAeAJS14oQ4jraCfObrOEurBAeXnuxiZTlSgI-4WJNCeJei1v2Vjt-Z3BZ1WEvXAISQ2BK7qA6SCGSBlpSql5by3uqAZngC1msgw_xM81fSrwxe1uwcJFYan5P1pJvEoQMavgDDrRG5A7J', 'width': 4592}]",ChIJq1X6IIuVRy4RiDhfHKvOM_0,,5.0,ChIJq1X6IIuVRy4RiDhfHKvOM_0,"['point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJq1X6IIuVRy4RiDhfHKvOM_0
OPERATIONAL,"XPGR+PRC, W Trans Sumatera Hwy, Penengahan, Lemong, Lampung, South Sumatra 34876, Indonesia","{'location': {'lat': -5.0231867, 'lng': 103.7420034}, 'viewport': {'northeast': {'lat': -5.021851670107279, 'lng': 103.7434117298927}, 'southwest': {'lat': -5.024551329892723, 'lng': 103.7407120701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SPOT ON 91371 Wisma Nadira,"[{'height': 359, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106292993246481705151"">A Google User</a>'], 'photo_reference': 'AUGGfZkZNhepAHkTPUaDX54cmh3cbzPE58XmqTwgUuntJMSps1gR3ADXRq1qs_QVh-CI_vSLipbNpRTjmieb5aXzELqm_EQYLvJVFFRjcCw5vqicUSI8PNDrho6jlKTNIuu9QphrA7Iw9AE4FeEBs7s3jkR9xsoe-9YnNNi4yu3tYGL3CIGT', 'width': 640}]",ChIJtTgfVzzxRy4R-D_91-Hz060,,4.0,ChIJtTgfVzzxRy4R-D_91-Hz060,"['lodging', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJtTgfVzzxRy4R-D_91-Hz060
OPERATIONAL,"QWWC+G84, Way Redak, Pesisir Tengah, West Pesisir Regency, Lampung 34874, Indonesia","{'location': {'lat': -5.2037282, 'lng': 103.9208619}, 'viewport': {'northeast': {'lat': -5.202320670107278, 'lng': 103.9222525798927}, 'southwest': {'lat': -5.205020329892722, 'lng': 103.9195529201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Inna's Villa Desa,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118307004331495598299"">A Google User</a>'], 'photo_reference': 'AUGGfZm0rpGodqh5E0VZBxRleojy89hWrLK3DBOY152QuatnT7aznnjHqdbdp0JJAOGjz7shRS1NVITVrg4Q9Drbx5zc8uh-FYmeIkOlrKO9X1p3UXkicz1XnKth1d6pgvmhO887XYSAZskrtPfVju5dG153vFYt1RehSQVyf_sxUn9A3PLE', 'width': 4000}]",ChIJt3heGYSVRy4RcNn1K1JhLmQ,,4.3,ChIJt3heGYSVRy4RcNn1K1JhLmQ,"['lodging', 'point_of_interest', 'establishment']",18,,https://www.google.com/maps/place/?q=place_id:ChIJt3heGYSVRy4RcNn1K1JhLmQ
OPERATIONAL,"Jalan wisata, Walur, Kec. Krui Sel., Kabupaten Pesisir Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.206654299999999, 'lng': 103.9137734}, 'viewport': {'northeast': {'lat': -5.205353720107277, 'lng': 103.9151314798927}, 'southwest': {'lat': -5.208053379892721, 'lng': 103.9124318201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Krui ocean,"[{'height': 463, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107207301931944796788"">A Google User</a>'], 'photo_reference': 'AUGGfZmQi0uNifCTV6kixRyf3oRd6S_4Lxd-8uzHx-Fp6rp0oEbX5O99-zB-u59LK4BTC20XDpKLTx_WwgkQbzEhGcT0vEaVmcZV9-X-3JmUNOLhLnmNmPruQcOWaxzm14qw3DhtnsMrq3QAoDPla_rbh0Drs7f25iApqlBnoZFg2nv6AbO8', 'width': 635}]",ChIJy7jObHXrRy4RraVvshtpC74,"{'compound_code': 'QWV7+8G Walur, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65QWV7+8G'}",4.5,ChIJy7jObHXrRy4RraVvshtpC74,"['lodging', 'point_of_interest', 'establishment']",6,,https://www.google.com/maps/place/?q=place_id:ChIJy7jObHXrRy4RraVvshtpC74
OPERATIONAL,"Kadaka Villa & Cottage Liwa, Padang Cahya, Kec. Balik Bukit, Kabupaten Lampung Barat, Lampung 34874, Indonesia","{'location': {'lat': -5.019721, 'lng': 104.0382509}, 'viewport': {'northeast': {'lat': -5.018497820107278, 'lng': 104.0396085798927}, 'southwest': {'lat': -5.021197479892722, 'lng': 104.0369089201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KADAKA VILLA & COTTAGE LIWA,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108430252394177128462"">A Google User</a>'], 'photo_reference': 'AUGGfZmnGtsQOxJ-lfdkId0ZvUBLzgMRNcyj2shDUhOWPeo419kr7LZfjLb_OLWjRhZ2W45m-Ige--iz46yPlotaPS1TGf6AKqQe1amOA3-8FtQNwsI2RpdbHz04Stzc42LBHI4hLvb4vhImURr81c6XhST21-czM255_2h5nsc0_ho6YtQi', 'width': 4608}]",ChIJZ8KTvWePRy4R_8LHZQPUNf4,"{'compound_code': 'X2JQ+48 Padang Cahya, West Lampung Regency, Lampung, Indonesia', 'global_code': '6P66X2JQ+48'}",4.8,ChIJZ8KTvWePRy4R_8LHZQPUNf4,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",28,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJZ8KTvWePRy4R_8LHZQPUNf4
OPERATIONAL,"Jalan Pantai Wisata, Kampung Walur, Walur, Kec. Krui Sel., Krui, Lampung 34874, Indonesia","{'location': {'lat': -5.2078656, 'lng': 103.9100576}, 'viewport': {'northeast': {'lat': -5.206821270107278, 'lng': 103.9115786798927}, 'southwest': {'lat': -5.209520929892722, 'lng': 103.9088790201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amy's Place Sumatra,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110015622465430978790"">Amy&#39;s Place Sumatra</a>'], 'photo_reference': 'AUGGfZl3mXBnPMxtt3P-TvlyOo2H-Df2DbsdFqR-ZaPsOMeT-AVF1HBT03ZXOHpeNG2TrGf0WJBE-l-_69e0mPQKPXQaIJ5hParjBQvUoZJmQ_zBs-u3IGliydOK0F5OZq_Y4VLIV6h7nZpc5zvz79MEDrKGpyeW294D7qwLeRKrlOq0KXfw', 'width': 2448}]",ChIJq6qqqmqSRy4R5MB1qjayk_w,"{'compound_code': 'QWR6+V2 Walur, West Pesisir Regency, Lampung, Indonesia', 'global_code': '6P65QWR6+V2'}",4.9,ChIJq6qqqmqSRy4R5MB1qjayk_w,"['atm', 'lodging', 'finance', 'point_of_interest', 'establishment']",49,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJq6qqqmqSRy4R5MB1qjayk_w
