business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Sutan Syahrir No.25, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25651, Indonesia","{'location': {'lat': -1.3447921, 'lng': 100.5782687}, 'viewport': {'northeast': {'lat': -1.343487770107278, 'lng': 100.5796935798927}, 'southwest': {'lat': -1.346187429892722, 'lng': 100.5769939201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hannah Hotel Syariah,"[{'height': 628, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113493700327893174413"">A Google User</a>'], 'photo_reference': 'AUGGfZke8b7v8MAHGwa8hU4UJgyzr15ZqwssUQwMvD5DvpOoeD0RaVKuDc-Rw6Oknbhf5On9idKHBOIsBNmbEZd3PXdCPTGKjvuOdl9IkLnq5hJ56U-u883LoOnKx9nCc1iXfgkDZSd0tXApE9e-dDOXmOyZ_nMuo0VKd5YoYKgBzoCOFvvV', 'width': 1200}]",ChIJm0gcj3dN0y8RhqM1sgOZnSA,"{'compound_code': 'MH4H+38 Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH4H+38'}",4.3,ChIJm0gcj3dN0y8RhqM1sgOZnSA,"['lodging', 'point_of_interest', 'establishment']",465,,https://www.google.com/maps/place/?q=place_id:ChIJm0gcj3dN0y8RhqM1sgOZnSA
OPERATIONAL,"MH3P+QGX, Painan, Iv Jurai, South Pesisir Regency, West Sumatra 25651, Indonesia","{'location': {'lat': -1.3455161, 'lng': 100.586344}, 'viewport': {'northeast': {'lat': -1.344147470107278, 'lng': 100.5877302298927}, 'southwest': {'lat': -1.346847129892722, 'lng': 100.5850305701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Triza,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109459363448443330700"">A Google User</a>'], 'photo_reference': 'AUGGfZm_tx3UFx6xzu6IHbsCCDOnPIiLCdLNwA_0JFKlAyIcqEdbr0oN9drddMGCM83EGntE0lxJn3Z9BCZcP_dl3qA3VC3eqjNcp6HY53c3-jvOAxxiaOlJaQXQDHGpn8aEHJgIoWzV6vPM_F28akjLlduYtW_HiDfT9nOqG-lnS5bWSxJG', 'width': 4160}]",ChIJx44OKWNN0y8RABnUqkMjME4,,4.0,ChIJx44OKWNN0y8RABnUqkMjME4,"['lodging', 'point_of_interest', 'establishment']",269,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJx44OKWNN0y8RABnUqkMjME4
OPERATIONAL,"Jl. Moh. Yamin Gg. Flamboyan No.46, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25651, Indonesia","{'location': {'lat': -1.3468529, 'lng': 100.5792455}, 'viewport': {'northeast': {'lat': -1.345511570107278, 'lng': 100.5805726298927}, 'southwest': {'lat': -1.348211229892722, 'lng': 100.5778729701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bumimi Homestay 1 (CHSE certified),"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105854441394329522458"">A Google User</a>'], 'photo_reference': 'AUGGfZkzZiys0gdAncAoVe0I3jtXU645PI3FUmYP7ixdGDBU98h78i_4Zw2zUcuFdYh0wisEOwIbzZSUAkF3irm3LJEPjfGNFgL7pubBEcglTxKPOy0y7QOs1YoHk_8kqgmjX9FPirmlo5IhXAGlLLmgLJTbD7rR3LivTUn2kFKtg-xN2KOs', 'width': 3264}]",ChIJKRwCQTFN0y8R8R36yE-cLhQ,"{'compound_code': 'MH3H+7M Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH3H+7M'}",4.5,ChIJKRwCQTFN0y8R8R36yE-cLhQ,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",130,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJKRwCQTFN0y8R8R36yE-cLhQ
OPERATIONAL,"Painan, Iv Jurai, South Pesisir Regency, West Sumatra 25651, Indonesia","{'location': {'lat': -1.3471708, 'lng': 100.5777941}, 'viewport': {'northeast': {'lat': -1.345840970107278, 'lng': 100.5791696798927}, 'southwest': {'lat': -1.348540629892722, 'lng': 100.5764700201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Burma Residence Syariah Painan Pesisir Selatan Sumbar,"[{'height': 539, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113029148594053236065"">A Google User</a>'], 'photo_reference': 'AUGGfZmxVWqDBCN7tQ5tVjAtoSTmU9NljQeJ7IWlBoxjhqbUyJMuZBAL7IuRxRTDrlTyO9Z6t4B3X3PX-tWHgacA9Utu4mLhFNvNCE8cKvge2a-_jGw3jD8Za4SxD-oqOmLoPUNeh4qBsohDXUsKwYFn5lG5nMI9fje5_MP1ERwmhT0woq-u', 'width': 960}]",ChIJddymJc9N0y8RRtE6_yjR9LM,"{'compound_code': 'MH3H+44 Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH3H+44'}",4.2,ChIJddymJc9N0y8RRtE6_yjR9LM,"['lodging', 'point_of_interest', 'establishment']",51,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJddymJc9N0y8RRtE6_yjR9LM
OPERATIONAL,"Jl. Sultan Agung No.35b, Painan, Kabupaten Pesisir Selatan, Sumatera Barat 25611, Indonesia","{'location': {'lat': -1.3489876, 'lng': 100.5762106}, 'viewport': {'northeast': {'lat': -1.347663620107278, 'lng': 100.5775159798927}, 'southwest': {'lat': -1.350363279892722, 'lng': 100.5748163201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bumi Homestay,"[{'height': 1468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110929389712020770616"">A Google User</a>'], 'photo_reference': 'AUGGfZk4nazuNETA4x5gIAGe3mfXTE7LVhH6PTCaTtogssZQvIpoY5Pe9lCSENSOdsvNZ-xGvRX8NotxqksXj1fHZYqXDVj_WERD6-FCwgrvV84ratjWDBy6-gQ-FzxqsJA8fjG8Xz2RK6IRQOHwRoK3d9ytcP50H_LmgrzqTG9RZG9XruxO', 'width': 3264}]",ChIJAzskwtpN0y8RImYa_aBasQ8,"{'compound_code': 'MH2G+CF Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH2G+CF'}",5.0,ChIJAzskwtpN0y8RImYa_aBasQ8,"['lodging', 'point_of_interest', 'establishment']",1,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJAzskwtpN0y8RImYa_aBasQ8
OPERATIONAL,"Jl. Rawang, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25611, Indonesia","{'location': {'lat': -1.341877, 'lng': 100.583117}, 'viewport': {'northeast': {'lat': -1.340559020107278, 'lng': 100.5844048298927}, 'southwest': {'lat': -1.343258679892722, 'lng': 100.5817051701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Anordio,"[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106057176187046000328"">Qibuzz Nyanyok</a>'], 'photo_reference': 'AUGGfZmjSRupYnloKbCBxHBH1TLoP7Wimm3-zb-XLrIqTrW30yuhj5pBKihWq-2WVexxUBXdcyByomaSaiP5IzapynU1UHAo4sR_H2qq2EIU3plwZtJUWUWjhjK6uc6Q0qKB7Rb-_HAnu7t8GsVk-T6_XOrp_xUhNBCN5GXfMlwBKSYHFLGw', 'width': 4624}]",ChIJ68iXioJS0y8RA7qqhyFyeb4,"{'compound_code': 'MH5M+66 Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH5M+66'}",4.0,ChIJ68iXioJS0y8RA7qqhyFyeb4,"['lodging', 'point_of_interest', 'establishment']",160,,https://www.google.com/maps/place/?q=place_id:ChIJ68iXioJS0y8RA7qqhyFyeb4
OPERATIONAL,"Jl. Pemuda No.4, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25651, Indonesia","{'location': {'lat': -1.3481402, 'lng': 100.576406}, 'viewport': {'northeast': {'lat': -1.346811120107278, 'lng': 100.5777623798927}, 'southwest': {'lat': -1.349510779892722, 'lng': 100.5750627201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Andhika Hotel,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115376065916775815267"">Heri Fitrianto</a>'], 'photo_reference': 'AUGGfZltlVLJ3Yhk43f2kvUxJ0oReI6oOfM21jw1XCfovnPgzIFQokmnNNQRBAByrE2aBmf4D1fRL--WGnmtCclJgydBIJTt_w_trHA9Fg-AWfHQLhmaAmObyaKVIlDqz5iBQ3JZi1lXx4wpIaHInEoPXOo9B93g19b0sf8YuJQ-Qsghw4gr', 'width': 3456}]",ChIJibsN9HZN0y8R15QWfMK6Ix8,"{'compound_code': 'MH2G+QG Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH2G+QG'}",4.2,ChIJibsN9HZN0y8R15QWfMK6Ix8,"['lodging', 'point_of_interest', 'establishment']",54,,https://www.google.com/maps/place/?q=place_id:ChIJibsN9HZN0y8R15QWfMK6Ix8
OPERATIONAL,"Jl. Prof. DR. Hamka No.323, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25651, Indonesia","{'location': {'lat': -1.3476099, 'lng': 100.5825531}, 'viewport': {'northeast': {'lat': -1.346183620107278, 'lng': 100.5838688798927}, 'southwest': {'lat': -1.348883279892722, 'lng': 100.5811692201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Andini,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104104626099979367519"">Eva Istiana</a>'], 'photo_reference': 'AUGGfZl0Jk1osBAQALs5Y9XKoM3IUaPjJQilgJxemvC-iD-esx5Jh-QO6Vs9tOg2Izb-uEImKUoNFWfbAhpjxbnNqKe2mixlWWeFnZTeMzWJ9xpxbvPA6AAnT8HKe3vuEgLKgrCHZ6R3Me6Oli7_WIBafNiREeCTBEk7NHap79ALTKYCj9HW', 'width': 3072}]",ChIJH86ieXxN0y8RwAXsxPRROVA,"{'compound_code': 'MH2M+X2 Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH2M+X2'}",4.0,ChIJH86ieXxN0y8RwAXsxPRROVA,"['lodging', 'point_of_interest', 'establishment']",106,,https://www.google.com/maps/place/?q=place_id:ChIJH86ieXxN0y8RwAXsxPRROVA
OPERATIONAL,"Jl Belakang SMA 2 Painan Kel Painan Timur Kec IV Jurai Kab, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25613, Indonesia","{'location': {'lat': -1.3472587, 'lng': 100.5851997}, 'viewport': {'northeast': {'lat': -1.345924020107278, 'lng': 100.5865568298927}, 'southwest': {'lat': -1.348623679892722, 'lng': 100.5838571701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,FERMANA HOMESTAY,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100422861236046631106"">A Google User</a>'], 'photo_reference': 'AUGGfZnFm1_wUd03O2WhKEqKOCyIS2jLwMOr0-ZEktm9_R6TcNGuj1pp9z7gSZ4v03TP-KaIeH9BcbNGZcL0S2l6yh6U_HEdIcTYkXsmaZoPMsE14nEgNTWyWHtEPbrRR4ylUuWBv8QC9kXIeTprfmQPVENrViII4gNeftxOpL-Bdsa9q7ZS', 'width': 3840}]",ChIJ_8aMqIFN0y8Rxg1Lea11WrE,"{'compound_code': 'MH3P+33 Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH3P+33'}",4.5,ChIJ_8aMqIFN0y8Rxg1Lea11WrE,"['lodging', 'point_of_interest', 'establishment']",32,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ_8aMqIFN0y8Rxg1Lea11WrE
OPERATIONAL,"Jl. Pagaruyung III, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25611, Indonesia","{'location': {'lat': -1.3417828, 'lng': 100.5808886}, 'viewport': {'northeast': {'lat': -1.340428320107278, 'lng': 100.5821959298927}, 'southwest': {'lat': -1.343127979892722, 'lng': 100.5794962701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Anugerah Hotel Painan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108493894832827761606"">A Google User</a>'], 'photo_reference': 'AUGGfZnvMvMAWAhfePxJrtp-BS90tacT1tlP2hgTv7DAoHrmj0i798kWb4KvQVdJ2KwjLVnISEP44HaIFJVHvUc0hmFFZPQgnaLV51071CtTTVO47vZqjDBQxDOO0bT-o7yAlGRuv04r2tVcmqym5ghpmerw2NeD3eXHDfUeBQ6qFrWwHFjc', 'width': 4160}]",ChIJmaQ1PYJS0y8R13HcCng7e8g,"{'compound_code': 'MH5J+79 Painan, South Pesisir Regency, West Sumatra, Indonesia', 'global_code': '6PC2MH5J+79'}",4.0,ChIJmaQ1PYJS0y8R13HcCng7e8g,"['lodging', 'point_of_interest', 'establishment']",21,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJmaQ1PYJS0y8R13HcCng7e8g
