business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Kampung Serang, Data, Duampanua, Pinrang Regency, South Sulawesi 91251, Indonesia","{'location': {'lat': -3.6025293, 'lng': 119.4960809}, 'viewport': {'northeast': {'lat': -3.601213570107278, 'lng': 119.4975733298927}, 'southwest': {'lat': -3.603913229892722, 'lng': 119.4948736701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pantai Al Fath Stira ParADIse,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112028913696976532528"">A Google User</a>'], 'photo_reference': 'AUGGfZlJB05fcnwmERgQAuuFBEe0fGIe_WAnN5WsLFjHVBcQ7f8nMfWcWrYeCw8UposYwSaZVZZyUWdmU4g5DbGc7h6o6Pq_fVLfwl6D7ERP5wc8B2ufCpWigM8sIuOShwBdgKHrqdquiYUmukyYzb-op54VvoRQT3by6nh4MvjgkWsY8Uld', 'width': 960}]",ChIJAZqhf6JflC0RHKTVJnjP0KA,"{'compound_code': '9FWW+XC Data, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X9FWW+XC'}",4.6,ChIJAZqhf6JflC0RHKTVJnjP0KA,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",248,,https://www.google.com/maps/place/?q=place_id:ChIJAZqhf6JflC0RHKTVJnjP0KA
OPERATIONAL,"Jl. Jend. Sukawati No.171, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia","{'location': {'lat': -3.8032383, 'lng': 119.6499088}, 'viewport': {'northeast': {'lat': -3.801917370107277, 'lng': 119.6511469298927}, 'southwest': {'lat': -3.804617029892721, 'lng': 119.6484472701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MS Hotel Pinrang Mitra RedDoorz,"[{'height': 2088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116402148735642073987"">adhyl arz</a>'], 'photo_reference': 'AUGGfZnwUzvvlz28eMFy3fPxMAO55koquBiQzoiz11KL98WGD4ibAyotC8QXA6OVszslE0wAUeDvBqcCHX1okNlfhf3t7ZvoM04tbLQMSvII0bpiiUPxNFbJUc1a1hjSdWYHkl2ouY2tVkO_P8FiO9J1Ls5Owp4S1V1DcFgBWTrlUQA_P-Vu', 'width': 4640}]",ChIJc6sUtnJNlC0Ri3Y6O_cXILQ,"{'compound_code': '5JWX+PX Macorawalie, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X5JWX+PX'}",4.2,ChIJc6sUtnJNlC0Ri3Y6O_cXILQ,"['lodging', 'point_of_interest', 'establishment']",560,,https://www.google.com/maps/place/?q=place_id:ChIJc6sUtnJNlC0Ri3Y6O_cXILQ
OPERATIONAL,"Jl. Singa No.14, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia","{'location': {'lat': -3.804829499999999, 'lng': 119.6529116}, 'viewport': {'northeast': {'lat': -3.803527820107278, 'lng': 119.6542594298927}, 'southwest': {'lat': -3.806227479892722, 'lng': 119.6515597701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Shafira,"[{'height': 1824, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106804621174147818974"">Jundan Arif</a>'], 'photo_reference': 'AUGGfZnsmBo9SGxGCjSRSZZrK16oTCSSJfX4G5ioWtQUoQKdbh2dPGa7sPk6mWLyMlBE87kHkUCGuKgkaTf-K3Pxb5aL_G4d3sPRAnv1ZDdHotlqJ_EoprbSBBLihqC8Vf3UuMIBSRdwhWL0o2uSaQ53Mbj83UXFBVWF14qplpV02Mh-Vfpp', 'width': 2688}]",ChIJk1ErhuBMlC0RmjsE5Al2xwY,"{'compound_code': '5MW3+35 Macorawalie, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X5MW3+35'}",4.3,ChIJk1ErhuBMlC0RmjsE5Al2xwY,"['lodging', 'point_of_interest', 'establishment']",254,,https://www.google.com/maps/place/?q=place_id:ChIJk1ErhuBMlC0RmjsE5Al2xwY
OPERATIONAL,"Jl. Jenderal Sudirman, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia","{'location': {'lat': -3.8108769, 'lng': 119.6522663}, 'viewport': {'northeast': {'lat': -3.809529420107277, 'lng': 119.6535173298927}, 'southwest': {'lat': -3.812229079892721, 'lng': 119.6508176701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Atiqah Syariah,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117242563200770144923"">A Google User</a>'], 'photo_reference': 'AUGGfZmYYOywSVMSaN2z_GJ5zHd9Bv4RgkexBb2rby1Ch-AGxY4zedjIub7IyrZVksLB1jQ5WdRKu1BDRVyJAqFnjFRDs3PQF3ENugsc2Neng2pgfZAbzF-Yo_rW7-cxb6mf-M832uqAPFgeWkYl7DNE2nWhxeEoHxQ08CbtvgtHsuc0evqQ', 'width': 4896}]",ChIJD2Ez0NhMlC0Rv9Is04AlR9M,"{'compound_code': '5MQ2+JW Macorawalie, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X5MQ2+JW'}",4.1,ChIJD2Ez0NhMlC0Rv9Is04AlR9M,"['lodging', 'point_of_interest', 'establishment']",460,,https://www.google.com/maps/place/?q=place_id:ChIJD2Ez0NhMlC0Rv9Is04AlR9M
OPERATIONAL,"Jl. Singa No.20, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia","{'location': {'lat': -3.805067899999999, 'lng': 119.6534888}, 'viewport': {'northeast': {'lat': -3.803660570107278, 'lng': 119.6548408298927}, 'southwest': {'lat': -3.806360229892721, 'lng': 119.6521411701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Tirtasari Pinrang City Center Mitra RedDoorz,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104942705377895166617"">andi hilal</a>'], 'photo_reference': 'AUGGfZmDt4Xlq82Qk4E-OTxCEyb5cxpXJ_6I3RLIjrJnfpgo2St-DiFHNigQNiepRb701-v94vRHSkqf-Rn_l3EO-lZeDaeYwpDakita5SROkw9iZLQlonrgUxBZpMhOPFR70_TfhaEv0UAdil1S24A1TFKMjzxCdTPvc_5CDIWS6hvfZc08', 'width': 3120}]",ChIJY_4qieBMlC0RCeFx9I3cNFM,"{'compound_code': '5MV3+X9 Macorawalie, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X5MV3+X9'}",4.0,ChIJY_4qieBMlC0RCeFx9I3cNFM,"['lodging', 'point_of_interest', 'establishment']",82,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJY_4qieBMlC0RCeFx9I3cNFM
OPERATIONAL,"Jl. Abubakar Lambogo No.2, Juppandang, Kec. Enrekang, Kabupaten Enrekang, Sulawesi Selatan 91711, Indonesia","{'location': {'lat': -3.563808, 'lng': 119.7724262}, 'viewport': {'northeast': {'lat': -3.562503470107278, 'lng': 119.7737881798927}, 'southwest': {'lat': -3.565203129892723, 'lng': 119.7710885201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Malakui Bed & Coffee,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117932311891537274950"">A Google User</a>'], 'photo_reference': 'AUGGfZkJSbSWbVFEPz132cGSMRhhOn_JhpxI6bpglqsmGvxTYRf2nS9Xot2Baw4ee_nfhgE_iQ5_3wbkq6-9anFXZeuYd5wILJy11o4VCDAIsIKIT2AmwNpZw76SMNKxUv5iv5F1UPu3hdjG1D4WN3R4FY04e5xlC0cRltDIZZYcRTiE8J4', 'width': 900}]",ChIJk7VnSfVBlC0Rid9g1InJi5s,"{'compound_code': 'CQPC+FX Juppandang, Enrekang Regency, South Sulawesi, Indonesia', 'global_code': '6P8XCQPC+FX'}",4.8,ChIJk7VnSfVBlC0Rid9g1InJi5s,"['lodging', 'point_of_interest', 'establishment']",26,,https://www.google.com/maps/place/?q=place_id:ChIJk7VnSfVBlC0Rid9g1InJi5s
OPERATIONAL,"Jl. Jenderal Sudirman No.80, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia","{'location': {'lat': -3.8011366, 'lng': 119.6517149}, 'viewport': {'northeast': {'lat': -3.799787070107278, 'lng': 119.6531619798927}, 'southwest': {'lat': -3.802486729892721, 'lng': 119.6504623201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Azka Permata PINRANG,"[{'height': 3344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101465033467525711124"">Sofyan Thayf</a>'], 'photo_reference': 'AUGGfZk7KiH-W97EpALuArQSyXXtfQGRE2psJFmCgDmP1wQtN_qPMJp9y8iKArqVAsE3z48Dnrumos4Gw-7VMt021nB3qCm8e3qUm1YkDCpWZG3tSCVwf3IfS6Ov7i-16gvxHZIzkM8rt45VizeZ-YOcObrQ6-Q8OPpYU2OWqTTPJUX0l38z', 'width': 5016}]",ChIJHWDtl9dMlC0Rs0ghmdaqb6g,"{'compound_code': '5MX2+GM Macorawalie, Pinrang Regency, South Sulawesi, Indonesia', 'global_code': '6P8X5MX2+GM'}",4.0,ChIJHWDtl9dMlC0Rs0ghmdaqb6g,"['lodging', 'point_of_interest', 'establishment']",84,,https://www.google.com/maps/place/?q=place_id:ChIJHWDtl9dMlC0Rs0ghmdaqb6g
OPERATIONAL,"Puserren, Enrekang, Enrekang Regency, South Sulawesi 91711, Indonesia","{'location': {'lat': -3.5542262, 'lng': 119.7730451}, 'viewport': {'northeast': {'lat': -3.552924670107278, 'lng': 119.7744072798927}, 'southwest': {'lat': -3.555624329892723, 'lng': 119.7717076201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Wifadelia,"[{'height': 856, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112574350891069456227"">A Google User</a>'], 'photo_reference': 'AUGGfZlU8YudjPchFR4VP8bHerDexIIzdLMzt2eY1TJVJH4pJOvL0YI48g4QzAvsfp2UVhtNVihzgIfHZJHzFYEnFfE1N6bYmPhzTsq_RJM3K9IaZI4yU-YXrbCFh-QRR2j6uPnljbdPLdxtApP9RjY6YRlQOwQ-6--7VKY56cR2z1LU9kXn', 'width': 1280}]",ChIJ69uCXWxAlC0RIaPTZjaJqlY,"{'compound_code': 'CQWF+86 Puserren, Enrekang Regency, South Sulawesi, Indonesia', 'global_code': '6P8XCQWF+86'}",4.0,ChIJ69uCXWxAlC0RIaPTZjaJqlY,"['lodging', 'point_of_interest', 'establishment']",204,,https://www.google.com/maps/place/?q=place_id:ChIJ69uCXWxAlC0RIaPTZjaJqlY
OPERATIONAL,"5MV2+9PJ, Jl. Jenderal Sudirman, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia","{'location': {'lat': -3.8065421, 'lng': 119.6517796}, 'viewport': {'northeast': {'lat': -3.805190920107277, 'lng': 119.6532264798928}, 'southwest': {'lat': -3.807890579892721, 'lng': 119.6505268201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The M Hotel,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109505289462292776049"">Muhammad Samsir</a>'], 'photo_reference': 'AUGGfZk9URXguiygN7CWiIGuQHEWmhDz7YaPBgz2NhEWkkN9sLoFTylXQJsScGQrUbhjKyEzVlqIwwO8udtNwhvhFcpmMXLocN1uoMqsi9ahXTHfRYfRRCjeSoyjJN3Y5GGqmlhtD3PGF6ZdbTAKLgrvWAiRvsfTvszQ3H0bgZJNEzctfooO', 'width': 960}]",ChIJyVj2N9hMlC0RiSOVRWcMiHg,,3.9,ChIJyVj2N9hMlC0RiSOVRWcMiHg,"['lodging', 'point_of_interest', 'establishment']",789,,https://www.google.com/maps/place/?q=place_id:ChIJyVj2N9hMlC0RiSOVRWcMiHg
OPERATIONAL,"Unnamed Road, Polewali, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91315, Indonesia","{'location': {'lat': -3.4311574, 'lng': 119.3507584}, 'viewport': {'northeast': {'lat': -3.429764520107278, 'lng': 119.3521393298928}, 'southwest': {'lat': -3.432464179892722, 'lng': 119.3494396701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay RN near Taman Bambu Runcing Polewali Mitra RedDoorz,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102929928612567339882"">A Google User</a>'], 'photo_reference': 'AUGGfZnDxdDAqFEulfwkn5ZbtOo0J6c1zO941i48S0nzaNA0h8zrhDnFEDDS8Z0It81t8D3k-qCQcEsUei18ozOvJ9OAMxkEsN3JVatHPVEmFB9m6ZfSVBhX92w4j8MXnoJHDyDu1bGFtDSMJZIwMkYT8tHdu0Dism1WfLBrc-iFzX0iwrgT', 'width': 4000}]",ChIJjwS5Q6uJlC0RUJHPDUa1znY,"{'compound_code': 'H992+G8 Polewali, Polewali Mandar Regency, West Sulawesi, Indonesia', 'global_code': '6P8XH992+G8'}",4.8,ChIJjwS5Q6uJlC0RUJHPDUa1znY,"['lodging', 'point_of_interest', 'establishment']",17,,https://www.google.com/maps/place/?q=place_id:ChIJjwS5Q6uJlC0RUJHPDUa1znY
