business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jalan Trans wisata, siuri, Toinasa, Tentena, Kec. Pamona Bar., Kabupaten Poso, Sulawesi Tengah 94663, Indonesia","{'location': {'lat': -1.8040376, 'lng': 120.5280725}, 'viewport': {'northeast': {'lat': -1.802675570107278, 'lng': 120.5293025798927}, 'southwest': {'lat': -1.805375229892722, 'lng': 120.5266029201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Bali Cottages,{'open_now': False},"[{'height': 3144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115462479922369095326"">The Bali Cottage &amp; Spa</a>'], 'photo_reference': 'AUGGfZlNPRZHcPmDU2-HvVJ-WnnlXoDrVEFqBV1esVnurHe1D1QMKuwdfQgbw-BWC055D6K_CcU52MxOxteXG99ZgNR3w2DZUcDzlHpjeU1QG2Q_CH_DTmw2T3HPtNzjyZQ8A0pY8Nz0s6dcPe0OehVkPZzyPfSCpI65UrgJ8zeMiVmGpUu8', 'width': 4192}]",ChIJGYCXcNRBji0RGyA3Ldfd0G0,"{'compound_code': '5GWH+96 Danau, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC25GWH+96'}",4.5,ChIJGYCXcNRBji0RGyA3Ldfd0G0,"['lodging', 'point_of_interest', 'establishment']",144,https://www.google.com/maps/place/?q=place_id:ChIJGYCXcNRBji0RGyA3Ldfd0G0
OPERATIONAL,"6JJR+CR8, Sangele, Pamona Pusalemba, Poso Regency, Central Sulawesi 94663, Indonesia","{'location': {'lat': -1.7689679, 'lng': 120.6420291}, 'viewport': {'northeast': {'lat': -1.767614320107277, 'lng': 120.6434459298927}, 'southwest': {'lat': -1.770313979892722, 'lng': 120.6407462701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Poso Lake Resort,,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113384793576566137345"">Ayip Muhamadbasir</a>'], 'photo_reference': 'AUGGfZlHbifHtW6Q4v5HuU3dalbTFIWGdOs4LKyhmyzyixneuDM9pXF4jWN2rb1KNL3exG9krmtxGGu8DytjF8RBc8Ud6zyE4iKjc3-AJmBsxBzG6GFc8GNsNYHaTHKgSSOUacfbdHeXygaUrONggjoi6Nui2FkNuCI5prpQdBBdWgsC9ntT', 'width': 4128}]",ChIJR-T2xhdEji0RYyhotKNs_Kk,,4.4,ChIJR-T2xhdEji0RYyhotKNs_Kk,"['lodging', 'point_of_interest', 'establishment']",507,https://www.google.com/maps/place/?q=place_id:ChIJR-T2xhdEji0RYyhotKNs_Kk
OPERATIONAL,"Jl. Trans Sulawesi, Pasir Putih, Pamona Sel., Kabupaten Poso, Sulawesi Tengah 94664, Indonesia","{'location': {'lat': -1.8033212, 'lng': 120.5286499}, 'viewport': {'northeast': {'lat': -1.801934970107277, 'lng': 120.5296288798927}, 'southwest': {'lat': -1.804634629892722, 'lng': 120.5269292201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Siuri Cottages,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117090256734946397023"">Dwi Budisantoso</a>'], 'photo_reference': 'AUGGfZkhW0B1LLKWSWnNlEzXaWcS6RYFrITaiZKLVfL6Dkb354lJEOo7Efjp9HUPJSRNam-rzNW0LrFNiSjox3PVZJu4BELWWldJRhlXYOB-2l1MrtaVWr-WyIVlSCZXdlCAICUi7VAuDgm2fqEe5pmv8DwSUPgwKUvdZY0vX_1cABuF4mNn', 'width': 3264}]",ChIJ75k-Y9hBji0RbYo1Yl8qnAw,"{'compound_code': '5GWH+MF Danau, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC25GWH+MF'}",4.4,ChIJ75k-Y9hBji0RbYo1Yl8qnAw,"['point_of_interest', 'establishment']",286,https://www.google.com/maps/place/?q=place_id:ChIJ75k-Y9hBji0RbYo1Yl8qnAw
OPERATIONAL,"Jl. Torulemba No.147, Pamona Pusalemba, Pamona, Kec. Pamona Utara, Kabupaten Poso, Sulawesi Tengah 94663, Indonesia","{'location': {'lat': -1.7626136, 'lng': 120.6336899}, 'viewport': {'northeast': {'lat': -1.761059120107278, 'lng': 120.6351920798928}, 'southwest': {'lat': -1.763758779892722, 'lng': 120.6324924201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amadeo Guest House,,"[{'height': 633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109025207953904934068"">A Google User</a>'], 'photo_reference': 'AUGGfZlQJtSqPWaDCE5Y3LlbUQ7rrjIcgWkh3XqSGIRNq7AHFHxgq7N82FlVVSyZQMGYMpxH-M_CvNN2_uNO8ZIIe34gA8hcc2em_5oGqbQmIJc6bg-rquQvLCC0KIjp2mO7_hfHU8yRtdSwnCDpbstHpfFjj6MSZ5StWQXfweJO1AZmipH9', 'width': 1125}]",ChIJXfPZWyJFji0R7rojvpt2xh4,"{'compound_code': '6JPM+XF Pamona, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC26JPM+XF'}",5.0,ChIJXfPZWyJFji0R7rojvpt2xh4,"['lodging', 'point_of_interest', 'establishment']",47,https://www.google.com/maps/place/?q=place_id:ChIJXfPZWyJFji0R7rojvpt2xh4
OPERATIONAL,"Unnamed Road, Danau, Kabupaten Poso, Sulawesi Tengah 94664, Indonesia","{'location': {'lat': -1.7690163, 'lng': 120.6356845}, 'viewport': {'northeast': {'lat': -1.767657220107278, 'lng': 120.6370403298927}, 'southwest': {'lat': -1.770356879892722, 'lng': 120.6343406701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,LOSMEN88,,"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112265067790506507573"">A Google User</a>'], 'photo_reference': 'AUGGfZkHVs66ELBCJJr5RxUzor6BBcHL_pCBaslC10qrdhNU_j02O8d2OHn05LhHLHWPeNkpMrJY61cw52j9METlpZE1ivZ44Zp04cI08yoY94FmKkRtUBJjalOX9K4fik6_YA1Z-cGGEcF5qcowPQ-0Qp5v5oVd1trmvpbcZlXEQ2GiTk9x', 'width': 4080}]",ChIJ83-2F01Fji0R1M1b0dyVHCk,"{'compound_code': '6JJP+97 Danau, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC26JJP+97'}",4.2,ChIJ83-2F01Fji0R1M1b0dyVHCk,"['lodging', 'point_of_interest', 'establishment']",118,https://www.google.com/maps/place/?q=place_id:ChIJ83-2F01Fji0R1M1b0dyVHCk
OPERATIONAL,"Danau, Poso Regency, Central Sulawesi 94663, Indonesia","{'location': {'lat': -1.8018573, 'lng': 120.6344142}, 'viewport': {'northeast': {'lat': -1.800308820107278, 'lng': 120.6358315298928}, 'southwest': {'lat': -1.803008479892722, 'lng': 120.6331318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dolidi Ndano Towale Resort,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112192620392783724667"">herson rarea</a>'], 'photo_reference': 'AUGGfZlVrpRCoGogOK0ZVe1p5CPHjBpOUQotFX-oR-5khH1FXMnDXXDoQc6IrCTjwMQsUIkQeb61DKAkjaae64ihqhCU8jensdNJDT4n3GXaWus6ePeWkAyNNcAc5girWUaFolYMTnznIT9y3u1CccD_hUB3gS5lbB5eLoRjI7tTW7X1qNzU', 'width': 960}]",ChIJLzfnRCZHji0RO72DKYYaCMo,"{'compound_code': '5JXM+7Q Danau, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC25JXM+7Q'}",4.9,ChIJLzfnRCZHji0RO72DKYYaCMo,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",31,https://www.google.com/maps/place/?q=place_id:ChIJLzfnRCZHji0RO72DKYYaCMo
OPERATIONAL,"WMMR+HXM, Danau, Poso Regency, Central Sulawesi 94664, Indonesia","{'location': {'lat': -2.0660102, 'lng': 120.6924039}, 'viewport': {'northeast': {'lat': -2.064654670107278, 'lng': 120.6937472798928}, 'southwest': {'lat': -2.067354329892722, 'lng': 120.6910476201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mulia Poso Lake Hotel,,"[{'height': 2953, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100979831915338260636"">akram akib</a>'], 'photo_reference': 'AUGGfZmX7DsfmbCjFzmBi1_QezWl78slPiCcBTG5Yx00GHegzpJK3U69BE_DyEPOPtADu8uTly06nzqInHimqpw4SdEsb7_ZGGPF5DZ-6FRAEDmhr-N8jXAFuKuKrkNPJ9R1skGfqod3TbUOAH6_tuQBpapQd8HFxNNZc5zCNPJ0Lc1GWUTV', 'width': 2965}]",ChIJVUWRLj4mji0RabnJXwJevl0,,4.0,ChIJVUWRLj4mji0RabnJXwJevl0,"['lodging', 'point_of_interest', 'establishment']",68,https://www.google.com/maps/place/?q=place_id:ChIJVUWRLj4mji0RabnJXwJevl0
OPERATIONAL,"6JMR+R4W, Sangele, Pamona Pusalemba, Poso Regency, Central Sulawesi 94664, Indonesia","{'location': {'lat': -1.765398, 'lng': 120.6403243}, 'viewport': {'northeast': {'lat': -1.764063720107278, 'lng': 120.6416612298927}, 'southwest': {'lat': -1.766763379892722, 'lng': 120.6389615701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Pamona Indah Permai,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100014293712655068766"">A Google User</a>'], 'photo_reference': 'AUGGfZkb82RI2wPv4ca6Nz7t_0px_qjwYrw8gc5d1GyKiiLHtiaJGQFNvg-36lHUOp94CKPBhTkEO7auFG1XU0gNqjfNf-muHfoK2-M6snPZaaRobB_j1wRaYKGUa0QQk7MeIA5TrasTZtueicY1KTLdB3-DDwSIjE9FjCfdAV1ZV1OQ6HiG', 'width': 1920}]",ChIJIQZU1BVEji0RbQF-yzyN0Bs,,3.9,ChIJIQZU1BVEji0RbQF-yzyN0Bs,"['lodging', 'point_of_interest', 'establishment']",25,https://www.google.com/maps/place/?q=place_id:ChIJIQZU1BVEji0RbQF-yzyN0Bs
OPERATIONAL,"Posomeer, Danau, Kabupaten Poso, Sulawesi Tengah 94663, Indonesia","{'location': {'lat': -1.8329242, 'lng': 120.6316943}, 'viewport': {'northeast': {'lat': -1.8293356, 'lng': 120.63617495}, 'southwest': {'lat': -1.8341204, 'lng': 120.63020075}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,TandoBone bungalows,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114119207453869958480"">A Google User</a>'], 'photo_reference': 'AUGGfZntUL0UWRopOF17y8r7euGS3w9--aO2pExSCRBS1cdt8dTPSVirVDtSbWW1q28o7wrLmFShkQM2qQZ0QLYR7Pm-yoz1JIOwZ8WC1QfDUesmaFvQKcEnSfvw6MTrHeImmJbvNZ-1fcAYiUQ2C75iDKBshTeDs7wiu36gqcUVXawMs9ET', 'width': 4032}]",ChIJ9QXKA0ZHji0RTNgOQWmicfI,"{'compound_code': '5J8J+RM Danau, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC25J8J+RM'}",4.6,ChIJ9QXKA0ZHji0RTNgOQWmicfI,"['lodging', 'point_of_interest', 'establishment']",15,https://www.google.com/maps/place/?q=place_id:ChIJ9QXKA0ZHji0RTNgOQWmicfI
OPERATIONAL,"Lorong Ue Datu 92-93, Tentena - Poso, Pamona, Kec. Pamona Utara, Palu, Sulawesi Tengah 94663, Indonesia","{'location': {'lat': -1.7579537, 'lng': 120.6409396}, 'viewport': {'northeast': {'lat': -1.756618870107278, 'lng': 120.6424095798927}, 'southwest': {'lat': -1.759318529892722, 'lng': 120.6397099201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ue Datu Cottages,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106293420170078171271"">Ue Datu Cottages</a>'], 'photo_reference': 'AUGGfZn4htqSEY5xr9TEcyyficgk5zRzr5g1dncg08PTgnbuW3oZCfEhkdhkSmYRjsDLoh2ms3yvuRfi2fxcJlimE2-ISjlCZYi49zE4If9TegxvSg7eK-_YxRDBZsijpbeZvQYA5uhyjwXZw4DcxYRJ_PfxLnz5S6ahprvyukI8SP6fevl7', 'width': 1024}]",ChIJqflSFmpEji0RBEDigbks_io,"{'compound_code': '6JRR+R9 Pamona, Poso Regency, Central Sulawesi, Indonesia', 'global_code': '6QC26JRR+R9'}",4.0,ChIJqflSFmpEji0RBEDigbks_io,"['lodging', 'point_of_interest', 'establishment']",130,https://www.google.com/maps/place/?q=place_id:ChIJqflSFmpEji0RBEDigbks_io
