business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"JL Tuanku Tambusai, Km. 4, Pematang Berangan, Rambah Tengah Hilir, Kec. Rambah, Kabupaten Rokan Hulu, Riau 28558, Indonesia","{'location': {'lat': 0.8967565000000001, 'lng': 100.3116216}, 'viewport': {'northeast': {'lat': 0.8980303798927222, 'lng': 100.3130463798927}, 'southwest': {'lat': 0.8953307201072779, 'lng': 100.3103467201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sapadia Hotel Rokan Hulu,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115906699653475242939"">A Google User</a>'], 'photo_reference': 'AUGGfZlC5u9_qpYQxCZCv3xMmSXet3WS4934tdlZW0Ob_W3rwWC5B7R5MpRfbePRXTkqr_55H0sBN66zISSgYVtvk2JC0p4aLQS7YiovBBZ77Fb40QgR4pymnaXAcQwobf9_ad-FNEP6aUyyMznin0arJSU30AG1o6p6AfZI8neV92HoQyVn', 'width': 4000}]",ChIJt470aIQ_KzARqgHlKEd0T_M,"{'compound_code': 'V8W6+PJ Rambah Tengah Hilir, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V8W6+PJ'}",3.8,ChIJt470aIQ_KzARqgHlKEd0T_M,"['lodging', 'point_of_interest', 'establishment']",747,https://www.google.com/maps/place/?q=place_id:ChIJt470aIQ_KzARqgHlKEd0T_M
OPERATIONAL,"Jl. Garuda, pematang berangan, kabupaten Rokan hulu, Pekanbaru, Riau 28557, Indonesia","{'location': {'lat': 0.8637026, 'lng': 100.3017994}, 'viewport': {'northeast': {'lat': 0.8650674798927221, 'lng': 100.3030831298927}, 'southwest': {'lat': 0.8623678201072776, 'lng': 100.3003834701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Garuda,,"[{'height': 1140, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112662328951999723381"">A Google User</a>'], 'photo_reference': 'AUGGfZlwBEXChpbhSUutwCYxz9hKxHR6qYMYsHfmcTuYicYLiuzQloMu94jZNi5OSuHWgttw91Yh611rf4FNOTZ0Rl9W0AuYrxgRPvEkMBDzp-u5R4WzRcaFhQ2EE1aoz5Ou-4lEfpmSwoMttc7FzvHMsRD45SGbFpr2qn1OdmH5CkpXrJQM', 'width': 2048}]",ChIJK0lT5z4_KzAR79avohMuDFc,"{'compound_code': 'V872+FP Pematang Berangan, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V872+FP'}",5.0,ChIJK0lT5z4_KzAR79avohMuDFc,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJK0lT5z4_KzAR79avohMuDFc
OPERATIONAL,"Jl. Ngaso No.158, RT.5/RW.11, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau 28557, Indonesia","{'location': {'lat': 0.720111, 'lng': 100.5422452}, 'viewport': {'northeast': {'lat': 0.7212902798927221, 'lng': 100.5436217298927}, 'southwest': {'lat': 0.7185906201072777, 'lng': 100.5409220701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Netra Hotel,,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110496081601144977773"">A Google User</a>'], 'photo_reference': 'AUGGfZlWQxyWU5tA8d2zTTY0Z9kIGDamw6yR_WFnlVR11KD3gCAKs0cwyV6wI6yaYPFJDiks_hpb51GTY-uroLFgHuiOQNolm-8NvUdQO--DH04wCQDusYJInVRmHVeF1I_PAdu-z2prqE577JX8dbqvsrP0Z_MYfm1N060TceCoFTLWJFbP', 'width': 1440}]",ChIJg2y05sItKzARNkSv1CZBjcc,"{'compound_code': 'PGCR+2W Ngaso, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2PGCR+2W'}",3.9,ChIJg2y05sItKzARNkSv1CZBjcc,"['lodging', 'point_of_interest', 'establishment']",341,https://www.google.com/maps/place/?q=place_id:ChIJg2y05sItKzARNkSv1CZBjcc
OPERATIONAL,"Hotel Harka, Jl. Matoa No.13, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau 28454, Indonesia","{'location': {'lat': 0.7096066, 'lng': 100.5386596}, 'viewport': {'northeast': {'lat': 0.7109196798927221, 'lng': 100.5399698298927}, 'southwest': {'lat': 0.7082200201072777, 'lng': 100.5372701701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Harka,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108947560235317261519"">A Google User</a>'], 'photo_reference': 'AUGGfZmxqwvpPK9OAqJnG97QP6VIOAVxogkvNhAQJwt1tYmz-XlIyc-NjFIaZqoIxFbAqBLkCpXWEYFQPRaNP3E1SPrmUhNIYmicmap3-TF8BSgdRSDqAAqId3r69jZofMRVvIAZiZL20gyNm9XyRCYu79LhgCB4KK4PifvwiBJ0d9Xuwvo_', 'width': 4624}]",ChIJseTHaoQtKzAREBERCUgXuYw,"{'compound_code': 'PG5Q+RF Ngaso, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2PG5Q+RF'}",4.6,ChIJseTHaoQtKzAREBERCUgXuYw,"['lodging', 'point_of_interest', 'establishment']",111,https://www.google.com/maps/place/?q=place_id:ChIJseTHaoQtKzAREBERCUgXuYw
OPERATIONAL,"Jl. Diponegoro No.78A, Pasir Pengaraian, Kec. Rambah, Kabupaten Rokan Hulu, Riau 28557, Indonesia","{'location': {'lat': 0.8531019999999999, 'lng': 100.3067983}, 'viewport': {'northeast': {'lat': 0.854427779892722, 'lng': 100.3080890798927}, 'southwest': {'lat': 0.8517281201072776, 'lng': 100.3053894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Pasir Amanah Syariah,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103565616321447698303"">A Google User</a>'], 'photo_reference': 'AUGGfZkahzKbt9aQGq0krLNWoBZBMNhJdxborYaD4DKL1P7KE-Rft1uY2L9Z8m3uTvhflZub4ug8vLO6Hcm5OalXF5DIHyWS6bQpxnKWpHyuLGJf7jvJjDwgUU34rSVxCMBLaqKk2tv-aIvl6MTpYSfLlV1WR_Lfu5EEoOZNSv9Er_6xFHJ9', 'width': 3024}]",ChIJ1_pG4Lg_KzARdlYpktvHceA,"{'compound_code': 'V834+6P Pasir Pengaraian, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V834+6P'}",4.8,ChIJ1_pG4Lg_KzARdlYpktvHceA,"['lodging', 'point_of_interest', 'establishment']",40,https://www.google.com/maps/place/?q=place_id:ChIJ1_pG4Lg_KzARdlYpktvHceA
OPERATIONAL,"1, Jalan Diponegoro, Rambah, Kecamatan Rambah Rokan Hulu Regency, Riau, 28557, Kabupaten Rokan Hulu, Riau 28000, Indonesia","{'location': {'lat': 0.8522415, 'lng': 100.3091328}, 'viewport': {'northeast': {'lat': 0.8533535798927222, 'lng': 100.3104759298927}, 'southwest': {'lat': 0.8506539201072777, 'lng': 100.3077762701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92497 Penginapan Pasir Indah Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117998828666411005155"">A Google User</a>'], 'photo_reference': 'AUGGfZkIS6PCh7HCyRIOuSNyZarF5QM2LxkSa5tOHELd9wXV-HeUjtbCCrKTVfvjkm9k5Tqbl8J4d93PL6zOL0PSWjQntQqMa4QxfgqW5hZmuVPuem2kVu1DDUQylfgVRit-xLrY_ApiFjlXZLmK2rZm6r-KajWJ__Vhdb40ubiFjj7nwSWv', 'width': 640}]",ChIJrYHyQf4-KzARfa03XR9CPPA,"{'compound_code': 'V825+VM Pasir Pengaraian, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V825+VM'}",4.2,ChIJrYHyQf4-KzARfa03XR9CPPA,"['lodging', 'point_of_interest', 'establishment']",176,https://www.google.com/maps/place/?q=place_id:ChIJrYHyQf4-KzARfa03XR9CPPA
OPERATIONAL,"Jalan Diponegoro - Pasir Pengaraian Km. 6 Batang Samo, Suka Maju, Kec. Rambah, Kabupaten Rokan Hulu, Riau 28557, Indonesia","{'location': {'lat': 0.8449102, 'lng': 100.3368249}, 'viewport': {'northeast': {'lat': 0.8463578298927221, 'lng': 100.3381889298927}, 'southwest': {'lat': 0.8436581701072776, 'lng': 100.3354892701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma SAKINAH (Syari’ah),{'open_now': True},"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104317901582189787362"">A Google User</a>'], 'photo_reference': 'AUGGfZl3-qVtynSj5E33tbdRy5GAsgDMqwRBPQHcvxnAy-MwuXV_DN7J_I056gBtKQp_3Bp95YL7_abp71axZDcyhlJjrCtvapl2FGIfI3v3JBVedKMiRca0BXrOzXmk3zXQG_79_37kBXRT4JrCGK4SnK-4GvYAQJXfkRcoANZM5Gqz8F6J', 'width': 1440}]",ChIJNdvYJc8_KzARztmfVF68hug,"{'compound_code': 'R8VP+XP Suka Maju, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2R8VP+XP'}",4.7,ChIJNdvYJc8_KzARztmfVF68hug,"['lodging', 'point_of_interest', 'establishment']",110,https://www.google.com/maps/place/?q=place_id:ChIJNdvYJc8_KzARztmfVF68hug
OPERATIONAL,"Pematang Berangan, Rambah, Rokan Hulu Regency, Riau 28558, Indonesia","{'location': {'lat': 0.8636874999999999, 'lng': 100.3018125}, 'viewport': {'northeast': {'lat': 0.8650543798927222, 'lng': 100.3030884298927}, 'southwest': {'lat': 0.8623547201072778, 'lng': 100.3003887701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92818 Penginapan Garuda Syariah,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106667399999207410611"">aswirul afni</a>'], 'photo_reference': 'AUGGfZmKfxPGygzzz9qwTbciadpinUnMRKufeAPfQlHQRGe1o7CwHR5ih0wD8q6PMT2nzQwzJWSyh6BB7W7TouwUc2JPzatkOofyVWhIfPoIWVxuE8ds7Y2yGNfIVmo1WkwWm6NBq0Mj2jrm3-LWXvo5W9sdEeYjLBExtCcJOjF0v-dU3a1-', 'width': 1920}]",ChIJKbmvM6Y_KzARqSftTVRwers,"{'compound_code': 'V872+FP Pematang Berangan, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V872+FP'}",3.8,ChIJKbmvM6Y_KzARqSftTVRwers,"['lodging', 'point_of_interest', 'establishment']",89,https://www.google.com/maps/place/?q=place_id:ChIJKbmvM6Y_KzARqSftTVRwers
OPERATIONAL,"Pasir Pengaraian, Rambah, Rokan Hulu Regency, Riau 28557, Indonesia","{'location': {'lat': 0.8529920999999999, 'lng': 100.3069273}, 'viewport': {'northeast': {'lat': 0.8543038798927223, 'lng': 100.3081944298927}, 'southwest': {'lat': 0.8516042201072779, 'lng': 100.3054947701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Rokan Permai,{'open_now': True},"[{'height': 361, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101404413567183837672"">A Google User</a>'], 'photo_reference': 'AUGGfZlMCd8ktTsIWImiJrb9lMpVVzLLltJJ4LANyJidfEdF0onbmXrMcvu-bF8wsHMjCrmsnRCL5_2btUn7M9cWFHDS5qo1wG3DXOhC3xRhCZhjKKlbvzIkKNeu7juo3th9LpYy7vXRzuEOn3m5GtRUh_byE12M6Whw0HLj1zlJAgYr4C0K', 'width': 640}]",ChIJn_E1UF0_KzARrsLzvS1-inY,"{'compound_code': 'V834+5Q Pasir Pengaraian, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V834+5Q'}",4.4,ChIJn_E1UF0_KzARrsLzvS1-inY,"['lodging', 'point_of_interest', 'establishment']",118,https://www.google.com/maps/place/?q=place_id:ChIJn_E1UF0_KzARrsLzvS1-inY
OPERATIONAL,"10 Jalan Persatuan, Rambah, Kecamatan Rambah, Rokan Hulu Regency, Riau, 28557, Rokan Hulu Regency, Riau 28000, Indonesia","{'location': {'lat': 0.8609846999999999, 'lng': 100.2963191}, 'viewport': {'northeast': {'lat': 0.8621404798927222, 'lng': 100.2976734798927}, 'southwest': {'lat': 0.8594408201072777, 'lng': 100.2949738201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92696 Bahagia Homestay Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110509295876737321127"">A Google User</a>'], 'photo_reference': 'AUGGfZnAa6MzJM-pNJ-r1-bAin0JIR4LXq7ZSzzRdE-Fx_DOe1jMil5ERFOoNsgE2oQiYfeTPEty6urpA26gJxLX8LDJL-QOGcvoW2FUe3YaluI5Y3XWMcg5tB6HmZVldO49JyKekmfFjDNgPIgGwJCoFywqVVPPwlxJjhsKX9gNAZ8TpxM', 'width': 640}]",ChIJr6yoqa8_KzARi3s5LpfTej4,"{'compound_code': 'V76W+9G Rambah Tengah Utara, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V76W+9G'}",0.0,ChIJr6yoqa8_KzARi3s5LpfTej4,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJr6yoqa8_KzARi3s5LpfTej4
