business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"JL Tuanku Tambusai, Km. 4, Pematang Berangan, Rambah Tengah Hilir, Kec. Rambah, Kabupaten Rokan Hulu, Riau 28558, Indonesia","{'location': {'lat': 0.8967565000000001, 'lng': 100.3116216}, 'viewport': {'northeast': {'lat': 0.8980303798927222, 'lng': 100.3130463798927}, 'southwest': {'lat': 0.8953307201072779, 'lng': 100.3103467201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sapadia Hotel Rokan Hulu,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115906699653475242939"">A Google User</a>'], 'photo_reference': 'AUGGfZkBKkSJbmAlJuAuockdTufQHC8kzXGjfZY1Qm1EAhgSydxvW4qH5TV1_aHMWZYxEj7RZktW74ViCLKOcTCezCPKgqR3DrnHxruX2djlmr2Cd_fG7Nmpq6c--E66Q6by7_dClD1_In790odtij_toruXwHwnSZnQ2-fZuse_LCVaTwy-', 'width': 4000}]",ChIJt470aIQ_KzARqgHlKEd0T_M,"{'compound_code': 'V8W6+PJ Rambah Tengah Hilir, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V8W6+PJ'}",3.8,ChIJt470aIQ_KzARqgHlKEd0T_M,"['lodging', 'point_of_interest', 'establishment']",747,https://www.google.com/maps/place/?q=place_id:ChIJt470aIQ_KzARqgHlKEd0T_M
OPERATIONAL,"Jl. Ngaso No.158, RT.5/RW.11, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau 28557, Indonesia","{'location': {'lat': 0.720111, 'lng': 100.5422452}, 'viewport': {'northeast': {'lat': 0.7212902798927221, 'lng': 100.5436217298927}, 'southwest': {'lat': 0.7185906201072777, 'lng': 100.5409220701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Netra Hotel,,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110496081601144977773"">A Google User</a>'], 'photo_reference': 'AUGGfZm2x02hZAC0Omxq9qJFo6S_Bx1xHlu2_iK-O6tZwC4yTG97hz-4OxbJzUOhksFxGGdZ2ooTiPJfqbdUk1Vr5YbEXbzqKPHlfkomUanXwaNxIxwM3Wt0ALLsXwiR-01lWowL_lWdktW7PFzQ8vW7oiTJ2HKrDdeMC0NrUki5NW9PqX_l', 'width': 1440}]",ChIJg2y05sItKzARNkSv1CZBjcc,"{'compound_code': 'PGCR+2W Ngaso, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2PGCR+2W'}",3.9,ChIJg2y05sItKzARNkSv1CZBjcc,"['lodging', 'point_of_interest', 'establishment']",341,https://www.google.com/maps/place/?q=place_id:ChIJg2y05sItKzARNkSv1CZBjcc
OPERATIONAL,"Jl. Sma Sultan, Kp. Dagang, Kec. Rengat, Kabupaten Indragiri Hulu, Riau 29319, Indonesia","{'location': {'lat': -0.3702758, 'lng': 102.5269976}, 'viewport': {'northeast': {'lat': -0.3685729201072778, 'lng': 102.5283974798927}, 'southwest': {'lat': -0.3712725798927222, 'lng': 102.5256978201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Danau Raja,{'open_now': True},"[{'height': 2112, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100200726986758048256"">Hotel Danau Raja</a>'], 'photo_reference': 'AUGGfZlaK99S0s0Iwf3gD7xw5SS5pEgR58gEo1hGcp9AugwLxbV0sQEj1u0SWqDXBcm6wbytPFeGmreIggqrgZRHoEwKyJbWUSQo_Sopiga1X0Qy1RJAQrA0uao2ZMn5QSi_4m5FK93NmLLJMPd9avr7nAGR-ppxd7NnYKbVDwjedLwcXsss', 'width': 2816}]",ChIJt_3cOAG8KS4RgvQ_ji1O6mk,"{'compound_code': 'JGHG+VQ Kampung Dagang, Indragiri Hulu Regency, Riau, Indonesia', 'global_code': '6PF4JGHG+VQ'}",4.1,ChIJt_3cOAG8KS4RgvQ_ji1O6mk,"['lodging', 'point_of_interest', 'establishment']",471,https://www.google.com/maps/place/?q=place_id:ChIJt_3cOAG8KS4RgvQ_ji1O6mk
OPERATIONAL,"Hotel Harka, Jl. Matoa No.13, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau 28454, Indonesia","{'location': {'lat': 0.7096066, 'lng': 100.5386596}, 'viewport': {'northeast': {'lat': 0.7109196798927221, 'lng': 100.5399698298927}, 'southwest': {'lat': 0.7082200201072777, 'lng': 100.5372701701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Harka,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108947560235317261519"">A Google User</a>'], 'photo_reference': 'AUGGfZmrRtHj_wS8AVFgK55GfusC8sSDabmYQDlwqEDIBb6MrbU2csMX1WFBRxqS0_w0m0KL_wJdrYwDg78kf3EddkG4YVLxuaJ_492Bv_8Kex0FZy1b2OcdMmPhS2SP5_dOoQ1JL_iswBRwtig_PQIz5RMKbxKDOTEPzVge4IusbhypHWb5', 'width': 4624}]",ChIJseTHaoQtKzAREBERCUgXuYw,"{'compound_code': 'PG5Q+RF Ngaso, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2PG5Q+RF'}",4.6,ChIJseTHaoQtKzAREBERCUgXuYw,"['lodging', 'point_of_interest', 'establishment']",111,https://www.google.com/maps/place/?q=place_id:ChIJseTHaoQtKzAREBERCUgXuYw
OPERATIONAL,"Jl. Garuda, pematang berangan, kabupaten Rokan hulu, Pekanbaru, Riau 28557, Indonesia","{'location': {'lat': 0.8637026, 'lng': 100.3017994}, 'viewport': {'northeast': {'lat': 0.8650674798927221, 'lng': 100.3030831298927}, 'southwest': {'lat': 0.8623678201072776, 'lng': 100.3003834701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Garuda,,"[{'height': 1140, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112662328951999723381"">A Google User</a>'], 'photo_reference': 'AUGGfZkXxs_ukpKo7MhDGcnjYoY2bNY8_lf9xkj-j7z6zsiiiupzwoqxWQjnHcKOCyPz4vGMTPYGSNK-WSg_KJHrPhmaJ5ltHvCVhcmG5AnkZWG7ME1SlAa5H0QH0UMQzUTAEbWGNZvQx0TuOzLWCGqbrPtS-0h6BWeNQ5BddNv739vxD8K1', 'width': 2048}]",ChIJK0lT5z4_KzAR79avohMuDFc,"{'compound_code': 'V872+FP Pematang Berangan, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V872+FP'}",5.0,ChIJK0lT5z4_KzAR79avohMuDFc,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJK0lT5z4_KzAR79avohMuDFc
OPERATIONAL,"Jl. Diponegoro No.78A, Pasir Pengaraian, Kec. Rambah, Kabupaten Rokan Hulu, Riau 28557, Indonesia","{'location': {'lat': 0.8531019999999999, 'lng': 100.3067983}, 'viewport': {'northeast': {'lat': 0.854427779892722, 'lng': 100.3080890798927}, 'southwest': {'lat': 0.8517281201072776, 'lng': 100.3053894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Pasir Amanah Syariah,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103565616321447698303"">A Google User</a>'], 'photo_reference': 'AUGGfZmUS8gbETAosp-u4bFr8rlhMyNyQ9HeYrDmgx4Xgrxsi3lDzz45DmppBCi5JDW3EpPs-JZ11IRbeup462XBX4rGQbqU_Yo4an4XI3RBQldHgpAhuN6VoXVAQT0AaW5VVLvC8BmeEtvZGUBP3ZKDSaUVcOhTonQqCE0NGTcxjLFTxs7D', 'width': 3024}]",ChIJ1_pG4Lg_KzARdlYpktvHceA,"{'compound_code': 'V834+6P Pasir Pengaraian, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V834+6P'}",4.8,ChIJ1_pG4Lg_KzARdlYpktvHceA,"['lodging', 'point_of_interest', 'establishment']",40,https://www.google.com/maps/place/?q=place_id:ChIJ1_pG4Lg_KzARdlYpktvHceA
OPERATIONAL,"Pematang Berangan, Rambah, Rokan Hulu Regency, Riau 28558, Indonesia","{'location': {'lat': 0.8636874999999999, 'lng': 100.3018125}, 'viewport': {'northeast': {'lat': 0.8650543798927222, 'lng': 100.3030884298927}, 'southwest': {'lat': 0.8623547201072778, 'lng': 100.3003887701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92818 Penginapan Garuda Syariah,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106667399999207410611"">aswirul afni</a>'], 'photo_reference': 'AUGGfZn1MrLC8nM6gaYEx7gY-zEyKBVXbLleLkB2WPsMyvJiSm_UlHwCSJfd90cebXyBVVj0vnT2xFqe8OlmffHYF-6MAOipBldcSwQRxtWCFBYiroQNutrBAY-L4wjPiEsDz9c3lk0THLLXjZzgxzhjxbBw6wts0pcyozySnsXTg6MaySkg', 'width': 1920}]",ChIJKbmvM6Y_KzARqSftTVRwers,"{'compound_code': 'V872+FP Pematang Berangan, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V872+FP'}",3.8,ChIJKbmvM6Y_KzARqSftTVRwers,"['lodging', 'point_of_interest', 'establishment']",89,https://www.google.com/maps/place/?q=place_id:ChIJKbmvM6Y_KzARqSftTVRwers
OPERATIONAL,"1, Jalan Diponegoro, Rambah, Kecamatan Rambah Rokan Hulu Regency, Riau, 28557, Kabupaten Rokan Hulu, Riau 28000, Indonesia","{'location': {'lat': 0.8522415, 'lng': 100.3091328}, 'viewport': {'northeast': {'lat': 0.8533535798927222, 'lng': 100.3104759298927}, 'southwest': {'lat': 0.8506539201072777, 'lng': 100.3077762701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92497 Penginapan Pasir Indah Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117998828666411005155"">A Google User</a>'], 'photo_reference': 'AUGGfZl76Z7ukV_9nD0c1V5YXccrpFr5y8FkSKuS6R8ac_radlW4Tl7JfItswYYU9qgQWCLM_cs-JuA7ybdGawjqo-YazkT8sUnEN4nHHE-QEJKOLt5eknB6GbfmO0gJrBBqBkwLzs4OoSf7tVyriqwJWSCt-hRxj8_0faWmsvahzMA3EVLa', 'width': 640}]",ChIJrYHyQf4-KzARfa03XR9CPPA,"{'compound_code': 'V825+VM Pasir Pengaraian, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V825+VM'}",4.2,ChIJrYHyQf4-KzARfa03XR9CPPA,"['lodging', 'point_of_interest', 'establishment']",176,https://www.google.com/maps/place/?q=place_id:ChIJrYHyQf4-KzARfa03XR9CPPA
OPERATIONAL,"Pasir Pengaraian, Rambah, Rokan Hulu Regency, Riau 28557, Indonesia","{'location': {'lat': 0.8529920999999999, 'lng': 100.3069273}, 'viewport': {'northeast': {'lat': 0.8543038798927223, 'lng': 100.3081944298927}, 'southwest': {'lat': 0.8516042201072779, 'lng': 100.3054947701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Rokan Permai,{'open_now': True},"[{'height': 361, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101404413567183837672"">A Google User</a>'], 'photo_reference': 'AUGGfZnDDSyIBOl9LliW3EpkfOghpGk121BMrAu3nOdjboqtfvpv1fEWMX5dNLB1eOD9f-QzojSAyiiiMGqE44rpk36EkmTkPdmSoHVa1APZGqaD_AQt5skTWYCXg8w8R8zGIyaWnqSCNAE8mdR6vOWqn3iE4zm-1dS9hpuHO3FUgOOXPEq0', 'width': 640}]",ChIJn_E1UF0_KzARrsLzvS1-inY,"{'compound_code': 'V834+5Q Pasir Pengaraian, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2V834+5Q'}",4.4,ChIJn_E1UF0_KzARrsLzvS1-inY,"['lodging', 'point_of_interest', 'establishment']",118,https://www.google.com/maps/place/?q=place_id:ChIJn_E1UF0_KzARrsLzvS1-inY
OPERATIONAL,"Jl. Raya Kabun, Pasir Pengaraian, Kec. Kabun, Pekanbaru, Riau 28554, Indonesia","{'location': {'lat': 0.4661783, 'lng': 100.7815151}, 'viewport': {'northeast': {'lat': 0.4675042798927223, 'lng': 100.7827690298927}, 'southwest': {'lat': 0.4648046201072779, 'lng': 100.7800693701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Holy,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113504981010405355300"">A Google User</a>'], 'photo_reference': 'AUGGfZkna2UGYWiLUlAN7EOYhZ2aCXjBuHna3hICsGr-8hQOKVdChNuqpXTEvoXaCqyoo3hy_CGNEhjphCh0LGaVVmi5AW4ZEvSNTVfHqOiiQ-NUcm9XaLMSQEnBzoJ_m52-c0tdfchqRnWbkA95N7XwVKf70ohNrU0ep7mCmYsbBE84r0rM', 'width': 4000}]",ChIJmz2NVXUv1TERLZUODrVT6fo,"{'compound_code': 'FQ8J+FJ Aliantan, Rokan Hulu Regency, Riau, Indonesia', 'global_code': '6PG2FQ8J+FJ'}",4.1,ChIJmz2NVXUv1TERLZUODrVT6fo,"['lodging', 'point_of_interest', 'establishment']",10,https://www.google.com/maps/place/?q=place_id:ChIJmz2NVXUv1TERLZUODrVT6fo
