business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"89C7+8CG, Mukekuku, Rote Timur, Rote Ndao Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.6785939, 'lng': 123.3641525}, 'viewport': {'northeast': {'lat': -10.67724407010728, 'lng': 123.3655023298927}, 'southwest': {'lat': -10.67994372989273, 'lng': 123.3628026701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ayang,ChIJ662tEQDfViwRHBbnX6a2K7o,0.0,ChIJ662tEQDfViwRHBbnX6a2K7o,"['lodging', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ662tEQDfViwRHBbnX6a2K7o
OPERATIONAL,"C9QF+727, Daiama, Rote Timur, Rote Ndao Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.5618305, 'lng': 123.3725337}, 'viewport': {'northeast': {'lat': -10.56049592010728, 'lng': 123.3739068798927}, 'southwest': {'lat': -10.56319557989272, 'lng': 123.3712072201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pantai Lokonamon,ChIJ1yJrag3DViwR-5HQPvIoijg,4.7,ChIJ1yJrag3DViwR-5HQPvIoijg,"['lodging', 'point_of_interest', 'establishment']",90,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104212209199257602896"">A Google User</a>'], 'photo_reference': 'AUGGfZmB5xUXJr6_ic2VFiZ5ksx2OdqAfxcRwSDZCIHdNXyqVj-ngMrRNfRSiguysn87_7BleyXB1CH7kcCsM3Iy9uFK8VXGSrolfRZp--3Jo-X8OKuGgD6ki7DtD9qulJL9-4AK50KKlnjM-ugTctByNBvdyhwhQld8qkeeHI-XcWtU7K_K', 'width': 2304}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ1yJrag3DViwR-5HQPvIoijg
OPERATIONAL,"C6VR+9HQ, Bolatena, Landu Leko, Rote Ndao Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.5565001, 'lng': 123.2413976}, 'viewport': {'northeast': {'lat': -10.55513907010728, 'lng': 123.2427502298927}, 'southwest': {'lat': -10.55783872989272, 'lng': 123.2400505701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tirza Amseke,ChIJyfc0QADPViwRwsaPynKLNx0,0.0,ChIJyfc0QADPViwRwsaPynKLNx0,"['lodging', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyfc0QADPViwRwsaPynKLNx0
OPERATIONAL,"669J+8H2, Unnamed Road, Tebole, Kec. Rote Sel., Kabupaten Rote Ndao, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.7817353, 'lng': 123.2313996}, 'viewport': {'northeast': {'lat': -10.78066917010728, 'lng': 123.2325946798927}, 'southwest': {'lat': -10.78336882989272, 'lng': 123.2298950201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nando kolloh,ChIJ3aXbqLspVywRvGTRyZ9Snp4,2.0,ChIJ3aXbqLspVywRvGTRyZ9Snp4,"['lodging', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3aXbqLspVywRvGTRyZ9Snp4
OPERATIONAL,"667P+352, Tebole, Rote Selatan, Rote Ndao Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.7873702, 'lng': 123.235386}, 'viewport': {'northeast': {'lat': -10.78606902010728, 'lng': 123.2367840298927}, 'southwest': {'lat': -10.78876867989272, 'lng': 123.2340843701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jhega deku,ChIJO5ogMMYpVywRJJeO8tTBkMI,3.0,ChIJO5ogMMYpVywRJJeO8tTBkMI,"['lodging', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJO5ogMMYpVywRJJeO8tTBkMI
OPERATIONAL,"668J+7J, Tebole, Rote Selatan, Rote Ndao Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.7843099, 'lng': 123.2315971}, 'viewport': {'northeast': {'lat': -10.78292637010728, 'lng': 123.2329208798927}, 'southwest': {'lat': -10.78562602989272, 'lng': 123.2302212201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Danila Adetiara,ChIJMx1OlTgpVywRNhWCq-nUgWY,0.0,ChIJMx1OlTgpVywRNhWCq-nUgWY,"['lodging', 'point_of_interest', 'establishment']",0,"[{'height': 1114, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102410998612776612600"">A Google User</a>'], 'photo_reference': 'AUGGfZkhn_JJupeI07n1Gx38EDN2Eya6O-T6RBzJmgomiJ3XFgAXAdL8GrRuHJ8LHd7mwyjp4J5o21BPX4ps0WAeaqxAV0ZAjsv2PQb8DsPrcGXsfiR9mWiOdkH4n9OrjNOimYYvQQGRt93wtI4Lfn1PdDw_wBwTeEHlgw5urBweDvtoOgeg', 'width': 661}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJMx1OlTgpVywRNhWCq-nUgWY
OPERATIONAL,"Rote, Lidamanu, Kec. Rote Tengah, Kabupaten Rote Ndao, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.7386421, 'lng': 123.1239049}, 'viewport': {'northeast': {'lat': -10.7354147, 'lng': 123.1249152298927}, 'southwest': {'lat': -10.7397179, 'lng': 123.1222155701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rote,ChIJQ_DudgDVViwRLWHMnp8WiVY,0.0,ChIJQ_DudgDVViwRLWHMnp8WiVY,"['lodging', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ_DudgDVViwRLWHMnp8WiVY
OPERATIONAL,"746F+GHR Rote Dale, Lidamanu, Kec. Rote Tengah, Kabupaten Rote Ndao, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.7386421, 'lng': 123.1239049}, 'viewport': {'northeast': {'lat': -10.7354147, 'lng': 123.1249152298927}, 'southwest': {'lat': -10.7397179, 'lng': 123.1222155701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Paradise in Here,ChIJr753ia3VViwRmVS5w5C1GAE,0.0,ChIJr753ia3VViwRmVS5w5C1GAE,"['lodging', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJr753ia3VViwRmVS5w5C1GAE
OPERATIONAL,"Jl. Ba'a Pantai Baru, Metina, Kec. Lobalain, Kabupaten Rote Ndao, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.7199335, 'lng': 123.0529556}, 'viewport': {'northeast': {'lat': -10.71856612010728, 'lng': 123.0542649298927}, 'southwest': {'lat': -10.72126577989272, 'lng': 123.0515652701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Four'i Hotel,ChIJw-Dr_GgrUSwRGKM_7SwXFVI,4.2,ChIJw-Dr_GgrUSwRGKM_7SwXFVI,"['lodging', 'point_of_interest', 'establishment']",69,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117655931295076449505"">Ronald Markus</a>'], 'photo_reference': 'AUGGfZnnzOBKfACD0o71uh5qoPCnetJQ242wvXeU6C5t-8M3FOefvhnqCeQ6yJKIcTWA29IvZrwS2iB2cwaoSmknAkGfT7Vj7E3k_7f27LoEth0rkGa8Tw0NDnuOAh5dg9D4Lewvqex14s_ZpwFiJVd1_IRhsx8oTuekLxLFP-c5F_mF-eUY', 'width': 4160}]","{'compound_code': '73H3+X5 Metina, Rote Ndao Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX573H3+X5'}",,,https://www.google.com/maps/place/?q=place_id:ChIJw-Dr_GgrUSwRGKM_7SwXFVI
OPERATIONAL,"Metina, Lobalain, Rote Ndao Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.7246026, 'lng': 123.0490964}, 'viewport': {'northeast': {'lat': -10.72323267010728, 'lng': 123.0504030298927}, 'southwest': {'lat': -10.72593232989272, 'lng': 123.0477033701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grace,ChIJV2FfQWwrUSwRY54KrAsg93s,3.9,ChIJV2FfQWwrUSwRY54KrAsg93s,"['lodging', 'point_of_interest', 'establishment']",102,"[{'height': 3680, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115894350578245177379"">A Google User</a>'], 'photo_reference': 'AUGGfZnYGgZjTPSJ0zBUS4QYFvNDxj4Py0KRzj5cDCvvDBqbuS5gZp8vva9mhZBQq_dGgkD2I_4HTqrj6XhMqeeBM_x1U28CJ3iCfVgqvH63rIPDLms2zYdSNjYkxCz9fLR5VOAzq8T877dqp0rJhC_5PeOTMNFJv0yBI7e-Yf8eZHRD0MfJ', 'width': 5520}]","{'compound_code': '72GX+4M Metina, Rote Ndao Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX572GX+4M'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJV2FfQWwrUSwRY54KrAsg93s
