business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Pangkalan Kerinci Timur Pangkalan Kerinci, Pangkalan Kerinci Kota, Kec. Pelalawan, Kabupaten Pelalawan, Riau 28654, Indonesia","{'location': {'lat': 0.4257766, 'lng': 101.8756354}, 'viewport': {'northeast': {'lat': 0.4272227298927223, 'lng': 101.8770927798927}, 'southwest': {'lat': 0.4245230701072778, 'lng': 101.8743931201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Unigraha,{'open_now': True},"[{'height': 709, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101651128791912103530"">A Google User</a>'], 'photo_reference': 'AUGGfZl5mODBkMh2gbuLXjNYaLBkIZ2uwHDWxddafdSHRAmNIIz3DxFIBzgMlx8RKSoV_ysJhTl5HO2LtGVmwcMK-0O0Ybop0EVcOkyai9exqsC4LCprTaKGM5BssFcz6EeuP3m3GAPG5MBqPBaFISYvg3U7F-Bwv0XJk7XQddzOv37iEyVm', 'width': 1260}]",ChIJn6OWMEbF1TER92eeDLGeRYk,"{'compound_code': 'CVGG+87 Pangkalan Kerinci Timur, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG3CVGG+87'}",4.5,ChIJn6OWMEbF1TER92eeDLGeRYk,"['lodging', 'point_of_interest', 'establishment']",1507,https://www.google.com/maps/place/?q=place_id:ChIJn6OWMEbF1TER92eeDLGeRYk
OPERATIONAL,"Jl. Maharaja Indra No.517, Pangkalan Kerinci Kota, Kec. Pangkalan Kerinci, Kabupaten Pelalawan, Riau 28654, Indonesia","{'location': {'lat': 0.3930663, 'lng': 101.8579249}, 'viewport': {'northeast': {'lat': 0.3944199298927222, 'lng': 101.8591787298927}, 'southwest': {'lat': 0.3917202701072778, 'lng': 101.8564790701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Hotel,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108099435792571586612"">Kawi Boedisetio</a>'], 'photo_reference': 'AUGGfZl66ekGhV5_R7I93aJ71eZ18K1rVOlgRvVqNCgMqGSnM0fyZOLfqvDHqbRR4rtmN13DyVVhekphhG40PhOtHzbk3CEx9pC-CQxvyneqLfAVJwYg79uankYAFc0052sQ1CtLB00CWOAwuD5oen2xAo80vzPP3R-iz6i1b_4EaRrBdl0R', 'width': 6000}]",ChIJHSQxn-_E1TER2PzgmPiBEe0,"{'compound_code': '9VV5+65 Pangkalan Kerinci Kota, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG39VV5+65'}",3.3,ChIJHSQxn-_E1TER2PzgmPiBEe0,"['lodging', 'point_of_interest', 'establishment']",659,https://www.google.com/maps/place/?q=place_id:ChIJHSQxn-_E1TER2PzgmPiBEe0
OPERATIONAL,"9VR5+X4F, Jl. Maharaja Indra, Pangkalan Kerinci Kota, Kec. Pangkalan Kerinci, Kabupaten Pelalawan, Riau 28654, Indonesia","{'location': {'lat': 0.3924356, 'lng': 101.8577953}, 'viewport': {'northeast': {'lat': 0.3937870798927223, 'lng': 101.8591036798927}, 'southwest': {'lat': 0.3910874201072778, 'lng': 101.8564040201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Meranti,,"[{'height': 2790, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116831005434675450842"">Ham Mudayat</a>'], 'photo_reference': 'AUGGfZnVzDsQHo2lpOFMvRg23ZlkRetQmwsU9Z8GDdF8LMO4ekMMA1C-kxy_AmflBmt9a269tObFavCh36nBwCL-zqChqd59vq18m8UEgj5ZWrbkBOioZv7K0JVmYhD9stOZUl3dM3gp4LFFodnZ3hgRLQsGuTHkRpms1nsOE4ydXDFEKplZ', 'width': 3324}]",ChIJZbHtn-_E1TERREuEJ9dkg0I,,3.6,ChIJZbHtn-_E1TERREuEJ9dkg0I,"['lodging', 'point_of_interest', 'establishment']",310,https://www.google.com/maps/place/?q=place_id:ChIJZbHtn-_E1TERREuEJ9dkg0I
OPERATIONAL,"Jl. Raya Minas - Perawang, Perawang, Kec. Tualang, Kabupaten Siak, Riau 28685, Indonesia","{'location': {'lat': 0.6714646, 'lng': 101.6058668}, 'viewport': {'northeast': {'lat': 0.6728974798927222, 'lng': 101.6072508298927}, 'southwest': {'lat': 0.6701978201072777, 'lng': 101.6045511701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Highland Hotel,,"[{'height': 1018, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105840205618715936504"">A Google User</a>'], 'photo_reference': 'AUGGfZnpuVTjPPnKzCxc7fZ_VSriuohlzU3JvxiWL7tsV3GJ50ziFeHuEwlmIZilow5gPnaTknF6aSn_3t80Ts6SBimaKRrbJaR5c5Y-iRfj13N-vVEY1xBlSWyQOqYmj8PzAG6GhMPRgKUVlPh0SwAri44NronUlIOhglq975qCklycnmY', 'width': 1079}]",ChIJefQxla9O1DERZ6a125taFgU,"{'compound_code': 'MJC4+H8 Perawang, Siak Regency, Riau, Indonesia', 'global_code': '6PG3MJC4+H8'}",3.7,ChIJefQxla9O1DERZ6a125taFgU,"['lodging', 'point_of_interest', 'establishment']",574,https://www.google.com/maps/place/?q=place_id:ChIJefQxla9O1DERZ6a125taFgU
OPERATIONAL,"Jl. Maharaja Indra No.245, Pangkalan Kerinci Tim., Kec. Pangkalan Kerinci, Kabupaten Pelalawan, Riau 28311, Indonesia","{'location': {'lat': 0.3897477, 'lng': 101.8578656}, 'viewport': {'northeast': {'lat': 0.3910985298927223, 'lng': 101.8591172798927}, 'southwest': {'lat': 0.3883988701072777, 'lng': 101.8564176201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dika Raya Hotel,{'open_now': True},"[{'height': 2511, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116831005434675450842"">Ham Mudayat</a>'], 'photo_reference': 'AUGGfZmdcuTPgo-WsWNRk78tGsNuyfFqcrIg8NYfczy2L5Oz6S4YErBqJ2Er_I54TGw7tYAYZmZfx5_iWeSWVapCtImcv6of7CZYX1g95tXT1JRW7axm8eCAghvTbzmBB9GDt8GZLld9hKlNIYdUhu1r3WIORmW_tl6EYuH-uyj36aeBFYIZ', 'width': 3349}]",ChIJnR7NYu7E1TERaRFimVytdOE,"{'compound_code': '9VQ5+V4 Pangkalan Kerinci Timur, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG39VQ5+V4'}",3.8,ChIJnR7NYu7E1TERaRFimVytdOE,"['lodging', 'point_of_interest', 'establishment']",311,https://www.google.com/maps/place/?q=place_id:ChIJnR7NYu7E1TERaRFimVytdOE
OPERATIONAL,"1 Pangkalan Kerinci Kota, Kecamatan Pangkalan Kerinci, Kabupaten Pelalawan Riau, 28654, ramayana, Pelalawan, Pelalawan Regency, Riau 28655, Indonesia","{'location': {'lat': 0.4229193000000001, 'lng': 101.8571038}, 'viewport': {'northeast': {'lat': 0.4242503798927222, 'lng': 101.8584654298927}, 'southwest': {'lat': 0.4215507201072777, 'lng': 101.8557657701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92082 Elisa Hill,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114400240587368738813"">A Google User</a>'], 'photo_reference': 'AUGGfZlm406znFgPBfTEBMcs_6vh_qWuToz1cd0lLUgS1HyHtyQgU64hyA9Y4PJ4zIPr87qxMMalDjdmn4FcULQrV043J_gmHLBZ-aAhscv-cOS_lwy4Z9oMZk9mwTwGV9bgnq5fOdMd6OApNSvoxwybc5i2_pUD66YO3dB002E6SupWPvnN', 'width': 640}]",ChIJJbfmCMrF1TERtuQ8OY1a6xY,"{'compound_code': 'CVF4+5R Pangkalan Kerinci Kota, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG3CVF4+5R'}",3.8,ChIJJbfmCMrF1TERtuQ8OY1a6xY,"['lodging', 'point_of_interest', 'establishment']",16,https://www.google.com/maps/place/?q=place_id:ChIJJbfmCMrF1TERtuQ8OY1a6xY
OPERATIONAL,"Jl. Lintas Sumatera, Pangkalan Kerinci Tim., Kec. Pangkalan Kerinci, Kabupaten Pelalawan, Riau 28381, Indonesia","{'location': {'lat': 0.4047861, 'lng': 101.8582802}, 'viewport': {'northeast': {'lat': 0.4061388298927223, 'lng': 101.8595422298927}, 'southwest': {'lat': 0.4034391701072778, 'lng': 101.8568425701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Aini,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109935828641826850334"">A Google User</a>'], 'photo_reference': 'AUGGfZlyoOp6XmDqGc4UjLJ5dXMQSszc_VvdxEiC-1rQh-AVh7ykPDOm5VCedIkfuUbdIXqCTpTwrRWiR_P7KdPEYspqpDjsYOGPXnqtc_19e-cd7kKCzr30xGHL7D7AO76ncGIRqDYTZEIXzjt6re2oEuI_sPj2RI2UwlTXkjpocoyzeaDB', 'width': 3120}]",ChIJUSNamB3F1TERjIgCVvCtLmc,"{'compound_code': 'CV35+W7 Pangkalan Kerinci Timur, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG3CV35+W7'}",3.5,ChIJUSNamB3F1TERjIgCVvCtLmc,"['lodging', 'point_of_interest', 'establishment']",319,https://www.google.com/maps/place/?q=place_id:ChIJUSNamB3F1TERjIgCVvCtLmc
OPERATIONAL,"20 Jalan Lintas Timur Riau-Jambi, Kecamatan Pangkalan, Pangkalan Kerinci Kota, Pangkalan Kerinci, Pelalawan Regency, Riau 28654, Indonesia","{'location': {'lat': 0.3857331, 'lng': 101.8263029}, 'viewport': {'northeast': {'lat': 0.3872299298927222, 'lng': 101.8277309798927}, 'southwest': {'lat': 0.3845302701072777, 'lng': 101.8250313201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91985 Penginapan Noer Syariah,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109994255536732528783"">A Google User</a>'], 'photo_reference': 'AUGGfZnbQM3xkdcxzi-JrR7CTvMG-kiN6c36MI9kBPdfpBo65bRQvatSjueXsoOKVLswjcyAW2w_OCgi0NWAv1wk6dtzxgQqN3Vl4Bdiy-wFqu_rc60GMAy8myqACUGGlsXdhdpW9cdGprxjl6C_DDBmUk6TzS7PpTECbn7vSF6pSDI3wkLW', 'width': 3074}]",ChIJY3hfWDXF1TERqaiTISRkiB4,"{'compound_code': '9RPG+7G Pangkalan Kerinci Kota, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG39RPG+7G'}",3.8,ChIJY3hfWDXF1TERqaiTISRkiB4,"['lodging', 'point_of_interest', 'establishment']",19,https://www.google.com/maps/place/?q=place_id:ChIJY3hfWDXF1TERqaiTISRkiB4
OPERATIONAL,"Kabupat, Jl. Seminai No.165, Pangkalan Kerinci Kota, Pangkalan Kerinci, Pelalawan Regency, Riau 28653, Indonesia","{'location': {'lat': 0.3890114, 'lng': 101.8535458}, 'viewport': {'northeast': {'lat': 0.3902938798927222, 'lng': 101.8549084298927}, 'southwest': {'lat': 0.3875942201072778, 'lng': 101.8522087701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91986 Annajah Homestay Syariah,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112945173964177868892"">A Google User</a>'], 'photo_reference': 'AUGGfZmzgUL9GinU46BXVxB49Y83_Xt-Rq1Ap_r7VHnaxHEDqDD70IUH2qMmErlA26HElFaRDZT4PFXKZq5blnqoufWkxnmzR7NnN6Q9DPD-Wn3PrlwagF1YVjKcAMiZLH64RwU9ko0ggjLsUOwS9ULD5AmhLOxOvbheT6h9vsjJxw4ltHCa', 'width': 3074}]",ChIJjfdwhW7F1TERTuCZEHb5wN0,"{'compound_code': '9VQ3+JC Pangkalan Kerinci Kota, Pelalawan Regency, Riau, Indonesia', 'global_code': '6PG39VQ3+JC'}",4.2,ChIJjfdwhW7F1TERTuCZEHb5wN0,"['lodging', 'point_of_interest', 'establishment']",40,https://www.google.com/maps/place/?q=place_id:ChIJjfdwhW7F1TERTuCZEHb5wN0
OPERATIONAL,"4, Perawang, Kecamatan Tualang, Siak Regency, Kota Pekanbaru, Riau 28000, Indonesia","{'location': {'lat': 0.6695921, 'lng': 101.5915084}, 'viewport': {'northeast': {'lat': 0.6709530298927221, 'lng': 101.5928401798927}, 'southwest': {'lat': 0.6682533701072777, 'lng': 101.5901405201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hadhilfa Homestay,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104202019838961868609"">A Google User</a>'], 'photo_reference': 'AUGGfZkAX1Ikvg4mwqwFozA5_QqYC9WwRCDqQ4jGL7bg6xSCNSfW2ymZEMOeaAZ_pZkrhl2LZqYnqTj4avlj1qOtUfgHDC_25_vINjTJcYLxgF31e97azigEJ-5RTVru994Q1xFLLQHt7llWtkM3ezGGVqCs9fQtbkIKVbqAR--aqF01NnEJ', 'width': 640}]",ChIJnY2UprJP1DERxbu24J05_h0,"{'compound_code': 'MH9R+RJ Perawang Barat, Siak Regency, Riau, Indonesia', 'global_code': '6PG3MH9R+RJ'}",4.3,ChIJnY2UprJP1DERxbu24J05_h0,"['lodging', 'point_of_interest', 'establishment']",81,https://www.google.com/maps/place/?q=place_id:ChIJnY2UprJP1DERxbu24J05_h0
