business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Basuki Rahmat, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia","{'location': {'lat': -0.9190893, 'lng': 119.887329}, 'viewport': {'northeast': {'lat': -0.9177377701072779, 'lng': 119.8886787798927}, 'southwest': {'lat': -0.9204374298927221, 'lng': 119.8859791201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Best Western Plus Coco Palu,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116354814558587767458"">Remon Ambutua</a>'], 'photo_reference': 'AUGGfZmn2gyKvHQmZmLV4l84lX517Y1i-QflLqWFJUToiSaUgX0gafOCkwfGglVkpXzm5pjs2YlpAZhpK6VvRZqI2iwofchvHys_q7qLTDwnkznDFnNxay5PpoyCYPAgVHOtZ3huEPLaoyA4nuyYNkh_sBkatfwU2OGiELLt0ktyxd_0p-kZ', 'width': 3264}]",ChIJW2cYOwLuiy0RzU2l2QpuW2k,"{'compound_code': '3VJP+9W Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VJP+9W'}",4.4,ChIJW2cYOwLuiy0RzU2l2QpuW2k,"['lodging', 'point_of_interest', 'establishment']",2428,,https://www.google.com/maps/place/?q=place_id:ChIJW2cYOwLuiy0RzU2l2QpuW2k
OPERATIONAL,"Jl. DR. Abdurrahman Saleh No.45, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia","{'location': {'lat': -0.9189474, 'lng': 119.8979311}, 'viewport': {'northeast': {'lat': -0.9176454701072777, 'lng': 119.8992814798927}, 'southwest': {'lat': -0.920345129892722, 'lng': 119.8965818201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sutan Raja Hotel,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106515999761806943664"">Dell Vostro</a>'], 'photo_reference': 'AUGGfZnSXXyOhaiBEsk-BKX296xrIatT_zFMgXFWgNOmBmfCisxBlHT8VpSbiwKmUfx7wOPOuMW4Q0-KRgheH0qhCpvErLXG6CtoeMpa70zKkYc589RTyjrFZCh6xzmKxCVn-7liBHzrHquSeytYtExY1B0G3-n_xiXO4g0xZWnYMmatBs7k', 'width': 3840}]",ChIJrSpVPOLxiy0R0krUTyZQpAw,"{'compound_code': '3VJX+C5 Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VJX+C5'}",4.3,ChIJrSpVPOLxiy0R0krUTyZQpAw,"['lodging', 'point_of_interest', 'establishment']",1667,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJrSpVPOLxiy0R0krUTyZQpAw
OPERATIONAL,"Jl. Zebra II No.11, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94231, Indonesia","{'location': {'lat': -0.9236391, 'lng': 119.886069}, 'viewport': {'northeast': {'lat': -0.9222877701072778, 'lng': 119.8874096298927}, 'southwest': {'lat': -0.924987429892722, 'lng': 119.8847099701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jazz Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106707121660932291686"">A Google User</a>'], 'photo_reference': 'AUGGfZkAnn3r7JICCTiE6gGOWV70kLTyJaXOyc057RU_MxZi4daJChyYQz9HRIzmcCvikMznDKmNdBzT4Wh0TZ06G4ZJ_yQpPJHmqIi3m7yqqvp4wR-Wn9M7ua7BuSmOLJHICaGkoR677xTAp6yTLGiyLY6sT1KL1IUwep-nvb-A2uTD8-Ce', 'width': 4000}]",ChIJk1p2bfnxiy0R1jqdt3ut3rg,"{'compound_code': '3VGP+G9 Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VGP+G9'}",4.1,ChIJk1p2bfnxiy0R1jqdt3ut3rg,"['lodging', 'point_of_interest', 'establishment']",2017,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJk1p2bfnxiy0R1jqdt3ut3rg
OPERATIONAL,"Birobuli Utara, Palu Selatan, Palu City, Central Sulawesi 94111, Indonesia","{'location': {'lat': -0.9244885999999999, 'lng': 119.893658}, 'viewport': {'northeast': {'lat': -0.9231386701072778, 'lng': 119.8950230298927}, 'southwest': {'lat': -0.925838329892722, 'lng': 119.8923233701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Purple Hotel Palu,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115948455267624936565"">A Google User</a>'], 'photo_reference': 'AUGGfZlz0X4x65aaN411qepmOlgVBzDsONnGJsOn3_WBJv4O_0k6sLh47vEKiWwaRzP4mFrlKVz7MrGEfsNKZN9SPH6gqZrHYNNN-C_fA2cbPsP-G94u9295xG5P_Pa9muIsb1sIt7mn_fSaFm2mKE5iAoR2LC5OCOF0oICEMe0PDozPtebQ', 'width': 4608}]",ChIJlQAUMuXxiy0RpNRywHffbMU,"{'compound_code': '3VGV+6F Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VGV+6F'}",3.9,ChIJlQAUMuXxiy0RpNRywHffbMU,"['lodging', 'point_of_interest', 'establishment']",431,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJlQAUMuXxiy0RpNRywHffbMU
OPERATIONAL,"Jl. Banteng 1 Jl. Pelanduk, Birobuli Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94235, Indonesia","{'location': {'lat': -0.9278337, 'lng': 119.8918239}, 'viewport': {'northeast': {'lat': -0.9265464201072776, 'lng': 119.8931720298927}, 'southwest': {'lat': -0.9292460798927218, 'lng': 119.8904723701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Mutiara SIS Al Jufrie Airport Palu 2,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104694051937343523918"">A Google User</a>'], 'photo_reference': 'AUGGfZnwVHJ7D4pkqQ7DFMbSDyZUglckeb1Lb-ABktBVZ-bBfMHgplVpMy3_Uw0NYJdPWRzz1QCxQI1SJXwzZyxfdsMLc_R_bGPBb514RhI1TDMev9Bpl6JdCIolXexxkNIsns4mTV5Tg4O8zn4tYmTnMxnb3h0Fb192A0M-EDADLM7IH3m5', 'width': 900}]",ChIJtRFYNvDxiy0RXYHJVf2KudI,"{'compound_code': '3VCR+VP Birobuli Selatan, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VCR+VP'}",4.3,ChIJtRFYNvDxiy0RXYHJVf2KudI,"['lodging', 'point_of_interest', 'establishment']",113,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJtRFYNvDxiy0RXYHJVf2KudI
OPERATIONAL,"Jl. Banteng No.29, Birobuli Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94235, Indonesia","{'location': {'lat': -0.9310209999999999, 'lng': 119.8927345}, 'viewport': {'northeast': {'lat': -0.929755120107278, 'lng': 119.8941165298927}, 'southwest': {'lat': -0.9324547798927223, 'lng': 119.8914168701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Guest House Bunga Tanjung Syariah,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101259610397146744413"">A Google User</a>'], 'photo_reference': 'AUGGfZn2Bq6m1UMpA-4CCVkreflsGNL95z5H1E7cUhwhZfXAqbT2wWr80sgTqRYWfjIA3FS7c1JiAKqAliLPSR1KWm9BkLf6Dn3NN8o_Y0f-XZL41TeGueLTtLpBxec0b_SJQnrcRcCs1GXT4tHWjwyewOb4tiUniQqn3QnCqmucrqBgGvH5', 'width': 3120}]",ChIJ8Xlqi-7xiy0RujXZt8WWbHE,"{'compound_code': '3V9V+H3 Birobuli Selatan, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3V9V+H3'}",4.5,ChIJ8Xlqi-7xiy0RujXZt8WWbHE,"['lodging', 'point_of_interest', 'establishment']",57,,https://www.google.com/maps/place/?q=place_id:ChIJ8Xlqi-7xiy0RujXZt8WWbHE
OPERATIONAL,"Jl. Towua No.15, Tatura Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94126, Indonesia","{'location': {'lat': -0.9205053, 'lng': 119.8780032}, 'viewport': {'northeast': {'lat': -0.9191883201072777, 'lng': 119.8792983298927}, 'southwest': {'lat': -0.921887979892722, 'lng': 119.8765986701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel RAJA AKAS,"[{'height': 657, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111345204804600424588"">A Google User</a>'], 'photo_reference': 'AUGGfZnnX6tFE9uQZ9RpjRFEBc0UMOubwCCu5a3FQQYzDE7CLvIa9NU_zVWOXZ6INEvoBHS8jv5iUXVkIpCb-3nDFTqKakb0bgJXdF-KqFwyX7PLMLH-n3lvO29oBpPJ2w9hMzBaoVw3V75PQDwSI_8bMP6iJ20OSIXwhUU5tZ3v41gkuoum', 'width': 981}]",ChIJpdpzdSfziy0R7ySJH-f1-_0,"{'compound_code': '3VHH+Q6 Tatura Selatan, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VHH+Q6'}",4.4,ChIJpdpzdSfziy0R7ySJH-f1-_0,"['lodging', 'point_of_interest', 'establishment']",33,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJpdpzdSfziy0R7ySJH-f1-_0
OPERATIONAL,"Jl. Kijang III Utara No.1a, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94235, Indonesia","{'location': {'lat': -0.9262592, 'lng': 119.8885125}, 'viewport': {'northeast': {'lat': -0.9249076201072778, 'lng': 119.8899647298927}, 'southwest': {'lat': -0.9276072798927221, 'lng': 119.8872650701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 1559 Pondok Garuda Guest House,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110459758143492258921"">A Google User</a>'], 'photo_reference': 'AUGGfZntg67dv1uVOxSbJnc36o7F1QpyMKDpBdbFpysS4QfSo5haNbjNoxD8IfBnqp0CFd4aRbhoot0ft3gxiH0MoqoYAvTip3OX7pYwKTsxGqOIKRShkCs4C4jgSQ88KRLixH3r11XpmVQiO5CwWvmKJOCrssU_I2bkL-8U5q9pNX0f5nLh', 'width': 1440}]",ChIJsyipHvHxiy0RjVTTq_b-7fc,"{'compound_code': '3VFQ+FC Birobuli Utara, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VFQ+FC'}",4.2,ChIJsyipHvHxiy0RjVTTq_b-7fc,"['lodging', 'point_of_interest', 'establishment']",249,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJsyipHvHxiy0RjVTTq_b-7fc
OPERATIONAL,"Belakang SMAN 3, Jl. RS Islam Kelurahan, Birobuli Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94236, Indonesia","{'location': {'lat': -0.9322082999999999, 'lng': 119.8962873}, 'viewport': {'northeast': {'lat': -0.9309726701072778, 'lng': 119.8976424798928}, 'southwest': {'lat': -0.9336723298927221, 'lng': 119.8949428201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Graha Family Guest House,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111492457402412670095"">A Google User</a>'], 'photo_reference': 'AUGGfZmnXwVygrb_GHGg2wrJFT9Sfqx8n4M3GQyYUc6aVNU5djJ18ER9nLPBh4mGGgZf_S93puwtQRi4pxJS9Dh0X3EnmEtLbCVd0Wlkqr0dojtZSCUA09x_FCxkDC1LHXEcyIR8GCLFlhHF9RulqpBreNCB_abF64tOyRWalpuc1IntFcpB', 'width': 4928}]",ChIJdWZ2bY7xiy0RjpXkb2-HztY,"{'compound_code': '3V9W+4G Birobuli Selatan, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3V9W+4G'}",4.4,ChIJdWZ2bY7xiy0RjpXkb2-HztY,"['lodging', 'point_of_interest', 'establishment']",38,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJdWZ2bY7xiy0RjpXkb2-HztY
OPERATIONAL,"Jl. Zebra IV, Tatura Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia","{'location': {'lat': -0.9250067999999999, 'lng': 119.8859206}, 'viewport': {'northeast': {'lat': -0.9236580201072778, 'lng': 119.8872983298927}, 'southwest': {'lat': -0.9263576798927221, 'lng': 119.8845986701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Mutiara SIS Al Jufrie Airport Palu,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111575666971196220416"">A Google User</a>'], 'photo_reference': 'AUGGfZlUIX6qBsQqG55XOZsUr3Q7n0oyRqL90vABeRYRn7SxG_OyqKT14XPFOyCpBdJVoTgQM5gHYIBzHlRQYVjPNlgsRQLuNvvGcxZ0Gv9TpyD2JZhA8M0JjaVRc6-81Z2Vs8tByogpHXezRfNAjrG1fLFAdAOnGLaikA3obbGcpiTpM7nE', 'width': 900}]",ChIJbQLnoVDxiy0R0KUXFnY8_2g,"{'compound_code': '3VFP+X9 Tatura Selatan, Palu City, Central Sulawesi, Indonesia', 'global_code': '6PFX3VFP+X9'}",3.5,ChIJbQLnoVDxiy0R0KUXFnY8_2g,"['lodging', 'point_of_interest', 'establishment']",18,,https://www.google.com/maps/place/?q=place_id:ChIJbQLnoVDxiy0R0KUXFnY8_2g
