business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Profesor. M. Yamin, SH, Muaro, Sijunjung, Sijunjung Regency, West Sumatra 27511, Indonesia","{'location': {'lat': -0.6636622, 'lng': 100.9442503}, 'viewport': {'northeast': {'lat': -0.6625963201072776, 'lng': 100.9456831298927}, 'southwest': {'lat': -0.665295979892722, 'lng': 100.9429834701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Bukik Gadang,{'open_now': True},"[{'height': 426, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117670555713168694075"">Hotel Bukik Gadang</a>'], 'photo_reference': 'AUGGfZnuwSuuqaIYjEW6SQVbHA8jVExD-jTAFb6ZhLpttPkrxpBULg7pjFOlrSgplkD2XCwBdx6QVYp9T_O8_1BuhBubO9JPNj8pQ4MHyLBG7KPAAonuHW52zh896aM2FUgvQTEEXC2D23WcDnRruGjOHRHW6PrH9TQ4xZy7Ay5IPNc3e85A', 'width': 639}]",ChIJ-6rrMNMYKy4RMCyeh5Q1J64,"{'compound_code': '8WPV+GP Muaro, Sijunjung Regency, West Sumatra, Indonesia', 'global_code': '6PF28WPV+GP'}",3.8,ChIJ-6rrMNMYKy4RMCyeh5Q1J64,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",214,https://www.google.com/maps/place/?q=place_id:ChIJ-6rrMNMYKy4RMCyeh5Q1J64
OPERATIONAL,"Jl. A. Yani, Pasar, Kec. Lembah Segar, Kota Sawahlunto, Sumatera Barat 27422, Indonesia","{'location': {'lat': -0.6812822, 'lng': 100.7774614}, 'viewport': {'northeast': {'lat': -0.6798227701072778, 'lng': 100.7786850298927}, 'southwest': {'lat': -0.6825224298927223, 'lng': 100.7759853701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,KHAS Ombilin Hotel,{'open_now': True},"[{'height': 2798, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114603014275831404978"">A Google User</a>'], 'photo_reference': 'AUGGfZn1mB4f18zWhV3JHNVt9FCIVhbKX4Kai6WPhWXKhI57Zd767PvZw2Zo7UDXTjSdZ_JsTdEgvSz-bTEu0cy5wokuoNniZqfdO7pdk1brLaYy38SFos3Yb3ViSJrxCQCSZqBnyRbD-irZjV5dxs51mMlARGCKhqYhtKv4v1-m2CbMQ4aW', 'width': 4192}]",ChIJEeSVgkAvKy4Rs4TBttPbU-o,"{'compound_code': '8Q9G+FX Pasar, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28Q9G+FX'}",4.2,ChIJEeSVgkAvKy4Rs4TBttPbU-o,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",539,https://www.google.com/maps/place/?q=place_id:ChIJEeSVgkAvKy4Rs4TBttPbU-o
OPERATIONAL,"Jalan Baginda Aziskan Jl. Bagindo Aziz Chan No.kel, Aur Mulio, Kec. Lembah Segar, Kota Sawahlunto, Sumatera Barat 27418, Indonesia","{'location': {'lat': -0.6844161, 'lng': 100.7791254}, 'viewport': {'northeast': {'lat': -0.6829730701072777, 'lng': 100.7804906298927}, 'southwest': {'lat': -0.6856727298927222, 'lng': 100.7777909701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Parai City Garden Hotel,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110404883518315367482"">Parai City Garden Hotel</a>'], 'photo_reference': 'AUGGfZnsYiRz6lEDrMZUkEysKQk79kxldNRaSbppXyHoPGpKDf7e5-J4e3HcwO503z9vo5RENsI-GrbsvPnny1hH8A7tFnDIu2upDt7cAjT53YqOf5ryItVuv-CTlfR2O4Hcln2sbiHlPJRRbOuJJzD5OGquHQjX5pgDuG7Qrt64DxtN-Lhr', 'width': 4032}]",ChIJwyyKY7MoKy4RnZ03IMc3alg,"{'compound_code': '8Q8H+6M Aur Mulio, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28Q8H+6M'}",3.9,ChIJwyyKY7MoKy4RnZ03IMc3alg,"['lodging', 'point_of_interest', 'establishment']",310,https://www.google.com/maps/place/?q=place_id:ChIJwyyKY7MoKy4RnZ03IMc3alg
OPERATIONAL,"Lansek River, Kamang Baru, Sijunjung Regency, West Sumatra 27572, Indonesia","{'location': {'lat': -0.8899682999999999, 'lng': 101.3601446}, 'viewport': {'northeast': {'lat': -0.8885294201072778, 'lng': 101.3615352298927}, 'southwest': {'lat': -0.8912290798927222, 'lng': 101.3588355701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel N+Calista,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114732095035826286778"">A Google User</a>'], 'photo_reference': 'AUGGfZk4ouMauXd_9yYdgBrBP2U3XuoaW5bqsilPts9n5BFWw_5uY51habDOCM00Z3LL27SRXuarlOzMe0RGbyJq-YLpfdEnsPRbGkAVyA2ieY1izaC7IXVZbGXxRh1nQNhXhzbJRnXb8Bco26VHij5UpBHgxEhUw0kzpeRpSYwtNWPv6xZV', 'width': 1080}]",ChIJ_TiH1vWfKy4RNP_nAkGpzyY,"{'compound_code': '4966+23 Lansek River, Sijunjung Regency, West Sumatra, Indonesia', 'global_code': '6PF34966+23'}",2.7,ChIJ_TiH1vWfKy4RNP_nAkGpzyY,"['lodging', 'point_of_interest', 'establishment']",26,https://www.google.com/maps/place/?q=place_id:ChIJ_TiH1vWfKy4RNP_nAkGpzyY
OPERATIONAL,"nagari, kunpar, Parit Rantang, Kec. Kamang Baru, Kabupaten Sijunjung, Sumatera Barat 27572, Indonesia","{'location': {'lat': -0.8519173, 'lng': 101.3927022}, 'viewport': {'northeast': {'lat': -0.8505052201072777, 'lng': 101.3939756798927}, 'southwest': {'lat': -0.8532048798927222, 'lng': 101.3912760201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Nabila,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113371939513673756922"">Putra Handika</a>'], 'photo_reference': 'AUGGfZkF7HOfjaH13ksKwJU4J1x4WD_39_NVzkeZdSthgdVGSUWOnqwWi39HSFS5XNDzDcx0WeJxzteaCkg5ifPIni-LL4bU5UC5BMPwVSiq5j8VJrtIMh5GS_bda-rHe6_zSEtxi6syMfi3yq3NVveHpDciy0xgEBCtWYwO-8Jt8t5REn51', 'width': 4608}]",ChIJW41GQKqhKy4Rbda-zFKIgBk,"{'compound_code': '49XV+63 Muaro Takung, Sijunjung Regency, West Sumatra, Indonesia', 'global_code': '6PF349XV+63'}",3.3,ChIJW41GQKqhKy4Rbda-zFKIgBk,"['lodging', 'point_of_interest', 'establishment']",73,https://www.google.com/maps/place/?q=place_id:ChIJW41GQKqhKy4Rbda-zFKIgBk
OPERATIONAL,"Aia Dingin, Lembah Segar, Sawahlunto, West Sumatra 27422, Indonesia","{'location': {'lat': -0.6762275, 'lng': 100.7820939}, 'viewport': {'northeast': {'lat': -0.6749846701072776, 'lng': 100.7834796298927}, 'southwest': {'lat': -0.6776843298927221, 'lng': 100.7807799701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Oma,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117925795529775145310"">Fadhli Muhammad</a>'], 'photo_reference': 'AUGGfZm8dhvSin6pKBgznTFQctNEI5pFJyRxZAdrqjq4exWQa8OJCwHwxMSysancxEOf0aVLMn6dr3g5JWwL20BHQ2A807j5Zo-OfSmx22mBVMHnN0LXmKPtVlqNB2-79uDQOCXQHa_I5cNpPWZhMoIUpt1RvoyYhQBNrCO4PzmA6rXj-nhw', 'width': 4032}]",ChIJI3PtbkYvKy4Rch4_Cz3YEJs,"{'compound_code': '8QFJ+GR Aia Dingin, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28QFJ+GR'}",4.6,ChIJI3PtbkYvKy4Rch4_Cz3YEJs,"['lodging', 'point_of_interest', 'establishment']",109,https://www.google.com/maps/place/?q=place_id:ChIJI3PtbkYvKy4Rch4_Cz3YEJs
OPERATIONAL,"Jl. Silokek, Muaro, Kecamaten Sijunjung, Kabupaten Sijunjung, Sumatera Barat 27554, Indonesia","{'location': {'lat': -0.600846, 'lng': 101.025904}, 'viewport': {'northeast': {'lat': -0.5994913701072777, 'lng': 101.0272184798927}, 'southwest': {'lat': -0.6021910298927222, 'lng': 101.0245188201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Desa Wisata Silokek,,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114810310984480391086"">A Google User</a>'], 'photo_reference': 'AUGGfZkAR12tyOna6q1IBQs3FhJEshMyO-wwGTPfs_eonwGJsLWHv8_iYyrlDaYIZLwYE_PKhAJ5oeQII4xUl3L3Rje4Guzw4MnBd3S4cWG3QbY1m85AajUzsLs86qzI8FF1B4gI1vMFd9RtidHqFETUB2jG0cNzKbd5zs0XS6tDMhTgWRa4', 'width': 1040}]",ChIJKWU-5ZIfKy4RgZIrs9rhNSw,"{'compound_code': '92XG+M9 Muaro, Sijunjung Regency, West Sumatra, Indonesia', 'global_code': '6PF392XG+M9'}",5.0,ChIJKWU-5ZIfKy4RgZIrs9rhNSw,"['lodging', 'point_of_interest', 'establishment']",3,https://www.google.com/maps/place/?q=place_id:ChIJKWU-5ZIfKy4RgZIrs9rhNSw
OPERATIONAL,"Jln. Saringan No. 26, RT.3/RW.5, Saringan, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27422, Indonesia","{'location': {'lat': -0.6785460999999999, 'lng': 100.778122}, 'viewport': {'northeast': {'lat': -0.6771715201072778, 'lng': 100.7794490798927}, 'southwest': {'lat': -0.6798711798927223, 'lng': 100.7767494201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Harisha Homestay,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113874511391734879289"">rendra pahlezi</a>'], 'photo_reference': 'AUGGfZnWgcQOo4jlQ1wXshNYQ9JqXpFYKni1T92SSOPTnwV76pk6JyJJPmBlG_hP8ww8XJQ3xDGSUQ42dkHZ7qEV4PQCrNWlHpoIDcWoD_JtVshjtMzaGwJbKDDUlg1xCANyBbHYFecOnlRxSP2uH2BUBj15udPC8v0ctyQlayL8xgXLma7N', 'width': 3000}]",ChIJfU_BWuQvKy4Rg2KaOkYuDLQ,"{'compound_code': '8QCH+H6 Saringan, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28QCH+H6'}",5.0,ChIJfU_BWuQvKy4Rg2KaOkYuDLQ,"['lodging', 'point_of_interest', 'establishment']",34,https://www.google.com/maps/place/?q=place_id:ChIJfU_BWuQvKy4Rg2KaOkYuDLQ
OPERATIONAL,"Lubang Tembok, Saringan, Barangin, Sawahlunto, West Sumatra, Indonesia","{'location': {'lat': -0.6781033, 'lng': 100.7771396}, 'viewport': {'northeast': {'lat': -0.6766337201072776, 'lng': 100.7785416798927}, 'southwest': {'lat': -0.6793333798927221, 'lng': 100.7758420201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay AILA,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111200362536874646851"">A Google User</a>'], 'photo_reference': 'AUGGfZn9veQC6BQusIe0WFR-Nf1XxCaKmOBQ0euoZFmskHzgZJj0goqK8fWk1emrgxZRpIbgufOT4nFmIIxXV0kLgYvEogwQ44fCEh_da2I-O9oVo2e2n7SH2WfeepDB0MC1mAZy4RA3hKKTNiaN42LjmFHVVZYopj0mEKWUvsRKdPHh_-c5', 'width': 4032}]",ChIJ6d8ftd0vKy4RSOoI5eAipQw,"{'compound_code': '8QCG+QV Saringan, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28QCG+QV'}",4.5,ChIJ6d8ftd0vKy4RSOoI5eAipQw,"['lodging', 'point_of_interest', 'establishment']",14,https://www.google.com/maps/place/?q=place_id:ChIJ6d8ftd0vKy4RSOoI5eAipQw
OPERATIONAL,"Jl. Abdurrahman Hakim, Aia Dingin, Kec. Lembah Segar, Kota Sawahlunto, Sumatera Barat 27422, Indonesia","{'location': {'lat': -0.6764927, 'lng': 100.7825384}, 'viewport': {'northeast': {'lat': -0.6750732701072778, 'lng': 100.7838677298927}, 'southwest': {'lat': -0.6777729298927223, 'lng': 100.7811680701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Balqis,,"[{'height': 930, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106925628249700777178"">A Google User</a>'], 'photo_reference': 'AUGGfZm3KLQLAyk53-u-z9UM6pHKE5_L_52xP-Ele9WtKz3wrriledhK2gExwTaCDm1kNgfAXJS7XKdfAQSLxQC1-3Bfp4jn6Anhp3to4ceGOWHxX2MBHKIxNpCA09N1k599bfG7RwFPo4nDG7KvsT5LUBVxCuaGguwN5L63qaTCZ0Cusb1G', 'width': 1600}]",ChIJVVVVVU4vKy4R-AW3fSFbJoQ,"{'compound_code': '8QFM+C2 Aia Dingin, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF28QFM+C2'}",4.4,ChIJVVVVVU4vKy4R-AW3fSFbJoQ,"['lodging', 'point_of_interest', 'establishment']",38,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVU4vKy4R-AW3fSFbJoQ
