business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Lubuk Selasih, Jl. Padang - Alahan Panjang, Batang Barus, Kabupaten Solok, Sumatera Barat 27365, Indonesia","{'location': {'lat': -0.9838357000000001, 'lng': 100.6108857}, 'viewport': {'northeast': {'lat': -0.982476370107278, 'lng': 100.6122455798927}, 'southwest': {'lat': -0.9851760298927222, 'lng': 100.6095459201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Daima Moosa Glamping Park,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116791865612189116961"">A Google User</a>'], 'photo_reference': 'AUGGfZmkbaWCyB5rdl_riJh3q9vpU4pNIV-88BYJ_QC0CX0XxLQdghdPxpQK-XO5NBORJ1t3pIQx4qsEBDG7a3aFh_jDOYbzaf1LVs6mqzbAVezcfzKEq3MDxwiIlS1u1AIOs4oXRef122DOttogLUAyfHTvQpl0R-hyY7teabmBU2G3957t', 'width': 4000}]",ChIJLftwy5Wz1C8RIS-78q1ZlFw,"{'compound_code': '2J86+F9 Batang Barus, Solok Regency, West Sumatra, Indonesia', 'global_code': '6PF22J86+F9'}",3.9,ChIJLftwy5Wz1C8RIS-78q1ZlFw,"['lodging', 'point_of_interest', 'establishment']",313,,https://www.google.com/maps/place/?q=place_id:ChIJLftwy5Wz1C8RIS-78q1ZlFw
OPERATIONAL,"Jl. Makmur No.1, Ps. Pandan Air Mati, Kec. Tj. Harapan, Kota Solok, Sumatera Barat 27317, Indonesia","{'location': {'lat': -0.7902022000000001, 'lng': 100.6599344}, 'viewport': {'northeast': {'lat': -0.7889666201072776, 'lng': 100.6612032798927}, 'southwest': {'lat': -0.7916662798927221, 'lng': 100.6585036201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Wish Hotel & Restaurant,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117457888474308382576"">A Google User</a>'], 'photo_reference': 'AUGGfZlV5v8aQDuTZvbzdGNLA7-J7xiHRt_fukFvLgwMhecAaS7VphgqfNcsPCCq32cGluDdKbAlyj3N-abkYqhpqoGyVlcLOi1Lw6CBqekJIzRiQcy4IUU_Z0k6HtsjuNPqBwUAqPifV9nru5p4XbtTEFnDoGVpg85VoXown_fvNl9s1t00', 'width': 1200}]",ChIJH7xWog4zKy4Rc1tVbYtRodY,"{'compound_code': '6M55+WX Pasar Pandan Air Mati, Solok City, West Sumatra, Indonesia', 'global_code': '6PF26M55+WX'}",4.3,ChIJH7xWog4zKy4Rc1tVbYtRodY,"['lodging', 'point_of_interest', 'establishment']",80,,https://www.google.com/maps/place/?q=place_id:ChIJH7xWog4zKy4Rc1tVbYtRodY
OPERATIONAL,"Simpang Tanjuang Nan Ampek, Jl. Danau Talang, Alahan Panjang, Sumatera Barat 27383, Indonesia","{'location': {'lat': -1.0269005, 'lng': 100.7161933}, 'viewport': {'northeast': {'lat': -1.025543920107278, 'lng': 100.7175513298927}, 'southwest': {'lat': -1.028243579892722, 'lng': 100.7148516701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Green Lestari Resort Cafe & Resto,"[{'height': 3200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105580943367819964923"">A Google User</a>'], 'photo_reference': 'AUGGfZltp-49-Lc5bvLslv7huLUWAOGLuppfgjfUO75jq3sFeMAjapNk6ntPch3PV1ER40856vxwObnE-Nd4sahY7FWi6uFKq71Y5JuLBaftqlrH2dqJQ5ZW168ZUOlB0GVn_UCZje4jc-ZoGVug1oJlBn8Xr7hY2ChsIdabiYIjGlKuoN8Y', 'width': 6208}]",ChIJqRaYKddPKy4RoGoZUOkRCgU,"{'compound_code': 'XPF8+6F Kampung Batu Dalam, Solok Regency, West Sumatra, Indonesia', 'global_code': '6PC2XPF8+6F'}",4.7,ChIJqRaYKddPKy4RoGoZUOkRCgU,"['lodging', 'point_of_interest', 'establishment']",26,,https://www.google.com/maps/place/?q=place_id:ChIJqRaYKddPKy4RoGoZUOkRCgU
OPERATIONAL,"Jalan Sumpu Malalo Nagari Sumpur Jorong, sudut, Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar, Sumatera Barat 27265, Indonesia","{'location': {'lat': -0.5444261, 'lng': 100.4836724}, 'viewport': {'northeast': {'lat': -0.5430345201072778, 'lng': 100.4849497298927}, 'southwest': {'lat': -0.5457341798927223, 'lng': 100.4822500701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Singkarak Sumpur Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103552884627708857999"">Singkarak Sumpur Hotel</a>'], 'photo_reference': 'AUGGfZnJbBYbgrs7VzTA3JARktjmTiojqCFqv_7G650eKs51MgD3DsFJWySwPqXrJLc0nNyJvMZtxJmdrleKwaNSDXzskJ1JA60Q-tgPYHzCGOndTnWuSh2bWicodQlnhPzPyuOWGqtL1FkuvCXtd_ZoM7dyCu6WWRYjJLgbqAbjGo3mLd3H', 'width': 3897}]",ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M,"{'compound_code': 'FF4M+6F Sumpur, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2FF4M+6F'}",3.7,ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M,"['lodging', 'point_of_interest', 'establishment']",187,,https://www.google.com/maps/place/?q=place_id:ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M
OPERATIONAL,"Jl. Nasir Sutan Pamuncak, Ps. Pandan Air Mati, Kec. Tj. Harapan, Kota Solok, Sumatera Barat 27322, Indonesia","{'location': {'lat': -0.7885899, 'lng': 100.6672897}, 'viewport': {'northeast': {'lat': -0.7871979701072777, 'lng': 100.6687418798927}, 'southwest': {'lat': -0.789897629892722, 'lng': 100.6660422201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Solok Premiere Hotel Syariah,"[{'height': 907, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115321065754220612509"">A Google User</a>'], 'photo_reference': 'AUGGfZnoIAGnupbmccTIxdXxcdyEVU2cYouiVbHiQmv3oa45mvC7KgC8s2ysQyWoTGwFTaCkItgFTtKdtkzu81w19HN7Cxg2hTcSAopaKZ319ud6BgBz7ixDmDpF9KaYxlOEa0TQDt2ZIM4PrMnynOSPttRyD-D5R13FDQfcCc2LhfjXMFsR', 'width': 720}]",ChIJI0lncOAzKy4RgeJSbBpf63M,"{'compound_code': '6M68+HW Pasar Pandan Air Mati, Solok City, West Sumatra, Indonesia', 'global_code': '6PF26M68+HW'}",4.0,ChIJI0lncOAzKy4RgeJSbBpf63M,"['lodging', 'point_of_interest', 'establishment']",142,,https://www.google.com/maps/place/?q=place_id:ChIJI0lncOAzKy4RgeJSbBpf63M
OPERATIONAL,"Jl. Imam Bonjol, Alahanpanjang, Alahan Panjang, Kec. Lembah Gumanti, Kabupaten Solok, Sumatera Barat 27371, Indonesia","{'location': {'lat': -1.0816815, 'lng': 100.7824125}, 'viewport': {'northeast': {'lat': -1.080285720107278, 'lng': 100.7837859298927}, 'southwest': {'lat': -1.082985379892722, 'lng': 100.7810862701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Green Hill Hotel Alahanpanjang,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113056364008034278277"">A Google User</a>'], 'photo_reference': 'AUGGfZk3rvyx9NkReb-_VFHGZehEogZjl5DZtNQ5DJWTddmqCrt1Hp6pKze7_kQQzNDAt876fgX2vgkus9PqKMif6rPbhO6chP5THrf3Z3NXL0MTdnnpM6UbSIBWM6gi35ZCrnBpwCm3uycFdLWiQU4gu9HcERiHRjhfavRw3ie24DvaKuu1', 'width': 720}]",ChIJywVO-pFQKy4R2sg9J6sk6kE,"{'compound_code': 'WQ9J+8X Alahan Panjang, Solok Regency, West Sumatra, Indonesia', 'global_code': '6PC2WQ9J+8X'}",4.1,ChIJywVO-pFQKy4R2sg9J6sk6kE,"['lodging', 'point_of_interest', 'establishment']",330,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJywVO-pFQKy4R2sg9J6sk6kE
OPERATIONAL,"Jl. Danau Talang, Kp. Batu Dalam, Kec. Danau Kembar, Kabupaten Solok, Sumatera Barat, Indonesia","{'location': {'lat': -1.0164034, 'lng': 100.7128615}, 'viewport': {'northeast': {'lat': -1.014951970107278, 'lng': 100.7141103298927}, 'southwest': {'lat': -1.017651629892722, 'lng': 100.7114106701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,De Queen Villa & Resto,"[{'height': 2752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108157866608809712053"">A Google User</a>'], 'photo_reference': 'AUGGfZklq4XP5xg-7diPRP5AbGJnO_mv97UqfMDQFEdHc4y73sSXChgEKQ7wphLUMk2hYJBJCEkHdVRcKayX6LALIy2TZUnsti3dU-bgstaaababKz5p-LqhDpe7TtGyaUADpe8eBZh5ExXrP0R6OguCX5uHfNg9-0_XE5OIRY6OFKRocH22', 'width': 3021}]",ChIJRYjuT3xPKy4Rd24OZmblkyg,"{'compound_code': 'XPM7+C4 Kampung Batu Dalam, Solok Regency, West Sumatra, Indonesia', 'global_code': '6PC2XPM7+C4'}",5.0,ChIJRYjuT3xPKy4Rd24OZmblkyg,"['point_of_interest', 'establishment']",1,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJRYjuT3xPKy4Rd24OZmblkyg
OPERATIONAL,"Jorong usak, Jl. Simpang Siku-Siku, Alahan Panjang, Kec. Lembah Gumanti, Kabupaten Solok, Sumatera Barat 27371, Indonesia","{'location': {'lat': -1.0805142, 'lng': 100.7806939}, 'viewport': {'northeast': {'lat': -1.079182470107278, 'lng': 100.7819874798927}, 'southwest': {'lat': -1.081882129892722, 'lng': 100.7792878201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,D' Siku-Siku Homestay,"[{'height': 963, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107401202963168634684"">A Google User</a>'], 'photo_reference': 'AUGGfZlQEhHdGyT9nzQVTRbNuc2VE88V9GXhGEgcBmNLnCl5qrW-p5w31jO-36bFvMNNnLnctaCDO2CBco9FwhrAkQf9UZGesqBySVOr1M0ZWZe0aVI6fyjzpjMrFVxZd8A1mqxuL07HZgGaTc4tEjwzKlrJQsF7jlQJgM8L06c-NPjEGNp4', 'width': 1280}]",ChIJsaUt1LJRKy4R2AAMxRy1bHc,"{'compound_code': 'WQ9J+Q7 Alahan Panjang, Solok Regency, West Sumatra, Indonesia', 'global_code': '6PC2WQ9J+Q7'}",4.6,ChIJsaUt1LJRKy4R2AAMxRy1bHc,"['lodging', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJsaUt1LJRKy4R2AAMxRy1bHc
OPERATIONAL,"Tikalak, X Koto Singkarak, Solok Regency, West Sumatra 27356, Indonesia","{'location': {'lat': -0.6575556000000001, 'lng': 100.5900039}, 'viewport': {'northeast': {'lat': -0.6562154701072778, 'lng': 100.5914402298927}, 'southwest': {'lat': -0.6589151298927223, 'lng': 100.5887405701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Palapa Prima,"[{'height': 2184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100726806738830536264"">A Google User</a>'], 'photo_reference': 'AUGGfZl-wsNuon0ghRG1dOFeCu9XJOiSqRvO8e4MGWrIVNlUrFJ-6af66nsIF1kjeDQrE-DsuEXTupziNTpptXVh9do9eDFKuuqP0FydgFjMbXsnedHrDYch1dUeir0FGr_dC7-mWWHhd8q03NzOzV7mtiwcxV_lK72yuoxyv8XG-KDJhxC5', 'width': 4608}]",ChIJdUwUQJrU1C8RwaQUj0WyF_8,"{'compound_code': '8HRR+X2 Tikalak, Solok Regency, West Sumatra, Indonesia', 'global_code': '6PF28HRR+X2'}",3.8,ChIJdUwUQJrU1C8RwaQUj0WyF_8,"['lodging', 'point_of_interest', 'establishment']",177,,https://www.google.com/maps/place/?q=place_id:ChIJdUwUQJrU1C8RwaQUj0WyF_8
OPERATIONAL,"Jl. H. Yahya Usman, Santur, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27423, Indonesia","{'location': {'lat': -0.647956, 'lng': 100.750495}, 'viewport': {'northeast': {'lat': -0.6466018701072778, 'lng': 100.7518134298927}, 'southwest': {'lat': -0.6493015298927223, 'lng': 100.7491137701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Roemah Amak Residence,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102195240334952793153"">A Google User</a>'], 'photo_reference': 'AUGGfZm1LCKbjzzpAJoVI6z8g-kReyHqdbLjXRfP1LLWtRCUses1DKjD7EcN9tpT75No6_e24DPmH0N5AVYDNbmp--IdJ67IdGnZaskqZ3wD_lCdryCsjEi3GBSz6dvbQhoBdw3I3ukklnNC0xI4MaDpRXync0mfzMQTiVGMTRA37RQRN2a6', 'width': 4000}]",ChIJOfjfiugpKy4RUNBu-drzAnE,"{'compound_code': '9Q22+R5 Santur, Sawahlunto, West Sumatra, Indonesia', 'global_code': '6PF29Q22+R5'}",4.9,ChIJOfjfiugpKy4RUNBu-drzAnE,"['lodging', 'point_of_interest', 'establishment']",8,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJOfjfiugpKy4RUNBu-drzAnE
