business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"GC29+WQR, Jl. Kerangka Baja No.12, Brang Bara, Kec. Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Bar. 84316, Indonesia","{'location': {'lat': -8.4981847, 'lng': 117.4173077}, 'viewport': {'northeast': {'lat': -8.496937720107276, 'lng': 117.4186929298928}, 'southwest': {'lat': -8.49963737989272, 'lng': 117.4159932701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sumbawa Grand Hotel,{'open_now': True},"[{'height': 1058, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114675753844488829651"">A Google User</a>'], 'photo_reference': 'AUGGfZl_nU2Dp4jCUW6j8Xq9p1gw4r1xW_PpO4WPnaVvT_lpOa5v0Y7HLxUeo7fX8Wpwq9K9CBgXDOht7mCntzuPoam50dOrIRPf9T4ZxRP8FuzMaxHW_2-vbX-yKT83WreW7y4AAGPjgpkLVRcG3q-pn1F-kLgYNz99hDUWPgXLcJAq3K8Y', 'width': 1600}]",ChIJzdHQZAeTyy0RKTqpYQInkho,4.6,ChIJzdHQZAeTyy0RKTqpYQInkho,"['lodging', 'point_of_interest', 'establishment']",465,,,https://www.google.com/maps/place/?q=place_id:ChIJzdHQZAeTyy0RKTqpYQInkho
OPERATIONAL,"Lakey Peak, JL. Raya Nangadoro Lakey Dompu Sumbawa Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.8021043, 'lng': 118.3828919}, 'viewport': {'northeast': {'lat': -8.80073352010728, 'lng': 118.3842257798927}, 'southwest': {'lat': -8.803433179892723, 'lng': 118.3815261201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Aman Gati Hotel & Resort Lakey Peak Sumbawa Indonesia,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108669251962597193438"">A Google User</a>'], 'photo_reference': 'AUGGfZnRZJfYzIe4eCIH4Xs3pIcy8ffA98xK9MEiBI1d3WS-7GpEHfiuCgE6kdS6q21ooqSusM49NA2KJuxZlH4csw1TpWNglEkr7x17EQQcH2H3TlSQNrwRimBxVgkFNA2J0Lfl9qGrj4zcgy_nT-NkWe4i4mt6omGq5Se8cWowvanZ2GHE', 'width': 640}]",ChIJu-x1eRCMyi0RCyM8yldnKJk,3.9,ChIJu-x1eRCMyi0RCyM8yldnKJk,"['lodging', 'point_of_interest', 'establishment']",329,"{'compound_code': '59XM+55 Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W59XM+55'}",,https://www.google.com/maps/place/?q=place_id:ChIJu-x1eRCMyi0RCyM8yldnKJk
OPERATIONAL,"Jl. Lintas Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.8041325, 'lng': 118.3828599}, 'viewport': {'northeast': {'lat': -8.802796920107276, 'lng': 118.3841626298928}, 'southwest': {'lat': -8.80549657989272, 'lng': 118.3814629701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Peak Surf House,,"[{'height': 6567, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112042983660793426479"">A Google User</a>'], 'photo_reference': 'AUGGfZl80lgNctbfOuJgARFUg0YAlx_ZtnThfTi5l29ihcBgDdN3He_cZrhBmdJqunisdNqcmWEDWY0nJyz26fOkAuDhsHtCBao-ZLZciDexCarcmjnMhc08Mul_Mr3x7gnmHmnAvEFhAC8ov0Kwa6c6MvID1SiT3TGPswljWrY8eefp-jAl', 'width': 5760}]",ChIJmciPXUCLyi0RflGu3Zg7ZTQ,4.8,ChIJmciPXUCLyi0RflGu3Zg7ZTQ,"['lodging', 'point_of_interest', 'establishment']",19,"{'compound_code': '59WM+84 Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W59WM+84'}",,https://www.google.com/maps/place/?q=place_id:ChIJmciPXUCLyi0RflGu3Zg7ZTQ
OPERATIONAL,"Jalan Nangadoro, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.8474566, 'lng': 118.3922321}, 'viewport': {'northeast': {'lat': -8.845941720107279, 'lng': 118.3936877298927}, 'southwest': {'lat': -8.848641379892722, 'lng': 118.3909880701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Tree House Sumbawa,{'open_now': True},"[{'height': 1540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103645888108468858075"">A Google User</a>'], 'photo_reference': 'AUGGfZkp0n_pGB4em_UcJ2IvhnhtK4b-KxOo7Xgdnml4nTihnHTlr0GWv4Lr82uIN6fIfvpQuMV8bA3C7nPVu__JCFd_zcszOY8X5lxpRpHgRy-7msz6prYo3-gZjnRUNgmEP2dchCVnVyOmv05CfbRiRBtABr4Ho6EHDKlaW8CEdAdWqVyu', 'width': 2736}]",ChIJzXtxjPqLyi0RanmVPPx7ccg,3.9,ChIJzXtxjPqLyi0RanmVPPx7ccg,"['lodging', 'point_of_interest', 'establishment']",108,"{'compound_code': '593R+2V Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W593R+2V'}",,https://www.google.com/maps/place/?q=place_id:ChIJzXtxjPqLyi0RanmVPPx7ccg
OPERATIONAL,"3 Waves Bar and Restaurant Lakey Peak Sumbawa,, Huu, Hu'u, Dompu Regency, West Nusa Tenggara 84271, Indonesia","{'location': {'lat': -8.8009498, 'lng': 118.3821366}, 'viewport': {'northeast': {'lat': -8.799628620107278, 'lng': 118.3833788798927}, 'southwest': {'lat': -8.802328279892722, 'lng': 118.3806792201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"3 Waves Hotel, Bar and Restaurant",{'open_now': True},"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115071440717586133672"">A Google User</a>'], 'photo_reference': 'AUGGfZng3w8ITAmNLHEILFodyav3r_u3pJ8UsSQvqA1fYlNL0oeCgNU_GFVRXJhSsDCkmiHFR8ct_gZJLUMkhNGidH40KYqp4447fN40aB5-q5v4EljY5gUsibLb5cb15AMgRGyClxPXcf9sj79MB_AoQz76RBxGxHOHMdC52p1bwZJV0yEQ', 'width': 720}]",ChIJEcVwrvqLyi0RW1I4FbUIhSY,4.6,ChIJEcVwrvqLyi0RW1I4FbUIhSY,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",74,"{'compound_code': '59XJ+JV Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W59XJ+JV'}",,https://www.google.com/maps/place/?q=place_id:ChIJEcVwrvqLyi0RW1I4FbUIhSY
OPERATIONAL,"Jalan raya hu'u nangadoro Lakey, Huu, dompu, Dompu, kabupaten Dompu, Nusa Tenggara, Barat, 84271, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.8123793, 'lng': 118.383093}, 'viewport': {'northeast': {'lat': -8.810868320107279, 'lng': 118.3842642798927}, 'southwest': {'lat': -8.813567979892722, 'lng': 118.3815646201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lakey Peak Haven,{'open_now': True},"[{'height': 761, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112337999728443498890"">A Google User</a>'], 'photo_reference': 'AUGGfZmSbCsWkmCq6M9c3BP0Xrn7XPLIVMiFZsqJNhpLP_dseo9AG9twZy2KEgpNB0vQtIigC2Sq9bOjp0uRSz_MMl4tGrUV3yJXX0hwuew9S360nk_9CiJADxFgRSbhfiR3y586OxsnUSW37_6JP0ISz7X6faGVdUMdrsQOiwSNpBzuWkFE', 'width': 1080}]",ChIJoWNgqgeMyi0RsbLjO7_Bcqw,4.6,ChIJoWNgqgeMyi0RsbLjO7_Bcqw,"['lodging', 'point_of_interest', 'establishment']",35,"{'compound_code': '59QM+26 Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W59QM+26'}",,https://www.google.com/maps/place/?q=place_id:ChIJoWNgqgeMyi0RsbLjO7_Bcqw
OPERATIONAL,"Jalan Pantai Nunggas Lakey, Huu, Hu'u, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.7961235, 'lng': 118.3802259}, 'viewport': {'northeast': {'lat': -8.794753870107279, 'lng': 118.3815753298928}, 'southwest': {'lat': -8.797453529892723, 'lng': 118.3788756701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rock Pool Home Stay,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103447293841188977615"">Rhea Moore</a>'], 'photo_reference': 'AUGGfZmDM9YDkpOI6xF_TTIVYIfgkNBK1rTr-lO6wuNKpsZzM64-yfBtPVcOLAinAaQWg3FsBPXCqBOu6zs2ZY6mQoJgW1fImDZw4pB5jri37cWKJcOE5ogkpmUywqfsqWboW5skN9LAN_28WaamDZjWUfBZRMAiYa3eMxhhdk1IOt_7ijEi', 'width': 4032}]",ChIJtRr9T--Lyi0RtsiZ8eYAF58,4.4,ChIJtRr9T--Lyi0RtsiZ8eYAF58,"['lodging', 'point_of_interest', 'establishment']",60,"{'compound_code': '693J+H3 Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W693J+H3'}",,https://www.google.com/maps/place/?q=place_id:ChIJtRr9T--Lyi0RtsiZ8eYAF58
OPERATIONAL,"Happy home, Jl. Lintas Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.7899373, 'lng': 118.3893825}, 'viewport': {'northeast': {'lat': -8.788271870107277, 'lng': 118.3901444298927}, 'southwest': {'lat': -8.79097152989272, 'lng': 118.3874447701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sumbawa happy home (garden city),,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116884774519928423931"">A Google User</a>'], 'photo_reference': 'AUGGfZlaTppJhMW9GDT9ZqGV4SH0jhibhaIq73Hb2vNovLwrMvHTsojGX0rEp_5mXxxiFX4hrOzTpJpoxDberqEe_BvcfLm0odRwLkRWfHkK6lYGxAsbcl0DUWAPWFsu3c_j_XwJ6itkeLLQI3Is74Cb2C9S7JuqQYsXajkwvfVzh-ZaprhR', 'width': 4000}]",ChIJmdkpfH6Lyi0RhJqxDnNAE2g,4.9,ChIJmdkpfH6Lyi0RhJqxDnNAE2g,"['lodging', 'point_of_interest', 'establishment']",20,"{'compound_code': '696Q+2Q Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W696Q+2Q'}",,https://www.google.com/maps/place/?q=place_id:ChIJmdkpfH6Lyi0RhJqxDnNAE2g
OPERATIONAL,"Jl. Lintas Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.8050296, 'lng': 118.3832488}, 'viewport': {'northeast': {'lat': -8.803715020107278, 'lng': 118.3845006798927}, 'southwest': {'lat': -8.806414679892722, 'lng': 118.3818010201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MERPATI INN HOTEL,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113709197573159974965"">A Google User</a>'], 'photo_reference': 'AUGGfZmt6kyAmi4dy4A_hdD-8xuiJoEfAYjZ4r8Bh-KbpxmddHBHs0HQZwJEarXTT3OHQbnIvFUpFZLdjD921p2W6IrCDanchy3nu0yJtBoAgA_9np5DZ9tHJ0OwCM19ftuO76z5oM1hzUs8uD_R3FQg6moblmiThUinid6NvYHtzhrWJuLl', 'width': 4032}]",ChIJmVEqULaLyi0RqdaoylKzaCk,4.0,ChIJmVEqULaLyi0RqdaoylKzaCk,"['lodging', 'point_of_interest', 'establishment']",8,"{'compound_code': '59WM+27 Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W59WM+27'}",,https://www.google.com/maps/place/?q=place_id:ChIJmVEqULaLyi0RqdaoylKzaCk
OPERATIONAL,"Jl. Pantay Nangas Lakey, Huu, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.7947808, 'lng': 118.3808148}, 'viewport': {'northeast': {'lat': -8.793426720107277, 'lng': 118.3821002798927}, 'southwest': {'lat': -8.796126379892721, 'lng': 118.3794006201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lakey Peak B&B,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100733191595400060981"">A Google User</a>'], 'photo_reference': 'AUGGfZknqwz1YkEpkfCye4w-4h9iVaLQgs7l-R0WMkcoXQxMmuM_5z8NMvTbpKvJWgM8564SV9H2RxEaNPZaYm_ZprLp50-NvQWMhUM7B8n0rd0mur8EZairgBeMpeD-1AEjNzCB_W4c4iL09OUhYJCMOls6fSkoSddtT2Q2a935z692WooB', 'width': 4032}]",ChIJTZe_1kKLyi0R8bRSo7h-od0,4.7,ChIJTZe_1kKLyi0R8bRSo7h-od0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",26,"{'compound_code': '694J+38 Huu, Dompu Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3W694J+38'}",,https://www.google.com/maps/place/?q=place_id:ChIJTZe_1kKLyi0R8bRSo7h-od0
