business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Buntu Tangti, Mengkendek, Tana Toraja Regency, South Sulawesi 91871, Indonesia","{'location': {'lat': -3.1773029, 'lng': 119.8799345}, 'viewport': {'northeast': {'lat': -3.175991170107278, 'lng': 119.8811993798927}, 'southwest': {'lat': -3.178690829892723, 'lng': 119.8784997201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sahid Toraja,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112401388071649697704"">Bun Marannu Eppang</a>'], 'photo_reference': 'AUGGfZmJNxze9LuPRP9kt__Kf3Z8HbOfSRCFq89rOPhsAUFtezjrX1sg7hFA0omOz04B89Tn65WHk7nzX--w5KtMBg-xK07_JgFY9gXGg61dvZpnLj9vX-6zeCsfWbbjOdnB27WY_IG5esfSyBdrjLlyOAB1MAh-nlafmCFSmQlXPYGsXAp6', 'width': 3000}]",ChIJt27-iTvyky0Rw16z-oVD4io,"{'compound_code': 'RVFH+3X Buntu Tangti, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XRVFH+3X'}",4.2,ChIJt27-iTvyky0Rw16z-oVD4io,"['lodging', 'point_of_interest', 'establishment']",520,,https://www.google.com/maps/place/?q=place_id:ChIJt27-iTvyky0Rw16z-oVD4io
OPERATIONAL,"Jl. Ua' Saruran, Bombongan, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia","{'location': {'lat': -3.1015919, 'lng': 119.8514196}, 'viewport': {'northeast': {'lat': -3.100177170107278, 'lng': 119.8526820298927}, 'southwest': {'lat': -3.102876829892722, 'lng': 119.8499823701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Villa manggasa,"[{'height': 2137, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109059171441408550493"">A Google User</a>'], 'photo_reference': 'AUGGfZkQpbFb8XGhVOIH09oEG9k-oLK32UN1Jq3T26q1xHbIPYqIxuiqx8jY6yc-_W7DreA0_RSmgiqry-yf49OBsQYwWVd6OJ8YXC1luI9hhmkqmAeDk_3_TeM-OJzh_dr1n6QEtYj51-tDltiN8VJ2mvwqGxuO4VU53m1jInUpztqN-thX', 'width': 3798}]",ChIJp1jyRD3tky0RL5Vl4Uy9Pt0,"{'compound_code': 'VVX2+9H Bombongan, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XVVX2+9H'}",4.3,ChIJp1jyRD3tky0RL5Vl4Uy9Pt0,"['lodging', 'point_of_interest', 'establishment']",276,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJp1jyRD3tky0RL5Vl4Uy9Pt0
OPERATIONAL,"Jl. Pongtiku No.116, Tondon Mamullu, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia","{'location': {'lat': -3.087492, 'lng': 119.8563375}, 'viewport': {'northeast': {'lat': -3.086169270107277, 'lng': 119.8577169798928}, 'southwest': {'lat': -3.088868929892722, 'lng': 119.8550173201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pantan Toraja Hotel,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102750697295768940585"">A Google User</a>'], 'photo_reference': 'AUGGfZlWOn10cPPGa5n97higqIxcj5tkxgpaQcR2e3xfU_G_lEusRYxo0nqnhUJGZSf_2QLWGTeFBeFGegsapW-M34184Gr7sl2Lhm4LyZZ9ykOkoYj192b1vG_557eg2jxl4IN8aQFq-CcLmRxDRxBj0r21AQedhdQaadm_iU_iLIC3fcfu', 'width': 3468}]",ChIJRW0jcYvtky0RWjjn-N3cJXs,"{'compound_code': 'WV64+XH Tondon Mamullu, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XWV64+XH'}",3.9,ChIJRW0jcYvtky0RWjjn-N3cJXs,"['lodging', 'point_of_interest', 'establishment']",293,,https://www.google.com/maps/place/?q=place_id:ChIJRW0jcYvtky0RWjjn-N3cJXs
OPERATIONAL,"Depan Gereja Tiberias, Jl. Poros Makale Rantepao No.42 (Depan Alfamidi, Jl. Pongtiku, Pantan, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91811, Indonesia","{'location': {'lat': -3.0922374, 'lng': 119.8554781}, 'viewport': {'northeast': {'lat': -3.090880470107277, 'lng': 119.8566382298927}, 'southwest': {'lat': -3.093580129892722, 'lng': 119.8539385701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"GRHA RAF CLINIC,HOMESTAY & BALLROOM","[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102283298276497482792"">A Google User</a>'], 'photo_reference': 'AUGGfZkDPzwRNqreAQds-lQpJOIB4dgRFZuntrCJ0_eROaPgIgY2jZaAgoiKcQKYFx2B3dUWX9kVIDPAdlQxm7pYE85YpvrE1vcPk2nHuPqtvzihi0DuPnRcaiQRNJ2ks4rUl2QQ3Emg3PZ_h82KKhJ8qMPH6MWEBUdQGTcKOrx-4QGnHoEk', 'width': 1200}]",ChIJL1EuvwHtky0RxG7leXWPS4o,"{'compound_code': 'WV54+45 Pantan, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XWV54+45'}",5.0,ChIJL1EuvwHtky0RxG7leXWPS4o,"['lodging', 'point_of_interest', 'establishment']",2,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJL1EuvwHtky0RxG7leXWPS4o
OPERATIONAL,"Jl. Pongtiku, Lemo, Kec. Makale Utara, Kabupaten Tana Toraja, Sulawesi Selatan 91862, Indonesia","{'location': {'lat': -3.043578, 'lng': 119.8709028}, 'viewport': {'northeast': {'lat': -3.042249670107277, 'lng': 119.8723053298927}, 'southwest': {'lat': -3.044949329892722, 'lng': 119.8696056701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Gosyen Efata Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107007761123817809263"">A Google User</a>'], 'photo_reference': 'AUGGfZnGhlBcZ_zZ8aaIvGUkw0mABE8Fzbv5lYY-UFoAgocvB3CH4CC18xC7o9OQy9zQgrjq1EtQokE2lycb5jMfBNEr2FGpesssNPP9KP6FrgUamlKjGaFK3BaTRRQK1ku70M7YFoFtGyFfNS6KA0HWWiaLTiv8Gqs3rZKZvTaPeq4HIi4Z', 'width': 4000}]",ChIJRSnlwnztky0RnySSPuPJOF0,"{'compound_code': 'XV4C+H9 Lemo, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XXV4C+H9'}",4.5,ChIJRSnlwnztky0RnySSPuPJOF0,"['lodging', 'point_of_interest', 'establishment']",62,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJRSnlwnztky0RnySSPuPJOF0
OPERATIONAL,"Jl. Poros Makale Makassar, Tondon Mamullu, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia","{'location': {'lat': -3.1127805, 'lng': 119.8546992}, 'viewport': {'northeast': {'lat': -3.111460520107278, 'lng': 119.8560642798927}, 'southwest': {'lat': -3.114160179892723, 'lng': 119.8533646201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz @ Makale Tana Toraja,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111311595764420358024"">A Google User</a>'], 'photo_reference': 'AUGGfZl0rZRzvC-JymRlhc2n0Wo6yRNJtUDtPIAScYxkOmJGYVJUgpGfwCcdzP07edGdPWXoSM3PWy5Zb5vdhpXfns1pp3czjOXZAltForJVDgGKXiIWJvczpd2js203w7VXNNLwW-fA-QtxD_BWU47E7DKsmbiVHNKFR1DjBzZYR-oohp4b', 'width': 900}]",ChIJx_ThqEbzky0R-TS8IBthr3c,"{'compound_code': 'VVP3+VV Tondon Mamullu, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XVVP3+VV'}",3.5,ChIJx_ThqEbzky0R-TS8IBthr3c,"['lodging', 'point_of_interest', 'establishment']",83,,https://www.google.com/maps/place/?q=place_id:ChIJx_ThqEbzky0R-TS8IBthr3c
OPERATIONAL,"Jl. Pongtiku No.114, Pantan, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91811, Indonesia","{'location': {'lat': -3.0882489, 'lng': 119.8557893}, 'viewport': {'northeast': {'lat': -3.086899720107277, 'lng': 119.8570397298928}, 'southwest': {'lat': -3.089599379892722, 'lng': 119.8543400701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Puri Artha,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103243770090695824652"">A Google User</a>'], 'photo_reference': 'AUGGfZnutMCKQyZnT2ORPd9XmFnxxZecRAMuwDGaIdPKn3mSBpGtwY_yIFfNrIE4pS7qk6VTxa5htv_TrsUaq_aHfkpSLjh4bmuVkgHWbPIiOp9d2XhPoO8iBoqdhe25uErTAxlLcYDx2-_I_EbHXBYBclLigSEsr71_pFDQdlYZpQRheU4f', 'width': 3000}]",ChIJyZW61Tzsky0RdXN3qKPcHK8,"{'compound_code': 'WV64+M8 Pantan, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XWV64+M8'}",3.8,ChIJyZW61Tzsky0RdXN3qKPcHK8,"['lodging', 'point_of_interest', 'establishment']",290,,https://www.google.com/maps/place/?q=place_id:ChIJyZW61Tzsky0RdXN3qKPcHK8
OPERATIONAL,"Jl. Sa'dan No.21B, Tampo Tallunglipu, Tallunglipu, Tana Toraja Regency, South Sulawesi 91832, Indonesia","{'location': {'lat': -2.9636705, 'lng': 119.9032419}, 'viewport': {'northeast': {'lat': -2.962356120107278, 'lng': 119.9046105798927}, 'southwest': {'lat': -2.965055779892722, 'lng': 119.9019109201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Madarana,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107922459615434247224"">A Google User</a>'], 'photo_reference': 'AUGGfZlp1Ipcho6jFJz1pYMgqBzYCpUK0Y9hfotTr_z_5Ng5lAa3HGAd44dVghOhSm9uc1wSN4IONiwPmgKuE5NoV9K6rpjkoXPSIyilAZ3rvis-gIiRYOFoVAFG0fu84QxjeTzm2TKnbSuOTSNQQaZ4jI-Ri0vomwk-REP5dEPwPx6TgvM7', 'width': 1024}]",ChIJ-frH0Ivtky0ROcenF_Z7aS8,"{'compound_code': '2WP3+G7 Tampo Tallunglipu, North Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P9X2WP3+G7'}",4.1,ChIJ-frH0Ivtky0ROcenF_Z7aS8,"['lodging', 'point_of_interest', 'establishment']",107,,https://www.google.com/maps/place/?q=place_id:ChIJ-frH0Ivtky0ROcenF_Z7aS8
OPERATIONAL,"2VQX+7PP, Tampo Tallunglipu, Tallunglipu, North Toraja Regency, South Sulawesi 91833, Indonesia","{'location': {'lat': -2.9617904, 'lng': 119.8993192}, 'viewport': {'northeast': {'lat': -2.960512870107278, 'lng': 119.9006057798927}, 'southwest': {'lat': -2.963212529892723, 'lng': 119.8979061201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Toraja Lodge Hotel,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114232686275887831125"">Patrice Lecoq</a>'], 'photo_reference': 'AUGGfZm4R9sDTR6HIvVbF6XsyJmpJBb3UVYzZsO_Tcs8_zuhJT4hvXQtL3z5HtJLuvKk_fT1eJGRDL__fG2E7Q3NyMAL3J2Pq-DCuFukKEJM3Q1z_DOUc9R-GTOgBFjb3GfoZAJq2RBPqAm-rBiT1wHVsis_8HofGqqIB_HcPyi444-fU9H-', 'width': 4032}]",ChIJmyWbAhfDky0R-a9-MLaDjNI,,4.5,ChIJmyWbAhfDky0R-a9-MLaDjNI,"['lodging', 'point_of_interest', 'establishment']",143,,https://www.google.com/maps/place/?q=place_id:ChIJmyWbAhfDky0R-a9-MLaDjNI
OPERATIONAL,"Jl. Poros Rantepao - Makale, Sarira, Kec. Makale Utara, Kabupaten Tana Toraja, Sulawesi Selatan 91862, Indonesia","{'location': {'lat': -3.0437366, 'lng': 119.8708461}, 'viewport': {'northeast': {'lat': -3.042404520107278, 'lng': 119.8722451798927}, 'southwest': {'lat': -3.045104179892722, 'lng': 119.8695455201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Lemo Toraja,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106509815339087187138"">A Google User</a>'], 'photo_reference': 'AUGGfZkquWLiTyJl9Tye1ozLB2XiFUHDbn3FfFPECx71dBJU1B3LiV6PzZjU_KpRKpTrJ2N-QCAOl4JhcvQYuzRxWtCPo1Qp9qr1uH26ijfZHrhADVHE-DLk9ok2jyruk-FA979ViI6U5pAha8hUGN2Afy3vdDKaccxerpRRVeg-7JBxB8GW', 'width': 900}]",ChIJR10eHdPtky0RfZdV4quuafE,"{'compound_code': 'XV4C+G8 Sarira, Tana Toraja Regency, South Sulawesi, Indonesia', 'global_code': '6P8XXV4C+G8'}",4.7,ChIJR10eHdPtky0RfZdV4quuafE,"['lodging', 'point_of_interest', 'establishment']",61,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJR10eHdPtky0RfZdV4quuafE
