business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Hamka No.41Jorong Parak Juar, Jl. Hamka No.60, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211, Indonesia","{'location': {'lat': -0.4525003999999999, 'lng': 100.5909343}, 'viewport': {'northeast': {'lat': -0.4511086701072777, 'lng': 100.5923212298927}, 'southwest': {'lat': -0.4538083298927222, 'lng': 100.5896215701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Emersia Hotel & Resort Batusangkar,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114688898651702780984"">A Google User</a>'], 'photo_reference': 'AUGGfZmtR2VrKaj3NBfkm6eDtoIhGmZlKeCaQxbkiokDPuoDYRBqg6bHK8Hcti0HsrydXgiMUyQ40Fm7zmdNRMkTQBAWLE_0WyKs-QvWiD64OGtK2j_-_9_WyhyJTE6CjF5atoAoSxfe-JOEKMnGAONSLOEHdV2NrMo4DX8305m8roLLdFc8', 'width': 6000}]",ChIJ66KB_2Ut1S8RkKdYrE4RaRE,"{'compound_code': 'GHWR+X9 Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHWR+X9'}",4.6,ChIJ66KB_2Ut1S8RkKdYrE4RaRE,"['lodging', 'point_of_interest', 'establishment']",2667,https://www.google.com/maps/place/?q=place_id:ChIJ66KB_2Ut1S8RkKdYrE4RaRE
OPERATIONAL,"Jl. Sungayang No.30, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211, Indonesia","{'location': {'lat': -0.4503161, 'lng': 100.5934753}, 'viewport': {'northeast': {'lat': -0.4489671201072777, 'lng': 100.5948115798927}, 'southwest': {'lat': -0.4516667798927221, 'lng': 100.5921119201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,EmerOne Hotel,{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115474889783637907492"">A Google User</a>'], 'photo_reference': 'AUGGfZlaFxXKlTOJ6yVIymholpXM6KDybQTr9cSmzcSHSo46ZJNNLi-LXHDfuN7jrP1xh2uOI9UdgTliZZwJnFuUz4g7O5ZMOnbaLe6CBw7g6hj_dMLJK7VIpv5EZy3yW2JyVBR_hWnPyykdMKD7PjEVPiRHLt4Et06WsDzKbWFn17hSWJWs', 'width': 1200}]",ChIJZ54JrGIt1S8RK1S4HyU-wlk,"{'compound_code': 'GHXV+V9 Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHXV+V9'}",4.0,ChIJZ54JrGIt1S8RK1S4HyU-wlk,"['lodging', 'point_of_interest', 'establishment']",239,https://www.google.com/maps/place/?q=place_id:ChIJZ54JrGIt1S8RK1S4HyU-wlk
OPERATIONAL,"Jalan Sumpu Malalo Nagari Sumpur Jorong, sudut, Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar, Sumatera Barat 27265, Indonesia","{'location': {'lat': -0.5444261, 'lng': 100.4836724}, 'viewport': {'northeast': {'lat': -0.5430345201072778, 'lng': 100.4849497298927}, 'southwest': {'lat': -0.5457341798927223, 'lng': 100.4822500701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Singkarak Sumpur Hotel,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103552884627708857999"">Singkarak Sumpur Hotel</a>'], 'photo_reference': 'AUGGfZmItUVyeI5wwLRIOQvwr6dShc0fSaZbE2P18lMttLTwxZSYP4u6kFSX_jxJsMu7mR_Oxzno4d7Z3uZs7TPjpQgPbFJ6h-wROPT4wxUxoTQ3JYLhT0pB94VaPrCY_O1uiRCMCJP6HdceE08cwcsA4tU8579NltRA4v6Uqz9R8JqzGihb', 'width': 3897}]",ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M,"{'compound_code': 'FF4M+6F Sumpur, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2FF4M+6F'}",3.7,ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M,"['lodging', 'point_of_interest', 'establishment']",187,https://www.google.com/maps/place/?q=place_id:ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M
OPERATIONAL,"Jl. Hamka No.4, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211, Indonesia","{'location': {'lat': -0.452505, 'lng': 100.593174}, 'viewport': {'northeast': {'lat': -0.4512128201072778, 'lng': 100.5944859298927}, 'southwest': {'lat': -0.4539124798927222, 'lng': 100.5917862701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pagaruyung Hotel,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114643259750256920452"">A Google User</a>'], 'photo_reference': 'AUGGfZmiUTbCInibSPFSWDcqOYohGhO0qOyEFbfOZq30iI2CfRE5ey3DvrEJ1tOy7cFv6dulfMCIqeELf-I6uQ3tpusjiv6iKq2YUvYPuLcWObh1_hFAob75K2jyD1tKRuYmfubCW9pREOeDg7jkKV5y_traEc3hskt3u-Sl3_JApEVQYemN', 'width': 4288}]",ChIJU7eA_WUt1S8R6oeUvHBBKOQ,"{'compound_code': 'GHXV+27 Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHXV+27'}",3.8,ChIJU7eA_WUt1S8R6oeUvHBBKOQ,"['lodging', 'point_of_interest', 'establishment']",348,https://www.google.com/maps/place/?q=place_id:ChIJU7eA_WUt1S8R6oeUvHBBKOQ
OPERATIONAL,"Nagari, Jl. Raya Padang Panjang - Bukittinggi No.Km 6, Aie Angek, Sepuluh Koto, Tanah Datar Regency, West Sumatra 27151, Indonesia","{'location': {'lat': -0.4132797, 'lng': 100.4068032}, 'viewport': {'northeast': {'lat': -0.4119421701072777, 'lng': 100.4082172798927}, 'southwest': {'lat': -0.4146418298927222, 'lng': 100.4055176201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Aie Angek Cottage,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107142527755619109224"">A Google User</a>'], 'photo_reference': 'AUGGfZlsL3XiFWPOXoM2hAxHnoBbkzc31vJ2MenBmPPrYDPsegxFcB_Jxd2qNMZitvP6fMjZLc5qX7IdUBHVGwiJbWYK-sjYU5_eDRwW8VH8FGQp7keazT81wyvePTQBzbri3qiqKJyvvI2hrvVIdDVj4hEAkCaIFrlYTRkJgiWiTT8pj7Ne', 'width': 4128}]",ChIJubC0nvo61S8RbI20ebYS8cg,"{'compound_code': 'HCP4+MP Aie Angek, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2HCP4+MP'}",4.4,ChIJubC0nvo61S8RbI20ebYS8cg,"['lodging', 'point_of_interest', 'establishment']",897,https://www.google.com/maps/place/?q=place_id:ChIJubC0nvo61S8RbI20ebYS8cg
OPERATIONAL,"Jl. Binuang, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat, Indonesia","{'location': {'lat': -0.3071891, 'lng': 100.3615229}, 'viewport': {'northeast': {'lat': -0.3058170701072778, 'lng': 100.3628651798927}, 'southwest': {'lat': -0.3085167298927222, 'lng': 100.3601655201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Padi Ecolodge,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108120020179869001299"">aq taphaar</a>'], 'photo_reference': 'AUGGfZmgpSYWxHsGNDMrIwBgzZQk0QoUgEVnzFfl1L7bpDO1sWbPC1i-zgJU3zQlwT-uf7yj0Vo2uOLgFt9Yfqoz7mDQzE3ezy5XoWIDrtycMXHcbM9SnUSUos7kLwxl8Pkpqecv8xbWt7TA9lEAF6-GEtImoXsyPejAfR57HtcmTbaPuyXz', 'width': 3024}]",ChIJ2VimXgc51S8RoMm62RMdAuE,"{'compound_code': 'M9V6+4J Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9V6+4J'}",4.6,ChIJ2VimXgc51S8RoMm62RMdAuE,"['lodging', 'point_of_interest', 'establishment']",50,https://www.google.com/maps/place/?q=place_id:ChIJ2VimXgc51S8RoMm62RMdAuE
OPERATIONAL,"Jalan Mesjid Raya Jorong Tiga Tumpuk No.87, Limo Kaum, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27214, Indonesia","{'location': {'lat': -0.465029, 'lng': 100.5662184}, 'viewport': {'northeast': {'lat': -0.4635615201072777, 'lng': 100.5676163798927}, 'southwest': {'lat': -0.4662611798927222, 'lng': 100.5649167201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Ratna Juwita - Batusangkar,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116672575559850755296"">A Google User</a>'], 'photo_reference': 'AUGGfZnDVkFJyXiBoWiziPjTYf7RIz2LrMyUv4y779fyBxBE4bLJLIwCxf_yhOPuJ0dqXic90ehFrCWJ_2WcpYX5a8pNm9fwu1yuA1NtyVg4I2CRQJyyMW5Nf4nrbe_FGb5ESM08lojVYRvxx0Lccj-RkWPTv-tk-g0tbt92d5P8-UnOvaPp', 'width': 1600}]",ChIJGZb0nKMt1S8RF-0f8fcUynE,"{'compound_code': 'GHM8+XF Limo Kaum, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHM8+XF'}",4.7,ChIJGZb0nKMt1S8RF-0f8fcUynE,"['lodging', 'point_of_interest', 'establishment']",114,https://www.google.com/maps/place/?q=place_id:ChIJGZb0nKMt1S8RF-0f8fcUynE
OPERATIONAL,"HF2P+X6, Pariangan, Tanah Datar Regency, West Sumatra 27264, Indonesia","{'location': {'lat': -0.4474456, 'lng': 100.4856838}, 'viewport': {'northeast': {'lat': -0.4460670201072778, 'lng': 100.4870229798927}, 'southwest': {'lat': -0.4487666798927222, 'lng': 100.4843233201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Umega MD,,"[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104550049900475223305"">2005yaaas</a>'], 'photo_reference': 'AUGGfZkOl6DO6lnyXm1xwy3xFV6MxNqtE1kJX4svpKAYwLMrXGRGyuQ7U865h8vN3bV9FRWrGuaWBR6ooegaUcW5iRRE4xIi65gx7R3vIousnDdy78AVsVilFWn7dFh4xmyloI_GGcfMp6joaa1uhWJ1eCSqbk89JIAv9KMDMnc6ht7tGMcT', 'width': 4624}]",ChIJd9G9wosv1S8RYnnxCxC4Rw0,,4.2,ChIJd9G9wosv1S8RYnnxCxC4Rw0,"['lodging', 'point_of_interest', 'establishment']",6,https://www.google.com/maps/place/?q=place_id:ChIJd9G9wosv1S8RYnnxCxC4Rw0
OPERATIONAL,"Langkaweh, Jl. Raya Padang Panjang - Bukittinggi No.KM 4, Kec. Banuhampu, Kota Bukittinggi, Sumatera Barat 26181, Indonesia","{'location': {'lat': -0.3368008, 'lng': 100.382479}, 'viewport': {'northeast': {'lat': -0.3354801701072778, 'lng': 100.3837124798927}, 'southwest': {'lat': -0.3381798298927223, 'lng': 100.3810128201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Muara Hotel,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116351510646975239636"">Joep van Roosmalen</a>'], 'photo_reference': 'AUGGfZkdvv7NQL_CEmzTFSjw3BW_0tXfV1ebRVJBlMra_Gy6LalAEnbK1AJ4WzVV84mmK1IuO38FXwL6k3YmGTktxTkS1MNctTBW_OgnAzClVBdRzlbh87soqJSROPtE_POZ_IQOUmYGMk5jo0o9Hm1DoqInXUd28yHPBq-AUXhyeCuevclv', 'width': 4608}]",ChIJH43tlGE51S8RBycjUGeIRHg,"{'compound_code': 'M97J+7X Ladang Laweh, Agam Regency, West Sumatra, Indonesia', 'global_code': '6PF2M97J+7X'}",4.5,ChIJH43tlGE51S8RBycjUGeIRHg,"['lodging', 'point_of_interest', 'establishment']",243,https://www.google.com/maps/place/?q=place_id:ChIJH43tlGE51S8RBycjUGeIRHg
OPERATIONAL,"Batipuh Baruah, Batipuh, Tanah Datar Regency, West Sumatra 27122, Indonesia","{'location': {'lat': -0.4760277999999999, 'lng': 100.4549393}, 'viewport': {'northeast': {'lat': -0.4746820201072777, 'lng': 100.4562875798927}, 'southwest': {'lat': -0.4773816798927221, 'lng': 100.4535879201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 882 Puri Gevana Guest House,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105663244773421543328"">A Google User</a>'], 'photo_reference': 'AUGGfZmz4-VeKIQLXRcyyeGNfWyDKDtPWZd-7kOLwdK6l5zxgE2C1iZgIAg8_2mZ2yL9Ujg-YQ4XaRc3CGq0orejniFSizBFuWF5RJ6OdqV84wq-ElUh4w1NbVjLYza9Bz3MSRxHTBJHASrfKdzDY_49xg4iq99kFhTFYVX4MqauLWutPfB4', 'width': 640}]",ChIJKd8yXxsv1S8RpTi8lSDy37w,"{'compound_code': 'GFF3+HX Batipuh Baruah, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GFF3+HX'}",4.5,ChIJKd8yXxsv1S8RpTi8lSDy37w,"['lodging', 'point_of_interest', 'establishment']",69,https://www.google.com/maps/place/?q=place_id:ChIJKd8yXxsv1S8RpTi8lSDy37w
