business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jl. Hamka No.41Jorong Parak Juar, Jl. Hamka No.60, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211, Indonesia","{'location': {'lat': -0.4525003999999999, 'lng': 100.5909343}, 'viewport': {'northeast': {'lat': -0.4511086701072777, 'lng': 100.5923212298927}, 'southwest': {'lat': -0.4538083298927222, 'lng': 100.5896215701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Emersia Hotel & Resort Batusangkar,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114688898651702780984"">A Google User</a>'], 'photo_reference': 'AUGGfZk28D7DNSZS-Bxroingype7ZW_3hi5zzt9aq1h-sCBQMpjCAXejr3yyBDWuB1Wq8RxQgJkG1pAHr8Kd7t08_Jj2dHGtHhquQinPN21AS_u3WuCMWDx5ySNh6ccK6AuiHiwvPqe-fjQQZCcO-mTDW0y6OyzWSjhs11RHD0FAmStEuQzB', 'width': 6000}]",ChIJ66KB_2Ut1S8RkKdYrE4RaRE,"{'compound_code': 'GHWR+X9 Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHWR+X9'}",4.6,ChIJ66KB_2Ut1S8RkKdYrE4RaRE,"['lodging', 'point_of_interest', 'establishment']",2667,,https://www.google.com/maps/place/?q=place_id:ChIJ66KB_2Ut1S8RkKdYrE4RaRE
OPERATIONAL,"Jl. Sungayang No.30, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211, Indonesia","{'location': {'lat': -0.4503161, 'lng': 100.5934753}, 'viewport': {'northeast': {'lat': -0.4489671201072777, 'lng': 100.5948115798927}, 'southwest': {'lat': -0.4516667798927221, 'lng': 100.5921119201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,EmerOne Hotel,{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115474889783637907492"">A Google User</a>'], 'photo_reference': 'AUGGfZnZcaWNnnPh3_grlvIDHSf11_wA8JkPre8kG79a6GUdHW-nI4lMufJyv9QcBGsvqYe5SwVLwh3_1LcTSQ8fX5RLuuUC8VQ3lIcsovtDgdx6WE7f04bIxZTISfgTTTNKgvYAP-p5DZIFUw5KQvOIAM6gVYr6Q1RNnNayLRsvqFjcl5wQ', 'width': 1200}]",ChIJZ54JrGIt1S8RK1S4HyU-wlk,"{'compound_code': 'GHXV+V9 Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHXV+V9'}",4.0,ChIJZ54JrGIt1S8RK1S4HyU-wlk,"['lodging', 'point_of_interest', 'establishment']",239,,https://www.google.com/maps/place/?q=place_id:ChIJZ54JrGIt1S8RK1S4HyU-wlk
OPERATIONAL,"Jl. Hamka No.4, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211, Indonesia","{'location': {'lat': -0.452505, 'lng': 100.593174}, 'viewport': {'northeast': {'lat': -0.4512128201072778, 'lng': 100.5944859298927}, 'southwest': {'lat': -0.4539124798927222, 'lng': 100.5917862701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pagaruyung Hotel,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114643259750256920452"">A Google User</a>'], 'photo_reference': 'AUGGfZkLcQb71wTKIJ4IhxlHJKDmCFw_dVb3fiBEIf0mR-b-HaCpToXHfE2jKqUad1fKXDWR_qPMNyMCpchYBulOCRuXDnxdC2Is_kh7ManUkKNc0n8M7xcVor4abhfM7ZTUWKEYUTM4hf-aLDv5WQ0W9gWBCegkmly4J-ShGt8goL8z1XiW', 'width': 4288}]",ChIJU7eA_WUt1S8R6oeUvHBBKOQ,"{'compound_code': 'GHXV+27 Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHXV+27'}",3.8,ChIJU7eA_WUt1S8R6oeUvHBBKOQ,"['lodging', 'point_of_interest', 'establishment']",348,,https://www.google.com/maps/place/?q=place_id:ChIJU7eA_WUt1S8R6oeUvHBBKOQ
OPERATIONAL,"Jalan Sumpu Malalo Nagari Sumpur Jorong, sudut, Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar, Sumatera Barat 27265, Indonesia","{'location': {'lat': -0.5444261, 'lng': 100.4836724}, 'viewport': {'northeast': {'lat': -0.5430345201072778, 'lng': 100.4849497298927}, 'southwest': {'lat': -0.5457341798927223, 'lng': 100.4822500701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Singkarak Sumpur Hotel,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103552884627708857999"">Singkarak Sumpur Hotel</a>'], 'photo_reference': 'AUGGfZl0ZWjCLN-Ee16ZLjpVM6Gq24Tx9PC_1TfX4G4vnSnp8On9G54VkBV4x_T1jg_I8DKGoy4TctuHbAKgTCp1p450iuvouXJHD01MGZRXJmHvDx0JopzYKkokIn_hq1UnfDrfOXtER1C8tVF467t6ZBlFAcB4_dKtPSMgiAOitB-Yj8Eu', 'width': 3897}]",ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M,"{'compound_code': 'FF4M+6F Sumpur, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2FF4M+6F'}",3.7,ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M,"['lodging', 'point_of_interest', 'establishment']",187,,https://www.google.com/maps/place/?q=place_id:ChIJd8dOpeIo1S8Rgq1Vx1Hv2_M
OPERATIONAL,"Nagari, Jl. Raya Padang Panjang - Bukittinggi No.Km 6, Aie Angek, Sepuluh Koto, Tanah Datar Regency, West Sumatra 27151, Indonesia","{'location': {'lat': -0.4132797, 'lng': 100.4068032}, 'viewport': {'northeast': {'lat': -0.4119421701072777, 'lng': 100.4082172798927}, 'southwest': {'lat': -0.4146418298927222, 'lng': 100.4055176201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Aie Angek Cottage,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107142527755619109224"">A Google User</a>'], 'photo_reference': 'AUGGfZkQld_0rSTDsFMzAA9iUKyQ68LpJsY1JUa6NZUfLRGwD-aL49hQdT5Lr2J-E30cmdtXS04kU7entTIhBAUtqBfu9arBfJb6Ymui9fwvJ6NjMWUHIwFeuYcMZYdOk400j3Y8KKRh06RrTRpFkGaJ8CVNfBPmOc9WUZv7Fn9eYsJsmlHC', 'width': 4128}]",ChIJubC0nvo61S8RbI20ebYS8cg,"{'compound_code': 'HCP4+MP Aie Angek, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2HCP4+MP'}",4.4,ChIJubC0nvo61S8RbI20ebYS8cg,"['lodging', 'point_of_interest', 'establishment']",897,,https://www.google.com/maps/place/?q=place_id:ChIJubC0nvo61S8RbI20ebYS8cg
OPERATIONAL,"Jalan Mesjid Raya Jorong Tiga Tumpuk No.87, Limo Kaum, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27214, Indonesia","{'location': {'lat': -0.465029, 'lng': 100.5662184}, 'viewport': {'northeast': {'lat': -0.4635615201072777, 'lng': 100.5676163798927}, 'southwest': {'lat': -0.4662611798927222, 'lng': 100.5649167201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Ratna Juwita - Batusangkar,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116672575559850755296"">A Google User</a>'], 'photo_reference': 'AUGGfZktRIbP2GarhTKjM0TKgep9smkvKGpg1M0-_b7NtTeKKIlUHozxfR_Qopus-AX935ukGEbtvBkfF05zbnMAlZWPh9XIO3y3IDdJfx8GOh4fMCAVRDo0ul62J9ZEXoFBczjabqxEK8P03WDIcS5MPvQe2lP-DyeKUwd-7QoBFeBhXEbD', 'width': 1600}]",ChIJGZb0nKMt1S8RF-0f8fcUynE,"{'compound_code': 'GHM8+XF Limo Kaum, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHM8+XF'}",4.7,ChIJGZb0nKMt1S8RF-0f8fcUynE,"['lodging', 'point_of_interest', 'establishment']",114,,https://www.google.com/maps/place/?q=place_id:ChIJGZb0nKMt1S8RF-0f8fcUynE
OPERATIONAL,"Jl. Sutan Syahrir No.252, Silaing Bawah, Kec. Padang Panjang Bar., padang, Sumatera Barat 27118, Indonesia","{'location': {'lat': -0.4736687, 'lng': 100.3744247}, 'viewport': {'northeast': {'lat': -0.4723949701072779, 'lng': 100.3757989798927}, 'southwest': {'lat': -0.4750946298927223, 'lng': 100.3730993201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mifan Water Park,{'open_now': True},"[{'height': 3396, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104474151183049327783"">A Google User</a>'], 'photo_reference': 'AUGGfZnngdziJQ9awAT5HmI-juBJJRiBu4q5534CRRA4fdYKQKkpf-CsPV1Rr3711ct5Z_xe96gF-dX5G-u6GcfUUJmsKjVxXCPIWxhChDmxzG9tnZwRFGgqpW8bGe0U4H3whW8qP8iH01ENTvJz1rpbC4Qr1u6Z4RYeg_ptDPD5IqB_-DOs', 'width': 2264}]",ChIJ-aQ7RPIk1S8R7zw-g2hGHvM,"{'compound_code': 'G9GF+GQ Silaing Bawah, Padang Panjang City, West Sumatra, Indonesia', 'global_code': '6PF2G9GF+GQ'}",4.3,ChIJ-aQ7RPIk1S8R7zw-g2hGHvM,"['lodging', 'point_of_interest', 'establishment']",4425,,https://www.google.com/maps/place/?q=place_id:ChIJ-aQ7RPIk1S8R7zw-g2hGHvM
OPERATIONAL,"Jl. Sutan Syahrir No.144, Silaing Bawah, Kec. Padang Panjang Bar., Kota Padang Panjang, Sumatera Barat 27118, Indonesia","{'location': {'lat': -0.4656189000000001, 'lng': 100.3831654}, 'viewport': {'northeast': {'lat': -0.4643261201072778, 'lng': 100.3846326298927}, 'southwest': {'lat': -0.4670257798927223, 'lng': 100.3819329701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rangkayo Basa Hotel Padang Panjang,{'open_now': True},"[{'height': 1499, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107020462822719369195"">A Google User</a>'], 'photo_reference': 'AUGGfZnxH5GbUS_PBhTIcWxTjM2Uar8smyObVfMixPuag7M9kuL2LHQuXG1fnEUj0tsHHU7mQFG7LW205l1S69qkQVcfDaUOP4hYnulYOkCRh9WwjBNWY1o8oXxl7DYQyDZIhBgMdhotblW-JZdF5TXloQ_uQnu5wjf2Wd_fN8jWav6fy1IF', 'width': 2280}]",ChIJgwc2B2Ml1S8R49LSrWAnZNs,"{'compound_code': 'G9MM+Q7 Silaing Bawah, Padang Panjang City, West Sumatra, Indonesia', 'global_code': '6PF2G9MM+Q7'}",4.4,ChIJgwc2B2Ml1S8R49LSrWAnZNs,"['lodging', 'point_of_interest', 'establishment']",246,,https://www.google.com/maps/place/?q=place_id:ChIJgwc2B2Ml1S8R49LSrWAnZNs
OPERATIONAL,"Jl. Raya Lintas Utama Sumatera No.149, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27213, Indonesia","{'location': {'lat': -0.4636019, 'lng': 100.598764}, 'viewport': {'northeast': {'lat': -0.4623125701072777, 'lng': 100.6000440798927}, 'southwest': {'lat': -0.4650122298927222, 'lng': 100.5973444201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Puri Malana Guest House,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109910890746659660441"">syafiq hidayat</a>'], 'photo_reference': 'AUGGfZl2S0OzIFWAg12UnICjsVxxXLosCgzFbuswEULJbLHrN8_8lTekSNZslM6aG2Cze7Irq0H9CnAWMQDRos8Yk590z8fGGdxhRUoKZRMts9-HuiksrwYs9ZWF1PpMO-VFj58oOe9eQv2M_fKWkuYpNeWsKcDJfLq3a3fTXUk45LFX6svX', 'width': 3000}]",ChIJrRWxSz4t1S8RWDaZeIV7xZQ,"{'compound_code': 'GHPX+HF Baringin, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GHPX+HF'}",4.6,ChIJrRWxSz4t1S8RWDaZeIV7xZQ,"['lodging', 'point_of_interest', 'establishment']",95,,https://www.google.com/maps/place/?q=place_id:ChIJrRWxSz4t1S8RWDaZeIV7xZQ
OPERATIONAL,"Batipuh Baruah, Batipuh, Tanah Datar Regency, West Sumatra 27122, Indonesia","{'location': {'lat': -0.4760277999999999, 'lng': 100.4549393}, 'viewport': {'northeast': {'lat': -0.4746820201072777, 'lng': 100.4562875798927}, 'southwest': {'lat': -0.4773816798927221, 'lng': 100.4535879201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 882 Puri Gevana Guest House,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105663244773421543328"">A Google User</a>'], 'photo_reference': 'AUGGfZnaeSzhMEiA4kR77KFaMU1wuSXwdmftkA6oGEB4zEU8VEGft0RQtRPGMmbGabQAoZr2nvqDbmAIvAhmWJ1Sd4EMjU2J_4rTKGR1f8q_ZJa3C-wgcn_YrC7uJrD4PTrdD68UV41tpBIT6QkO3lrSwFe4kef2MTiMh2ExfeLFuFWl6PUP', 'width': 640}]",ChIJKd8yXxsv1S8RpTi8lSDy37w,"{'compound_code': 'GFF3+HX Batipuh Baruah, Tanah Datar Regency, West Sumatra, Indonesia', 'global_code': '6PF2GFF3+HX'}",4.5,ChIJKd8yXxsv1S8RpTi8lSDy37w,"['lodging', 'point_of_interest', 'establishment']",69,,https://www.google.com/maps/place/?q=place_id:ChIJKd8yXxsv1S8RpTi8lSDy37w
