business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Padang Sidempuan No.Km. 10A, Pandan, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22537, Indonesia","{'location': {'lat': 1.6823556, 'lng': 98.82121289999999}, 'viewport': {'northeast': {'lat': 1.683801029892722, 'lng': 98.82251332989271}, 'southwest': {'lat': 1.681101370107278, 'lng': 98.81981367010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PIA Hotel Pandan,{'open_now': True},"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108526274019187921192"">A Google User</a>'], 'photo_reference': 'AUGGfZktX4u64E6-LwwG9D9C03vs1DtTc4f4Ij7chQG_HCJLWDsVx7ThfCv-aKjw4jxDExrsAZErrAF2SoMyOZwWiSlYtqTARNi84VrywmnaxWLUvNHFxB76xiedYTKURHPmQ8fHbZBph96wbjou_ctazmpfNfJeUa_6JF5SRpAvbr86v1q1', 'width': 3640}]",ChIJJX_caMjyLjARZB20-TmOSmw,"{'compound_code': 'MRJC+WF Pandan, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRJC+WF'}",3.9,ChIJJX_caMjyLjARZB20-TmOSmw,"['lodging', 'point_of_interest', 'establishment']",1996,https://www.google.com/maps/place/?q=place_id:ChIJJX_caMjyLjARZB20-TmOSmw
OPERATIONAL,"Jalan Bandara, Gn. Marijo, Kec. Pinangsori, Kabupaten Tapanuli Tengah, Sumatera Utara 22654, Indonesia","{'location': {'lat': 1.5596601, 'lng': 98.9041857}, 'viewport': {'northeast': {'lat': 1.561004079892722, 'lng': 98.90554287989274}, 'southwest': {'lat': 1.558304420107278, 'lng': 98.90284322010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Robin Homestay / Penginapan,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100902127114070024323"">A Google User</a>'], 'photo_reference': 'AUGGfZk9fNViufyCF_BMsK0WmG176p7nRF7BQpKDTfT34iw4KjFHq8DlYj-wjb6JXj1LqJ-KrPqteFhr3sdvo57Qg3oCFkczmq6g1ciVqG8r8g3BsevyD2b26ROtY0NtrXMJq8qfDga85_Wae3Et9iPM76JuPJKwPfKcGlxCjMNEv3SPqA', 'width': 4032}]",ChIJRbCuxFyVLjARJqaH7Hb6tOg,"{'compound_code': 'HW53+RM Gunung Marijo, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWHW53+RM'}",4.6,ChIJRbCuxFyVLjARJqaH7Hb6tOg,"['lodging', 'point_of_interest', 'establishment']",9,https://www.google.com/maps/place/?q=place_id:ChIJRbCuxFyVLjARJqaH7Hb6tOg
OPERATIONAL,"Jl. Padang Sidempuan No.109, Pandan, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22611, Indonesia","{'location': {'lat': 1.6774601, 'lng': 98.8262778}, 'viewport': {'northeast': {'lat': 1.678870479892722, 'lng': 98.82770017989273}, 'southwest': {'lat': 1.676170820107278, 'lng': 98.8250005201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Pandan Hotel,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112630145589347415554"">A Google User</a>'], 'photo_reference': 'AUGGfZloCjJw1Gm8nMRtpHL9CdeRS_DURGeTlPOU1ZbTj1m2ihSzhNutSiEO72AF71ez-PiuOiFmAABISnHc8NO_s08XBdjSwdR6BWsqNxEJ17KmHICRhu6UewDFu1kUVeLNdd-CvvcUstJYGYRWfNSn6LIrkwJCUvzXuT03OciJl7HcrdhA', 'width': 1024}]",ChIJ000DYIbzLjARfjL_F6xK69M,"{'compound_code': 'MRGG+XG Pandan, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRGG+XG'}",4.7,ChIJ000DYIbzLjARfjL_F6xK69M,"['lodging', 'point_of_interest', 'establishment']",26,https://www.google.com/maps/place/?q=place_id:ChIJ000DYIbzLjARfjL_F6xK69M
OPERATIONAL,"Jl. Padang Sidempuan Km.10.27, Pandan, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22611, Indonesia","{'location': {'lat': 1.6825948, 'lng': 98.82155379999999}, 'viewport': {'northeast': {'lat': 1.684008429892722, 'lng': 98.82298732989273}, 'southwest': {'lat': 1.681308770107278, 'lng': 98.82028767010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Marina,,"[{'height': 2394, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112205335171349233749"">Ernes Ronan</a>'], 'photo_reference': 'AUGGfZkH8IbavHMRk2P1sS1A-mZ-fSicvuCLWqu0lUxAfBTf7F48aT4lVagUA9hdnfwQNXTWxrIGlWxuuNjgMQ2FbNAMlxp5u6ZGxmz_VZnjHXvBNAqBJkwa0fWM-Ppf5jGraDaqeHY6t--NzMay2MJ75sltF--LYhdm9wWALZGHgFjP8PkA', 'width': 1800}]",ChIJBQ6ObxzzLjARDleLFbkNgSI,"{'compound_code': 'MRMC+2J Pandan, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRMC+2J'}",3.0,ChIJBQ6ObxzzLjARDleLFbkNgSI,"['lodging', 'point_of_interest', 'establishment']",101,https://www.google.com/maps/place/?q=place_id:ChIJBQ6ObxzzLjARDleLFbkNgSI
OPERATIONAL,"Jl. KH. Dewantara perum regincy, Pandan, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22538, Indonesia","{'location': {'lat': 1.6888015, 'lng': 98.82570000000001}, 'viewport': {'northeast': {'lat': 1.690190329892722, 'lng': 98.82701012989271}, 'southwest': {'lat': 1.687490670107278, 'lng': 98.82431047010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Pantai Pandan Sibolga,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106778592845732122020"">A Google User</a>'], 'photo_reference': 'AUGGfZlRP3EsWq-k5YtVTMDGM81H9obYLksOyu6Rgt1m9BCMKcQod7BSxngt_kAya3w2mcu5qRfTW3KG7Zl5KpoWVmlmCp3FuJGcTO7oTfXvtoupoM5ZXwY1DbmzYVA9aMnSygpuuFd6O-aytntygNSnF_4pO4GVYTbl7boT-SpSvsReAYGS', 'width': 3000}]",ChIJ7d63RwXzLjAR91as31sYAyw,"{'compound_code': 'MRQG+G7 Pandan, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRQG+G7'}",4.2,ChIJ7d63RwXzLjAR91as31sYAyw,"['lodging', 'point_of_interest', 'establishment']",10,https://www.google.com/maps/place/?q=place_id:ChIJ7d63RwXzLjAR91as31sYAyw
OPERATIONAL,"Jl. Rj. Junjungan Lubis No.27, Sibuluan Indah, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22538, Indonesia","{'location': {'lat': 1.6876547, 'lng': 98.82658099999999}, 'viewport': {'northeast': {'lat': 1.688961079892722, 'lng': 98.82789317989273}, 'southwest': {'lat': 1.686261420107278, 'lng': 98.82519352010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 1500 Mh Homestay,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107587423406468772696"">A Google User</a>'], 'photo_reference': 'AUGGfZng_BiNuIEKMS5ux-MvriAoXiNecsJeTcdT81b8YH0Ns9f0B-pSxeC2qsUjDusAQg2uDtJhcsMW89yKU_jdhrq1eMbbWTwhyKQlLsJv7eQgOtZxOMRhkFqBLNPO4yyXsf5prjquUOHgxf8jP5-jhthgOAvmq5fSJgRgIMajIVFKKmk7', 'width': 640}]",ChIJ098x9dDyLjARglXOrNGWSLc,"{'compound_code': 'MRQG+3J Sibuluan Indah, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRQG+3J'}",4.0,ChIJ098x9dDyLjARglXOrNGWSLc,"['lodging', 'point_of_interest', 'establishment']",224,https://www.google.com/maps/place/?q=place_id:ChIJ098x9dDyLjARglXOrNGWSLc
OPERATIONAL,"Jl. Ridwan Hutagalung No.12, Sibuluan Indah, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22538, Indonesia","{'location': {'lat': 1.6915149, 'lng': 98.82133739999999}, 'viewport': {'northeast': {'lat': 1.692867179892722, 'lng': 98.82268247989272}, 'southwest': {'lat': 1.690167520107278, 'lng': 98.81998282010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay FAZIRA,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107495001996885266297"">A Google User</a>'], 'photo_reference': 'AUGGfZkSG-JcvpVuQ5E-2IXgI1WTuNynrlDGQ_bqnkjrtHZyVqgygdoT5eAw2rVOEusxolQt8ZZAptc86Wlx9pOkz-1aZqhq3C8wGAgxc3MgVNfQBSLOaSyS5bmwNtGEUYhB651qi-DEzJmEq4U30yxDtKIXPim21sOQnhVMfIKOwT9jL6OM', 'width': 1600}]",ChIJl-5jXlrzLjARAUL5VbCfAdA,"{'compound_code': 'MRRC+JH Sibuluan Indah, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRRC+JH'}",4.2,ChIJl-5jXlrzLjARAUL5VbCfAdA,"['lodging', 'point_of_interest', 'establishment']",51,https://www.google.com/maps/place/?q=place_id:ChIJl-5jXlrzLjARAUL5VbCfAdA
OPERATIONAL,"Jl. Rj. Junjungan Lubis, Sibuluan Indah, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22611, Indonesia","{'location': {'lat': 1.6920331, 'lng': 98.82133209999999}, 'viewport': {'northeast': {'lat': 1.693436429892722, 'lng': 98.82273982989273}, 'southwest': {'lat': 1.690736770107278, 'lng': 98.82004017010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Kantor Bupati Pantai Pandan,,"[{'height': 373, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106461903699478391448"">A Google User</a>'], 'photo_reference': 'AUGGfZlEFVPztfEI0dGANRvPHlEWiFRF8UVZN0GgNp6V94MQLI49krlUUNq06LTwmRQOGwHu5uZbMHhhTLnIWVGzTaHAf8pPOJdID8MshOzJXLDkxGz2WKyIZZq4vmTbNSze6nnhzXDciIRCl7JhStAps48uLxnrkMKRpXlAiQhE_ElNbh-l', 'width': 602}]",ChIJNYF0zTPzLjARXLUsQ--XPSY,"{'compound_code': 'MRRC+RG Sibuluan Indah, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWMRRC+RG'}",5.0,ChIJNYF0zTPzLjARXLUsQ--XPSY,"['lodging', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJNYF0zTPzLjARXLUsQ--XPSY
OPERATIONAL,"Jl. Letjen. Gatot Subroto No.43a, Pasir Bidang, Kec. Sarudik, Kabupaten Tapanuli Tengah, Sumatera Utara 22524, Indonesia","{'location': {'lat': 1.7214226, 'lng': 98.8024648}, 'viewport': {'northeast': {'lat': 1.722907629892722, 'lng': 98.80369907989272}, 'southwest': {'lat': 1.720207970107278, 'lng': 98.80099942010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pondok batu guesthouse,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114595087608204576037"">A Google User</a>'], 'photo_reference': 'AUGGfZnU-J8Uy3tEXuGasWXbZZSgx1BZerI2-jN1K3d2NhUbd00Lt_hb7CKQMGm3oeR0npTOlOt_cBYciVrgPdzQe3H9IxzM0q7dOIMvsaNeO30tbf9tOstZGaZ3fGUz5U-5EuiFzZsa70bFGKxxvmYDtV58xZKV31zkCd3-aqK3_Vyj9J5q', 'width': 4032}]",ChIJazfZOpjzLjARBLK-M2EdP1Y,"{'compound_code': 'PRC2+HX Pasir Bidang, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWPRC2+HX'}",4.6,ChIJazfZOpjzLjARBLK-M2EdP1Y,"['lodging', 'point_of_interest', 'establishment']",42,https://www.google.com/maps/place/?q=place_id:ChIJazfZOpjzLjARBLK-M2EdP1Y
OPERATIONAL,"MRJG+R4M, Jl. Sutan Singengu Paruhuman, Pandan, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22537, Indonesia","{'location': {'lat': 1.6821146, 'lng': 98.8253125}, 'viewport': {'northeast': {'lat': 1.683426629892722, 'lng': 98.82662477989271}, 'southwest': {'lat': 1.680726970107278, 'lng': 98.82392512010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112585443759755997974"">A Google User</a>'], 'photo_reference': 'AUGGfZlzcS5KTTh7SPiYCso6Gi4fRmpyO_ybzIvlqpgolCxxaKUzu_HWlLVBdbPdtBl-cVC_fgdo23TjKJGm9vzkK6gODtfd1bFGbL3lA8QCmLtvSCymp4jvQDStkIuhz-Z5OsvAWtcBXOFvQdlRvgF3SCo4GO1Igx2q55H--lYt0Z9mXdXW', 'width': 3120}]",ChIJHbKGDqXzLjAR9pvsVD5Qirg,,3.8,ChIJHbKGDqXzLjAR9pvsVD5Qirg,"['lodging', 'point_of_interest', 'establishment']",9,https://www.google.com/maps/place/?q=place_id:ChIJHbKGDqXzLjAR9pvsVD5Qirg
