business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,price_level,url
OPERATIONAL,"Jl. Pulau Morotai No.16B, Jagabaya III, Kec. Way Halim, Kota Bandar Lampung, Lampung 35133, Indonesia","{'location': {'lat': -5.4040294, 'lng': 105.2769389}, 'viewport': {'northeast': {'lat': -5.402677120107278, 'lng': 105.2783886798927}, 'southwest': {'lat': -5.405376779892721, 'lng': 105.2756890201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Asoka Luxury Hotel,"[{'height': 3040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100204665051454982604"">yosia surya</a>'], 'photo_reference': 'AUGGfZnf9yH0ng4vJKWVIZFfEYNQi0xQbsPDa19u0o-XpWDuiUhIl8_-Ah0mhe_v4SFtReEcDKz7CpCRLqn8OT6O4t_e4mhCPGj6egm0XfDWlbQw1YXuPGK67YWYK3i7KpY6MZt0xgMn1bx9ogzT-rWVjmG2At4hP0VLKMCCN1-WHEpuByh4', 'width': 2512}]",ChIJKz_wLQnbQC4RzWiuPx1k1Xw,"{'compound_code': 'H7WG+9Q Jagabaya III, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67H7WG+9Q'}",4.2,ChIJKz_wLQnbQC4RzWiuPx1k1Xw,"['lodging', 'point_of_interest', 'establishment']",3213,,,https://www.google.com/maps/place/?q=place_id:ChIJKz_wLQnbQC4RzWiuPx1k1Xw
OPERATIONAL,"Jalan Griya Utama No. 57, Way Halim Permai, Way Halim, Sukarame, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35135, Indonesia","{'location': {'lat': -5.3839998, 'lng': 105.2783111}, 'viewport': {'northeast': {'lat': -5.382649570107278, 'lng': 105.2796411798927}, 'southwest': {'lat': -5.385349229892721, 'lng': 105.2769415201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kampoeng Bamboe Restoran,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118301796235887412148"">A Google User</a>'], 'photo_reference': 'AUGGfZmOq9FS8ADmQe5X4ZWWk9Jjf8HAMEQ0uvaU2AsVbYC-UPjVgcJzlGxvEgONWTv-FeYwahVpIh6YHiTVXhkzhQ6xx-xo7DwnHJIdM1iTjtv7TylvedI7u6D6aID0mi3_CfRdzzMpcJTzNB7rPJPX8el32KjniBpIaMvae2cZ4I15-Z0V', 'width': 5184}]",ChIJ3QMiqCPbQC4RVNgCBmfkuMI,"{'compound_code': 'J78H+C8 Way Halim Permai, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J78H+C8'}",4.4,ChIJ3QMiqCPbQC4RVNgCBmfkuMI,"['restaurant', 'food', 'point_of_interest', 'establishment']",2753,{'open_now': True},2.0,https://www.google.com/maps/place/?q=place_id:ChIJ3QMiqCPbQC4RVNgCBmfkuMI
OPERATIONAL,"Jl. Teuku Umar No.1, Kedaton, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132, Indonesia","{'location': {'lat': -5.3817447, 'lng': 105.2598409}, 'viewport': {'northeast': {'lat': -5.380370420107279, 'lng': 105.2612828798927}, 'southwest': {'lat': -5.383070079892723, 'lng': 105.2585832201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Radisson Lampung Kedaton,"[{'height': 3888, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101426028593623505712"">A Google User</a>'], 'photo_reference': 'AUGGfZlElTPUjnze3ivc5D-iYiUWpfZ7Ib_gGP61mrdrvSMyRXPK7JB_rxzqGYW5pWrdb-2Uqj5M_ED92xhMaymSLOu-rD4Ud0Dvs1aq8uh_wemIuaurAick87VZnc25gb_IT3eet9PlC6nap-YtSn9dbkMXSrWD58vT4Vr41gmAEM0K1fTD', 'width': 5184}]",ChIJKfOy7tvaQC4RKQmDXVT_kX4,"{'compound_code': 'J795+8W Kedaton, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J795+8W'}",4.7,ChIJKfOy7tvaQC4RKQmDXVT_kX4,"['lodging', 'point_of_interest', 'establishment']",4029,,,https://www.google.com/maps/place/?q=place_id:ChIJKfOy7tvaQC4RKQmDXVT_kX4
OPERATIONAL,"Jalan Urip Sumoharjo No. 182, Way Halim Permai, Sukarame, Gn. Sulah, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122, Indonesia","{'location': {'lat': -5.3899677, 'lng': 105.2748781}, 'viewport': {'northeast': {'lat': -5.388620320107278, 'lng': 105.2762196798927}, 'southwest': {'lat': -5.391319979892722, 'lng': 105.2735200201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,GHotel Syariah Bandar Lampung,"[{'height': 4412, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116646214038149082283"">A Google User</a>'], 'photo_reference': 'AUGGfZlg8SuCJgJLWeTHkGn90I8v4vj9VQ1gMhBGV1NO8SaeLcgjpKtOmTokMO6BcVyXg53ydbinDK5FO381LBgUjlQ5IzpsDHgulMjEEA5RYNSJtV_rGeLasZpgW3BIPyWLCRRxXSc5ZzizXWiRily6t2VBWi4Spgc4hKkdspivv6YuELVo', 'width': 7597}]",ChIJ-8HzABnbQC4RJ0xFLBSlIAY,"{'compound_code': 'J76F+2X Gunung Sulah, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J76F+2X'}",4.3,ChIJ-8HzABnbQC4RJ0xFLBSlIAY,"['lodging', 'point_of_interest', 'establishment']",1309,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ-8HzABnbQC4RJ0xFLBSlIAY
OPERATIONAL,"Jl. Griya Utama No.57 A, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35135, Indonesia","{'location': {'lat': -5.3839706, 'lng': 105.2784071}, 'viewport': {'northeast': {'lat': -5.382573770107277, 'lng': 105.2797587798927}, 'southwest': {'lat': -5.385273429892721, 'lng': 105.2770591201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bamboe Inn 1 Homestay,"[{'height': 2961, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106574988489571286977"">A Google User</a>'], 'photo_reference': 'AUGGfZljvCwYYw80JH6jGEF0mdAVN-Rmk4xsevwtOQ7-1-bTvyhOfCF6fmxGk_rdgb3k_mxYrBz94Jd7Xleezj_cmUwkKvTIlZzF4B5jI6fH6y131e0O0PRRyEuamuzKfpRXL_HGqYtZhK6CD9T6gKFymWahQP3c57wuPHGJzgvFzp56mgX8', 'width': 3952}]",ChIJ2RF3JT3bQC4R1BMiLLRervg,"{'compound_code': 'J78H+C9 Way Halim Permai, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J78H+C9'}",4.3,ChIJ2RF3JT3bQC4R1BMiLLRervg,"['lodging', 'point_of_interest', 'establishment']",138,,,https://www.google.com/maps/place/?q=place_id:ChIJ2RF3JT3bQC4R1BMiLLRervg
OPERATIONAL,"Jl. P. Sanama No.3, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35135, Indonesia","{'location': {'lat': -5.3855132, 'lng': 105.2722253}, 'viewport': {'northeast': {'lat': -5.384168620107277, 'lng': 105.2735755798927}, 'southwest': {'lat': -5.386868279892721, 'lng': 105.2708759201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz Syariah near Transmart Lampung,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107937255881883237221"">A Google User</a>'], 'photo_reference': 'AUGGfZlRaiqISALgD92TB3cPE8_r1FHipLH86G53mSi2nGF1JJpD_cwrUn0BPXaAcKzP8btEjG8Fy2HQGYNohgejoTB95c1hfUvubL1aZQHrYv52bRLWUgwIGhfmXh4Dvyk5V8I-xkMi14Rx1GlLY57pfNQW7e9uTxQ5JPFnAC04YZBeOJ2m', 'width': 900}]",ChIJG4iNTknbQC4RO-lAMqiV0M8,"{'compound_code': 'J77C+QV Way Halim Permai, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J77C+QV'}",4.5,ChIJG4iNTknbQC4RO-lAMqiV0M8,"['lodging', 'point_of_interest', 'establishment']",71,,,https://www.google.com/maps/place/?q=place_id:ChIJG4iNTknbQC4RO-lAMqiV0M8
OPERATIONAL,"Jl. Pahlawan No.33, Surabaya, Kec. Kedaton, Kota Bandar Lampung, Lampung 35122, Indonesia","{'location': {'lat': -5.394802299999999, 'lng': 105.2634198}, 'viewport': {'northeast': {'lat': -5.393451770107277, 'lng': 105.2648093298927}, 'southwest': {'lat': -5.396151429892721, 'lng': 105.2621096701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MAHAN KEDATON HOTEL LAMPUNG,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111284836816578753298"">A Google User</a>'], 'photo_reference': 'AUGGfZmd8XXjLSyImcaTf2zHhFmo73uW84ok6Oov_to1KQbqY9KmjxYkU9LIlT1rx6n_AibO3EBDgR3Zp_0iY2m6Ywma-8aL-H7DD12GDGvJ4dpQxXwW_cZWLir5pjcT-8InfQri1VbOa2Igxg8agZbtq0llOT690mughJyri60dW2F7NBA0', 'width': 6000}]",ChIJjYc_1vjbQC4RYBvyGbsta1c,"{'compound_code': 'J747+39 Surabaya, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J747+39'}",4.5,ChIJjYc_1vjbQC4RYBvyGbsta1c,"['lodging', 'point_of_interest', 'establishment']",77,,,https://www.google.com/maps/place/?q=place_id:ChIJjYc_1vjbQC4RYBvyGbsta1c
OPERATIONAL,"Jl. P. Antasari No.15, Kedamaian, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35122, Indonesia","{'location': {'lat': -5.4086288, 'lng': 105.2707886}, 'viewport': {'northeast': {'lat': -5.407210920107278, 'lng': 105.2721304298927}, 'southwest': {'lat': -5.409910579892721, 'lng': 105.2694307701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sparks Lite Bandar Lampung,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101663086055066141270"">Fether Abersond</a>'], 'photo_reference': 'AUGGfZnqJ20M2eaMVkmRVgg-kWuT0M5Kg7u0oYvC2O7_Nfgd7sKLyN2b7er9cf3m6QOkQ2AUimYrLpJy3qxGZ53o2_10_sAWTIzK-M4mUYDxMefz9iFWINztfJOKiqFJFU8mf9qptu7284pW5wR1hakSOijfsERGxE_V7Y7gidM8vXuys-wk', 'width': 4000}]",ChIJibFMiqnbQC4RD0MDtr3Drzo,"{'compound_code': 'H7RC+G8 Kedamaian, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67H7RC+G8'}",4.3,ChIJibFMiqnbQC4RD0MDtr3Drzo,"['lodging', 'point_of_interest', 'establishment']",871,,,https://www.google.com/maps/place/?q=place_id:ChIJibFMiqnbQC4RD0MDtr3Drzo
OPERATIONAL,"Jl. Urip Sumoharjo No.57, Gn. Sulah, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132, Indonesia","{'location': {'lat': -5.391755100000001, 'lng': 105.2798299}, 'viewport': {'northeast': {'lat': -5.390314770107278, 'lng': 105.2811809798927}, 'southwest': {'lat': -5.393014429892721, 'lng': 105.2784813201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Lampung Walk 2,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114649586305561723654"">A Google User</a>'], 'photo_reference': 'AUGGfZnDQkC42OunAXlMAxE-kj8FJcMpVJJHm26gqpX9iJ0dUweI1j88s9sQeGkYvZ1-xSgMr9ElJBL31HWqva6txILoBQdYpnsn_lrmPHCXi8teaSnZ_4rPaXSjQEURXSOO0aC9Dhd3TnPyj9HFRaZgPDgAku-DfXheRiNRGPrMF_PFDUmc', 'width': 3000}]",ChIJiUiRzBDbQC4RHzBtWBJzwKk,"{'compound_code': 'J75H+8W Gunung Sulah, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67J75H+8W'}",3.3,ChIJiUiRzBDbQC4RHzBtWBJzwKk,"['lodging', 'point_of_interest', 'establishment']",80,,,https://www.google.com/maps/place/?q=place_id:ChIJiUiRzBDbQC4RHzBtWBJzwKk
OPERATIONAL,"Jl. Tomat No.55, Jagabaya II, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122, Indonesia","{'location': {'lat': -5.4028106, 'lng': 105.267686}, 'viewport': {'northeast': {'lat': -5.401458070107278, 'lng': 105.2690103798927}, 'southwest': {'lat': -5.404157729892722, 'lng': 105.2663107201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Bait Sada Syariah,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111210813871131483775"">Putridwi Maharani</a>'], 'photo_reference': 'AUGGfZmc6Iw-4MdpHMfekIJSbZRBI98jVDIlox8VcfDj0LlYDLLc_fx1KCU-2q77H5HdugrjpL6q2tu-xOX3E7jMA7aMFlUObKxXakPaeBlcO-LGpGioh9G-H9NOjkFgAunBx37mT4Nlbmk16Fovq8twWWKr0JcW7FZEICDU3h7RKuOWrunx', 'width': 1280}]",ChIJUwvr7AHbQC4RQFWX058Ugxo,"{'compound_code': 'H7W9+V2 Jagabaya II, Bandar Lampung City, Lampung, Indonesia', 'global_code': '6P67H7W9+V2'}",4.5,ChIJUwvr7AHbQC4RQFWX058Ugxo,"['lodging', 'point_of_interest', 'establishment']",331,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJUwvr7AHbQC4RQFWX058Ugxo
