business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"Jl. Yos Sudarso No.25, Wale, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93711, Indonesia","{'location': {'lat': -5.4551628, 'lng': 122.6076955}, 'viewport': {'northeast': {'lat': -5.453797220107277, 'lng': 122.6090491798928}, 'southwest': {'lat': -5.456496879892721, 'lng': 122.6063495201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Calista Beach Hotel,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117983403554269204564"">A Google User</a>'], 'photo_reference': 'AUGGfZnvmGpuwIYMEWrbHIbUNCIsDa_SgEsDfNWe38SZymzjB35_rnFoS9p99E1RkC1wVsE-oDXjzFGgj4gEKYU8XY98kzaXOrpAjvMdXJZHMfElMoxqwRvjpGtFHacTnq5RP3BLQokf1qBzLRyW6SdfxhCKzzgN68t_3JiurDzmGL3Jo8Yb', 'width': 1062}]",ChIJo_eETZR2pC0Rv94hODOTqrY,"{'compound_code': 'GJV5+W3 Wale, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GJV5+W3'}",3.9,ChIJo_eETZR2pC0Rv94hODOTqrY,"['lodging', 'point_of_interest', 'establishment']",710,,,https://www.google.com/maps/place/?q=place_id:ChIJo_eETZR2pC0Rv94hODOTqrY
OPERATIONAL,"Batulo, Wolio, Bau-Bau City, South East Sulawesi 93716, Indonesia","{'location': {'lat': -5.4610005, 'lng': 122.6201972}, 'viewport': {'northeast': {'lat': -5.459646970107279, 'lng': 122.6215627298927}, 'southwest': {'lat': -5.462346629892723, 'lng': 122.6188630701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ZENITH Premiere Hotel Baubau,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107819005255117978477"">A Google User</a>'], 'photo_reference': 'AUGGfZlk3-rAWfYCUoL2NSALqNm0mOU-uq-LoC-tV3K-V76VcVUgOYIb0X4lEX5Jh772FKWL9J4ulSaloHnKMzu6y9v062cysVBOor2BW6-3RGAJQC0TH2VDsZLNo753N1o146GcwlQpLwz6aTEG8OUboVCehA1xkhLx961gQmQ1YHe30o_i', 'width': 1280}]",ChIJk7sTeh13pC0RSzKT9fLSBGg,"{'compound_code': 'GJQC+J3 Batulo, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GJQC+J3'}",4.3,ChIJk7sTeh13pC0RSzKT9fLSBGg,"['lodging', 'point_of_interest', 'establishment']",479,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJk7sTeh13pC0RSzKT9fLSBGg
OPERATIONAL,"Jalan Dayanu Ikhsanuddin, Sulla - Betoambari, Sulaa, Betoambari, Bau-Bau City, South East Sulawesi, Indonesia","{'location': {'lat': -5.5219536, 'lng': 122.5656548}, 'viewport': {'northeast': {'lat': -5.520613120107278, 'lng': 122.5670052798928}, 'southwest': {'lat': -5.523312779892722, 'lng': 122.5643056201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nirwana Buton Villa,"[{'height': 638, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111145661473451205454"">Nirwana Beach Villa</a>'], 'photo_reference': 'AUGGfZl8oo8x3ySo9-efzz9SsVkU45vTvT_jbl0jW8lvXq9kwG_Et8oruVAcGWed7ZxTapK7S2zQD6LjA7eOHwPqBEn8CwmdCoHraP5njo_CpldNJ97gKi0ecvOOEpoCUfLGdknvghUoQjlHpZd-9JLBwvxYStXhOrQ1rhMjXKb8Q4-vQZ2E', 'width': 960}]",ChIJJVlGilxwpC0RYdFqm0x9U5s,"{'compound_code': 'FHH8+67 Sulaa, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64FHH8+67'}",4.4,ChIJJVlGilxwpC0RYdFqm0x9U5s,"['lodging', 'point_of_interest', 'establishment']",323,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJJVlGilxwpC0RYdFqm0x9U5s
OPERATIONAL,"Jl. R.a. Kartini, Wale, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717, Indonesia","{'location': {'lat': -5.456293899999999, 'lng': 122.6078209}, 'viewport': {'northeast': {'lat': -5.455023320107278, 'lng': 122.6091779798927}, 'southwest': {'lat': -5.457722979892722, 'lng': 122.6064783201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,THE GALTON HOTEL BAUBAU,"[{'height': 1081, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116458223348181089704"">A Google User</a>'], 'photo_reference': 'AUGGfZnGh3_Prxh1NBuNaBTHXyweEfzb-qpQ2-ooBlEGfSD4KZW7S-Anzz8StLLEqOtWLk2yNqZZQMXkHVQW7gyq-khFO-PKZ044Q5pp5VT6ljNfpxh0htM5u78eZXzjvyciJWXySiugaM8goLLZb-rUh_24d92CeT8mEWxqUy-txsLOmw0', 'width': 1080}]",ChIJuxdXGJV2pC0REIcICFfoVQ4,"{'compound_code': 'GJV5+F4 Wale, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GJV5+F4'}",4.4,ChIJuxdXGJV2pC0REIcICFfoVQ4,"['lodging', 'point_of_interest', 'establishment']",263,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJuxdXGJV2pC0REIcICFfoVQ4
OPERATIONAL,"Jl. Lakarambau, Lipu, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93724, Indonesia","{'location': {'lat': -5.4830603, 'lng': 122.581514}, 'viewport': {'northeast': {'lat': -5.481685670107277, 'lng': 122.5828338798927}, 'southwest': {'lat': -5.484385329892721, 'lng': 122.5801342201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz @ Green Homestay Syariah Baubau,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113511614461642764806"">A Google User</a>'], 'photo_reference': 'AUGGfZllE2f5wYqjLDyXcDyqrF5LU-lIcWL9bcOFfA5Yr1j-dL9qwXyaeBIEQfVO8HTkhtUSkuyQjcOj2NCDfxZndo2Ep2z-7IY72xLyRUNMKb1-NuHVJyekLJWGlWskdej3q8go1cXkSK_ak2duSgL1ODcpmae1QFcs3nwobv2ekxJGwN4E', 'width': 4000}]",ChIJL6T4ZXVxpC0ROAUJLMQubkE,"{'compound_code': 'GH8J+QJ Lipu, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GH8J+QJ'}",4.7,ChIJL6T4ZXVxpC0ROAUJLMQubkE,"['lodging', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJL6T4ZXVxpC0ROAUJLMQubkE
OPERATIONAL,"Jl. Budi Utomo, Wangkanapi, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717, Indonesia","{'location': {'lat': -5.4666296, 'lng': 122.607907}, 'viewport': {'northeast': {'lat': -5.465223920107277, 'lng': 122.6092910298927}, 'southwest': {'lat': -5.467923579892721, 'lng': 122.6065913701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lixxio Hotel,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110742270397048194764"">A Google User</a>'], 'photo_reference': 'AUGGfZlBpENLp7sv_djK-Dh1_BHAb2aMhjf--TqYGY9Pnm6tidW5Pt6PJ5MlBXbqqilEfiea3NmsROvxS0sQOsfxhKIoGzP5wptDhWMaiSOdLX4Ob9OfPgLbFKX49m_VOTafXJcFAcCeXaMZAQak4CROVYQrCORDnC8jFe2v3q9IjB3OcNzV', 'width': 3456}]",ChIJsfvsBG53pC0RPSPtxajtdb8,"{'compound_code': 'GJM5+85 Wangkanapi, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GJM5+85'}",4.8,ChIJsfvsBG53pC0RPSPtxajtdb8,"['lodging', 'point_of_interest', 'establishment']",53,,,https://www.google.com/maps/place/?q=place_id:ChIJsfvsBG53pC0RPSPtxajtdb8
OPERATIONAL,"Jl. Dr. Wahidin No.108, Lamangga, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 97000, Indonesia","{'location': {'lat': -5.4677596, 'lng': 122.5982659}, 'viewport': {'northeast': {'lat': -5.466391370107278, 'lng': 122.5996812298928}, 'southwest': {'lat': -5.469091029892722, 'lng': 122.5969815701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Kahyangan,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115658595052362443516"">A Google User</a>'], 'photo_reference': 'AUGGfZnozAj7vCpZZJIs40THXni2Z8VdMb9oWzwm3UgbXgBPdytLYlY9_hTAA9KhRwFNcH_vy4NZDPIEF3qTnnXve-7o4fnQaRSisMK3FsnGGqszeBvrcDntDpQFWU_YQr2u3nS63UYDpECZ_YfLGB9ZhswQiyXiwQYXqj6gcs0aWTPrybpi', 'width': 3120}]",ChIJ11thAdd3pC0Rt2BjAqAvylM,"{'compound_code': 'GHJX+V8 Lamangga, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GHJX+V8'}",4.7,ChIJ11thAdd3pC0Rt2BjAqAvylM,"['lodging', 'point_of_interest', 'establishment']",88,,,https://www.google.com/maps/place/?q=place_id:ChIJ11thAdd3pC0Rt2BjAqAvylM
OPERATIONAL,"GJM5+C27, Jl. Budi Utomo No.71, Bataraguru, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717, Indonesia","{'location': {'lat': -5.466614, 'lng': 122.6078711}, 'viewport': {'northeast': {'lat': -5.465202870107278, 'lng': 122.6092584298927}, 'southwest': {'lat': -5.467902529892722, 'lng': 122.6065587701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Galaxy Inn,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102903288933834331749"">A Google User</a>'], 'photo_reference': 'AUGGfZnIqcV6nb9MwkJZW86x2QyHDf8zQDcfr2k7LPXFzkWe8mMFbvdRPiH8jkt3OGwiqkW6B135TbIH34kq0GbLGq6rgdFz_U0K2vePBPe9dWQvOdP2ND2aNfeqTud7H714MG7D5BV9eOxRl5iUB7XGxFUSgn_Op1w8ocSzKrAoHdE1xbn0', 'width': 4032}]",ChIJqYugNLh2pC0RuqCZrcrlqpQ,,3.9,ChIJqYugNLh2pC0RuqCZrcrlqpQ,"['lodging', 'point_of_interest', 'establishment']",652,,,https://www.google.com/maps/place/?q=place_id:ChIJqYugNLh2pC0RuqCZrcrlqpQ
OPERATIONAL,"Jl. Poros Lakeba Sulaa, Katobengke, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721, Indonesia","{'location': {'lat': -5.489037199999999, 'lng': 122.5630079}, 'viewport': {'northeast': {'lat': -5.487665470107279, 'lng': 122.5646289798927}, 'southwest': {'lat': -5.490365129892723, 'lng': 122.5619293201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz @ Sunset Resort Bau Bau,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107460561562470971070"">hafid physics</a>'], 'photo_reference': 'AUGGfZn-BRQmvq5_NnBjx9GnvQ93C6slone21jMvoM6-RzsTPIdJkcApbYpX3I3Y_PEALYKrmpd3VSBdFreCFRhdiw6UNQsafCpbZYLGSJNzuMGj-5o9dd7gbsbtm0yWt0C2vuvwcuI-_sZPx76K6gXs2fA0ynH9XwvHzCrM2ZsKz6IAq79v', 'width': 4032}]",ChIJj7O3W_hxpC0R5MIvYumlIUo,"{'compound_code': 'GH67+96 Katobengke, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GH67+96'}",4.2,ChIJj7O3W_hxpC0R5MIvYumlIUo,"['lodging', 'point_of_interest', 'establishment']",78,,,https://www.google.com/maps/place/?q=place_id:ChIJj7O3W_hxpC0R5MIvYumlIUo
OPERATIONAL,"Jl. Yos Sudarso No.19 A, Wale, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93711, Indonesia","{'location': {'lat': -5.455327, 'lng': 122.608185}, 'viewport': {'northeast': {'lat': -5.453933670107276, 'lng': 122.6095439298928}, 'southwest': {'lat': -5.45663332989272, 'lng': 122.6068442701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BRAVO Hotel,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107324155536263042813"">A Google User</a>'], 'photo_reference': 'AUGGfZkHVbJCQEM5_cxfVm443OqSygrXiS_MIY2jy_K3OduzTdWoguP2MqSD0CnwcuCRRVuUdqQQq8LoisZA-BNlEbtF3nNLPxpr9YydJGd8HMnd48WrWEEKSqUuFWgU4uNpVj8CGEFFnaUVS-VBV5rOALNbm3i-pyjREyqemDGG_LE5Eg6D', 'width': 4160}]",ChIJ01NLarp3pC0R1uV0nxQeEgE,"{'compound_code': 'GJV5+V7 Wale, Bau-Bau City, South East Sulawesi, Indonesia', 'global_code': '6Q64GJV5+V7'}",4.7,ChIJ01NLarp3pC0R1uV0nxQeEgE,"['lodging', 'point_of_interest', 'establishment']",12,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ01NLarp3pC0R1uV0nxQeEgE
