business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Soekarno Hatta No.7, Manggis Ganting, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26169, Indonesia","{'location': {'lat': -0.299107, 'lng': 100.383142}, 'viewport': {'northeast': {'lat': -0.2977744701072778, 'lng': 100.3845204298927}, 'southwest': {'lat': -0.3004741298927223, 'lng': 100.3818207701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pusako Hotel,"[{'height': 704, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111799095537566505392"">A Google User</a>'], 'photo_reference': 'AUGGfZm8Iyvs219bq_YOROC-460DhcKms4uVC77Lqmmr5DlziLVVxalXXMUi-tjSDR3h11cTL9mEM1AwFhc3k-A8OH3wmvv58uYL4ykAdUviYkqxSIySMeTsvR7INnEkEYwUNiw52jnAu9SrpAIh8GBwYxU_TXOx4LnGBpTe76MutTfR2Tqq', 'width': 1068}]",ChIJ9SDJ8ZI41S8R6uBjTuj5gR4,"{'compound_code': 'P92M+97 Manggis Ganting, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P92M+97'}",3.9,ChIJ9SDJ8ZI41S8R6uBjTuj5gR4,"['lodging', 'point_of_interest', 'establishment']",1336,,https://www.google.com/maps/place/?q=place_id:ChIJ9SDJ8ZI41S8R6uBjTuj5gR4
OPERATIONAL,"Komplek Inkorba, Jl. Cempaka No. 1, Kecamatan Guguak Bulek, Mandiangin, Campago Guguk Bulek, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26128, Indonesia","{'location': {'lat': -0.2941456, 'lng': 100.381684}, 'viewport': {'northeast': {'lat': -0.2927657201072777, 'lng': 100.3830287798927}, 'southwest': {'lat': -0.2954653798927221, 'lng': 100.3803291201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Campago Resort Hotel,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115780961764853988087"">Al</a>'], 'photo_reference': 'AUGGfZkHtTq6rUgDkv1dQ0e7B9NmybSeXNyDAiBbp5sZn3bD_EHFBg6MjmwC7qt1gbsayzl6G9F5RKi88HAgBf2qWH3WPGysN249Y3CG6gxgUK_tmchJGhdHWnhM2xShYzGjKuXCbLXIcU4UxyUxTFzchonMeJUQXN-ytySVM6cYk61egduO', 'width': 3468}]",ChIJmQAAN4ZH1S8RXDz8ppAGhl8,"{'compound_code': 'P94J+8M Campago Guguk Bulek, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P94J+8M'}",4.2,ChIJmQAAN4ZH1S8RXDz8ppAGhl8,"['lodging', 'point_of_interest', 'establishment']",801,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJmQAAN4ZH1S8RXDz8ppAGhl8
OPERATIONAL,"Jl. Soekarno Hatta, Manggis Ganting, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26117, Indonesia","{'location': {'lat': -0.296513, 'lng': 100.3893015}, 'viewport': {'northeast': {'lat': -0.2951632701072778, 'lng': 100.3906732298927}, 'southwest': {'lat': -0.2978629298927222, 'lng': 100.3879735701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nikita Palace Hotel,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116218023754208811242"">A Google User</a>'], 'photo_reference': 'AUGGfZnX0AEH90BqnHIbGIl0BhwW8bR8Io5tTg7vz5HcIMr7WOTZzi9CFYJk9pWjfQgtA-7QBYU_XI1vCPlBBMS6WNPt-rcmIqMT8C2kD6yOsbTuK_IO5NJPcf8Gperz-IcLTlyYqY8wd7iHmPgHPyHJRSwQRzQFah7iln3j9GM4fF1Tvnn0', 'width': 4928}]",ChIJ5QffLoI41S8Rg1hDcv9LyB4,"{'compound_code': 'P93Q+9P Manggis Ganting, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P93Q+9P'}",4.1,ChIJ5QffLoI41S8Rg1hDcv9LyB4,"['lodging', 'point_of_interest', 'establishment']",248,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ5QffLoI41S8Rg1hDcv9LyB4
OPERATIONAL,"Jl. Kirab Remaja No.107, Puhun Tembok, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26136, Indonesia","{'location': {'lat': -0.2951827, 'lng': 100.3688594}, 'viewport': {'northeast': {'lat': -0.2938548701072778, 'lng': 100.3701800798927}, 'southwest': {'lat': -0.2965545298927222, 'lng': 100.3674804201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Copenhagen Bukittinggi,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106080221687124161875"">A Google User</a>'], 'photo_reference': 'AUGGfZnBeOrtKlKjqqqAkOKcIPI2poUAWi_8PIsFqynDInuOPIDFjDFx52991Z_moCFuiNi2jj5Nl74Ls_MctoWEOLMh8KIwAkItvhvYU9m8IltaXPZrO1vRzMrGpjv9qmwVHpNbPUwWHhCjYUaEpoCLh3FmJux_LFf7WDILfQ93lpaw33H0', 'width': 3120}]",ChIJzVCt7Gg51S8Rb0OQK9MP618,"{'compound_code': 'P939+WG Puhun Tembok, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P939+WG'}",4.9,ChIJzVCt7Gg51S8Rb0OQK9MP618,"['point_of_interest', 'establishment']",53,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJzVCt7Gg51S8Rb0OQK9MP618
OPERATIONAL,"Jl.Laras Datuk Bandaro, Bukit Cangang Kayu Ramang, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26115, Indonesia","{'location': {'lat': -0.3059126, 'lng': 100.3679924}, 'viewport': {'northeast': {'lat': -0.3045281701072778, 'lng': 100.3694133298927}, 'southwest': {'lat': -0.3072278298927222, 'lng': 100.3667136701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,TripleTree Hotel & Resort Bukittinggi,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112719533766646748446"">A Google User</a>'], 'photo_reference': 'AUGGfZk3mYzWmLX0gErwIIBaW-o5ec6cKdfcrJ_l_cdOzThVlLGECQ3syt7AFdMjVLnhc9da8eW2XWW4UcyhDlemtijcwl2z5-fiIFf8w0lz6jdnP0pvuEJc6_JT7D22o8FDuVoCDvkQjvAURyKourV_3PsHml_mhcm3PQjG-_NGPO0z2EfA', 'width': 768}]",ChIJ3wkQSEM51S8ROafOSKmcNDM,"{'compound_code': 'M9V9+J5 Bukit Cangang Kayu Ramang, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9V9+J5'}",4.8,ChIJ3wkQSEM51S8ROafOSKmcNDM,"['lodging', 'point_of_interest', 'establishment']",455,,https://www.google.com/maps/place/?q=place_id:ChIJ3wkQSEM51S8ROafOSKmcNDM
OPERATIONAL,"Puhun Tembok, Mandiangin Koto Selayan, Bukittinggi City, West Sumatra 26136, Indonesia","{'location': {'lat': -0.299216, 'lng': 100.3677438}, 'viewport': {'northeast': {'lat': -0.2978614201072777, 'lng': 100.3691156298927}, 'southwest': {'lat': -0.3005610798927222, 'lng': 100.3664159701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Khariz Hotel,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100779862318020410987"">Ade Saputra</a>'], 'photo_reference': 'AUGGfZkZYUykKVwd1OLVeVZBPtJWJn49BFNFeuP0LxxwA32-JBMyPYw2WPzn_lf0oWH2UNvuVJOo3jR7iIXaZNUPhBoGyDd-VSmdIUm91r-NSNZ8rLn38G4vn9JUkRGNnCdMqRMGhk0upbYuRWlyfbCzLSEf64fdXGyd7UqYoJU9s47baUJm', 'width': 4640}]",ChIJ-Yxpdqg51S8RhY542IIABw4,"{'compound_code': 'P929+84 Puhun Tembok, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P929+84'}",4.6,ChIJ-Yxpdqg51S8RhY542IIABw4,"['lodging', 'point_of_interest', 'establishment']",54,,https://www.google.com/maps/place/?q=place_id:ChIJ-Yxpdqg51S8RhY542IIABw4
OPERATIONAL,"Jl. By Pass No.1, Manggis Ganting, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26137, Indonesia","{'location': {'lat': -0.2969991, 'lng': 100.377602}, 'viewport': {'northeast': {'lat': -0.2955913201072777, 'lng': 100.3790125798927}, 'southwest': {'lat': -0.2982909798927222, 'lng': 100.3763129201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 555 Aedo Syariah,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115092437576712260463"">A Google User</a>'], 'photo_reference': 'AUGGfZmpviVQr690q3XqUrqr5iQGsb_WitkXrGvy0Ztyj2Wf8-XHFfShzbtWXd6X0FBCbL7jAZ-3YFiopVMJ8B0I9XCAnCyrKgLfLsiyy_jewFxPeCQs8EapJ4sYNDVMOJx7cBRudT4Y5VXS1qAo3l5M8PSBPEBJeCeuCMNLR-rGGKi0yWnQ', 'width': 640}]",ChIJtyAvfMo51S8R-DNUsnes8M8,"{'compound_code': 'P93H+62 Manggis Ganting, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P93H+62'}",4.0,ChIJtyAvfMo51S8R-DNUsnes8M8,"['lodging', 'point_of_interest', 'establishment']",274,,https://www.google.com/maps/place/?q=place_id:ChIJtyAvfMo51S8R-DNUsnes8M8
OPERATIONAL,"Jl. Kesehatan No. 36A, Guguk Panjang, Jl. Dr. Abdul Rivai No.36, Puhun Tembok, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26136, Indonesia","{'location': {'lat': -0.2990493, 'lng': 100.3680803}, 'viewport': {'northeast': {'lat': -0.2976778701072778, 'lng': 100.3694144298927}, 'southwest': {'lat': -0.3003775298927223, 'lng': 100.3667147701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Treeli Boutique Hotel,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103342542375569613387"">hendra lukito</a>'], 'photo_reference': 'AUGGfZmsKadUn8vWJM0gKNIcvXonkSgBeNL2mROaa9xVJGks-EkFVcTIpJfGsmvSGJsnqmMoVf4pueg8c3MT-j3fsbXjj850yBLl2r301WLP2b8SIrnwepLNpOuEZF0IluJkP4hXbVDw34BTyPZXSf8681P8BR4CELhfzTk7RlHSFYV9IIsI', 'width': 4160}]",ChIJpdMQXqE41S8RAcrB7PtZM8o,"{'compound_code': 'P929+96 Puhun Tembok, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P929+96'}",4.4,ChIJpdMQXqE41S8RAcrB7PtZM8o,"['lodging', 'point_of_interest', 'establishment']",257,,https://www.google.com/maps/place/?q=place_id:ChIJpdMQXqE41S8RAcrB7PtZM8o
OPERATIONAL,"Jl. Veteran Kelurahan No.36, Puhun Tembok, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26136, Indonesia","{'location': {'lat': -0.295338, 'lng': 100.3675405}, 'viewport': {'northeast': {'lat': -0.2939787201072777, 'lng': 100.3689272798927}, 'southwest': {'lat': -0.2966783798927222, 'lng': 100.3662276201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Albarra Syariah Hotel,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100128096432156802239"">Alifandi Erolflin</a>'], 'photo_reference': 'AUGGfZnb2EgEciubahYuu8yw5AbXSFYwLjlC9qm_VCtcrtVznXCjM3nySRu_QVr5HO-BLbVm-bzIw2h3xeLU6KPqgSFFT3RuJjRSe_WAxG-2LzZbza0N6Fw1eNRQZt3d7aMHXdrgan9DjK3tROHgwBxOUMezuc6E_i720NS7sqj5fPdVR13N', 'width': 1600}]",ChIJma8w1x851S8RCNwUxbPDsk4,"{'compound_code': 'P939+V2 Puhun Tembok, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2P939+V2'}",4.5,ChIJma8w1x851S8RCNwUxbPDsk4,"['lodging', 'point_of_interest', 'establishment']",322,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJma8w1x851S8RCNwUxbPDsk4
OPERATIONAL,"Jl. Yos Sudarso No.29, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26115, Indonesia","{'location': {'lat': -0.3027454, 'lng': 100.3662925}, 'viewport': {'northeast': {'lat': -0.3014971201072778, 'lng': 100.3678275298927}, 'southwest': {'lat': -0.3041967798927223, 'lng': 100.3651278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Rocky Hotel Bukittinggi,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114288452579394288750"">A Google User</a>'], 'photo_reference': 'AUGGfZkL4V-SHkQwI64KHu49S7gFLJIigokh3aEg0QXymfBz8BZog2VuTp8kETYncAR9wZNvZGeI2jAydrj7fV4wF90Dj8yavUBS4a-k776VvW6gOMoFSodyBz3XiwjAuU1jJB0IlrpecQfZ2MaRcqVWtsC28FHgNd5P7biK9-dQsY0Lf4Tk', 'width': 1920}]",ChIJxxkDWqM41S8ROW1AiF9EwjU,"{'compound_code': 'M9W8+WG Kayu Kubu, Bukittinggi City, West Sumatra, Indonesia', 'global_code': '6PF2M9W8+WG'}",4.5,ChIJxxkDWqM41S8ROW1AiF9EwjU,"['lodging', 'point_of_interest', 'establishment']",3813,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJxxkDWqM41S8ROW1AiF9EwjU
