business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jalan Kelapa Dua Entrop No. 12, RT.002/RW.009, Ardipura, Distrik Jayapura Selatan, Kota Jayapura, Papua 99221, Indonesia","{'location': {'lat': -2.567625, 'lng': 140.7023773}, 'viewport': {'northeast': {'lat': -2.566335470107278, 'lng': 140.7037094798927}, 'southwest': {'lat': -2.569035129892723, 'lng': 140.7010098201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BATIQA Hotel Jayapura,{'open_now': True},"[{'height': 1653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106933348499997430332"">A Google User</a>'], 'photo_reference': 'AUGGfZn57Stu06sNDTS8x16Xm4PrcuubkSAIOvR0fbXLlLnwGHpYDLQB9-B6HhC2JT9_U9HQGA2W5KaJrD-R-0o6CWou357zwiQNUSAyNB-Jr7xWa1Df_KYZLUcdqvckQEeMZcvX_raH0uxIwhvcgiabED7qRBEC10OLnJp_YD12AkDaVlh7', 'width': 2339}]",ChIJa8sFZEJZbGgRMO-D4ofr9mM,"{'compound_code': 'CPJ2+WX Ardipura, Jayapura City, Papua, Indonesia', 'global_code': '6R92CPJ2+WX'}",4.6,ChIJa8sFZEJZbGgRMO-D4ofr9mM,"['lodging', 'point_of_interest', 'establishment']",353,https://www.google.com/maps/place/?q=place_id:ChIJa8sFZEJZbGgRMO-D4ofr9mM
OPERATIONAL,"Pusat Bisnis Jayapura, Jl. Pacific Permai, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua 99112, Indonesia","{'location': {'lat': -2.5390337, 'lng': 140.7115637}, 'viewport': {'northeast': {'lat': -2.537642570107278, 'lng': 140.7128981298927}, 'southwest': {'lat': -2.540342229892723, 'lng': 140.7101984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Swiss-Belhotel Jayapura, Papua",{'open_now': True},"[{'height': 653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113849272310933411998"">Swiss-Belhotel Papua</a>'], 'photo_reference': 'AUGGfZnp9q04kOu6wVBlT5_MJa1scTopAkpC8F0GEJoNT0ctqk7PJB0bMjF0LPYxpmFdj5FDTFJwyO18FWsjf-SNeAYHZOv-_vJOz28ec5vyCEDmFHSNXxgSy28nlaTCEzc72n7_YmVslbFRfljbfpLgS9HgeCEA00NnartoxJFw-mwVVPlj', 'width': 1159}]",ChIJTSUnu05YbGgRi-TG8Fr3FL0,"{'compound_code': 'FP66+9J Bayangkara, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP66+9J'}",4.6,ChIJTSUnu05YbGgRi-TG8Fr3FL0,"['lodging', 'point_of_interest', 'establishment']",2906,https://www.google.com/maps/place/?q=place_id:ChIJTSUnu05YbGgRi-TG8Fr3FL0
OPERATIONAL,"Entrop, Jayapura Selatan, Jayapura City, Papua, Indonesia","{'location': {'lat': -2.5692353, 'lng': 140.7031421}, 'viewport': {'northeast': {'lat': -2.567928670107277, 'lng': 140.7045919298927}, 'southwest': {'lat': -2.570628329892722, 'lng': 140.7018922701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Horison Ultima,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114212467477235538169"">A Google User</a>'], 'photo_reference': 'AUGGfZnQB3Y0-srV0HOEs2juExTb2Zft-n0Ba5hJX1QsjQSdm7K9NoA7FGJlHB-q2CVjfFd-dK4E2HQDUGpRAUX4q4rZFOQZQ_wwS6y7NV29TehWAM7c41LU9z-al43_CRPG8sA0eC9BnLVPF46OOWJoRKBwmd4jOyFMOg7whE53Y7HofmGz', 'width': 1006}]",ChIJNapUXgVZbGgRn8y_W7nebmA,"{'compound_code': 'CPJ3+87 Entrop, Jayapura City, Papua, Indonesia', 'global_code': '6R92CPJ3+87'}",4.5,ChIJNapUXgVZbGgRn8y_W7nebmA,"['lodging', 'point_of_interest', 'establishment']",405,https://www.google.com/maps/place/?q=place_id:ChIJNapUXgVZbGgRn8y_W7nebmA
OPERATIONAL,"Jl. Ahmad Yani No.12, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99117, Indonesia","{'location': {'lat': -2.5425425, 'lng': 140.7031381}, 'viewport': {'northeast': {'lat': -2.541358720107278, 'lng': 140.7045438798927}, 'southwest': {'lat': -2.544058379892722, 'lng': 140.7018442201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mercure Hotel Jayapura,{'open_now': True},"[{'height': 2528, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106408071236079303719"">A Google User</a>'], 'photo_reference': 'AUGGfZkTEKThL9PfaWNNi0bkEMKmJSicCPUmJTIPwzugEN-tGGcRqO7FtcHGwjTRres-T0deJq8K-sgAg_fT9EviOQaCUUZAEjur0RHiI8MD_9JMaEmVJnOGh4LDY-KuzkG71Q_CxoIF1KrlagTwMZujHIzJ0FUbJIRhqdHECjcdOjq2hITJ', 'width': 1686}]",ChIJ80vE0UNYbGgRjIPXuSsLjSI,"{'compound_code': 'FP43+X7 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP43+X7'}",4.3,ChIJ80vE0UNYbGgRjIPXuSsLjSI,"['lodging', 'point_of_interest', 'establishment']",1454,https://www.google.com/maps/place/?q=place_id:ChIJ80vE0UNYbGgRjIPXuSsLjSI
OPERATIONAL,"Jl. Percetakan Negara No.50 - 58, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.541273, 'lng': 140.7031631}, 'viewport': {'northeast': {'lat': -2.539981020107277, 'lng': 140.7046250298927}, 'southwest': {'lat': -2.542680679892722, 'lng': 140.7019253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ASTON Jayapura Hotel & Convention Center,{'open_now': True},"[{'height': 3899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112794171403465458245"">Aston Jayapura Hotel &amp; Convention Center</a>'], 'photo_reference': 'AUGGfZmOVj9tHf-6oWspoS-rsEeQ4cakn3g43YNE4VD91EbfA1LyGU01K7hRETrV6DS6uz-jf8GYpNPyOCAiFEZdwW0FwLA5BUcrzR-E0mytbVOgYSGPhpS_DmkgZTmrisX1jaKO3l4iBjQWp6_FWBFQB2lHkgEDKQ7v4XkzYuP5yYyDUmI6', 'width': 2430}]",ChIJoQrHTh5YbGgRZYo1_bR4HRo,"{'compound_code': 'FP53+F7 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP53+F7'}",4.5,ChIJoQrHTh5YbGgRZYo1_bR4HRo,"['lodging', 'point_of_interest', 'establishment']",2513,https://www.google.com/maps/place/?q=place_id:ChIJoQrHTh5YbGgRZYo1_bR4HRo
OPERATIONAL,"Jl. Percetakan II No.2, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99351, Indonesia","{'location': {'lat': -2.5424867, 'lng': 140.7020984}, 'viewport': {'northeast': {'lat': -2.541188420107278, 'lng': 140.7035919298927}, 'southwest': {'lat': -2.543888079892723, 'lng': 140.7008922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Horison Jayapura,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112389773911668235694"">A Google User</a>'], 'photo_reference': 'AUGGfZlvY2Xe6oUxVWMrearXsuTV0_bTaVR290iTXf6pTd8CUDnf0YbvLIyHCNJUIFYBnw4MxGVmSpR58v-9px70vDnxrjaaglFf5kvXftZtziFxMBdSVeok_HLT4JM7eE5jVV-IOLwPNr0CrvNwdlFmIMUG7MTu2-ZW4rwP_vi84pRZPnnl', 'width': 5184}]",ChIJj0H4JEFYbGgRD7TxXMl9dYA,"{'compound_code': 'FP52+2R Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP52+2R'}",4.4,ChIJj0H4JEFYbGgRD7TxXMl9dYA,"['lodging', 'point_of_interest', 'establishment']",1244,https://www.google.com/maps/place/?q=place_id:ChIJj0H4JEFYbGgRD7TxXMl9dYA
OPERATIONAL,"Jl. Klp. 2 No.18, Entrop, Distrik Jayapura Selatan, Kota Jayapura, Papua 99221, Indonesia","{'location': {'lat': -2.5661461, 'lng': 140.6996539}, 'viewport': {'northeast': {'lat': -2.564726470107277, 'lng': 140.7009605298927}, 'southwest': {'lat': -2.567426129892722, 'lng': 140.6982608701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Tabi Hotel Papua,,"[{'height': 448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111627557848111565466"">A Google User</a>'], 'photo_reference': 'AUGGfZl7VMOKKxFckaZZvJCNEdMkQsU-4-oCmcn5yCe8Key7avNqUh7obBnbI63DhDZnbZ00ugopEruTeUm3FlqK6bhYlKadORmE0Mo17WcLFvROK4LVQxCIxYxod34n38lIW3-m2hJRcTmTUeI8dUmixfWOhq3bbI86RddD-JoRbXJMBola', 'width': 684}]",ChIJbyPpt5RYbGgRM6qzQdEvipw,"{'compound_code': 'CMMX+GV Entrop, Jayapura City, Papua, Indonesia', 'global_code': '6R92CMMX+GV'}",4.1,ChIJbyPpt5RYbGgRM6qzQdEvipw,"['lodging', 'point_of_interest', 'establishment']",935,https://www.google.com/maps/place/?q=place_id:ChIJbyPpt5RYbGgRM6qzQdEvipw
OPERATIONAL,"Kompleks Ruko Jayapura C 39, Jl. Pacific Permai, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua, Indonesia","{'location': {'lat': -2.5382407, 'lng': 140.7113549}, 'viewport': {'northeast': {'lat': -2.536947720107277, 'lng': 140.7127275298927}, 'southwest': {'lat': -2.539647379892722, 'lng': 140.7100278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Front One Hotel Jayapura,{'open_now': True},"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114685926204756267804"">ad palintin</a>'], 'photo_reference': 'AUGGfZkF1qNMcwJkGVElUOJBAJCu3sZ1NWMzfCcE5BAX76ZSkWfI6FtrZKVb1b4Z_4JUaAdBMQJPRjsffe8TpkRnqInZghqaGI08cZq9d-PdFZEHPhegp1G794HfPPqlNZF-xXnRlt7N-mHG3iXdw37XdKhGSAK4K5bSjie1Ob6AJTihiHyx', 'width': 4000}]",ChIJS4057zdYbGgR8jmtC-BpfHk,"{'compound_code': 'FP66+PG Bayangkara, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP66+PG'}",4.2,ChIJS4057zdYbGgR8jmtC-BpfHk,"['lodging', 'point_of_interest', 'establishment']",1212,https://www.google.com/maps/place/?q=place_id:ChIJS4057zdYbGgR8jmtC-BpfHk
OPERATIONAL,"Jl. Percetakan Negara No.8, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.5401262, 'lng': 140.705014}, 'viewport': {'northeast': {'lat': -2.538844420107278, 'lng': 140.7064008798927}, 'southwest': {'lat': -2.541544079892722, 'lng': 140.7037012201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Maxone Hotel Jayapura,,"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102311495555643915449"">A Google User</a>'], 'photo_reference': 'AUGGfZkXi3ReClDS7Ij1K9sn_hRlW1P-MWf5huiTI4CEpwempgWCSDYFanyeRGDOTGysLhjS649XFCQ4JHaBKZA-oyCJ_NAAqJyvMSWrc8g9ZEKau7NgDle8JMhi2SOf4aUPAIZet6ni02EwgWwGMPs3Y1X0Ik199UoPFTB593qhbRBw_-si', 'width': 1080}]",ChIJ_-Py5lhZbGgRYQksuhM4cvY,"{'compound_code': 'FP54+W2 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP54+W2'}",4.7,ChIJ_-Py5lhZbGgRYQksuhM4cvY,"['bar', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",79,https://www.google.com/maps/place/?q=place_id:ChIJ_-Py5lhZbGgRYQksuhM4cvY
OPERATIONAL,"Jl. Pantai Klp. No.21 - 23, Argapura, Distrik Jayapura Selatan, Kota Jayapura, Papua, Indonesia","{'location': {'lat': -2.5537101, 'lng': 140.7148929}, 'viewport': {'northeast': {'lat': -2.552347970107277, 'lng': 140.7161727798927}, 'southwest': {'lat': -2.555047629892722, 'lng': 140.7134731201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Horison Inn Relat Jayapura,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102653183399597399058"">A Google User</a>'], 'photo_reference': 'AUGGfZnsqkgaIyyj7lqPPg1BRaXpI6jH9gsSj6ceCZ3awENCK47tiKk2q9xHq6Ruf4U0bE4IIRIEovk4i3kNM427iwAvIQTgnoCWVvRl93wA6UuYrhosJM08In7SX9ByQNGHWuLBfYe4wAjwgIMbkMuuNbOnQ189jl3TxJ4YkLjQcJt0QjfJ', 'width': 1080}]",ChIJVaFO5VVYbGgRlMTFtbvBj7k,"{'compound_code': 'CPW7+GX Argapura, Jayapura City, Papua, Indonesia', 'global_code': '6R92CPW7+GX'}",4.3,ChIJVaFO5VVYbGgRlMTFtbvBj7k,"['lodging', 'point_of_interest', 'establishment']",129,https://www.google.com/maps/place/?q=place_id:ChIJVaFO5VVYbGgRlMTFtbvBj7k
