business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Pusat Bisnis Jayapura, Jl. Pacific Permai, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua 99112, Indonesia","{'location': {'lat': -2.5390337, 'lng': 140.7115637}, 'viewport': {'northeast': {'lat': -2.537642570107278, 'lng': 140.7128981298927}, 'southwest': {'lat': -2.540342229892723, 'lng': 140.7101984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Swiss-Belhotel Jayapura, Papua",{'open_now': True},"[{'height': 653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113849272310933411998"">Swiss-Belhotel Papua</a>'], 'photo_reference': 'AUGGfZmStvrwXJyREq_czN4t0ym7xOXlTuY__M9izx_wLCxVItwtLMfmKLAuZBqiUYev4OfCve3KTFQpiXOfNAHW7O3mpDdZz0OwBN9lV2rBnYktfSxmr5NgBswpnIBZiujYW6O7ajx9fas4VPuVh5b_hFVgtHgF0N3tlOH2vLTxiJhkJHy0', 'width': 1159}]",ChIJTSUnu05YbGgRi-TG8Fr3FL0,"{'compound_code': 'FP66+9J Bayangkara, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP66+9J'}",4.6,ChIJTSUnu05YbGgRi-TG8Fr3FL0,"['lodging', 'point_of_interest', 'establishment']",2906,https://www.google.com/maps/place/?q=place_id:ChIJTSUnu05YbGgRi-TG8Fr3FL0
OPERATIONAL,"Jl. Ahmad Yani No.12, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99117, Indonesia","{'location': {'lat': -2.5425425, 'lng': 140.7031381}, 'viewport': {'northeast': {'lat': -2.541358720107278, 'lng': 140.7045438798927}, 'southwest': {'lat': -2.544058379892722, 'lng': 140.7018442201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mercure Hotel Jayapura,{'open_now': True},"[{'height': 2528, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106408071236079303719"">A Google User</a>'], 'photo_reference': 'AUGGfZlMxdpSag5FTnE8YpzQg2hIl4Gptjx3iPckBV80jMPo6k25Nel4XROMCJLj3IMFbV6Gm7vaxuFVCXo3m7kayF7jRXSc4XHWqQxhGDJWzPXRTegSjPZ1EBrj2CiPXgwXhrIei3YpCnvUPnVd3rrxuLxSCxG941KVKCqqVOVZSJyG9ucZ', 'width': 1686}]",ChIJ80vE0UNYbGgRjIPXuSsLjSI,"{'compound_code': 'FP43+X7 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP43+X7'}",4.3,ChIJ80vE0UNYbGgRjIPXuSsLjSI,"['lodging', 'point_of_interest', 'establishment']",1454,https://www.google.com/maps/place/?q=place_id:ChIJ80vE0UNYbGgRjIPXuSsLjSI
OPERATIONAL,"Jl. Percetakan Negara No.50 - 58, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.541273, 'lng': 140.7031631}, 'viewport': {'northeast': {'lat': -2.539981020107277, 'lng': 140.7046250298927}, 'southwest': {'lat': -2.542680679892722, 'lng': 140.7019253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ASTON Jayapura Hotel & Convention Center,{'open_now': True},"[{'height': 3899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112794171403465458245"">Aston Jayapura Hotel &amp; Convention Center</a>'], 'photo_reference': 'AUGGfZmfiPNCAihZs0RJX6AEn3fZS4WQXMvhTf0rhZXEnH8qA6oSSlkQS7cGlerGNLUqyZqEe8Xk5iD-iG_fLSoHWE6GI6rbMAnpgY-ejKj_-JEVAIvO3S_D0iF04WeTfqBodWvCpfZQGawTByStFeLJilE9OwU-Gutf0qw-FcRYL81g5jtY', 'width': 2430}]",ChIJoQrHTh5YbGgRZYo1_bR4HRo,"{'compound_code': 'FP53+F7 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP53+F7'}",4.5,ChIJoQrHTh5YbGgRZYo1_bR4HRo,"['lodging', 'point_of_interest', 'establishment']",2513,https://www.google.com/maps/place/?q=place_id:ChIJoQrHTh5YbGgRZYo1_bR4HRo
OPERATIONAL,"Jl. Percetakan II No.2, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99351, Indonesia","{'location': {'lat': -2.5424867, 'lng': 140.7020984}, 'viewport': {'northeast': {'lat': -2.541188420107278, 'lng': 140.7035919298927}, 'southwest': {'lat': -2.543888079892723, 'lng': 140.7008922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Horison Jayapura,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112389773911668235694"">A Google User</a>'], 'photo_reference': 'AUGGfZn44Z-6zB4uBvgmY6h5SgLQ61-Bk0PW83SAda7OMUQkc5Jl0ii8qomZDxQC2bMrHMtqP8g5RK_qhDPbnWyaz60DLg1iJMj_HHB1AZpQPBk6EsBnh09TX1zKkoeXaCJM020Z7xu9FjHbQzjdSXZNuewA215JikTCP9jBbVDd2I5Qk0On', 'width': 5184}]",ChIJj0H4JEFYbGgRD7TxXMl9dYA,"{'compound_code': 'FP52+2R Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP52+2R'}",4.4,ChIJj0H4JEFYbGgRD7TxXMl9dYA,"['lodging', 'point_of_interest', 'establishment']",1244,https://www.google.com/maps/place/?q=place_id:ChIJj0H4JEFYbGgRD7TxXMl9dYA
OPERATIONAL,"Kompleks Ruko Jayapura C 39, Jl. Pacific Permai, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua, Indonesia","{'location': {'lat': -2.5382407, 'lng': 140.7113549}, 'viewport': {'northeast': {'lat': -2.536947720107277, 'lng': 140.7127275298927}, 'southwest': {'lat': -2.539647379892722, 'lng': 140.7100278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Front One Hotel Jayapura,{'open_now': True},"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114685926204756267804"">ad palintin</a>'], 'photo_reference': 'AUGGfZnfa_kmE1YX4iEDAGkZFwdx1-P_gXeQwnoWJdFKKRq-FSFKpMaosqk6UDD6PJTQxcNNl6wogyoCr_9n0W-TuGc5CQa80_S7EAK579c4WX6Pr0uZhcUMb4IXziSit3D0g5j3I-_nNozISLRK0mXkCWvmrAZcVjyREQ8lcDy_mcC7jumW', 'width': 4000}]",ChIJS4057zdYbGgR8jmtC-BpfHk,"{'compound_code': 'FP66+PG Bayangkara, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP66+PG'}",4.2,ChIJS4057zdYbGgR8jmtC-BpfHk,"['lodging', 'point_of_interest', 'establishment']",1212,https://www.google.com/maps/place/?q=place_id:ChIJS4057zdYbGgR8jmtC-BpfHk
OPERATIONAL,"Jl. Percetakan Negara No.8, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.5401262, 'lng': 140.705014}, 'viewport': {'northeast': {'lat': -2.538844420107278, 'lng': 140.7064008798927}, 'southwest': {'lat': -2.541544079892722, 'lng': 140.7037012201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Maxone Hotel Jayapura,,"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102311495555643915449"">A Google User</a>'], 'photo_reference': 'AUGGfZkILW0AWBJ2JMopkEVx4ICtoNVe0qClYOxf7yQJec77NTt4eQoST8XQZm1YV_X8GYyeh9sRblghPVCIS8vSWEQsJnawlkUVwSLI-JEfFMM3_yOpvpdFaDdkg2gJDEum5WRpAAn2ATUCa2SKgX1UqW2r9bK0-bKJ52KZiz4fKlIFxTaT', 'width': 1080}]",ChIJ_-Py5lhZbGgRYQksuhM4cvY,"{'compound_code': 'FP54+W2 Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP54+W2'}",4.7,ChIJ_-Py5lhZbGgRYQksuhM4cvY,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",79,https://www.google.com/maps/place/?q=place_id:ChIJ_-Py5lhZbGgRYQksuhM4cvY
OPERATIONAL,"Jl. Dr. Soetomo No.16, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.5446156, 'lng': 140.7012529}, 'viewport': {'northeast': {'lat': -2.543328920107278, 'lng': 140.7026235298927}, 'southwest': {'lat': -2.546028579892722, 'lng': 140.6999238701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,FOX Hotel Jayapura,,"[{'height': 1140, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106783587991394954981"">A Google User</a>'], 'photo_reference': 'AUGGfZkIvjSQ9tYDTAs3mSuvHwKyHrEyC7Y8nH7jKBKN99FjOakD2ZYdt6CUDhfJnSaJv8Tcd9H_ZlESWujm74h6LWu3ke5ugV8G11IYbLzH514b-lbRnVIZvdCwUKUm6DNlSUaGzqWHigJyikPHRFhP69ZEi67MqahOjMRQqMHB8XHPJy4k', 'width': 1711}]",ChIJlQiV8kJYbGgRN5siNoma89Y,"{'compound_code': 'FP42+5G Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP42+5G'}",4.5,ChIJlQiV8kJYbGgRN5siNoma89Y,"['lodging', 'point_of_interest', 'establishment']",374,https://www.google.com/maps/place/?q=place_id:ChIJlQiV8kJYbGgRN5siNoma89Y
OPERATIONAL,"Jl. Ahmad Yani No.50, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99221, Indonesia","{'location': {'lat': -2.5436754, 'lng': 140.7014241}, 'viewport': {'northeast': {'lat': -2.542272820107277, 'lng': 140.7027546798927}, 'southwest': {'lat': -2.544972479892722, 'lng': 140.7000550201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SIP Azana Hotel Jayapura,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104548635950285105799"">A Google User</a>'], 'photo_reference': 'AUGGfZnT1K_WNKjwLT583wmDqX7-MPGXsJCNoI6hqtCuazCbSItLE73PuRhlLdjSKwQcFRvqOvLVaHRkX0eVXT0Jsq4R8kXO-cXv2J8r8BtppZfiDq5jddcvAqzv7Pnp2hp4SbyLgSK9GF9LLhgTrlS9bdMz9QBiOqCBi76dBORb9fGqQkc4', 'width': 1600}]",ChIJgZUM3JJZbGgRnm_nZZTFEcM,"{'compound_code': 'FP42+GH Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP42+GH'}",4.6,ChIJgZUM3JJZbGgRnm_nZZTFEcM,"['lodging', 'point_of_interest', 'establishment']",41,https://www.google.com/maps/place/?q=place_id:ChIJgZUM3JJZbGgRnm_nZZTFEcM
OPERATIONAL,"Jl. Percetakan Negara No.8, Gurabesi, Kec. Jayapura Utara, Kota Jayapura, Papua 99111, Indonesia","{'location': {'lat': -2.5402997, 'lng': 140.704585}, 'viewport': {'northeast': {'lat': -2.539063020107278, 'lng': 140.7059873798927}, 'southwest': {'lat': -2.541762679892722, 'lng': 140.7032877201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Jasmine Jayapura,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116369760087094710964"">A Google User</a>'], 'photo_reference': 'AUGGfZmISiDZgPwmDLW_kvlgfaRGLQV5qdOtt-7dZTBNIMpgiqgLEcrjH2Xt_Nbv6GffssyHFd5lLZTr3_CKz5OmVZ3CEu40GPITv6nb4XrCJAy4b0jZjnJzHvVPeJ2vHiKOZcA6nzOdljBADDkkqpM3pOQHIO63smgITOlimfxhZYgs8vaF', 'width': 3456}]",ChIJPaokI0JYbGgRMzuO9vndTyY,"{'compound_code': 'FP53+VR Gurabesi, Jayapura City, Papua, Indonesia', 'global_code': '6R92FP53+VR'}",4.0,ChIJPaokI0JYbGgRMzuO9vndTyY,"['lodging', 'point_of_interest', 'establishment']",478,https://www.google.com/maps/place/?q=place_id:ChIJPaokI0JYbGgRMzuO9vndTyY
OPERATIONAL,"Mandala, Jayapura Utara, Jayapura City, Papua, Indonesia","{'location': {'lat': -2.5291278, 'lng': 140.722794}, 'viewport': {'northeast': {'lat': -2.527705770107278, 'lng': 140.7242468798927}, 'southwest': {'lat': -2.530405429892722, 'lng': 140.7215472201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Atlet Mandala PON XX Papua,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102653183399597399058"">A Google User</a>'], 'photo_reference': 'AUGGfZl0LQ8nIwRDl0Uobc8ZLTz1Xmn2xiz-g8eupu5AyKn0m5dSVH70nCvO0YNLuM8VvAwLizJgbYd7V74xqSAM_jnPlYTtYPwLW6JdfQnTBmEipfzCHVQxVS4QcnG-3kt_vXJlv2h7kb4Tp5QbY9DsWPU1wiD6Z8bc2buTfozA4SySz2qx', 'width': 3000}]",ChIJP5PLhmxZbGgREcG4OusMZTI,"{'compound_code': 'FPCF+95 Mandala, Jayapura City, Papua, Indonesia', 'global_code': '6R92FPCF+95'}",4.8,ChIJP5PLhmxZbGgREcG4OusMZTI,"['lodging', 'point_of_interest', 'establishment']",125,https://www.google.com/maps/place/?q=place_id:ChIJP5PLhmxZbGgREcG4OusMZTI
