business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Yos Sudarso No.1, Batu Urip Taba, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31624, Indonesia","{'location': {'lat': -3.2819357, 'lng': 102.8889477}, 'viewport': {'northeast': {'lat': -3.280500570107278, 'lng': 102.8902372298927}, 'southwest': {'lat': -3.283200229892723, 'lng': 102.8875375701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Zuri Lubuklinggau by ZHM,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115006585156782663383"">A Google User</a>'], 'photo_reference': 'AUGGfZmPC5Emxa_i_oB4wzzkf-LbJ55QLQpd4qStvaD4DcIg47xThj5zmMKhCDaXqWdmVt7D1vIVd5F2rITRB7oCPwzu_P7cLoVKL43c9DDVWYolh7VPN7siOofesTe1NlYi6CMwv-UVrVfTL4B72ZXghptiEqufa8jm98nggEl21AIS4-UD', 'width': 4080}]",ChIJRzPrJufhMC4RDfy4bSV90bk,"{'compound_code': 'PV9Q+6H Batu Urip Taba, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PV9Q+6H'}",4.8,ChIJRzPrJufhMC4RDfy4bSV90bk,"['lodging', 'point_of_interest', 'establishment']",1177,,https://www.google.com/maps/place/?q=place_id:ChIJRzPrJufhMC4RDfy4bSV90bk
OPERATIONAL,"Jalan HM Soeharto.Km.12, RW No.168, Lubuk Kupang, Kec. Lubuk Linggau Sel. I, Kota Lubuklinggau, Sumatera Selatan 31626, Indonesia","{'location': {'lat': -3.2715821, 'lng': 102.9519074}, 'viewport': {'northeast': {'lat': -3.270113820107278, 'lng': 102.9533415298927}, 'southwest': {'lat': -3.272813479892723, 'lng': 102.9506418701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Famvida Hotel Lubuklinggau,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116104782772552764800"">Tony Hanafi</a>'], 'photo_reference': 'AUGGfZkwAybCYm7KngScUoB8kdEHfJzGLs-IBZnYzuQlliCpVJ4z08LL3tfClNwdU0E-vDCFiq_An2opTRm0S6KlY-tH40iL7gUEMuE_LoyES07-N-gF39Xq3bRyBuyG6PrufY_1lDslue39eLN1apguZwInXIoNUL8mNOEgAm8TFCnA0QS-', 'width': 4096}]",ChIJv86CV2bmMC4RiJy1p9aoYfs,"{'compound_code': 'PXH2+9Q Lubuk Kupang, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PXH2+9Q'}",4.5,ChIJv86CV2bmMC4RiJy1p9aoYfs,"['lodging', 'point_of_interest', 'establishment']",2249,,https://www.google.com/maps/place/?q=place_id:ChIJv86CV2bmMC4RiJy1p9aoYfs
OPERATIONAL,"Jl. Yos Sudarso No.70, RW.72, Taba Jemekeh, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31625, Indonesia","{'location': {'lat': -3.2874168, 'lng': 102.8787931}, 'viewport': {'northeast': {'lat': -3.286074620107278, 'lng': 102.8800624798927}, 'southwest': {'lat': -3.288774279892723, 'lng': 102.8773628201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,WE Hotel Linggau,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117756274705679890344"">Noprian Ardi</a>'], 'photo_reference': 'AUGGfZlwxszmsVdz8ailvOOOYa6A9T_ybGEK8ZA28vRMMC0l48LHn6Ljosyw--EvnTvP3pVSJQgEs-Ch1MuGz35AuqEQ8rWsNOY_Kik2jnkX0JlbQQqFg2DSR7SNsgVf2uqqxR-Umr4RygpQKgcDo5zr_K-RkpgmpZIkZ7Ljeh6m8T9vCypF', 'width': 4096}]",ChIJ1S7HvHzhMC4RhCGANMGZ5Yo,"{'compound_code': 'PV7H+2G Taba Jemekeh, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PV7H+2G'}",4.5,ChIJ1S7HvHzhMC4RhCGANMGZ5Yo,"['lodging', 'point_of_interest', 'establishment']",582,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ1S7HvHzhMC4RhCGANMGZ5Yo
OPERATIONAL,"Jl. Yos Sudarso No.13, Taba Jemekeh, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31624, Indonesia","{'location': {'lat': -3.2871946, 'lng': 102.880497}, 'viewport': {'northeast': {'lat': -3.285900720107277, 'lng': 102.8818660298927}, 'southwest': {'lat': -3.288600379892722, 'lng': 102.8791663701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,AMAZING RIVERSIDE HOTEL,"[{'height': 1792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105328409686819620752"">A Google User</a>'], 'photo_reference': 'AUGGfZmkKgMSqMRhLtpPW8FQ6psNKdgVemAVby869kZeX7B7GnAI9hoqub5V1F-lB9jgjUihBBc4SDAP_4NhXP3HM-h8ERXx48dBQhuBHHZSafraFohsdsYGj5qqJB6HgJbCZgKvKPqIo4yxoixis3iIr0DEEnR20qIu_3tzmKmG9GMafW6T', 'width': 1186}]",ChIJEwxUfyThMC4RtWTRJrGlnPQ,"{'compound_code': 'PV7J+45 Taba Jemekeh, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PV7J+45'}",4.4,ChIJEwxUfyThMC4RtWTRJrGlnPQ,"['lodging', 'point_of_interest', 'establishment']",929,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJEwxUfyThMC4RtWTRJrGlnPQ
OPERATIONAL,"Jl. Yos Sudarso No.143, Watervang, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31628, Indonesia","{'location': {'lat': -3.2776032, 'lng': 102.8970972}, 'viewport': {'northeast': {'lat': -3.276152220107278, 'lng': 102.8984004798927}, 'southwest': {'lat': -3.278851879892723, 'lng': 102.8957008201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Burza Hotel Lubuklinggau,"[{'height': 975, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106103311520028380680"">A Google User</a>'], 'photo_reference': 'AUGGfZkkfg9QCdDOWvR8t5VrwykPJowWKnWm9Fbo65MWr-SY0F7cga5o4swrEr7gM3DyhSaJnCuAI6H89u1PkIb-YzqWnFe9ltvg3HOmfWdVUDkKHHNzWrrwD1k6ZIveq5I1TJ21G5-xG6q1xUz23-9vWjLiSOpcAUghm32Z12Xan_q3Y_Ap', 'width': 780}]",ChIJpXhO0TThMC4RJKatI1_ptE8,"{'compound_code': 'PVCW+XR Watervang, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PVCW+XR'}",4.1,ChIJpXhO0TThMC4RJKatI1_ptE8,"['lodging', 'point_of_interest', 'establishment']",1463,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJpXhO0TThMC4RJKatI1_ptE8
OPERATIONAL,"Jl. Yos Sudarso, Jawa Kanan Ss, Kec. Lubuk Linggau Tim. II, Kota Lubuklinggau, Sumatera Selatan 31621, Indonesia","{'location': {'lat': -3.2952636, 'lng': 102.8667897}, 'viewport': {'northeast': {'lat': -3.294024520107278, 'lng': 102.8681804798927}, 'southwest': {'lat': -3.296724179892722, 'lng': 102.8654808201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Smart Hotel,"[{'height': 1057, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101541932959320879427"">A Google User</a>'], 'photo_reference': 'AUGGfZmYyzNurzfhPLoyyYKBOT96QPEqsSYwNV3ZbznUkoKYHY5uiCIVZ4wqq5DZfXI4muxGLFexjFe16CRzcFU-DyI_VExuWIVZuWvWGmrK4zPMa9vrvVanmeoQPs826EBduvzBkhvvtoJzEUFGtXiB9eUK3pUfEIKSUGA7EUnfZlUw7evO', 'width': 2778}]",ChIJYbL2FJXmMC4RFbrVdsEhCrE,"{'compound_code': 'PV38+VP Jawa Kanan Ss, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PV38+VP'}",4.1,ChIJYbL2FJXmMC4RFbrVdsEhCrE,"['lodging', 'point_of_interest', 'establishment']",1598,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJYbL2FJXmMC4RFbrVdsEhCrE
OPERATIONAL,"Jl. Yos Sudarso Komplek Ruko Caroline Winasta Blok Blok C1, Watervang, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31628, Indonesia","{'location': {'lat': -3.2755036, 'lng': 102.9013558}, 'viewport': {'northeast': {'lat': -3.274141120107278, 'lng': 102.9027295298927}, 'southwest': {'lat': -3.276840779892722, 'lng': 102.9000298701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Dewinda,"[{'height': 1097, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104687702416736731242"">A Google User</a>'], 'photo_reference': 'AUGGfZmlxGdHz9iGAGO3BNsIESp-wVC1R_67AHcUHUWmOAer1-3KCMAoF--sJedvHmV0iZpBr5kAvoL_DKuuoZno4VHoYXHgCTKLYRwRjzTYDs2QUgCCgTR3fVMzeZ27Oo3SkxAXSqNUrCB0fhbqxBfTRad3OawDyAAVA4xRhpZqZdHrK-wP', 'width': 1080}]",ChIJzxP_wGPnMC4RBPoKQ0NYDp0,"{'compound_code': 'PWF2+QG Watervang, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PWF2+QG'}",4.5,ChIJzxP_wGPnMC4RBPoKQ0NYDp0,"['lodging', 'point_of_interest', 'establishment']",1029,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJzxP_wGPnMC4RBPoKQ0NYDp0
OPERATIONAL,"Jl. Yos Sudarso No.88, RT.2, Jawa Kanan Ss, Kec. Lubuk Linggau Tim. II, Kota Lubuklinggau, Sumatera Selatan 31613, Indonesia","{'location': {'lat': -3.2928011, 'lng': 102.868875}, 'viewport': {'northeast': {'lat': -3.291476220107278, 'lng': 102.8702693798927}, 'southwest': {'lat': -3.294175879892722, 'lng': 102.8675697201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Royal,"[{'height': 1046, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104451272728931523455"">A Google User</a>'], 'photo_reference': 'AUGGfZkjtnAF2tlX1bF4MESTbd17SzjKeh3vKEqUOdoz48yMG2uVK4j_hX4NsOgKG58VK5_x3nXrW6Qn36-vuMrb-Qcc_DQKTjwTNi-lOOEam2k5VL31tm-TKo8c9OzNjjiVlNmn7B7i-1vLhdJJKsf8ZgkVlIpIiksNlcXN4mZaTQrylDHH', 'width': 1394}]",ChIJrXl2UljgMC4RazBD36WakNY,"{'compound_code': 'PV49+VH Jawa Kanan Ss, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PV49+VH'}",4.2,ChIJrXl2UljgMC4RazBD36WakNY,"['lodging', 'point_of_interest', 'establishment']",581,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJrXl2UljgMC4RazBD36WakNY
OPERATIONAL,"Jl. Yos Sudarso No.309, Dempo, Kec. Lubuk Linggau Tim. II, Kota Lubuklinggau, Sumatera Selatan 31613, Indonesia","{'location': {'lat': -3.2956599, 'lng': 102.867082}, 'viewport': {'northeast': {'lat': -3.294236120107278, 'lng': 102.8684013798927}, 'southwest': {'lat': -3.296935779892722, 'lng': 102.8657017201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,COZY STYLE HOTEL,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111756665924357556398"">abu hammam</a>'], 'photo_reference': 'AUGGfZnpuGTA9TcZgsxcSnnKDJks8JKx1L58uFSLmeso4ZeSmL5Pt6qENg1OLFF0LDZBiC2O_6hn2Nu9qwvJMyqwZn7Ua9rWcs55S4wnzq9JxTbKNR3LhO0CleLAU5nawRXpPaG3xkaHtryrepUDCFXlqgSNKCYTzE22CUUTNOiM7WiAm1aB', 'width': 4128}]",ChIJnegljfnhMC4RegpXInw_4Hg,"{'compound_code': 'PV38+PR Dempo, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PV38+PR'}",4.2,ChIJnegljfnhMC4RegpXInw_4Hg,"['lodging', 'point_of_interest', 'establishment']",422,,https://www.google.com/maps/place/?q=place_id:ChIJnegljfnhMC4RegpXInw_4Hg
OPERATIONAL,"Jl. Yos Sudarso No.298, Watervang, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31625, Indonesia","{'location': {'lat': -3.2762497, 'lng': 102.8998742}, 'viewport': {'northeast': {'lat': -3.274833620107278, 'lng': 102.9011962798927}, 'southwest': {'lat': -3.277533279892722, 'lng': 102.8984966201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz Plus @ Hotel Sempurna Watervang Lubuk Linggau,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100015269672672902124"">A Google User</a>'], 'photo_reference': 'AUGGfZmAN0A6dCEfpUBDzMvpZdK9xl1jLgJEG-axHrKSD-n57-1NPDMNHX7ExnisDsxO_kxttgVvHc8Ix4drR2uailVs0gD9bGMgv8_lulPblQyeeOyMleronuuxUPCJb4OgobKI0OuqoqhgPZPtaj3c3R6dH3iRBiV5w53Y7qBBWSN30SzL', 'width': 900}]",ChIJ7QyOgCPhMC4RaHjzvL9rpEc,"{'compound_code': 'PVFX+GW Watervang, Lubuklinggau City, South Sumatra, Indonesia', 'global_code': '6P84PVFX+GW'}",3.9,ChIJ7QyOgCPhMC4RaHjzvL9rpEc,"['lodging', 'point_of_interest', 'establishment']",442,,https://www.google.com/maps/place/?q=place_id:ChIJ7QyOgCPhMC4RaHjzvL9rpEc
