business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Udayana No.16, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83121, Indonesia","{'location': {'lat': -8.5764856, 'lng': 116.1026698}, 'viewport': {'northeast': {'lat': -8.575126120107276, 'lng': 116.1039010298927}, 'southwest': {'lat': -8.57782577989272, 'lng': 116.1012013701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PRIME PARK Hotel & Convention Lombok,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103945249211153673807"">A Google User</a>'], 'photo_reference': 'AUGGfZm_lvRLklNsNU6hb7MITiyCg_df0-Cqm48OI34uYue1C_GZSqnm_CyDabUlor9d0yqdbkH-wnndxPzAUbA-xD3Mtao8AzQcgb5L1CZEqjMviujaz_V5QqY8CmVW07ctn1yVNwmw_dErReaHNjA8pkRvgmoUua2PRPRCgDBA1BWqJj2a', 'width': 3000}]",ChIJs7NsZZDAzS0RbPAbHzyYx5c,"{'compound_code': 'C4F3+C3 Monjok Barat, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC4F3+C3'}",4.6,ChIJs7NsZZDAzS0RbPAbHzyYx5c,"['lodging', 'point_of_interest', 'establishment']",1257,,https://www.google.com/maps/place/?q=place_id:ChIJs7NsZZDAzS0RbPAbHzyYx5c
OPERATIONAL,"Jl. Jend. Sudirman No.40, Rembiga, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83124, Indonesia","{'location': {'lat': -8.5646417, 'lng': 116.1209288}, 'viewport': {'northeast': {'lat': -8.563300270107275, 'lng': 116.1222977298928}, 'southwest': {'lat': -8.565999929892719, 'lng': 116.1195980701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lombok Astoria - Hotel,"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103150946826984883946"">A Google User</a>'], 'photo_reference': 'AUGGfZmwv55EnS7RSRZkFiyS9-qIoek7VarYGIrpLU5ODM1uZkNr5h8Cr6M7_q1ygAea5iyYve48Z_Y03Z8cWwZ0Rumi5wIYETtjtbSuqPxSXJW9T7qCxL8-9ZN18ZLhnqAzNOygLQOF632rKs6mvunct_4MKnfUHFNReeMvc03I2kMfR0Jn', 'width': 1500}]",ChIJ0ZDBM7bAzS0RoOz5z5L07EU,"{'compound_code': 'C4PC+49 Rembiga, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC4PC+49'}",4.5,ChIJ0ZDBM7bAzS0RoOz5z5L07EU,"['lodging', 'point_of_interest', 'establishment']",5315,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ0ZDBM7bAzS0RoOz5z5L07EU
OPERATIONAL,"Jl. Pejanggik No.32, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83121, Indonesia","{'location': {'lat': -8.5823222, 'lng': 116.1076172}, 'viewport': {'northeast': {'lat': -8.581017420107276, 'lng': 116.1089569798927}, 'southwest': {'lat': -8.58371707989272, 'lng': 116.1062573201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Santika Mataram,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104321415894057223392"">HOTEL SANTIKA MATARAM - LOMBOK</a>'], 'photo_reference': 'AUGGfZkZvPNnUDpMIkl-wiaxAFKqClUIr8jEp57IwPmGFfBT0nT2jxKZKnHn1-kGvwA7YejJzxXtD_2C0VNwPaAqKvbPk6Y5virUHeYuisN9z5-URTeDCuHZIHm-uwzNNtogW4x6FRNhnEpLOOUaEZT47vM8d1dqKO-_6o4DdKLlJXvP2Ivx', 'width': 3000}]",ChIJS1YfDJzAzS0Rh7h2t3RMDCk,"{'compound_code': 'C495+22 Mataram Barat, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC495+22'}",4.5,ChIJS1YfDJzAzS0Rh7h2t3RMDCk,"['lodging', 'point_of_interest', 'establishment']",3523,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJS1YfDJzAzS0Rh7h2t3RMDCk
OPERATIONAL,"Jl. Udayana No.20, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83122, Indonesia","{'location': {'lat': -8.5754969, 'lng': 116.10281}, 'viewport': {'northeast': {'lat': -8.574057770107277, 'lng': 116.1041042798928}, 'southwest': {'lat': -8.576757429892721, 'lng': 116.1014046201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Madani Hotel & Convention,"[{'height': 3929, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110584871926078451786"">GRAND MADANI HOTEL</a>'], 'photo_reference': 'AUGGfZlFaVo8US7Kr8LOW96WPmOt0uDizVb9_neDirxHddoGgo1GAgkVEjAJZ9sM8FwtOV2cPtU61QOpWK_Fa_X-XosWGjQm8v9pLX_7al97-pY6tUDSUQQW2NvIksDzm4QZidVQ7-vxFd2EcJH4ThTE6-JXzDEDQ6fMHIwIglgQY8iqRsRU', 'width': 2946}]",ChIJ1erQQpDAzS0RKVRkBd0bX98,"{'compound_code': 'C4F3+R4 Monjok Barat, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC4F3+R4'}",4.3,ChIJ1erQQpDAzS0RKVRkBd0bX98,"['lodging', 'point_of_interest', 'establishment']",2136,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ1erQQpDAzS0RKVRkBd0bX98
OPERATIONAL,"Jl. Gili Asahan No.2, Karang Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83111, Indonesia","{'location': {'lat': -8.5644888, 'lng': 116.1042452}, 'viewport': {'northeast': {'lat': -8.56308512010728, 'lng': 116.1055972298927}, 'southwest': {'lat': -8.565784779892724, 'lng': 116.1028975701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ayom Suite,"[{'height': 756, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116725034229187511468"">Alberto Carbajo</a>'], 'photo_reference': 'AUGGfZm-Z75rfUQaZsoVKLupWRjalWzgW4eQHxWIfIjdbs2MLqFhAQQ0RHU86b8zuyiuiHPUsaygRil2dp3eEYYEqGc0lDD4CwMGPxtnxg-jRmJccv6A8gyohlsoDrmr7c1MAPqdoTl8AO18Y8W8LoH0YTKvlZyboTSgoWGBP_uUObKhAEmc', 'width': 1344}]",ChIJf1eNzcHBzS0RoIn7gBPDAp4,"{'compound_code': 'C4P3+6M Karang Baru, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC4P3+6M'}",4.9,ChIJf1eNzcHBzS0RoIn7gBPDAp4,"['lodging', 'point_of_interest', 'establishment']",66,,https://www.google.com/maps/place/?q=place_id:ChIJf1eNzcHBzS0RoIn7gBPDAp4
OPERATIONAL,"Jl. Jend. Sudirman No.22, Rembiga, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83124, Indonesia","{'location': {'lat': -8.5628273, 'lng': 116.1158115}, 'viewport': {'northeast': {'lat': -8.561445620107277, 'lng': 116.1171594798927}, 'southwest': {'lat': -8.56414527989272, 'lng': 116.1144598201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SAME Hotel Lombok,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105975947630832324026"">Tisna Pratama</a>'], 'photo_reference': 'AUGGfZm18xa7UwIG88YYhJTS9srDMU4DFoQJNqOzG6cd_1q-P8tPkKtnQJrE_3Op2DN0oy3q7Ep8HrvW0voNAiN6IDU-eiQI8pu0ToqhARhVPaVP0nzXT9Fl8-VTFlwTqQwNJ8oIy_Ea_iVYpQHvm_0FET8X8NwxrNOjZlrHCDS4qzvBmSTK', 'width': 4000}]",ChIJY1UsC4HBzS0R5Q11ly_B_vM,"{'compound_code': 'C4P8+W8 Rembiga, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC4P8+W8'}",4.4,ChIJY1UsC4HBzS0R5Q11ly_B_vM,"['lodging', 'point_of_interest', 'establishment']",682,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJY1UsC4HBzS0R5Q11ly_B_vM
OPERATIONAL,"Jl. Langko No.21-23, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83125, Indonesia","{'location': {'lat': -8.5805962, 'lng': 116.0976336}, 'viewport': {'northeast': {'lat': -8.579130420107278, 'lng': 116.0990071798927}, 'southwest': {'lat': -8.581830079892722, 'lng': 116.0963075201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,favehotel Langko Mataram,"[{'height': 2362, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111908233555001760234"">favehotel Langko Mataram</a>'], 'photo_reference': 'AUGGfZm08er9RzRUmQHLcbd35TEuplWAR6qu6MDNUx0cXytdSLY0hHwzU5nMIXiKdAmhZ0ccGX4ocTRYX-xd2sS1k7XqcT3mvsbvMCYL9wC_BZ6pEuu0nLtTFVLKBmjcZInctpQI9_Q5ZUxxtWt7ZiLyzKbvyopXvd-OIuxJzfaErH5f8O_3', 'width': 1720}]",ChIJXZML9oTAzS0RVKPsD889ZqI,"{'compound_code': 'C39X+Q3 Dasan Agung Baru, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC39X+Q3'}",4.4,ChIJXZML9oTAzS0RVKPsD889ZqI,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3561,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJXZML9oTAzS0RVKPsD889ZqI
OPERATIONAL,"Jl. Catur Warga No.33, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126, Indonesia","{'location': {'lat': -8.5843772, 'lng': 116.1072925}, 'viewport': {'northeast': {'lat': -8.582947020107278, 'lng': 116.1086074298927}, 'southwest': {'lat': -8.585646679892722, 'lng': 116.1059077701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SUNWOOD HOTEL ARIANZ MATARAM,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114945505395593889634"">HARRYDANA SUARDIKA</a>'], 'photo_reference': 'AUGGfZmexCH8E-x5ec-BOwTVw9PVC4hCl97-uu-LJogK7AvisIqF5m39ZhTHjQMHAilYfNeSub5SCq4Hl619uK_16UB_YIJj0Wj-3iGK0KG-x883OIo8cwqV1ay5mx1OWw1oATTYekD9QwmnBxHWMefKZesO4xM3C_vDEoMElKVQIFNzLD3H', 'width': 3264}]",ChIJ-ca4TZ7AzS0Rzva_9eLVZhU,"{'compound_code': 'C484+6W Mataram Barat, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC484+6W'}",4.2,ChIJ-ca4TZ7AzS0Rzva_9eLVZhU,"['lodging', 'point_of_interest', 'establishment']",1047,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ-ca4TZ7AzS0Rzva_9eLVZhU
OPERATIONAL,"Jl. Catur Warga No.36B, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126, Indonesia","{'location': {'lat': -8.5845105, 'lng': 116.1078667}, 'viewport': {'northeast': {'lat': -8.583172470107279, 'lng': 116.1094271298927}, 'southwest': {'lat': -8.585872129892723, 'lng': 116.1067274701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,City Hotel,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113480963782685061397"">Kevin Suhendra</a>'], 'photo_reference': 'AUGGfZkX3-sBTRLRuwX_crzXHnirqlBZ4ZeJMVzn3IZCxRAFKYnIMXClo56JhgasdYCRVfQ-vewCT7-QojhT8Bm8WVQFgtm7_liKGsA7etOUhRkwDOfSA9eO7VPjiVrqY6KtveeuySaCTlKvTBoNb4iP4L3lYQwIHd7XP5DFmHVBnlOZw6Fx', 'width': 5472}]",ChIJGSr0v5_AzS0RZvZbgghGbWc,"{'compound_code': 'C485+54 Mataram Barat, Mataram City, West Nusa Tenggara, Indonesia', 'global_code': '6P3RC485+54'}",4.0,ChIJGSr0v5_AzS0RZvZbgghGbWc,"['lodging', 'point_of_interest', 'establishment']",293,,https://www.google.com/maps/place/?q=place_id:ChIJGSr0v5_AzS0RZvZbgghGbWc
OPERATIONAL,"C4P6+24V, Jl. HOS. Cokroaminoto, Selaparang, Karang Baru, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83123, Indonesia","{'location': {'lat': -8.564883199999999, 'lng': 116.1102966}, 'viewport': {'northeast': {'lat': -8.563533170107279, 'lng': 116.1116464298928}, 'southwest': {'lat': -8.566232829892723, 'lng': 116.1089467701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Komang Inn,"[{'height': 6016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108804153241636949663"">iponk</a>'], 'photo_reference': 'AUGGfZmhuP28nXG1mldhP95eaPpe6wtf_TQNvSZRk29xzoli9hzNIGWTSuCuKw9LtG7hgZg0wDDG5kcwtivbOl5M1KuwrkXmqKm8UNlPORLrnFNsye5Go8-qOEX7tXWl3kuGD7MpNIHCuT799h6PyIAaCE4YxifzC75v-rdmYj5KtdJG4bn0', 'width': 4512}]",ChIJN_oI6erAzS0RcZOLngqiRwE,,4.1,ChIJN_oI6erAzS0RcZOLngqiRwE,"['lodging', 'point_of_interest', 'establishment']",49,,https://www.google.com/maps/place/?q=place_id:ChIJN_oI6erAzS0RcZOLngqiRwE
