business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Abubakar Lambogo No.83, Bukit Indah, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131, Indonesia","{'location': {'lat': -4.005476499999999, 'lng': 119.6361981}, 'viewport': {'northeast': {'lat': -4.004211420107278, 'lng': 119.6375269298927}, 'southwest': {'lat': -4.006911079892722, 'lng': 119.6348272701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Satria Wisata,{'open_now': True},"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105129306440253434732"">A Google User</a>'], 'photo_reference': 'AUGGfZm4BIL_QAZmp1uTDBS30YT6Dq3_sqRgiKin7rUFdUaneH118kUzv83voRmUVmjKwp0YynoKfzxkGVhq24urOA8rtLG9apbvzz77uCrh4jz3ry1SRTPhQpAD81gkgXgvP_v4GN5GDoKnI-7bplTxbahhGyTb4pR07dGNG5IsGcXhD_8T', 'width': 1200}]",ChIJVZrMiu3KlS0RkDS4TZwwl5U,"{'compound_code': 'XJVP+RF Bukit Indah, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJVP+RF'}",4.2,ChIJVZrMiu3KlS0RkDS4TZwwl5U,"['lodging', 'point_of_interest', 'establishment']",975,https://www.google.com/maps/place/?q=place_id:ChIJVZrMiu3KlS0RkDS4TZwwl5U
OPERATIONAL,"Jl. Jenderal Sudirman No.65, Cappa Galung, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91122, Indonesia","{'location': {'lat': -4.033388599999999, 'lng': 119.6305667}, 'viewport': {'northeast': {'lat': -4.032085920107277, 'lng': 119.6320175298927}, 'southwest': {'lat': -4.034785579892721, 'lng': 119.6293178701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bukit Kenari Hotel & Restaurant,{'open_now': True},"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105987323503299281399"">A Google User</a>'], 'photo_reference': 'AUGGfZmrc44BqiprzVGWZxjsa3jOHRkLYxTNURa8a7ATs0AgSiwvsV7W0ERWkWcX5zf3S5Q6-850MwYhdoG9QlGM3g3Rh1rjMSccjDsLGIc1mZsEQ4AfYM6ui1B2amnuTk7l-BPNEjObpqX0-k9hMlZ-e6sy_O6Rkvv0c6eUoFJIMK3mGzL9', 'width': 1440}]",ChIJoSVfYGu7lS0R8gnMzkFSFUQ,"{'compound_code': 'XJ8J+M5 Cappa Galung, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJ8J+M5'}",4.0,ChIJoSVfYGu7lS0R8gnMzkFSFUQ,"['lodging', 'point_of_interest', 'establishment']",1309,https://www.google.com/maps/place/?q=place_id:ChIJoSVfYGu7lS0R8gnMzkFSFUQ
OPERATIONAL,"XJPG+F37, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia","{'location': {'lat': -4.0138482, 'lng': 119.6251667}, 'viewport': {'northeast': {'lat': -4.012485620107278, 'lng': 119.6264350298927}, 'southwest': {'lat': -4.015185279892722, 'lng': 119.6237353701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Kartika,,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107035156396914970831"">ricky dewangga</a>'], 'photo_reference': 'AUGGfZn2-c2BhZCNwoA4A42pegKj46aNC6cOD10ofrepl73FyXWcXIcO9DOiQb1n7-08GHotLYdA6ROCmIqwyoLedUVTLsyVDYqoYaFgFPvrjhZYqFzc1Jg-vI0Wv5Lv7JzhIzvWRcnixkEOtmB-PWLtGNB04HcOPK_rOYjYWHpdXTSYgPZR', 'width': 3468}]",ChIJ9f_hOT27lS0RPnoIQ_YE1t8,,3.6,ChIJ9f_hOT27lS0RPnoIQ_YE1t8,"['lodging', 'point_of_interest', 'establishment']",557,https://www.google.com/maps/place/?q=place_id:ChIJ9f_hOT27lS0RPnoIQ_YE1t8
OPERATIONAL,"Jl. Bau Massepe No.105, Kp. Baru, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91111, Indonesia","{'location': {'lat': -4.0232622, 'lng': 119.6240112}, 'viewport': {'northeast': {'lat': -4.021927320107278, 'lng': 119.6252969798927}, 'southwest': {'lat': -4.024626979892722, 'lng': 119.6225973201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pare Beach Hotel,,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113957037581998934490"">PARE BEACH HOTEL</a>'], 'photo_reference': 'AUGGfZnPrS-WG_Gq_KRSFnfeDmofEKO3X6P8_fMAIpDBctbXzYg5doztZh5V0MiRoaUMwOAXB8UQYpiunRRE9rojhY9pWTBXCavg4h5nxBQXHxoDeIq-Ovufwq-FTrg0pD-O_r94yRlR3KZ9NhO5-ascGwCA9-B6vLPjYcpUJmArnOMu017c', 'width': 2988}]",ChIJ57HKX0C7lS0R6jiS-8xfCKg,"{'compound_code': 'XJGF+MH Kampung Baru, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJGF+MH'}",4.1,ChIJ57HKX0C7lS0R6jiS-8xfCKg,"['lodging', 'point_of_interest', 'establishment']",928,https://www.google.com/maps/place/?q=place_id:ChIJ57HKX0C7lS0R6jiS-8xfCKg
OPERATIONAL,"Jl. Industri Kecil No.103, Bukit Indah, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131, Indonesia","{'location': {'lat': -4.0030034, 'lng': 119.6390345}, 'viewport': {'northeast': {'lat': -4.001606970107278, 'lng': 119.6402843798927}, 'southwest': {'lat': -4.004306629892722, 'lng': 119.6375847201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Urbanview Hotel Platinum Parepare,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113647006909367276703"">ardy dadang</a>'], 'photo_reference': 'AUGGfZkWRZ0ky8T18zBaX0wNs-gKtO_ZqaGIJWF18Xh42qs3rmsaDRoDrel2M05E_KHRk5A2c7H2QvGaWeT_iErK3GOPbB0fp9NY3D3GGKtZ_eJuEFh1pYqbG5r-5Tkw6KZO4XBYgbkjXTp_OYTW0HH1wZ0kqIG30y0OAd8_Zp7rCOc8f6Hf', 'width': 4000}]",ChIJd6d4DoO7lS0R-Xk0-se-xTw,"{'compound_code': 'XJWQ+QJ Bukit Indah, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJWQ+QJ'}",4.0,ChIJd6d4DoO7lS0R-Xk0-se-xTw,"['lodging', 'point_of_interest', 'establishment']",103,https://www.google.com/maps/place/?q=place_id:ChIJd6d4DoO7lS0R-Xk0-se-xTw
OPERATIONAL,"Jl. DG. Pawero No.1, Kp. Pisang, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131, Indonesia","{'location': {'lat': -4.007594099999999, 'lng': 119.6249529}, 'viewport': {'northeast': {'lat': -4.006255520107278, 'lng': 119.6263564298927}, 'southwest': {'lat': -4.008955179892721, 'lng': 119.6236567701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Monumen Habibi Ainun,,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107904534289435313227"">A Google User</a>'], 'photo_reference': 'AUGGfZkrcP_vkEhaLh8SyekGac0HtLP_mVLfmMKiY_VcBziFWRpAjDfL6FJmNzFs35SNJa9bMak0SmjxQygv1vPLkdI7YYmRNgQFb9YQl4XKsMGixRS9TsVegIFvBGsqZMW33QbOIU1kXpmvjAb8U5a2cAqerjbpfY-xNsfjODVjEhRWLMXr', 'width': 900}]",ChIJrR1mNDy7lS0RsX8B9h6Onfc,"{'compound_code': 'XJRF+XX Kampung Pisang, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJRF+XX'}",3.8,ChIJrR1mNDy7lS0RsX8B9h6Onfc,"['lodging', 'point_of_interest', 'establishment']",331,https://www.google.com/maps/place/?q=place_id:ChIJrR1mNDy7lS0RsX8B9h6Onfc
OPERATIONAL,"Jl. Andi Makkasau No.67, Kp. Pisang, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91133, Indonesia","{'location': {'lat': -4.0078422, 'lng': 119.6258882}, 'viewport': {'northeast': {'lat': -4.006581220107278, 'lng': 119.6272221798928}, 'southwest': {'lat': -4.009280879892722, 'lng': 119.6245225201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Delima Sari Hotel,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111950692693685065924"">A Google User</a>'], 'photo_reference': 'AUGGfZmW0P0XJAxKQSV6JivCe6Wu-W7yZSswXlMUmQFR9G4gE5yzrZTzsAdLjebnOLJ_ifWnN8jlH97mET2oNwhkvt0xVkceU-gU27u1HwV_Il4_SvhlTsCFbcD47T76_T32cp5dcORb6VlqB6IFl0Jal4EaRW1_N13k71PYV3LsF_wtP83Z', 'width': 4000}]",ChIJi9KbcD-7lS0RctCHmYyN8Ho,"{'compound_code': 'XJRG+V9 Kampung Pisang, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJRG+V9'}",4.0,ChIJi9KbcD-7lS0RctCHmYyN8Ho,"['lodging', 'point_of_interest', 'establishment']",584,https://www.google.com/maps/place/?q=place_id:ChIJi9KbcD-7lS0RctCHmYyN8Ho
OPERATIONAL,"Jl. Andi Makkasau No.59D, Ujung Sabbang, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131, Indonesia","{'location': {'lat': -4.0081555, 'lng': 119.6251189}, 'viewport': {'northeast': {'lat': -4.006705370107278, 'lng': 119.6264724798928}, 'southwest': {'lat': -4.009405029892722, 'lng': 119.6237728201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Permata Sari,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112856323469736980730"">illang 85</a>'], 'photo_reference': 'AUGGfZl181_Ol7CX96wV__KeIP5qJtuzeEEjp_2bkFxOhKsLBEg1dQJ3TZE6p1LeFk4f9akimgXCbjcyDO2nHj-Rdz2h_N3pRmao5eh48q73Rgg6BydO1kYpxVQokeqrzGAFrp3RE9vrZFlFZhf8Azqx3v988EXRzYteNb35MBW6MP1E6JZP', 'width': 4160}]",ChIJR61ajSG7lS0Rdd58fflqd9s,"{'compound_code': 'XJRG+P2 Ujung Sabbang, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJRG+P2'}",4.2,ChIJR61ajSG7lS0Rdd58fflqd9s,"['lodging', 'point_of_interest', 'establishment']",313,https://www.google.com/maps/place/?q=place_id:ChIJR61ajSG7lS0Rdd58fflqd9s
OPERATIONAL,"XJ7G+XGP, Jl. Bau Massepe, Cappa Galung, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91122, Indonesia","{'location': {'lat': -4.0350474, 'lng': 119.6263023}, 'viewport': {'northeast': {'lat': -4.033706020107277, 'lng': 119.6276136798927}, 'southwest': {'lat': -4.036405679892721, 'lng': 119.6249140201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel 88 parepare,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109080282759318515309"">Deny Suryanto</a>'], 'photo_reference': 'AUGGfZkuMvnAf8laVjUFUVVumJftJHu2AV119s5P0vMjaCODASPrJ7uplcSgVWONQkwIhWBcIPsKAnql0Ofq7nFm3jqomYxKyTbb3VQwbXberqg0YlWo4VmjozqSRuylTOx7-YuTiOQIQ7Dohn6HntzWYIUak0vSZIhZibi8X6Xy0eeUZ4vs', 'width': 3000}]",ChIJ1xjo-127lS0RWr0VFRWFOO4,,4.2,ChIJ1xjo-127lS0RWr0VFRWFOO4,"['lodging', 'point_of_interest', 'establishment']",632,https://www.google.com/maps/place/?q=place_id:ChIJ1xjo-127lS0RWr0VFRWFOO4
OPERATIONAL,"Jl. DG. Pawero No.29, Kp. Pisang, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131, Indonesia","{'location': {'lat': -4.0070456, 'lng': 119.6253524}, 'viewport': {'northeast': {'lat': -4.005675820107278, 'lng': 119.6266259298927}, 'southwest': {'lat': -4.008375479892722, 'lng': 119.6239262701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Star Hotel,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117961017377933950357"">Iim Drh</a>'], 'photo_reference': 'AUGGfZm3iiNiWt3mm_X3H8fkIgNhYGVHN6kswIFfWHe0geFyYgNxR3p0N8nhOvpL8BYayG-tofCEoUNm9vD8Fa1ThbROsSHoGM7PcadjFe4iyavEAo5-7PrRYfYRVkm0WtJirOgMvlvwRaTChHr49WEWAPfhTAOwoEWhsHJBVBUpPdKBoalZ', 'width': 4096}]",ChIJ4UNClSG7lS0RuhNpbUp38eo,"{'compound_code': 'XJVG+54 Kampung Pisang, Parepare, South Sulawesi, Indonesia', 'global_code': '6P7XXJVG+54'}",3.9,ChIJ4UNClSG7lS0RuhNpbUp38eo,"['lodging', 'point_of_interest', 'establishment']",263,https://www.google.com/maps/place/?q=place_id:ChIJ4UNClSG7lS0RuhNpbUp38eo
