business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Hunting, Telepon (62)951 - 321199, Jl. Jend. Sudirman Kecamatan, Malawei, Sorong Manoi, Sorong City, West Papua 98412, Indonesia","{'location': {'lat': -0.889363, 'lng': 131.2749649}, 'viewport': {'northeast': {'lat': -0.8879021701072778, 'lng': 131.2763255298927}, 'southwest': {'lat': -0.8906018298927223, 'lng': 131.2736258701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Swiss-Belhotel Sorong,"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106302596762202937235"">A Google User</a>'], 'photo_reference': 'AUGGfZnABDB6q6TgfoaqNbGc7dh2ceBbfMsOfxIvGp_nYTxIhEN2wKz4V_w4H1thBbnachgWtRBq0ZemD38-Btz4CYh7IGbSmPsliUcgDMHBbip6E__5wZYyNOPMiTgIe3yOHhHczkxm5iBCrTm26C_h-IlEqHLBRXUbGRLamjLP8qZtnggh', 'width': 3192}]",ChIJm2uOACGrXi0RKAbAaOTFMk0,"{'compound_code': '476F+7X Malawei, Sorong City, West Papua, Indonesia', 'global_code': '6QFH476F+7X'}",4.2,ChIJm2uOACGrXi0RKAbAaOTFMk0,"['lodging', 'point_of_interest', 'establishment']",2496,,https://www.google.com/maps/place/?q=place_id:ChIJm2uOACGrXi0RKAbAaOTFMk0
OPERATIONAL,"476V+J9X, Malaingkedi, Sorong Utara, Sorong City, West Papua 98412, Indonesia","{'location': {'lat': -0.8887467, 'lng': 131.2931592}, 'viewport': {'northeast': {'lat': -0.8874840201072778, 'lng': 131.2943072798927}, 'southwest': {'lat': -0.8901836798927222, 'lng': 131.2916076201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ASTON Sorong Hotel & Conference Center,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108238179644584806330"">A Google User</a>'], 'photo_reference': 'AUGGfZmwklDhZPyCUV6JqCSaFCWOh5gr9VGgnuhL_w84I3T2miKDEOFnljlu4NivV5eVcYpXphzz6_MeTeEyPfYSukepUG1XJ7nBfZgmeC1RE1C4dsRrjW3i2BESSoCSDVuhf0FU8JicuCIAgFAcuTljXwJd-Tt3iUU2tnbAyEBmlKQ9qpOL', 'width': 1600}]",ChIJk7j75VRVWS0R96dnCl9qChE,,4.8,ChIJk7j75VRVWS0R96dnCl9qChE,"['lodging', 'point_of_interest', 'establishment']",1114,,https://www.google.com/maps/place/?q=place_id:ChIJk7j75VRVWS0R96dnCl9qChE
OPERATIONAL,"Jl. Sam Ratulangi No.55, Klasuur, Distrik Sorong, Kota Sorong, Papua Bar. 98411, Indonesia","{'location': {'lat': -0.869452, 'lng': 131.252692}, 'viewport': {'northeast': {'lat': -0.8681042701072778, 'lng': 131.2541012798928}, 'southwest': {'lat': -0.8708039298927223, 'lng': 131.2514016201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RYLICH PANORAMA HOTEL,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115244501682591838159"">A Google User</a>'], 'photo_reference': 'AUGGfZluqEIYpUGnFVDRxUhjtAkZvWmbl-UuYVaxof3-979Da1giqCQe1t_VElgembz8EN9lFzSJne7qQOuhqVZWmc3C5vjh4N5ZJLhLB_rg67E-EqyFUVHuFyZdKW0OVB0BRNF2WPpKE8H53D55Qm7o8aiYxMI7vEB3z1orJDXjXZP3PLl-', 'width': 1116}]",ChIJfVQKNyKrXi0RpMmkBg_vSpk,"{'compound_code': '47J3+63 Klasuur, Sorong City, West Papua, Indonesia', 'global_code': '6QFH47J3+63'}",4.6,ChIJfVQKNyKrXi0RpMmkBg_vSpk,"['lodging', 'point_of_interest', 'establishment']",450,,https://www.google.com/maps/place/?q=place_id:ChIJfVQKNyKrXi0RpMmkBg_vSpk
OPERATIONAL,"Jl. Frans Kaisiepo, Malaingkedi, Kec. Sorong Utara, Kota Sorong, Papua Bar. 98412, Indonesia","{'location': {'lat': -0.8864032, 'lng': 131.2926543}, 'viewport': {'northeast': {'lat': -0.8850053701072778, 'lng': 131.2940393298927}, 'southwest': {'lat': -0.8877050298927223, 'lng': 131.2913396701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Vega Hotel Sorong,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105004866835140291709"">EFIAN GUNARI</a>'], 'photo_reference': 'AUGGfZlMxcoC43kle9QtYVT2d696Xu5JvD3FAsnFBQ6zaSKMZdkeLgEGu1vw-gQjNYXYBg6d7Mlz7g6YZw2hRvwqnumUzcB9CnsYcLm6mjMDTQxzupAUu6CH9CM5tQ1qN0O8-deCQ1C320LBxQWninRU44BbJ9Ej08DV0mv-e160x5GxagZ5', 'width': 4000}]",ChIJxbxYxCVVWS0RhUgz2cDMkJQ,"{'compound_code': '477V+C3 Malaingkedi, Sorong City, West Papua, Indonesia', 'global_code': '6QFH477V+C3'}",4.5,ChIJxbxYxCVVWS0RhUgz2cDMkJQ,"['lodging', 'point_of_interest', 'establishment']",2115,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJxbxYxCVVWS0RhUgz2cDMkJQ
OPERATIONAL,"Jl. Dr. Sam Ratulangi No.35, Kp. Baru, Distrik Sorong, Kota Sorong, Papua Bar. 98413, Indonesia","{'location': {'lat': -0.8715729999999999, 'lng': 131.250864}, 'viewport': {'northeast': {'lat': -0.8702541201072778, 'lng': 131.2522371298928}, 'southwest': {'lat': -0.8729537798927223, 'lng': 131.2495374701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Royal Mamberamo Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100503903393013178378"">Barnabas Dowansiba</a>'], 'photo_reference': 'AUGGfZkV-NzBzSsFvqRj0GZbIZCrRZMCNey7Ke5sgd3fyDyQoNzsMH9wsJ_Ju7kfCHUKaaNH30y3oWi8_BMacRu1bfs_LCnJGx_E0quvJritVzJmhOZhQd1Ir2wpBSBJC-eIOqOMIyhsEtFhh-ybBL8uDpg3rftLSaSeMNWDjewfo-etYqps', 'width': 4000}]",ChIJneHqCRKrXi0R60IdETYu47U,"{'compound_code': '47H2+98 Kampung Baru, Sorong City, West Papua, Indonesia', 'global_code': '6QFH47H2+98'}",4.2,ChIJneHqCRKrXi0R60IdETYu47U,"['lodging', 'point_of_interest', 'establishment']",736,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJneHqCRKrXi0R60IdETYu47U
OPERATIONAL,"479F+3XR, Jl. Ahmad Yani No.1, Klademak, Distrik Sorong, Kota Sorong, Papua Bar. 98412, Indonesia","{'location': {'lat': -0.8823224000000001, 'lng': 131.2746113}, 'viewport': {'northeast': {'lat': -0.8810364701072776, 'lng': 131.2759740798927}, 'southwest': {'lat': -0.8837361298927221, 'lng': 131.2732744201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mariat Hotel,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117988767770853188012"">Ardi La Madi</a>'], 'photo_reference': 'AUGGfZmArsgeVmUjdEsrDRouLUO9XaKEKrUw2NZkhHuHfW5k6vhXUznXi1ErL9xTuqA_fd32wWEKagCBpC7Fm3aNdsubMi7-nsLveOxpFe9chpPJ7HIYUYjzo7Fii4AgoCsEoFBh_ehadgp2nnJJq2xS3uTA7bgaHDK1woVwp1QRrf_8f9z6', 'width': 4032}]",ChIJeYUXjyGrXi0RREdB877Kbr8,,3.9,ChIJeYUXjyGrXi0RREdB877Kbr8,"['lodging', 'point_of_interest', 'establishment']",630,,https://www.google.com/maps/place/?q=place_id:ChIJeYUXjyGrXi0RREdB877Kbr8
OPERATIONAL,"Jl. Merapi No.8, Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98411, Indonesia","{'location': {'lat': -0.8730355999999999, 'lng': 131.2547729}, 'viewport': {'northeast': {'lat': -0.8716807701072777, 'lng': 131.2561294298927}, 'southwest': {'lat': -0.8743804298927222, 'lng': 131.2534297701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Belagri Hotel And Convention Sorong,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116670474666971182115"">Afdzul Saifullah</a>'], 'photo_reference': 'AUGGfZlfO0sv82oJfCysQM_jHxPbW6qD3HkXP1ilroD3qJXUF58hC0LYiSwm17iuCx4W1eRpQqZEnAcyPLYcJrp8QHA3LRDC-v-RGMbws_yvJbrkl2y8i_ZIEHNxocxZfXFIqtrmFYqr-AYFjwtNTBdc1ELi3VSIccxOMu04aHvpPzmeBQqK', 'width': 4000}]",ChIJU95wIxGrXi0RreiyxPjm2oQ,"{'compound_code': '47G3+QW Klabala, Sorong City, West Papua, Indonesia', 'global_code': '6QFH47G3+QW'}",4.2,ChIJU95wIxGrXi0RreiyxPjm2oQ,"['lodging', 'point_of_interest', 'establishment']",1078,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJU95wIxGrXi0RreiyxPjm2oQ
OPERATIONAL,"Jl. Sungai Maruni, Klawuyuk, Kec. Sorong Utara, Kota Sorong, Papua Bar. 98416, Indonesia","{'location': {'lat': -0.8858638, 'lng': 131.3227746}, 'viewport': {'northeast': {'lat': -0.8845157201072777, 'lng': 131.3241219298927}, 'southwest': {'lat': -0.8872153798927221, 'lng': 131.3214222701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,M Hotel Sorong,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110273969410341788876"">A Google User</a>'], 'photo_reference': 'AUGGfZkf0QkFRx-n8DhnB1ro0JJRD-b0DN1HCW1WkwAx9APQtgxRgXxfhdfDW51-2Rai1U6LDocEM2GiJKSlIZJopK_wK2h4F9QqzXizOmLAP5YuDajW3RkZlcVMh9_1pv--BRW48Q0M9vkcuQz4dFjJjOI5wSYyHM8BO7-c837hTyz28536', 'width': 1080}]",ChIJpXW1kKlVWS0R1V_TQ-9gkZs,"{'compound_code': '487F+M4 Klawuyuk, Sorong City, West Papua, Indonesia', 'global_code': '6QFH487F+M4'}",4.2,ChIJpXW1kKlVWS0R1V_TQ-9gkZs,"['lodging', 'point_of_interest', 'establishment']",1320,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJpXW1kKlVWS0R1V_TQ-9gkZs
OPERATIONAL,"56GG+R9F, Tanjung Kasuari, Sorong Barat, Sorong City, West Papua 98411, Indonesia","{'location': {'lat': -0.8229803, 'lng': 131.2259564}, 'viewport': {'northeast': {'lat': -0.8216586701072777, 'lng': 131.2273602298927}, 'southwest': {'lat': -0.8243583298927222, 'lng': 131.2246605701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kasuari Valley Beach Resort Sorong,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105639847614016768939"">Teguh Ariefianto</a>'], 'photo_reference': 'AUGGfZmdGCUxs9HPI1hvGlnThr6bHc-ykPjoskgsEuU_NZgpR6s7lOntxdl6IOYtesximv0bHLMrJs_syjefSnl1PInyRL0ubyvLU3uPRl2QZGWJPDk08lj09FbfFFPMpKYGZTDZ9BBabVR8DR4hWJjtQow69224-tApTGoEcWrqeukNhvK4', 'width': 4624}]",ChIJ54QK47OtXi0RkGQrxlZx6Ho,,4.4,ChIJ54QK47OtXi0RkGQrxlZx6Ho,"['lodging', 'point_of_interest', 'establishment']",798,,https://www.google.com/maps/place/?q=place_id:ChIJ54QK47OtXi0RkGQrxlZx6Ho
OPERATIONAL,"Malaimsimsa, Jl. Basuki Rahmat No.Km.8, Kec. Sorong Utara, Kota Sorong, Papua Bar. 98412, Indonesia","{'location': {'lat': -0.8891055, 'lng': 131.2987326}, 'viewport': {'northeast': {'lat': -0.8878225201072779, 'lng': 131.3001054298927}, 'southwest': {'lat': -0.8905221798927223, 'lng': 131.2974057701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,favehotel Sorong,"[{'height': 5616, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118047152531605337127"">favehotel Sorong</a>'], 'photo_reference': 'AUGGfZmC5ew-M8aIt3gT9jXo5jkz_gNEmUbQVeiduM-AVpVDaK6kJ4wuMbF2ZIstpZ6KaYWF2TuiWI17pCRGptnRy2QGZuA6veDfyVEfscYG0D0dT6irK2DGwDFnvaz15GFGjTMxokM66uZ86f-eCF01pJDy16LoZ6tp5n3ToObbiN1ngT0L', 'width': 3744}]",ChIJnd19LD1VWS0R-hcKJRzr8lY,"{'compound_code': '476X+9F Malaingkedi, Sorong City, West Papua, Indonesia', 'global_code': '6QFH476X+9F'}",4.2,ChIJnd19LD1VWS0R-hcKJRzr8lY,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1394,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJnd19LD1VWS0R-hcKJRzr8lY
