business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jl. Telaver No.1, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.6704493, 'lng': 132.7377644}, 'viewport': {'northeast': {'lat': -5.669091220107278, 'lng': 132.7391995298927}, 'southwest': {'lat': -5.671790879892722, 'lng': 132.7364998701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Vilia Hotel,{'open_now': True},"[{'height': 2006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110922194597689754356"">G. Fajar Cahyadi</a>'], 'photo_reference': 'AUGGfZnDUyJlgHZ_ePvd_tXcD5MFKUipWPVJz8D4jsFr4sStUlpohfSr3Hq9rXecQQUaFZWJBMHUPYw0MILBYtUB2EVUZIuSzCc_Cpvl__xZ8aNOQl8VyAuZ1_Mmk55921l7ES_zYuLRX0Vws-e62MU6d8-gSKgGwsuz-g-PYnLY3EAiE42r', 'width': 3567}]",ChIJRwLELVwbMC0RJkIo_MKCImA,"{'compound_code': '8PHQ+R3 Langgur, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J8PHQ+R3'}",4.2,ChIJRwLELVwbMC0RJkIo_MKCImA,"['lodging', 'point_of_interest', 'establishment']",770,,https://www.google.com/maps/place/?q=place_id:ChIJRwLELVwbMC0RJkIo_MKCImA
OPERATIONAL,"Jalan Jenderal Sudirman, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.6509427, 'lng': 132.7410028}, 'viewport': {'northeast': {'lat': -5.649582170107278, 'lng': 132.7422878298927}, 'southwest': {'lat': -5.652281829892722, 'lng': 132.7395881701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Aurelia By KIMSON,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107264178120537419364"">A Google User</a>'], 'photo_reference': 'AUGGfZlynDasYSuna2uq8EihDh0qvRgTgS2XsrsgIf2vMpexIpkahhrP9IKJnYxpdXZBcRfTcYVzMgNRf-nyQDd4A2i_4kolWj6D7T1eryvKd04Q4IXgWj9NsXEI96bsth6V_qNZjp-LsDS5MTv9nDlCgs0x1Pengk4TOEQfj4wDtr3eZgMH', 'width': 4096}]",ChIJF5eRZQwbMC0RtSRmigmfmeQ,"{'compound_code': '8PXR+J9 Kel. Ohoijang Watdek, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J8PXR+J9'}",4.0,ChIJF5eRZQwbMC0RtSRmigmfmeQ,"['lodging', 'point_of_interest', 'establishment']",368,,https://www.google.com/maps/place/?q=place_id:ChIJF5eRZQwbMC0RtSRmigmfmeQ
OPERATIONAL,"Jalan Jendral Sudirman, Ohoijang Watdek, Kei Kecil, Kel. Ohoijang Watdek, Maluku Tenggara, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.6482322, 'lng': 132.7416511}, 'viewport': {'northeast': {'lat': -5.646876520107278, 'lng': 132.7430634798927}, 'southwest': {'lat': -5.649576179892722, 'lng': 132.7403638201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Syafira Hotel Langgur,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116373318120662898981"">Simon Werly</a>'], 'photo_reference': 'AUGGfZlaRIDiYTXTeRqaDH8Cn1AbtZw7kY5JbmioJjwGeZYUpV7wnDlBFZp-xkBtGlaLSH7sABvGfbZMaa6qyn29OcQrGRBdCmxsy8vjckqQY5zN6XXrOkVAOGzr8WPNECUCt6hsnB-jP_9yNgFU5OvJz5oPH43wWOMmRJn9PDaNC9CSPrrI', 'width': 4000}]",ChIJse5Lyg4bMC0RWV_G0u7rTQs,"{'compound_code': '9P2R+PJ Kel. Ohoijang Watdek, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J9P2R+PJ'}",3.8,ChIJse5Lyg4bMC0RWV_G0u7rTQs,"['lodging', 'point_of_interest', 'establishment']",279,,https://www.google.com/maps/place/?q=place_id:ChIJse5Lyg4bMC0RWV_G0u7rTQs
OPERATIONAL,"Jl. Pelita, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.6537269, 'lng': 132.7347174}, 'viewport': {'northeast': {'lat': -5.652165570107278, 'lng': 132.7360988798927}, 'southwest': {'lat': -5.654865229892722, 'lng': 132.7333992201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SURYA INN,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104564951835370470230"">A Google User</a>'], 'photo_reference': 'AUGGfZlGcQE0oZYd3gYPKgYJd-mZQukCE4uzPLkMukvdtNL-MNbgAirMi1efyoRGsOkvus_hhbqQxsruRKFYwse1y96GIeJtugMMn40CLOCO56Nj5UeyIn7VtlDRdIjACmDrnYahqX8G1UjTTsA3ZNdtEIKTM1PY3gEj4vmJvBbgdbwNpqeg', 'width': 4608}]",ChIJxSSl1hIbMC0RuFCGlIQBobA,"{'compound_code': '8PWM+FV Langgur, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J8PWM+FV'}",4.0,ChIJxSSl1hIbMC0RuFCGlIQBobA,"['lodging', 'point_of_interest', 'establishment']",64,,https://www.google.com/maps/place/?q=place_id:ChIJxSSl1hIbMC0RuFCGlIQBobA
OPERATIONAL,"8PWR+V8H, Kel. Ohoijang Watdek, Kei Kecil, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.6528181, 'lng': 132.7408699}, 'viewport': {'northeast': {'lat': -5.651445620107277, 'lng': 132.7420858798927}, 'southwest': {'lat': -5.654145279892721, 'lng': 132.7393862201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Suita Hotel,,"[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111692177316459220507"">Neri Rahabav</a>'], 'photo_reference': 'AUGGfZlRVVfyHwBoB3DATN5xVRM29rue9cSfKTQ_HYKlXiEPz14Uiors7DiF4z-ydlOkwSm78mvnHLGYyIs54n7hacSomA1VzbxUWc2Xbn2ufnZ6nelN-qIQagb7PfKDCTAZz5Qwi98zcq2dGimYwrOv_QjsF-zvoJ-VAQNDUXWKBKxsy1Ka', 'width': 4624}]",ChIJA2IOtwwbMC0R99npMCeLgUQ,,3.7,ChIJA2IOtwwbMC0R99npMCeLgUQ,"['lodging', 'point_of_interest', 'establishment']",258,,https://www.google.com/maps/place/?q=place_id:ChIJA2IOtwwbMC0R99npMCeLgUQ
OPERATIONAL,"8MRX+9V, Kelanit, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.659087299999999, 'lng': 132.6996393}, 'viewport': {'northeast': {'lat': -5.658107920107277, 'lng': 132.7011147798927}, 'southwest': {'lat': -5.660807579892721, 'lng': 132.6984151201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vid Fauw Oasis,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103021824909084919163"">A Google User</a>'], 'photo_reference': 'AUGGfZmQNAcQ9odS6fKidLZcz7OtRamMNg87oPw1n4rNAmZORLuYChAOWB0IuJUrPwXuGGCnLww_cuH85Ef5_CQYSHBukK7fwkmhVbu1CzVJBPVa7dK1wAnvZuGYgpdLaYghxKYUiFEMIolO3ylPfMidKZ5k6q0hi9DW0JlJxCOyTHd0IBno', 'width': 6000}]",ChIJTf6RCEUFMC0RIyhdDMrUtvI,,5.0,ChIJTf6RCEUFMC0RIyhdDMrUtvI,"['point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJTf6RCEUFMC0RIyhdDMrUtvI
OPERATIONAL,"Unnamed Road, Ohoidertawun, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.630566099999999, 'lng': 132.6689339}, 'viewport': {'northeast': {'lat': -5.629287170107278, 'lng': 132.6702761798927}, 'southwest': {'lat': -5.631986829892722, 'lng': 132.6675765201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Savana Cottages,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105520972389984324739"">祐治古垣内</a>'], 'photo_reference': 'AUGGfZlMKpmJPzJXYHxFKH1C_dRM0QDCD4cXuEWnFkI3ftoQ_fNURa0M8Y6cy03UfiEKWTsKwSnxWpiB1xx54wf5DVT4LI85BTjCpVCX2gHXq6sCfF_WqyFYmYy5mS2NBSz9NUAoDX_tXSkoUw31-gQAinyzDPhtjECi_FvwJUsWphpp6MWg', 'width': 4032}]",ChIJt_7LcwoFMC0R50CJIEZEXzk,"{'compound_code': '9M99+QH Ohoidertawun, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J9M99+QH'}",4.4,ChIJt_7LcwoFMC0R50CJIEZEXzk,"['lodging', 'point_of_interest', 'establishment']",37,,https://www.google.com/maps/place/?q=place_id:ChIJt_7LcwoFMC0R50CJIEZEXzk
OPERATIONAL,"Ohoiew Island, Village, Tual 97611,, Ngilngof, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.6877502, 'lng': 132.6343453}, 'viewport': {'northeast': {'lat': -5.686400370107278, 'lng': 132.6356951298928}, 'southwest': {'lat': -5.689100029892722, 'lng': 132.6329954701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ohoiew Island Resort,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109961689015274369249"">heri deway</a>'], 'photo_reference': 'AUGGfZlgsvax_BnOwvfV1JDqYdAq6LgPZrNBR2_qINISkrYgKMBMgCg__5WWagPojBlElk6sp58Y6GZlHXJ4SgHGqHMkd7kGEtNg7LOkp_6-rT8fAGvrJKxZlZeZWxjSMALhwmU4fnDqiiGQSRc0R2QgFJ4cJRRFbSdHx2tAK9oVwMGXck2e', 'width': 1920}]",ChIJGzPap-QDMC0RjOMGvxGXaF8,"{'compound_code': '8J6M+VP Ngilngof, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J8J6M+VP'}",4.3,ChIJGzPap-QDMC0RjOMGvxGXaF8,"['lodging', 'point_of_interest', 'establishment']",32,,https://www.google.com/maps/place/?q=place_id:ChIJGzPap-QDMC0RjOMGvxGXaF8
CLOSED_TEMPORARILY,"Ohoidertawun, Kei Kecil, Sotheast Maluku Regency, Maluku, Indonesia","{'location': {'lat': -5.604003, 'lng': 132.611826}, 'viewport': {'northeast': {'lat': -5.602653170107278, 'lng': 132.6131758298928}, 'southwest': {'lat': -5.605352829892722, 'lng': 132.6104761701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sarang - the travelers' nest,,"[{'height': 319, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103880008798101375531"">A Google User</a>'], 'photo_reference': 'AUGGfZmDxaiHBmtJ92XdQ6I6RLgR4uLF3fEB3xytYda9Y5s9_e2fbtAex2LI2RFM2yU2eWN5ps6No4z4IcWHDEavK-AFm_Hx962uPF_u8nM0ORbEfU1tcXTpXYyZtUp3hztCzs_UQ0KnBKWkndQw2iUJgfrTSmKdj3Y5kYA7KORjABlh7xkb', 'width': 567}]",ChIJtZW0jVUJMC0RySSegb6Wjl8,"{'compound_code': '9JW6+9P Ohoidertawun, Sotheast Maluku Regency, Maluku, Indonesia', 'global_code': '6Q6J9JW6+9P'}",4.9,ChIJtZW0jVUJMC0RySSegb6Wjl8,"['lodging', 'point_of_interest', 'establishment']",12,True,https://www.google.com/maps/place/?q=place_id:ChIJtZW0jVUJMC0RySSegb6Wjl8
OPERATIONAL,"8JPP+5G8, Ngurbloat, Pasir Panjang, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku, Indonesia","{'location': {'lat': -5.6645921, 'lng': 132.6363275}, 'viewport': {'northeast': {'lat': -5.663210770107278, 'lng': 132.6376893298927}, 'southwest': {'lat': -5.665910429892722, 'lng': 132.6349896701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mercy Cottages,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110903603082191313641"">arnd laue</a>'], 'photo_reference': 'AUGGfZkTEUhbgq50IHxwPYlLE9rgByB02qoCpwAjja5C2L3z2ALbIruzom6PmxsCFfEzugBJNvxb3fo3UKolGQ6l4lSXBcRTtF4WD0CFBwtJuZmhUCsK9GKrzDEBRIr9N28MIQFZuOEhcQM3lWWX0oKDwW_HvJR1663Rhlj3DaAXvb7b8Vv5', 'width': 4000}]",ChIJh0OWCYMFMC0RC39MORRa1s8,,4.7,ChIJh0OWCYMFMC0RC39MORRa1s8,"['lodging', 'point_of_interest', 'establishment']",13,,https://www.google.com/maps/place/?q=place_id:ChIJh0OWCYMFMC0RC39MORRa1s8
