formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"Jl. Raya Atambua No.Km. 2, Rinbesi, Kec. Atambua Sel., Kabupaten Belu, Nusa Tenggara Tim. 85711, Indonesia","{'location': {'lat': -9.1145038, 'lng': 124.8908268}, 'viewport': {'northeast': {'lat': -9.113130720107279, 'lng': 124.8921318798927}, 'southwest': {'lat': -9.115830379892722, 'lng': 124.8894322201073}}}",Hotel King Star,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107336599332503587199"">A Google User</a>'], 'photo_reference': 'AUGGfZlb77twYqvqdY9G6qT6zG1wtH9PX2VbM0vfMtuU2mNoj89CIAbwwn3r1j0cOzJnYtcH-eMeHybCruOR-TNkyshb1jIKuLML8JEoJ1izimh89wiAmjyYfai6sJPWPk_MnkLrLWl6_VjRL8Jw0Z8XFwEYZ04dm_Z1fQLA0Pktl5nJxBfn', 'width': 4032}]",ChIJhaVOlna-_ywRo3tJn5pR8mc,4.2,"['lodging', 'point_of_interest', 'establishment']",673
"Jl. Ade Irma Suryani, Beirafu, Kec. Atambua Bar., Kabupaten Belu, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.1053113, 'lng': 124.8870312}, 'viewport': {'northeast': {'lat': -9.103878770107277, 'lng': 124.8883477798927}, 'southwest': {'lat': -9.106578429892721, 'lng': 124.8856481201072}}}",Hotel Matahari,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114541996472572353633"">wahyu hidayat</a>'], 'photo_reference': 'AUGGfZky0hbzZ18RG2twSWXffaLOuKRzH4YKmZuXdtqnzu8qf2aPHj8sJ3M852jKFUc_hQP8ILriEW3HDh2Z2LbD-O9QOjSPo0UoFgZ5OwlVkvxMmtaHV3DJ7OEBDTU6b5wartfqsbV0KJHZrmvSETC3Okem1mf1gxm1lZrPlRqpoX_RGM0o', 'width': 4160}]",ChIJf1lgiWy-_ywRLqJQLoM5r5s,3.9,"['lodging', 'point_of_interest', 'establishment']",958
"Jl. Mercusuar, Tulamalae, Kec. Kota Atambua, Kabupaten Belu, Nusa Tenggara Tim. 85711, Indonesia","{'location': {'lat': -9.1007376, 'lng': 124.8811941}, 'viewport': {'northeast': {'lat': -9.099395370107278, 'lng': 124.8826911298927}, 'southwest': {'lat': -9.102095029892721, 'lng': 124.8799914701072}}}",Nadira Homestay & Premium Village,"[{'height': 2184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115517157461148342575"">A Google User</a>'], 'photo_reference': 'AUGGfZmT7PEwmIsHx5Z3MP1V6Tu5viR8NeLKPOupQjTa8m8cbEyilcgHEaQKSqS3NVIs4c6fpyCrOZhu09S1BXYvudnx5cqYOGdQOkFaJc5lURoDdTDVb9V1A45J2AkSSuT1Ynk08PYL3spkmhoM22szhD1_90VyRekm7Fg2WrtOxOxlIA3-', 'width': 4608}]",ChIJ5RHTkPy__ywRQHsOPc963JY,4.5,"['lodging', 'point_of_interest', 'establishment']",82
"Jln Raya Raibasin, Manleten, Kec. Tasifeto Tim., Kabupaten Belu, Nusa Tenggara Tim. 85711, Indonesia","{'location': {'lat': -9.1200259, 'lng': 124.9281861}, 'viewport': {'northeast': {'lat': -9.118687620107279, 'lng': 124.9296900798927}, 'southwest': {'lat': -9.121387279892723, 'lng': 124.9269904201072}}}",Edhotel Kusuma Atambua RedPartner,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113989652666860963438"">Jen Willa</a>'], 'photo_reference': 'AUGGfZmM7N5i3LQUBWVp2E46NgXxTuWwS8OKpCkaWyOt98NXZc2I6lavbF8S4-R8XU5BLQhNblPzONgzwTLt3oBMROp7Kh5W26vy_TZYysfOA4oWxmzuKAt1Z0cJrFvlEDSZ86pk1SBqZShc5DVqTKowv5WGsZt01eAl4xW3gphHoRoHUCg0', 'width': 3024}]",ChIJU9MhWTq__ywRvJ4YuTCxfGs,4.6,"['lodging', 'point_of_interest', 'establishment']",16
"VVXJ+552, Umanen, Atambua Barat, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.1021207, 'lng': 124.8803974}, 'viewport': {'northeast': {'lat': -9.100703820107276, 'lng': 124.8818742298927}, 'southwest': {'lat': -9.10340347989272, 'lng': 124.8791745701073}}}",Timor Hotel,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107263164318198827682"">A Google User</a>'], 'photo_reference': 'AUGGfZmMdZpQAkHm5VY8kuxvslkPoddtPRQmaXUmHdKtcE1Pvy9Y2CGRogRcOLrc9mfDQYMgbyTcTTBOeTbYlP8rNKcmzPyyYb3LzIo0ig970EzngAau1Smg4M6Y0zTFSa44h0gd04ZXA5B9GtPkqcwuNzj9vwxYwLzueDyfRQZJ4LjBv5sL', 'width': 3000}]",ChIJhaCr1oW__ywRnKHByjvLrdU,4.3,"['lodging', 'point_of_interest', 'establishment']",6
"VVVP+HGX, JL IJ Kasimo, Tulamalae, Beirafu, Kec. Atambua Bar., Kabupaten Belu, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.106017399999999, 'lng': 124.8863484}, 'viewport': {'northeast': {'lat': -9.104679220107275, 'lng': 124.8876514298927}, 'southwest': {'lat': -9.10737887989272, 'lng': 124.8849517701073}}}",Nusantara II Hotel,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111376162684084929278"">Florence I. Pattipeilohy</a>'], 'photo_reference': 'AUGGfZmw4Psrh8mWZ5GMF6SqlDfIm95w3uPNfi6f1Xwtfn20_Jh8xEm5O5aB_Cg7AA_Kelwbr_dVKIFJKBVJpfm3jL9vazdhscIvhcPMLfNvm3r3Q_ctgbE4e6ge1D2E4ncEVd-BVymxx2o_8PncfXnZBcbTBplROZmdyRjUeSboCndfeVs', 'width': 3264}]",ChIJnW-KbTm-_ywRnt5NW54wsBM,3.7,"['lodging', 'point_of_interest', 'establishment']",271
"Jl. El Tari No.87, Umanen, Kec. Atambua Bar., Kabupaten Belu, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.1051346, 'lng': 124.8790215}, 'viewport': {'northeast': {'lat': -9.103935170107277, 'lng': 124.8803435298927}, 'southwest': {'lat': -9.106634829892721, 'lng': 124.8776438701072}}}",Permata Hotel,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101471370444915383357"">Yohanes Arifin</a>'], 'photo_reference': 'AUGGfZnFu2Jsy_inTMjYdi6pJcHBSu1hUPbktVRnlf921gbb9o-GTwljKKRa52qANvfAn1h_AOmrXSX4iEamMzfzeyalc_d0rKyjDnQ20yDYgan_8950HHuWaJLerv4GiLWwwktCfmD2l7Kux3vtkCmyo07bSyb9SpWDjrS2uSxoe0nbhAbB', 'width': 1200}]",ChIJnW-KbTm-_ywRXvRQ8UzihwQ,3.9,"['lodging', 'point_of_interest', 'establishment']",150
"VVQR+RPG, Rinbesi, Atambua Selatan, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.1104375, 'lng': 124.8918289}, 'viewport': {'northeast': {'lat': -9.10908507010728, 'lng': 124.8932314798927}, 'southwest': {'lat': -9.111784729892724, 'lng': 124.8905318201073}}}",Penginapan Alam Subur,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102931949003241999562"">dio kikia jati</a>'], 'photo_reference': 'AUGGfZmZnkzf9Xy4ynZqTuTxYqTYemiEmUFLMhEQFyWkVFNQhG62vMCoKKCBpPPL_t42bLA-hHfvIKMP5HkaZI-KqI_DgjL4GvmLSEnsuji0NwjN7xatN7qTDchwNniz6sTTxCg2L9XNG_K1tAlk3ICx0IFyEIref4yZP5lzF2J4B1nkwF56', 'width': 4096}]",ChIJwayro3G-_ywRmTW88U7mb7k,4.2,"['lodging', 'point_of_interest', 'establishment']",173
"Jl. Gatot Subroto No.4, Atambua, Kec. Kota Atambua, Kabupaten Belu, Nusa Tenggara Tim. 85711, Indonesia","{'location': {'lat': -9.1032306, 'lng': 124.8975164}, 'viewport': {'northeast': {'lat': -9.102067320107276, 'lng': 124.8990474298927}, 'southwest': {'lat': -9.10476697989272, 'lng': 124.8963477701073}}}",Liurai Hotel,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102831554895745496605"">A Google User</a>'], 'photo_reference': 'AUGGfZlMGewmZ1goxTm-95OTwDnvIQ4F73HQ6ykm-udHJID9CijjcCFiv3K7dNouZ59gUCzZhudND5GJk3deF-mlg2z7Pz3HEyHoAxHEMZioYwv7qOhaytMfcWMfj_RWo2LgKdYk1QBOnJKQcxXllsKBoLmEn6dRD8_8VkUPQ1ttur4uSXTY', 'width': 1920}]",ChIJnW-KbTm-_ywRRI1-GNn8lU0,3.5,"['lodging', 'point_of_interest', 'establishment']",120
"Jl. Merdeka No.12-A, Atambua, Kec. Kota Atambua, Kabupaten Belu, Nusa Tenggara Tim. 85711, Indonesia","{'location': {'lat': -9.105729799999999, 'lng': 124.8970014}, 'viewport': {'northeast': {'lat': -9.104350270107277, 'lng': 124.8984302798927}, 'southwest': {'lat': -9.107049929892723, 'lng': 124.8957306201073}}}",Hotel Intan,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112282336487062736980"">adam taufik</a>'], 'photo_reference': 'AUGGfZmfYSincUS-eoNGDvjtLTD_7oUqFcWZsffwu3ZjPYGSx3vaI2WDiox-0Im7mNN7ISI1ukstqN_hGK-FP1BTF1WCq68Q6Qnja0-1gOuJsOEqVzUXwrx5US6M5uGWLOwD6aIrXwcnAM0t9FLw6GLojs6TLLfnu2CSTH2rOnfVgGzf6xF3', 'width': 4624}]",ChIJqyNItGW-_ywRrIuPwMDRASs,3.8,"['lodging', 'point_of_interest', 'establishment']",137
