business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"6788+Q3, Muko, Kaway XVI, West Aceh Regency, Aceh, Indonesia","{'location': {'lat': 4.2168972, 'lng': 96.2652289}, 'viewport': {'northeast': {'lat': 4.218326429892722, 'lng': 96.26611472989272}, 'southwest': {'lat': 4.215626770107278, 'lng': 96.26341507010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KEBUN WISATA BUAH H. M. ZAINI. ST,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117849389190563159439"">A Google User</a>'], 'photo_reference': 'AUGGfZlk3UmP_1-M335PGsmNC2-zPYpeogwuSiG5vwond2RFImKnMOJ6_AMwXVxFjY6bIlIE6oe1oux2fC3pCSTZZKSg9-Er_P6gsiBB_lZnRjiKiFEvFNEb1uUb9CkYh9FbEgGAik8FFJAhXwOSgY_remx1Ycca6tEociL-vlimz1aBmvoI', 'width': 3456}]",ChIJ3a7icgDRPjAReeocVZUW_QQ,0.0,ChIJ3a7icgDRPjAReeocVZUW_QQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3a7icgDRPjAReeocVZUW_QQ
OPERATIONAL,"85JV+9HQ, Tegal Sari, Kaway XVI, West Aceh Regency, Aceh 23681, Indonesia","{'location': {'lat': 4.3309639, 'lng': 96.1939743}, 'viewport': {'northeast': {'lat': 4.332245829892722, 'lng': 96.19626899999999}, 'southwest': {'lat': 4.329546170107278, 'lng': 96.19320939999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun sawit bakhtiar,,ChIJG-DtXSfZPjAR1Zh0I0v8ZVM,0.0,ChIJG-DtXSfZPjAR1Zh0I0v8ZVM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJG-DtXSfZPjAR1Zh0I0v8ZVM
OPERATIONAL,"667X+33, Muko, Kaway XVI, West Aceh Regency, Aceh, Indonesia","{'location': {'lat': 4.212687, 'lng': 96.247643}, 'viewport': {'northeast': {'lat': 4.21647705, 'lng': 96.24901772989271}, 'southwest': {'lat': 4.211423650000001, 'lng': 96.24631807010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu bara,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109250396999677664424"">A Google User</a>'], 'photo_reference': 'AUGGfZm4L0XQu2kUHRQ5Fq8poaf5wdU7uedU9nABs1j97gKXzZCVymg94_xhT0S3SHeO7J7lQzI7tmR4f2k4PrNJMIIQ_rQNBvAbgvGnTCOmqjX4Wp2R9pWu993RxLJePZ6-vLrL8tFeqZmiFBLu9WdAEM2U3JNTxq2DdzsdnMYSEcieOBU-', 'width': 3024}]",ChIJnzs_Og3RPjARTX8TvvrGquY,3.5,ChIJnzs_Og3RPjARTX8TvvrGquY,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJnzs_Og3RPjARTX8TvvrGquY
OPERATIONAL,"754G+2HW, Putim, Kaway XVI, West Aceh Regency, Aceh 23681, Indonesia","{'location': {'lat': 4.2551112, 'lng': 96.1764535}, 'viewport': {'northeast': {'lat': 4.256939079892722, 'lng': 96.17902074999999}, 'southwest': {'lat': 4.254239420107278, 'lng': 96.17559775}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Geunang Geudong,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103000044464821176071"">A Google User</a>'], 'photo_reference': 'AUGGfZnjvDq305-DWNFQFPf4ht1155bFN1IIh8cwNd34Xnfh0PWWASgR7i3KkYbusqWIzz6nuGKMfbS5WSiJvI3MdJQwXqtSDtxS4Puyw0TsJaeXwsFo-9ZUpgTuxPHAxLBhVkB4R3xm1YaOqEKgubOtfKlIjcETsg_dQcD3aj79yrLUdZcx', 'width': 2000}]",ChIJ7eOQLKLbPjARBEDnYHoLdo0,3.8,ChIJ7eOQLKLbPjARBEDnYHoLdo0,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",20.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7eOQLKLbPjARBEDnYHoLdo0
OPERATIONAL,"643H+9H, Leuhan, Johan Pahlawan, West Aceh Regency, Aceh 23618, Indonesia","{'location': {'lat': 4.2034, 'lng': 96.1289917}, 'viewport': {'northeast': {'lat': 4.204869850000002, 'lng': 96.13045987989273}, 'southwest': {'lat': 4.198990449999999, 'lng': 96.12776022010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The hope area,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114289055113010557284"">A Google User</a>'], 'photo_reference': 'AUGGfZm3FwcpGGgCKV1yQqKtGCFMFxE3OBEO6sDbOKIGRHRMEZCxEXP-nN9_lnUmm-e1-6EncDnfFagaB3CmEG12oDXIcxM6Vd_8g_as_G6CmOJX3D0D49lrJIf4N33Cs-5iZYcB-Gt7-bbBR4CVN_1mEroE6z1ii7Qdp_oRnyHgVMYZbE0N', 'width': 1200}]",ChIJk3Jy5rLDPjARzFulSElknyk,3.0,ChIJk3Jy5rLDPjARzFulSElknyk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJk3Jy5rLDPjARzFulSElknyk
OPERATIONAL,"44RF+572, Ujung Kalak, Johan Pahlawan, West Aceh Regency, Aceh 23681, Indonesia","{'location': {'lat': 4.140152899999999, 'lng': 96.1230879}, 'viewport': {'northeast': {'lat': 4.141453679892721, 'lng': 96.12436187989272}, 'southwest': {'lat': 4.138754020107277, 'lng': 96.12166222010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,rumah kya,,ChIJucbINP_DPjARAZujz2vMC1s,0.0,ChIJucbINP_DPjARAZujz2vMC1s,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJucbINP_DPjARAZujz2vMC1s
OPERATIONAL,"Reudeup, Meureubo, West Aceh Regency, Aceh 23681, Indonesia","{'location': {'lat': 4.1881626, 'lng': 96.2490273}, 'viewport': {'northeast': {'lat': 4.189559329892721, 'lng': 96.25039812989272}, 'southwest': {'lat': 4.186859670107277, 'lng': 96.24769847010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CUT NYAK DHIEN BUSINESS CENTER (CBC),"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117625222462333509573"">Faisal Al-As</a>'], 'photo_reference': 'AUGGfZmW_SWZdtcpDLHSX4umj3qhz9xr5_7Jsz-cLY5NXjUvPbIOFNL4CTpDl3OUq-wjFYsRHy46QXBKOBsL6tv_9Q2cpXT589b3L1a0hFPprXtQhjwVakF7YaQBlfYIqezahc-HyFQXv_0t-NiCB-d-zeNUxVSSh0ZYoDCA8MdIRDEGDnPt', 'width': 4032}]",ChIJf5LyXgvPPjARhaJmWnnPa34,5.0,ChIJf5LyXgvPPjARhaJmWnnPa34,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': False},"{'compound_code': '56QX+7J Reudeup, West Aceh Regency, Aceh, Indonesia', 'global_code': '6MPR56QX+7J'}",,https://www.google.com/maps/place/?q=place_id:ChIJf5LyXgvPPjARhaJmWnnPa34
OPERATIONAL,"9699+PJC, Lhok Guci, Pantai Ceuremen, West Aceh Regency, Aceh 23681, Indonesia","{'location': {'lat': 4.3693004, 'lng': 96.21901369999999}, 'viewport': {'northeast': {'lat': 4.370709179892722, 'lng': 96.22034282989272}, 'southwest': {'lat': 4.368009520107278, 'lng': 96.21764317010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lhok Guci,,ChIJScSEPvLZPjARDXkwEnwLgCg,4.0,ChIJScSEPvLZPjARDXkwEnwLgCg,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJScSEPvLZPjARDXkwEnwLgCg
OPERATIONAL,"44W9+J3W, Jl. Samudera - Meulaboh, Kuta Padang, Aceh, Kabupaten Aceh Barat, Aceh 23612, Indonesia","{'location': {'lat': 4.146618699999999, 'lng': 96.11770829999999}, 'viewport': {'northeast': {'lat': 4.148024729892722, 'lng': 96.11909952989272}, 'southwest': {'lat': 4.145325070107278, 'lng': 96.11639987010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monumen Kupiah Meukeutop,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101948560941839146644"">Salman Samsu</a>'], 'photo_reference': 'AUGGfZmgYqDqMAQmYoqER-kBmtZa9TpsdgBcuwSpnEj9rsJUYkpGOzN3HfFXszRPVrcjuzhvQWrCYdDClodZcGDRU2WuYWy8aW7w0-ee1HIVxWLcqDOqYS_KkuMX5CCll2BAVuq24gGSuqhrcBeiBtW0xurCOjCc7ZGLPAqf_Bhs0_oca3RT', 'width': 4160}]",ChIJu_Mxt8nDPjARlN_TIqpUT2I,4.5,ChIJu_Mxt8nDPjARlN_TIqpUT2I,"['tourist_attraction', 'point_of_interest', 'establishment']",43.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJu_Mxt8nDPjARlN_TIqpUT2I
OPERATIONAL,"44X8+48G, Meulaboh, Kuta Padang, Aceh Barat, Kabupaten Aceh Barat, Aceh 23612, Indonesia","{'location': {'lat': 4.1478223, 'lng': 96.11583390000001}, 'viewport': {'northeast': {'lat': 4.149116579892721, 'lng': 96.11726847989273}, 'southwest': {'lat': 4.146416920107277, 'lng': 96.11456882010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu kupiah Teuku Umar,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114289055113010557284"">A Google User</a>'], 'photo_reference': 'AUGGfZkDAcYEnygwhCrWzaDERmexczKySeMksAmxMXpuv-ACR4UHGVJQNKLJpkQ1NHuJPB3Z_Yq2s-ZM_OxE8Q-c92pVj5qZq8lnrRtzOI8yyAPsm5GOBh1x-scZxD-ophR58LgzcWrcZZuBvw0d0kh6k_GyS-ClR_DFDM3Pcc67DEzKzkut', 'width': 4160}]",ChIJ587Z-MnDPjAR9EiOZjwnSU0,4.5,ChIJ587Z-MnDPjAR9EiOZjwnSU0,"['tourist_attraction', 'point_of_interest', 'establishment']",902.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ587Z-MnDPjAR9EiOZjwnSU0
